SWE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
40022;SKF;100335;7;1907;2000;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40023;Kockums AB;100336;5;1890;2000;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40024;Svante Arrhenius;100337;5;1895;1927;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40025;Carl Richson;100338;6;1905;1925;naval_engineering;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40026;Lars Tingsten;100339;5;1905;1922;centralized_execution;large_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40027;Scania;100340;6;1900;2000;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40028;Carl Ehrenswärd;100341;5;1907;1928;centralized_execution;small_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40029;AGA;100342;4;1904;2000;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40030;Munktells Mekaniska Verkstads AB;100343;4;1832;1932;industrial_engineering;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40031;Casten Warberg;100766;3;1895;1909;centralized_execution;small_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40032;Axel Rappe;100344;6;1899;1905;centralized_execution;large_unit_tactics;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40033;Knut Gillis Bildt;100345;5;1905;1919;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40034;Carl Gustaf Hammarskjöld;100467;5;1922;1930;centralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
400340;IB;T400340;5;1965;1994;rt_user_2;individual_courage;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
400341;MUST;T400341;7;1994;2000;rt_user_2;individual_courage;small_unit_tactics;training;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
