RUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
515033;Pavel Bermondt-Avalov;100591;5;1938;1955;infantry_focus;decentralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515040;Nikolay Yudenich;100710;5;1908;1925;centralized_execution;large_unit_focus;maneuver_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515014;Moscow Military Academy;100503;4;1900;2000;centralized_execution;decentralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515031;Nicholas General Staff Academy;100479;4;1855;1909;training;large_unit_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515026;Nikolai von Essen;100475;5;1910;1915;centralized_execution;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515027;Alexander Kolchak;100279;5;1915;1960;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515028;Alexei Kazakov;100476;4;1915;1950;piloting;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515029;Moscow Engineering School;100477;5;1703;1912;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515030;Aleksandr Lyapunov;100478;6;1885;1918;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515032;George Gamow;100480;6;1926;2000;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515034;Vladimir Zvorykin;100704;8;1917;1954;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515035;Vladimir Galkovsky;100705;5;1929;1958;mathematics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515036;Zhukovsky Air Force Academy;100706;6;1906;2000;aeronautics;electronics;training;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515037;Alexander Prokofiev-Seversky;100707;5;1915;2000;piloting;bomber_tactics;fighter_design;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515038;Petr Nesterov;100708;8;1909;1917;piloting;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515039;Obukhov plant;100709;7;1863;2000;mechanics;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5150390;Okhrana;T5150390;5;1866;2000;rt_user_2;training;individual_courage;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
