CHI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
55122;Huangpu Shipyard;100751;2;1945;1999;naval_engineering;naval_training;submarine_design;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55123;Huangpu Naval Academy;100727;2;1911;1940;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55124;Wang Jingwei;100765;2;1905;1958;individual_courage;training;management;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55125;National Resource Commission;100776;4;1932;1999;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55126;Kaiping Coal Mine;T1004;3;1877;1898;industrial_engineering;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55127;Kaiping Coal Mine;T1004;1;1898;1912;industrial_engineering;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55128;Kailan Mining Administration;T1004;2;1912;1999;industrial_engineering;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55200;Mingsong Dock and Engineering Works;100779;1;1865;1999;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55201;Zhong Xing Coal Company;100771;2;1878;1939;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55202;Zhong Xing Coal Company;100771;4;1939;1999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55203;Dagu Shipyard;T8804;2;1880;1999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55204;Tianjin Belgian Tram & Electric Co.;T8807;3;1906;1933;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55205;Tianjin Belgian Tram & Electric Co.;T8807;4;1933;1976;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55206;Zhili Industrial Bureau;T8808;1;1904;1921;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55207;Zhili Industrial Bureau;T8808;2;1921;1928;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55208;Tianjin Industrial Bureau;T8808;3;1928;1999;industrial_engineering;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55209;Electric Traction Company of Hong Kong;100747;1;1902;1910;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55210;Hong Kong Tramways Ltd;100747;2;1910;1922;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55211;Hong Kong Electric Co. Ltd;100747;3;1922;1999;electronics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55212;Shanghai International Tram Authority;100748;4;1908;2000;electronics;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55213;Beijing University;100742;2;1898;1928;mathematics;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55214;Beijing University;100742;3;1928;1945;mathematics;industrial_engineering;mechanics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55215;Beijing University;100742;4;1945;1999;mathematics;industrial_engineering;mechanics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55216;Capital Normal School;100756;3;1912;1923;mathematics;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55217;Beijing Normal University;100756;4;1923;1954;mathematics;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55218;Beijing Normal University;100756;6;1954;1999;mathematics;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55219;Qinghua University;100743;3;1911;1928;mathematics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55220;National Qinghua University;100743;4;1928;1937;mathematics;industrial_engineering;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55221;National Qinghua University;100743;5;1937;1999;mathematics;industrial_engineering;technical_efficiency;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55222;Qinghua University;100744;3;1911;1960;mathematics;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55223;Qinghua University;100744;4;1911;1999;mathematics;industrial_engineering;technical_efficiency;chemistry;electronics;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55224;National Qinghua Institute of Nuclear Technology;100743;7;1911;1999;avionics;rocketry;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55225;National Qinghua University;100743;6;1911;1999;chemistry;nuclear_engineering;nuclear_physics;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55226;Nankai University;100745;4;1919;1945;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55227;Nankai University;100745;6;1945;1999;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55228;National Southwestern Associated University;100746;6;1911;1999;mathematics;industrial_engineering;mechanics;management;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55229;Beijing Union Medical College;100757;2;1906;1945;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55230;Beijing Union Medical College;100757;4;1945;1999;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55231;Zhili Army Primary School;100718;1;1905;1926;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55232;Shanxi Research Academy;100759;1;1902;1918;mathematics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55233;National Shanxi Academy;100759;2;1918;1931;mathematics;chemistry;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55234;Shanxi University;100759;3;1931;1999;mathematics;chemistry;management;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55235;Accelerated Infantry Preparatory School;T8803;2;1906;1999;training;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55236;Baoding Officer School;T8803;2;1906;1999;training;decentralized_execution;centralized_execution;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55237;Baoding Military Academy;T8803;1;1912;1999;training;large_unit_tactics;centralized_execution;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55238;Baoding Military Academy;T8803;3;1912;1999;training;large_unit_tactics;centralized_execution;individual_courage;decentralized_execution;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55300;Taiyuan Arsenal;T8801;3;1912;1999;artillery;general_equipment;training;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55400;Guangxi Army Primary School;100718;1;1907;1918;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55401;Guangxi Army Primary School;100718;2;1918;1928;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55402;Guangxi University;100719;1;1928;1936;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55403;Guangxi University;100719;2;1936;1939;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55404;Guangxi University;100719;4;1939;1949;mathematics;industrial_engineering;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55405;Guangxi University;100719;5;1949;1999;mathematics;industrial_engineering;mechanics;electronics;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55406;Guangxi Aviation Academy;100720;2;1934;1999;aeronautics;training;piloting;mechanics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55407;Guangxi Military Cadre Training School ;100721;1;1900;1923;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55500;Guangdong Arsenal;100723;2;1900;1999;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55501;Guangzhou Shipyard;T8702;2;1881;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55502;Sun Zhongshan Academy;100726;3;1924;1999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55503;Guangdong Naval Academy;100727;1;1882;1911;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55504;Guangdong-Hankou Railway Authority;100728;1;1936;1999;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55505;Guangzhou Diesel Engine Factory;100729;1;1911;1928;mechanics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55506;Guangzhou Diesel Engine Factory;100729;2;1928;1936;mechanics;general_equipment;vehicle_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55507;Guangzhou Diesel Engine Factory;100729;4;1936;1999;mechanics;general_equipment;vehicle_engineering;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55508;Shaoguan Airplane Factory;100730;1;1936;1945;aeronautics;general_equipment;aircraft_testing;bomber_design;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55509;Dongshan Airplane Factory;100731;1;1928;1933;aeronautics;general_equipment;aircraft_testing;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55510;Yunnan Military Academy;100732;1;1907;1916;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55511;Yunnan Military Academy;100732;2;1916;1928;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55512;Yunnan Military Academy;100732;3;1928;1945;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55513;Yunnan Military Academy;100732;4;1945;1999;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55514;Southwest University;100733;1;1906;1926;mathematics;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55515;Southwest University;100733;2;1926;1945;mathematics;chemistry;medicine;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55516;Southwest University;100733;4;1945;1999;mathematics;chemistry;medicine;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55517;Donglu University;100734;1;1922;1934;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55518;Yunnan University;100734;2;1934;1937;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55519;Yunnan University;100734;3;1937;1947;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55520;Yunnan University;100734;4;1947;1999;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55521;Jiangwu Officer Academy;100735;2;1909;1928;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55522;Yunnan Tin Company;100736;2;1883;1928;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55523;Yunnan Tin Company;100736;3;1928;1999;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55524;Yunnan Northern Optical Electronics;100737;1;1936;1999;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55525;Yunnan-Vietnam Railway Authority;100738;1;1904;1999;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55526;Long Yun;100739;2;1930;1999;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55527;Lu Han;100740;2;1930;1999;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55528;Yunnan Ordnance Companies;100394;1;1900;1928;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55529;Yunnan Ordnance Companies;100394;2;1928;1945;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55530;Yunnan Ordnance Companies;100394;3;1945;1999;mechanics;artillery;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55531;Shaoguan Yunnan Airplane Factory;100730;1;1936;1945;aeronautics;general_equipment;aircraft_testing;bomber_design;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55532;Liang Jinshan;100741;2;1933;1977;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55533;Tang Jiyao;100065;2;1909;1928;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55534;Cai E;100767;4;1900;1917;large_unit_tactics;infantry_focus;individual_courage;training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55535;Central Machine Works;100777;3;1930;2000;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55536;53rd Arsenal;100768;3;1941;1999;mechanics;munitions;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
