SOV;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
30032;Sukhoi Design Bureau;T7212;4;1939;2000;aeronautics;avionics;fighter_design;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30033;Baltiysky Zavod 189;100276;4;1856;2000;naval_engineering;carrier_design;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30034;General Staff Academy;100479;4;1930;2000;training;large_unit_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30035;Zhukovsky Air Force Academy;100706;6;1930;2000;aeronautics;electronics;training;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30036;Georgy Zhukov;100832;8;1940;2000;combined_arms_focus;large_unit_tactics;centralized_execution;training;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30037;K.E. Voroshilov RKKF Naval Academy;100504;3;1930;2000;naval_artillery;small_taskforce_tactics;submarine_tactics;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30100;Sergey Gorshkov;T30100;7;1956;2000;naval_training;small_taskforce_tactics;large_taskforce_tactics;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30101;Rubin Design Bureau;T30101;5;1901;2000;management;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30102;Dalzavod Naval Industries;T12702;5;1900;2000;naval_engineering;naval_artillery;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30103;Sukhoi Design Bureau;T7212;6;1939;2000;aeronautics;avionics;fighter_design;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30104;Uralvagonzavod;T14708;9;1944;2000;mechanics;technical_efficiency;electronics;vehicle_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30105;Kurganmashzavod;T14705;6;1950;2000;mechanics;artillery;vehicle_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30106;Izhevsk Ordnance and Steel Plant;T14704;7;1942;2000;mechanics;artillery;general_equipment;munitions;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30107;Sergey Lebedev;T30107;6;1943;2000;chemistry;mechanics;mathematics;electronics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30108;Marine Scientific Research Institute of Radioelectronics;T30108;5;1938;2000;small_taskforce_tactics;naval_training;seamanship;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30109;Valentin Glushko;R19;6;1930;1986;rocketry;mathematics;centralized_execution;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30110;Ivan Konev;R30;5;1940;1960;large_unit_tactics;centralized_execution;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30111;Vasily Sokolovsky;R29;6;1941;1960;combined_arms_focus;large_unit_tactics;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30112;Konstantin Vershinin;R28;6;1941;1969;training;piloting;fighter_tactics;bomber_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30113;Aleksei Antonov;R24;7;1940;1962;large_unit_tactics;infantry_focus;individual_courage;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30114;Vladimir Tributs;R23;5;1939;1961;small_taskforce_tactics;naval_training;seamanship;naval_artillery;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30115;Ivan S. Yumashev;R22;6;1939;1957;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30116;Shiprepair DVZ Zvezda;R20;6;1957;1980;small_taskforce_tactics;naval_training;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30117;R&D PE Zvezda;R21;8;1952;1980;mechanics;electronics;rocketry;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30118;Yuri Pobedonostsev;R38;5;1932;1973;mechanics;rocketry;aeronautics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30119;Mikhail Tikhonravov;R39;5;1932;1974;mechanics;rocketry;aeronautics;avionics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30120;Aksel Berg;R40;5;1922;1960;naval_training;electronics;submarine_tactics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30121;Klimov Design Bureau;R42;6;1932;1990;mechanics;artillery;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30122;Gosplan;T30122;5;1932;1990;technical_efficiency;industrial_engineering;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30123;GAZ Factory Design Bureau;T30123;5;1927;2000;mechanics;general_equipment;vehicle_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30124;Uralvagonzavod;T14708;4;1936;1943;mechanics;technical_efficiency;electronics;vehicle_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
300123;Mil Design Bureau;T300123;9;1948;1999;rt_user_1;aircraft_testing;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
300124;Kamov Design Bureau;T300124;7;1944;1999;rt_user_1;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
300125;Cheka;T300125;5;1917;1922;rt_user_2;training;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
300126;GPU;T300126;5;1922;1924;rt_user_2;training;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
300127;OGPU;T300126;6;1924;1934;rt_user_2;training;small_unit_tactics;individual_courage;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
300128;NKVD;T300128;8;1934;1954;rt_user_2;training;small_unit_tactics;individual_courage;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
300129;KGB;T300129;9;1954;2000;rt_user_2;training;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
