Action;Bool All;Num;Level;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data
AddBoxText;;;;TUTORIAL_1_A11;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
AddHotSpot;;;;860;24;1010;40;;;;;;;;;;;;;;;x
AddArrowsPos;;;;920;46;;;;;;;;;;;;;;;;;x
WaitForHotSpotClick;;;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
AddBoxText;;;;TUTORIAL_1_A12;;;;;;;;;;;;;;;;;;x
ClearHotSpots;;;;;;;;;;;;;;;;;;;;;;x
WaitForEnter;;;;;;;;;;;;;;;;;;;;;;x
ClearScreen;;;;;;;;;;;;;;;;;;;;;;x
DarkScreen;;;-160;;;;;;;;;;;;;;;;;;;x
ScreenBox;;;;0;0;1024;768;;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_1_A13;352;222;;;;;;;;;;;;;;;;x
EndTutorial;;;;;;;;;;;;;;;;;;;;;;x
