country;main color;leader language;Army Nationality Sprite;Model Nationality Picture ;Model Nationality Icon;Model Nationality Name;END
U75;DarkOrange;ENG;MIN;;;;X
U76;Green;ENG;MIN;;;;X
U77;LightRed;ENG;MIN;;;;X
U78;LightOrange;ENG;MIN;;;;X
U79;Yellow;ENG;MIN;;;;X
U80;Yellow;ENG;ENG;;;;X
U81;Gray;FRA;FRA;;;;X
U82;Green;FRA;FRA;;;;X
U83;Orange;ENG;ENG;;;;X
U84;White;FRA;FRA;;;;X
U85;UserColor5;FRA;FRA;;;;X
U86;LightBlue;ENG;ENG;;;;X
U87;DarkOrange;ENG;ENG;;;;X
U88;LightOrange;FRA;FRA;;;;X
U89;Green;ENG;ENG;;;;X
U90;LightBrown;ENG;ENG;;;;X
U91;LightGray;TUR;ENG;;;;X
U92;LightGray;ITA;ENG;;;;X
U93;LightGreen;SPA;MIN;;;;X
U94;Orange;FRA;FRA;;;;X
U95;UserColor5;FRA;FRA;;;;X
U96;LightYellow;ENG;ENG;;;;X
U97;UserColor6;ENG;ENG;;;;X
U98;DarkRed;ENG;ENG;;;;X
U99;Yellow;ENG;ENG;;;;X
USN;DarkBlue;USA;USA;;;;X
UAU;LightGray;AST;ENG;;;;X
UCH;Yellow;CHI;MIN;;;;X
UBO;Blue;FRA;FRA;;;;X
UTC;Yellow;ROM;GER;;;;X
UGS;LightBlue;SWE;MIN;;;;X
UCS;UserColor5;USA;USA;;;;X
UIC;LightGreen;ENG;JAP;;;;X
UPR;LightYellow;GER;GER;;;;X
UER;White;SOV;SOV;;;;X
UTO;Green;TUR;MIN;;;;X
UIR;DarkYellow;ENG;ENG;;;;X
UTL;LightBrown;POR;USA;;;;X
UPS;LightOrange;JAP;JAP;;;;X
UES;LightRed;ENG;ENG;;;;X
URO;DarkGreen;ITA;ITA;;;;X
UAP;LightYellow;ENG;ENG;;;;X
UPE;LightYellow;ENG;ENG;;;;X
END;DarkGreen;ENG;ENG;;;;X
