MODIFIER;none;artillery;sp_artillery;rocket_artillery;sp_rct_artillery;anti_tank;tank_destroyer;light_armor_brigade;heavy_armor;super_heavy_armor;armored_car;anti_air;police;engineer;cag;escort;naval_asw;naval_anti_air_s;naval_radar_s;naval_fire_controll_s;naval_improved_hull_s;naval_torpedoes_s;naval_anti_air_l;naval_radar_l;naval_fire_controll_l;naval_improved_hull_l;naval_torpedoes_l;cavalry_brigade;sp_anti_air;medium_armor;floatplane;light_cag;amph_armor;glider_armor;glider_artillery;super_heavy_artillery;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;b_01;b_02;b_03;b_04;b_05;b_06;b_07;b_08;b_09;b_10;b_11;b_12;b_13;b_14;b_15;b_16;X
DEF_JUNGLE;0;-2;-2;0;0;0;-4;-4;-6;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;0;0;-5;-4;-2;-6;0;0;0;0;0;0;-8;0;-8;-8;4;0;0;0;0;0;0;-8;0;0;0;X
DEF_SWAMP;0;-3;-3;0;0;0;-4;-4;-6;-9;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;-5;0;0;-5;-4;-3;-6;0;0;0;0;0;0;8;0;8;8;2;0;0;0;0;0;0;8;0;0;0;X
DEF_URBAN;0;0;0;0;0;0;4;3;0;0;3;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;0;4;4;10;0;0;0;0;0;0;4;0;0;0;X
MOV_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_BLIZZARD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;0;-10;-10;-6;-8;0;0;0;0;0;0;0;0;0;X
MOV_SNOW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;-8;0;0;0;0;0;0;0;0;0;X
MOV_FROZEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_RAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;0;-2;-2;-1;0;0;0;0;0;0;0;0;0;0;X
MOV_STORM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8;0;-8;-8;-5;0;0;0;0;0;0;0;0;0;0;X
MOV_MUDDY;0;-3;-3;-2;-3;-2;-3;-3;-5;-20;-4;-2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-6;0;0;6;-3;-2;-6;0;0;0;0;0;0;0;0;0;0;-8;-10;0;0;0;0;0;0;0;0;0;X
MOV_NIGHT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;0;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;X
MOV_PLAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_DESERT;0;0;3;0;0;0;3;5;3;-10;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_MOUNTAIN;5;-5;-5;-5;-5;-5;-5;-5;-5;-10;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-5;0;0;-5;-5;-2;-5;0;0;0;0;0;0;0;0;0;0;-6;-8;0;0;0;0;0;0;0;0;0;X
MOV_HILL;0;-4;0;-2;0;0;0;0;-1;-10;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;0;-2;0;0;0;0;0;0;0;0;0;0;-4;-6;0;0;0;0;0;0;0;0;0;X
MOV_FOREST;0;-4;-4;-4;-4;-4;0;0;-6;-10;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;-4;-2;-1;-6;0;0;0;0;0;0;0;0;0;0;-4;-8;0;0;0;0;0;0;0;0;0;X
MOV_JUNGLE;5;-3;-3;-3;-3;-3;-3;-3;-7;-20;-2;-2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;0;0;-3;-3;-3;-7;0;0;0;0;0;0;0;0;0;0;-6;-14;0;0;0;0;0;0;0;0;0;X
MOV_SWAMP;0;-4;-4;-4;-4;-4;-4;-4;-6;-20;-4;-2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-4;0;0;6;-5;-2;-5;0;0;0;0;0;0;0;0;0;0;-10;-12;0;0;0;0;0;0;0;0;0;X
MOV_URBAN;0;0;0;-3;0;0;-3;-3;-7;-30;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;0;0;-5;-3;0;-10;0;0;0;0;0;0;-2;0;-2;-2;-2;-8;0;0;0;0;0;0;0;0;0;X
EOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
