MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GAR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVL;SUB;NSUB;TRA;CV;INT F;rsv_33;rsv_34;rsv_35;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;d_01;d_02;d_03;d_04;d_05;d_06;d_07;d_08;d_09;d_10;d_11;d_12;d_13;d_14;d_15;d_16;d_17;d_18;d_19;d_20;X
ATT_MOUNTAIN;-40;-50;-60;-60;-60;-70;-40;-40;-30;-40;-50;-30;-30;-30;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;0;0;0;0;0;0;0;0;-30;-60;-60;-70;-10;-10;-40;-40;-50;-50;-50;0;0;0;0;0;0;0;0;-50;X
ATT_HILL;-20;-20;-20;-20;-20;-30;-20;-20;-20;-20;-20;-15;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;0;0;0;0;0;0;0;0;-20;-20;-20;-30;0;0;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;-20;X
ATT_FOREST;-25;-35;-30;-35;-35;-40;-25;-25;-25;-25;-30;-15;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;0;0;0;0;0;0;0;0;-25;-30;-35;-40;-25;-5;-25;-25;-30;-30;-35;0;0;0;0;0;0;0;0;-30;X
ATT_JUNGLE;-70;-75;-75;-70;-75;-80;-65;-60;-70;-70;-70;-40;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;0;0;0;0;0;0;0;0;-70;-75;-70;-80;-50;-70;-70;-70;-50;-70;-75;0;0;0;0;0;0;0;0;-50;X
ATT_SWAMP;-60;-65;-65;-65;-65;-70;-55;-50;-60;-60;-60;-30;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;0;0;0;0;0;0;0;0;-60;-65;-65;-70;-40;-60;-60;-60;0;-60;-65;0;0;0;0;0;0;0;0;35;X
ATT_URBAN;-30;-30;-30;-30;-30;-35;-30;-30;-30;-30;-30;-15;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;-10;-10;-10;-15;-30;-30;-30;-30;-50;-30;-30;0;0;0;0;0;0;0;0;-50;X
ATT_RIVER;-30;-30;-30;-30;-30;-30;-25;-10;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;-30;-30;-30;-30;-30;-30;-30;0;-30;-30;0;0;0;0;0;0;0;0;0;X
ATT_SHORE;-60;-80;-80;-80;-80;-80;-40;-20;-40;-80;-80;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-60;-67;-67;-67;-67;-67;-67;-60;0;-80;-75;0;0;0;0;0;0;0;0;0;X
ATT_FORT;-30;-40;-40;-40;-40;-40;-20;-20;-20;-20;-20;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;-40;-40;-40;-20;-20;-30;-30;-30;-20;-40;0;0;0;0;0;0;0;0;-20;X
DEF_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_BLIZZARD;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-85;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;0;0;0;0;0;0;0;0;-85;-85;-85;-85;-85;-85;-45;-85;-99;-85;-85;-99;-99;-99;-99;-99;-99;-99;-99;-99;X
DEF_SNOW;-40;-40;-40;-40;-40;-25;-40;-40;-30;-40;-40;-40;-50;-50;-50;-50;-50;-50;-50;0;0;-50;-50;-50;-50;-50;-50;-50;-50;-50;0;-50;-50;0;0;0;0;0;0;0;0;-30;-40;-40;-25;-30;-30;-10;-40;-50;-40;-40;-50;-50;-50;-50;-50;-50;-50;-50;-50;X
DEF_FROZEN;-25;-25;-25;-50;-50;-50;-25;-25;-15;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-25;-50;-50;-15;-15;0;-25;0;-25;-25;0;0;0;0;0;0;0;0;0;X
DEF_RAIN;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-30;-30;-30;-30;-30;-30;-30;0;0;-20;-20;-20;-20;-20;-20;-20;0;0;0;-20;-30;0;0;0;0;0;0;0;0;-20;-20;-20;-20;-20;-20;-20;-20;-30;-20;-20;-20;0;0;-20;-20;-20;-20;-20;-30;X
DEF_STORM;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-65;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;-99;-99;0;0;0;0;0;0;0;0;-65;-65;-65;-65;-65;-65;-65;-65;-99;-65;-65;-99;-99;-99;-99;-99;-99;-99;-99;-99;X
DEF_MUDDY;0;-56;-56;-56;-56;-56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-56;-56;-56;0;0;0;0;0;0;-56;0;0;0;0;0;0;0;0;35;X
DEF_NIGHT;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;0;0;-50;-50;-50;-50;-50;-80;-80;10;10;-50;-80;-90;0;0;0;0;0;0;0;0;-90;-90;-90;-90;-90;-70;-90;-90;-50;-90;-90;-50;10;10;-50;-50;-50;-50;-50;-50;X
DEF_PLAIN;5;5;5;5;5;5;5;5;5;5;5;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;0;5;5;0;0;0;0;0;0;0;0;10;X
DEF_DESERT;-65;-25;-30;-22;-18;0;-59;-65;-65;-65;-65;-41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-65;-30;-22;0;-65;-65;-65;-65;0;-65;-25;0;0;0;0;0;0;0;0;10;X
DEF_MOUNTAIN;-20;-25;-30;-30;-30;-35;-20;-20;-15;-20;-25;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-30;-30;-35;5;5;-20;-20;-50;-25;-25;0;0;0;0;0;0;0;0;-50;X
DEF_HILL;4;4;4;4;-3;-13;4;4;4;4;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;-13;24;24;4;4;-20;4;4;0;0;0;0;0;0;0;0;-20;X
DEF_FOREST;-7;-12;-9;-12;-12;-14;-7;-7;-7;-7;-9;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7;-9;-12;-14;17;-7;-7;-7;-30;-9;-12;0;0;0;0;0;0;0;0;-30;X
DEF_JUNGLE;-58;-65;-65;-54;-65;-72;-51;-46;-58;-58;-58;-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-58;-65;-54;-72;-38;-58;-58;-58;-50;-58;-65;0;0;0;0;0;0;0;0;-50;X
DEF_SWAMP;-48;-55;-55;-55;-55;-61;-41;-35;-48;-48;-48;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-48;-55;-55;-61;-28;-48;-48;-48;0;-48;-55;0;0;0;0;0;0;0;0;35;X
DEF_URBAN;-2;-2;-2;-2;-6;-16;-2;-2;-2;-2;-2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;-6;-2;-2;-2;-2;-50;-2;-2;0;0;0;0;0;0;0;0;-50;X
MOV_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_BLIZZARD;-90;-90;-85;-80;-75;-75;-90;-90;-85;-90;-90;-90;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;-80;0;0;0;0;0;0;0;0;-60;-85;-80;-75;-60;-60;-30;-90;-80;-90;-90;-80;-80;-80;-80;-80;-80;-80;-80;-80;X
MOV_SNOW;-20;-20;-50;-35;-20;-20;-15;-15;-10;-20;-20;-20;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;-40;0;0;0;0;0;0;0;0;-10;-40;-35;-20;-10;-10;-10;-20;-40;-20;-20;-40;-40;-40;-40;-40;-40;-40;-40;-40;X
MOV_FROZEN;-15;-15;-30;-20;-10;-10;-12;-12;-8;-15;-15;-15;0;0;0;0;0;0;0;0;0;-80;-90;-80;-80;-90;-80;-90;-90;-90;-90;-80;0;0;0;0;0;0;0;0;0;25;-10;0;0;25;25;-5;-15;0;-15;-15;-80;-90;-90;-90;-80;-90;-90;-90;0;X
MOV_RAIN;-20;-25;-40;-30;-25;-25;-18;-18;-18;-20;-20;-20;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;-30;0;0;0;0;0;0;0;0;-20;-30;-30;-25;-30;-30;-30;-20;-30;-20;-25;-30;-30;-30;-30;-30;-30;-30;-30;-30;X
MOV_STORM;-40;-45;-60;-45;-40;-40;-35;-35;-35;-40;-40;-40;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;-70;0;0;0;0;0;0;0;0;-40;-60;-45;-40;-70;-70;-70;-40;-70;-40;-45;-70;-70;-70;-70;-70;-70;-70;-70;-70;X
MOV_MUDDY;-70;-80;-95;-90;-90;-90;-65;-65;-65;-70;-70;-70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;-93;-90;-90;-50;-50;-60;-70;0;-70;-80;0;0;0;0;0;0;0;0;0;X
MOV_NIGHT;-70;-70;-80;-80;-85;-85;-70;-70;-70;-70;-70;-70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-70;-70;-70;-70;-95;-95;-98;-70;0;-70;-70;0;0;0;0;0;0;0;0;0;X
MOV_PLAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_DESERT;-25;-15;-10;-5;0;0;-20;-20;-20;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;-10;10;10;-5;-5;-5;-25;0;-25;-15;0;0;0;0;0;0;0;0;0;X
MOV_MOUNTAIN;-20;-25;-30;-35;-40;-40;-15;-15;-10;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;-80;-35;-40;-30;-30;-50;-20;0;-20;-25;0;0;0;0;0;0;0;0;0;X
MOV_HILL;-10;-10;-15;-10;-5;-5;-8;-8;-5;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;-15;-10;-5;-15;-15;-20;-10;0;-10;-10;0;0;0;0;0;0;0;0;0;X
MOV_FOREST;-15;-20;-30;-20;-15;-15;-10;-10;-10;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15;-30;-20;-15;-40;-40;-40;-15;0;-15;-20;0;0;0;0;0;0;0;0;0;X
MOV_JUNGLE;-35;-45;-70;-60;-50;-50;-30;-30;-30;-35;-35;-35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-35;-70;-60;-50;-70;-70;-70;-35;0;-35;-45;0;0;0;0;0;0;0;0;0;X
MOV_SWAMP;-25;-30;-40;-50;-60;-60;-20;-20;-20;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-25;-40;-50;-60;-60;-60;-60;-25;0;-25;-30;0;0;0;0;0;0;0;0;0;X
MOV_URBAN;-5;-5;-10;-10;-15;-15;-5;-5;-5;-5;-5;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;-10;-10;-15;-30;-30;-30;-5;0;-5;-5;0;0;0;0;0;0;0;0;0;X
EOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
