BOL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
205075;Minister of Armament;Abadon Saavedra Mallea;1940;1964;1999;SL;Air to Sea Proponent;High;M43036;X
205076;Minister of Armament;Adolfo Costa du Reis;1941;1964;1999;SL;Military Entrepreneur;Medium;M43101;X
205077;Minister of Armament;Néstor Guillén Olmos;1943;1964;1999;SL;Resource Industrialist;Medium;M43035;X
205078;Minister of Armament;Julian Montellano Carrasco;1946;1964;1999;SL;Administrative Genius;Medium;M43056;X
205079;Minister of Armament;Abadon Saavedra Mallea;1939;1964;1999;SC;Theoretical Scientist;Medium;M43036;X
205080;Minister of Armament;Simon I. Patino;1940;1964;1999;SC;Resource Industrialist;Medium;M43038;X
205081;Minister of Armament;Mario Torres;1945;1964;1999;SC;Corrupt Kleptocrat;High;M43014;X
205082;Minister of Armament;David Toro Ruilova;1940;1964;1999;PA;Corrupt Kleptocrat;Medium;M43048;X
205083;Minister of Armament;Carlos Salinas Aramayo;1941;1964;1999;PA;Military Entrepreneur;Medium;M43068;X
205084;Minister of Armament;Fabian Vaca Chavez;1942;1964;1999;PA;Air to Sea Proponent;Low;M43082;X
205085;Minister of Armament;Hugo Ballivián Rojas;1943;1964;1999;PA;Infantry Proponent;Medium;M43077;X
205086;Minister of Armament;Mario Torres;1933;1964;1999;FA;Corrupt Kleptocrat;High;M43014;X
205087;Minister of Armament;Alberto Ostria Gutierrez;1938;1964;1999;PA;Air to Ground Proponent;Medium;M43075;X
205088;Minister of Armament;Jorge Patinos;1940;1964;1999;PA;Resource Industrialist;Medium;M43063;X
205089;Minister of Armament;Gil Ibarra Juarez;1943;1964;1999;FA;Submarine Proponent;Medium;M43009;X
205090;Minister of Armament;Eusebio Ayala;1943;1964;1999;LWR;Battle Fleet Proponent;Medium;M43040;X
205091;Minister of Armament;Walter Guevera;1943;1964;1999;LWR;Theoretical Scientist;High;M43096;X
205092;Minister of Armament;Enrique Baldivieso Aparicio;1944;1964;1999;LWR;Resource Industrialist;Medium;M43067;X
205093;Minister of Armament;Julian Montellano Carrasco;1945;1964;1999;LWR;Administrative Genius;Medium;M43056;X
205094;Minister of Armament;Alberto Diez de Medina;1946;1964;1999;LWR;Corrupt Kleptocrat;Medium;M43086;X
205095;Minister of Armament;Victor Paz Estenssorro;1947;1964;1999;LWR;Resource Industrialist;Medium;M43042;X
205096;Minister of Armament;Roberto Hinojosa;1933;1964;1999;LE;Infantry Proponent;High;M43024;X
205097;Minister of Armament;Werner Guttenberg;1944;1964;1999;ST;Strategic Air Proponent;Medium;M43123;X
205098;Minister of Security;José Franz Tamayo;1933;1964;1999;SD;Crime Fighter;Medium;M43088;X
205099;Minister of Security;Florian Zambrana;1938;1964;1999;SD;Efficient Sociopath;Low;M43125;X
205100;Minister of Security;Salvator Morales Jauregi;1933;1964;1999;SL;Man of the People;Medium;M43126;X
205101;Minister of Security;Felix A. Arromayo;1939;1964;1999;SL;Silent Lawyer;Medium;M43127;X
205102;Minister of Security;Carlos Salinas Aramayo;1943;1964;1999;SL;Back Stabber;Medium;M43068;X
205103;Minister of Security;Mamerto U. Harriaque;1946;1964;1999;SL;Prince of Terror;Medium;M43129;X
205104;Minister of Security;Felix A. Arromayo;1933;1964;1999;SC;Silent Lawyer;Medium;M43127;X
205105;Minister of Security;José Santos Quinteros;1939;1964;1999;SC;Compassionate Gentleman;High;M43005;X
205106;Minister of Security;Eduardo Anze Matienzo;1944;1964;1999;SC;Crooked Kleptocrat;High;M43076;X
205107;Minister of Security;Fabian Vaca Chavez;1945;1964;1999;SC;Prince of Terror;Low;M43082;X
205108;Minister of Security;Carlos Blanco Galindo;1947;1964;1999;SC;Crooked Kleptocrat;Medium;M43134;X
205109;Minister of Security;Moritz Hochschild;1939;1964;1999;PA;Compassionate Gentleman;Medium;M43004;X
205110;Minister of Security;Simon I. Patino;1940;1964;1999;PA;Crime Fighter;Medium;M43038;X
205111;Minister of Security;Alberto Ostria Gutierrez;1942;1964;1999;PA;Back Stabber;Medium;M43075;X
205112;Minister of Security;Carlos Salinas Aramayo;1943;1964;1999;PA;Prince of Terror;Medium;M43068;X
205113;Minister of Security;Edwin Möller;1933;1964;1999;FA;Prince of Terror;High;M43015;X
205114;Minister of Security;Victor Paz Estenssorro;1937;1964;1999;LWR;Man of the People;Medium;M43042;X
205115;Minister of Security;Luis Guachalla Solares;1943;1964;1999;LWR;Back Stabber;High;M43066;X
205116;Minister of Security;Walter Guevera;1943;1964;1999;LWR;Prince of Terror;High;M43096;X
205117;Minister of Security;Alberto Diez de Medina;1944;1964;1999;LWR;Crooked Kleptocrat;Medium;M43086;X
205118;Minister of Security;Enrique Baldivieso Aparicio;1946;1964;1999;LWR;Efficient Sociopath;Medium;M43067;X
205119;Minister of Security;Gunnar Mendoza Loza;1947;1964;1999;LWR;Compassionate Gentleman;Medium;M43146;X
205120;Minister of Security;Juan Lechin Oquendo;1933;1964;1999;ST;Back Stabber;Medium;M43025;X
205121;Head of Military Intelligence;Victor Paz Estenssorro;1933;1964;1999;SD;Political Specialist;Medium;M43042;X
205122;Head of Military Intelligence;José Maria Gutierrez;1933;1964;1999;SL;Industrial Specialist;High;M43003;X
205123;Head of Military Intelligence;Francesco Pierini;1943;1964;1999;SL;Political Specialist;Medium;M43071;X
205124;Head of Military Intelligence;Aniceto Solares;1946;1964;1999;SL;Dismal Enigma;Medium;M43092;X
205125;Head of Military Intelligence;Carlos Victor Arramayo;1933;1964;1999;SC;Technical Specialist;Very High;M43068;X
205126;Head of Military Intelligence;Eduardo Anze Matienzo;1939;1964;1999;SC;Political Specialist;High;M43076;X
205127;Head of Military Intelligence;Simon I. Patino;1944;1964;1999;SC;Industrial Specialist;Medium;M43038;X
205128;Head of Military Intelligence;Juan Lopez y Lopez;1945;1964;1999;SC;Logistics Specialist;Medium;M43156;X
205129;Head of Military Intelligence;José Santos Quinteros;1940;1964;1999;PA;Dismal Enigma;High;M43005;X
205130;Head of Military Intelligence;Juan Sanjines;1933;1964;1999;FA;Industrial Specialist;Medium;M43016;X
205131;Head of Military Intelligence;Alberto Ostria Gutierrez;1943;1964;1999;FA;Dismal Enigma;Medium;M43075;X
205132;Head of Military Intelligence;Fabian Vaca Chavez;1943;1964;1999;PA;Naval Intelligence Specialist;Medium;M43082;X
205133;Head of Military Intelligence;Alberto Diez de Medina;1943;1964;1999;LWR;Technical Specialist;Medium;M43086;X
205134;Head of Military Intelligence;Walter Guevera;1946;1964;1999;LWR;Technical Specialist;High;M43096;X
205135;Head of Military Intelligence;Guillermo Lora;1933;1964;1999;ST;Logistics Specialist;Very Low;M43021;X
205136;Head of Military Intelligence;Werner Guttenberg;1944;1964;1999;ST;Logistics Specialist;Medium;M43123;X
205137;Head of Military Intelligence;Luis Guachalla Solares;1946;1964;1999;LE;Political Specialist;High;M43066;X
205138;Chief of Staff;German Busch Beccera;1933;1964;1999;SD;School of Manoeuvre;Low;M43032;X
205139;Chief of Staff;Waldo Belmonte Pool;1933;1964;1999;SL;School of Psychology;Medium;M43034;X
205140;Chief of Staff;Carlos Quintanilla Quiroga;1933;1964;1999;SC;School of Defence;Medium;M43037;X
205141;Chief of Staff;Rafael Franco Rafél;1940;1964;1999;SC;School of Fire Support;Medium;M43033;X
205142;Chief of Staff;Tomas Monje Gutierrez;1947;1964;1999;SC;School of Mass Combat;Very High;M43039;X
205143;Chief of Staff;Enrique Penaranda Castillo;1940;1964;1999;PA;School of Mass Combat;Medium;M43045;X
205144;Chief of Staff;Carlos Blanco Galindo;1942;1964;1999;PA;School of Psychology;Medium;M43134;X
205145;Chief of Staff;Carlos Altamirano;1933;1964;1999;FA;School of Fire Support;High;M43006;X
205146;Chief of Staff;José Pastor Baldiviseo;1943;1964;1999;LWR;School of Mass Combat;Medium;M43167;X
205147;Chief of Staff;Gustavo Chacón Morales;1945;1964;1999;LWR;School of Defence;Medium;M43090;X
205148;Chief of Staff;Roberto Hinojosa;1933;1964;1999;LE;School of Psychology;High;M43024;X
205149;Chief of Staff;Gunnar Mendoza Loza;1944;1964;1999;ST;School of Mass Combat;Medium;M43146;X
205150;Chief of Army;David Toro Ruilova;1933;1964;1999;SD;Decisive Battle Doctrine;High;M43048;X
205151;Chief of Army;Mamerto U. Harriaque;1937;1964;1999;SD;Guns and Butter Doctrine;Medium;M43129;X
205152;Chief of Army;Rodolfo Montalvo Ruiz;1937;1964;1999;SL;Elastic Defence Doctrine;Medium;M43182;X
205153;Chief of Army;Carlos Blanco Galindo;1944;1964;1999;SC;Decisive Battle Doctrine;Medium;M43134;X
205154;Chief of Army;Enrique Penaranda Castillo;1939;1964;1999;PA;Static Defence Doctrine;Medium;M43045;X
205155;Chief of Army;Gualberto Villarroel Lopez;1943;1964;1999;PA;Elastic Defence Doctrine;Low;M43188;X
205156;Chief of Army;Mariano Baptista;1933;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M43018;X
205157;Chief of Army;Gualberto Villarroel Lopez;1943;1964;1999;LWR;Static Defence Doctrine;Low;M43188;X
205158;Chief of Army;Tomas Monje Gutierrez;1945;1964;1999;LWR;Armoured Spearhead Doctrine;Very High;M43039;X
205159;Chief of Army;Enrique Baldivieso Aparicio;1946;1964;1999;LWR;Guns and Butter Doctrine;Medium;M43067;X
205160;Chief of Army;Roberto Hinojosa;1933;1964;1999;LE;Guns and Butter Doctrine;High;M43024;X
205161;Chief of Navy;Eusebio Ayala;1933;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M43040;X
205162;Chief of Navy;Felix A. Arromayo;1946;1964;1999;SL;Indirect Approach Doctrine;Medium;M43127;X
205163;Chief of Navy;Alberto Ostria Gutierrez;1933;1964;1999;SC;Power Projection Doctrine;Medium;M43075;X
205164;Chief of Navy;Aniceto Solares;1942;1964;1999;SC;Open Seas Doctrine;Medium;M43092;X
205165;Chief of Navy;Guillermo Arancha Basutto;1947;1964;1999;SC;Indirect Approach Doctrine;Medium;M43200;X
205166;Chief of Navy;Luis Arandos Villa;1940;1964;1999;PA;Power Projection Doctrine;Medium;M43019;X
205167;Chief of Navy;Juan Mechin;1933;1964;1999;FA;Base Control Doctrine;Low;M43013;X
205168;Chief of Navy;Julian Montellano Carrasco;1943;1964;1999;LWR;Base Control Doctrine;Medium;M43056;X
205169;Chief of Navy;Alberto Diez de Medina;1946;1964;1999;LWR;Open Seas Doctrine;Medium;M43086;X
205170;Chief of Navy;Daniel Sanchez Bustamante;1933;1964;1999;LE;Base Control Doctrine;High;M43023;X
205171;Chief of Navy;Roberto Hinojosa;1944;1964;1999;LE;Open Seas Doctrine;High;M43024;X
205172;Chief of Air Force;David Toro Ruilova;1933;1964;1999;SD;Air Superiority Doctrine;Medium;M43048;X
205173;Chief of Air Force;Walter Guevera;1937;1964;1999;SD;Naval Aviation Doctrine;High;M43096;X
205174;Chief of Air Force;José Maria Gutierrez;1933;1964;1999;SL;Army Aviation Doctrine;High;M43003;X
205175;Chief of Air Force;Francesco Pierini;1943;1964;1999;SL;Naval Aviation Doctrine;Medium;M43071;X
205176;Chief of Air Force;Julian Montellano Carrasco;1946;1964;1999;SL;Air Superiority Doctrine;Medium;M43056;X
205177;Chief of Air Force;José Santos Quinteros;1933;1964;1999;SC;Army Aviation Doctrine;High;M43005;X
205178;Chief of Air Force;Mario Torres;1944;1964;1999;SC;Vertical Envelopment Doctrine;High;M43014;X
205179;Chief of Air Force;Alberto Ostria Gutierrez;1947;1964;1999;SC;Air Superiority Doctrine;Medium;M43075;X
205180;Chief of Air Force;Jorge Jordan;1940;1964;1999;PA;Carpet Bombing Doctrine;Low;M43020;X
205181;Chief of Air Force;Fabian Vaca Chavez;1933;1964;1999;FA;Naval Aviation Doctrine;Medium;M43082;X
205182;Chief of Air Force;Enrique Baldivieso Aparicio;1943;1964;1999;LWR;Army Aviation Doctrine;Medium;M43067;X
205183;Chief of Air Force;Hector Bilbao Roja;1944;1964;1999;LWR;Army Aviation Doctrine;Medium;M43010;X
205184;Chief of Air Force;Alberto Saralegui Sanchéz;1933;1964;1999;LE;Vertical Envelopment Doctrine;Medium;M43030;X
205185;Head of State;Edwin Möller;1944;1964;1999;PA;Popular Figurehead;High;M43015;X
205186;Chief of Army;Tomas Monje Gutierrez;1944;1964;1999;PA;Armoured Spearhead Doctrine;Very High;M43039;X
205187;Head of State;Enrique Hertzog Garaizabal;1947;1964;1999;SC;Barking Buffoon;High;M43053;X
205188;Head of State;Mamerto U. Harriaque;1949;1964;1999;ML;Autocratic Charmer;High;M43129;X
205189;Head of State;Hugo Ballivián Rojas;1951;1964;1999;SL;Resigned Generalissimo;High;M43077;X
205190;Head of Government;Hernan Silas Zuazo;1952;1964;1999;SD;Ambitious Union Boss;High;M43225;X
205191;Foreign Minister;Nuflo Chavez Ortíz;1952;1964;1999;SD;Iron Fisted Brute;Medium;M43226;X
205192;Head of Government;Hugo Ballivián Rojas;1951;1964;1999;SL;Old General;Very High;M43077;X
205193;Chief of Air Force;Renato Parejas;1914;1933;1999;ML;Army Aviation Doctrine;Very High;unknownminister;X
205194;Chief of Army;Jose Pando;1914;1933;1999;ML;Decisive Battle Doctrine;Very High;2204;X
205195;Chief of Army;Macario Pinilla Vargas;1914;1933;1999;ML;Decisive Battle Doctrine;Very High;2205;X
205196;Chief of Staff;Jose Pando;1914;1933;1999;ML;School of Psychology;Very High;2204;X
205197;Chief of Staff;Macario Pinilla Vargas;1914;1933;1999;ML;School of Defence;Very High;2205;X
205198;Foreign Minister;Alfredo Ascarrunz;1914;1933;1999;SL;Great Compromiser;High;unknownminister;X
205199;Foreign Minister;Victor E. Sanjinés;1915;1933;1999;SL;Great Compromiser;High;unknownminister;X
205200;Foreign Minister;Plácido Sánchez;1916;1933;1999;SL;Ideological Crusader;High;unknownminister;X
205201;Foreign Minister;Julio Zamora;1917;1933;1999;SL;Biased Intellectual;High;unknownminister;X
205202;Foreign Minister;Ricardo Mujía;1918;1933;1999;SL;Ideological Crusader;High;5965;X
205203;Foreign Minister;Darío Gutiérrez;1919;1933;1999;SL;Biased Intellectual;High;unknownminister;X
205204;Foreign Minister;Carlos Gutiérrez;1920;1933;1999;ML;Great Compromiser;High;unknownminister;X
205205;Foreign Minister;Francisco Iraizos;1921;1933;1999;ML;Ideological Crusader;High;unknownminister;X
205206;Foreign Minister;Ricardo Freyre Fernández;1922;1933;1999;ML;Great Compromiser;High;unknownminister;X
205207;Foreign Minister;Eduardo Diez de Medina;1923;1933;1999;ML;General Staffer;High;5966;X
205208;Foreign Minister;Francisco Iraizos;1924;1933;1999;ML;Biased Intellectual;High;unknownminister;X
205209;Head of Government;Ismael Montes;1914;1933;1999;SL;Old General;High;2206;X
205210;Head of Government;José Gutiérrez;1917;1933;1999;SL;Silent Workhorse;High;5967;X
205211;Head of Government;Bautista Saavedra;1920;1933;1999;ML;Silent Workhorse;High;2207;X
205212;Head of State;Ismael Montes;1914;1933;1999;SL;Resigned Generalissimo;High;2206;X
205213;Head of State;José Gutiérrez;1917;1933;1999;SL;Benevolent Gentleman;High;5967;X
205214;Head of State;Bautista Saavedra;1920;1933;1999;ML;Popular Figurehead;High;2207;X
205215;Minister of Security;Abel Iturralde Palacios;1914;1933;1999;SL;Man of the People;High;unknownminister;X
205216;Minister of Security;José Manuel Ramírez;1914;1933;1999;SL;Man of the People;High;unknownminister;X
205217;Head of State;Daniel Salamanca Urey;1931;1935;1999;ML;Stern Imperialist;High;2149;X
205218;Head of Government;Daniel Salamanca Urey;1931;1935;1999;ML;Flamboyant Tough Guy;High;2149;X
