ECU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
190077;Minister of Security;Carlos Guevara;1937;1964;1999;SD;Man of the People;High;M40100;X
190078;Minister of Security;Juan Vicente Trujillo;1941;1964;1999;SD;Efficient Sociopath;High;M40070;X
190079;Minister of Security;José María Velasco Ibarra;1945;1964;1999;SD;Back Stabber;Medium;M40068;X
190080;Minister of Security;Alberto Montalvo Pérez;1937;1964;1999;SL;Back Stabber;Medium;M40103;X
190081;Minister of Security;Gustavo Las Salas;1941;1964;1999;SL;Crime Fighter;Medium;M40104;X
190082;Minister of Security;Antonio Pons Machado;1937;1964;1999;SC;Silent Lawyer;Low;M40105;X
190083;Minister of Security;Carlos Arosemena Tola;1941;1964;1999;SC;Compassionate Gentleman;High;M40038;X
190084;Minister of Security;Rafael Vascoñez;1942;1964;1999;SC;Crime Fighter;Medium;M40077;X
190085;Minister of Security;Isidro Ayora Cueva;1944;1964;1999;SC;Prince of Terror;Medium;M40041;X
190086;Minister of Security;Juan de Diaz Mera;1947;1964;1999;SC;Crooked Kleptocrat;Medium;M40015;X
190087;Minister of Security;Manuel Borrero Gonzalez;1937;1964;1999;PA;Compassionate Gentleman;Medium;M40044;X
190088;Minister of Security;Julio Moreno Peñaherrera;1938;1964;1999;PA;Man of the People;High;M40045;X
190089;Minister of Security;Camillo Ponce Enríquez;1947;1964;1999;SC;Crooked Kleptocrat;High;M40034;X
190090;Head of Military Intelligence;Gustavo Becerra Páz;1937;1964;1999;LWR;Technical Specialist;Medium;M40021;X
190091;Head of Military Intelligence;Nicolas Delgado;1941;1964;1999;LWR;Naval Intelligence Specialist;Low;M40024;X
190092;Head of Military Intelligence;Carlos Mancheno Cajas;1945;1964;1999;SD;Dismal Enigma;Low;M40048;X
190093;Head of Military Intelligence;Alberto Larrea Chiriboaga;1938;1964;1999;SL;Logistics Specialist;Medium;M40003;X
190094;Head of Military Intelligence;Davide Flores;1939;1964;1999;SL;Industrial Specialist;Medium;M40005;X
190095;Head of Military Intelligence;Antonio de Quevado;1941;1964;1999;SL;Technical Specialist;Medium;M40118;X
190096;Head of Military Intelligence;Ramon Baquerizo Davila;1947;1964;1999;SL;Dismal Enigma;Medium;M40119;X
190097;Head of Military Intelligence;Carlos M. Larrea;1937;1964;1999;SC;Naval Intelligence Specialist;Medium;M40042;X
190098;Head of Military Intelligence;Rafael Vascoñez;1940;1964;1999;SC;Technical Specialist;Medium;M40077;X
190099;Head of Military Intelligence;Francisco Guarderas Pérez;1945;1964;1999;SC;Political Specialist;Medium;M40079;X
190100;Head of Military Intelligence;Aurelio Mosquera Narváez;1938;1964;1999;PA;Logistics Specialist;Medium;M40006;X
190101;Head of Military Intelligence;Guillermo Freire Posso;1944;1964;1999;PA;Industrial Specialist;Medium;M40016;X
190102;Head of Military Intelligence;Carlos Mancheno Cajas;1947;1964;1999;PA;Dismal Enigma;Low;M40048;X
190103;Chief of Staff;Luis Larrea Alba;1937;1964;1999;LWR;School of Psychology;Low;M40027;X
190104;Chief of Staff;Julio Salém Gallegos;1944;1964;1999;SD;School of Fire Support;High;M40047;X
190105;Chief of Staff;Gilberto Enriquez Gallo;1938;1964;1999;SL;School of Manoeuvre;Low;M40008;X
190106;Chief of Staff;Ramon Baquerizo Davila;1939;1964;1999;SL;School of Fire Support;Medium;M40119;X
190107;Chief of Staff;Juan de Diaz Mera;1937;1964;1999;SC;School of Psychology;Medium;M40015;X
190108;Chief of Staff;Carlos M. Larrea;1945;1964;1999;SC;School of Fire Support;Medium;M40042;X
190109;Chief of Staff;Hugo Endara Peñaherrera;1940;1964;1999;PA;School of Manoeuvre;Medium;M40019;X
190110;Chief of Staff;Guillermo Freire Posso;1944;1964;1999;PA;School of Mass Combat;Medium;M40016;X
190111;Chief of Staff;Carlos Mancheno Cajas;1947;1964;1999;PA;School of Fire Support;Low;M40048;X
190112;Chief of Army;Neptali Bonofaz Ascázubi;1937;1964;1999;LWR;Guns and Butter Doctrine;Medium;M40028;X
190113;Chief of Army;Ramon Baquerizo Davila;1941;1964;1999;SD;Static Defence Doctrine;Medium;M40139;X
190114;Chief of Army;Carlos Hidalgo Garcia;1945;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M40140;X
190115;Chief of Army;Rodolfo Larrea Alba;1947;1964;1999;SC;Static Defence Doctrine;Low;M40027;X
190116;Chief of Army;Luis Cabrera Sevilla;1940;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M40018;X
190117;Chief of Army;Juan Pablo Martinez Iguarte;1947;1964;1999;PA;Elastic Defence Doctrine;Medium;M40149;X
190118;Chief of Navy;Gustavo Becerra Páz;1937;1964;1999;LWR;Base Control Doctrine;Medium;M40021;X
190119;Chief of Navy;Jorge Escobedo Duarte;1945;1964;1999;SD;Open Seas Doctrine;Medium;M40151;X
190120;Chief of Navy;Hugo Endara Peñaherrera;1941;1964;1999;SL;Indirect Approach Doctrine;Medium;M40019;X
190121;Chief of Navy;Ramon Moran Valverde;1943;1964;1999;SC;Base Control Doctrine;Medium;M40155;X
190122;Chief of Navy;Hugo Endara Peñaherrera;1937;1964;1999;PA;Indirect Approach Doctrine;Medium;M40019;X
190123;Chief of Navy;Jorge Escobedo Duarte;1944;1964;1999;PA;Open Seas Doctrine;Medium;M40151;X
190124;Chief of Air Force;Juan Bayardo Tobar;1937;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M40030;X
190125;Chief of Air Force;Julio Salém Gallegos;1937;1964;1999;SC;Air Superiority Doctrine;High;M40047;X
190126;Chief of Air Force;Ramon Castro Jíjon;1937;1964;1999;PA;Air Superiority Doctrine;Medium;M40020;X
190127;Chief of Army;Uriarte Fanquil del Ponte;1939;1964;1999;SL;Elastic Defence Doctrine;Low;M40142;X
190128;Head of State;Carlos Arroyo del Río;1939;1964;1999;SL;Powerhungry Demagogue;High;M40040;X
190129;Head of Government;Carlos Arroyo del Río;1939;1964;1999;SL;Flamboyant Tough Guy;High;M40040;X
190130;Head of State;Mariano Suárez Veintimilla;1947;1964;1999;SC;Benevolent Gentleman;High;M40168;X
190131;Head of Government;Mariano Suárez Veintimilla;1939;1964;1999;SL;Happy Amateur;High;M40168;X
190132;Foreign Minister;Alberto Larrea Chiriboaga;1933;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M40003;X
190133;Foreign Minister;Julio Topar Donoso;1941;1964;1999;SC;General Staffer;Medium;M40082;X
190134;Foreign Minister;Francisco Guarderas Pérez;1944;1964;1999;SD;Great Compromiser;Medium;M40079;X
190135;Minister of Security;Juan de Diaz Mera;1933;1964;1999;PA;Crooked Kleptocrat;Medium;M40015;X
190136;Head of State;Galo Plaza Lasso;1948;1964;1999;SC;Insignificant Layman;High;M40094;X
190137;Head of Government;Galo Plaza Lasso;1948;1964;1999;SC;Silent Workhorse;High;M40094;X
190138;Chief of Army;Leonidas Plaza Guiterrez;1914;1933;1999;ML;ELASTIC DEFENCE DOCTRINE;Very High;2386;X
190139;Chief of Staff;Leonidas Plaza Guiterrez;1914;1933;1999;ML;SCHOOL OF DEFENCE;Very High;2386;X
190140;Foreign Minister;Carlos M. Tobar Borgoño;1916;1933;1999;SL;BIASED INTELLECTUAL;High;2415;X
190141;Foreign Minister;José Rafael Bustamante;1924;1933;1999;SL;IRON FISTED BRUTE;High;2389;X
190142;Foreign Minister;Luis Napoleón Dillon;1914;1933;1999;ML;GREAT COMPROMISER;High;2385;X
190143;Foreign Minister;Nicolás Clemente Ponce Borja;1920;1933;1999;SL;THE CLOAK N DAGGER SCHEMER;High;2416;X
190144;Foreign Minister;Augusto Aguirre Aparicio;1916;1933;1999;SL;APOLOGETIC CLERK;High;unknownminister;X
190145;Foreign Minister;Carlos Rafael H. Elizalde;1914;1933;1999;ML;IDEOLOGICAL CRUSADER;High;unknownminister;X
190146;Foreign Minister;Leonardo Sotomayor;1924;1933;1999;SL;GENERAL STAFFER;High;unknownminister;X
190147;Head of Government;Gonzalo Segundo Córdova;1924;1933;1999;SL;Political Protege;High;2417;X
190148;Head of Government;Leonidas Plaza Gutiérrez;1912;1933;1999;ML;Corporate Suit;High;2386;X
190149;Head of Government;Alfredo Baquerizo Moreno;1912;1933;1999;SL;Silent Workhorse;High;2387;X
190150;Head of Government;José Luis Tamayo;1920;1933;1999;SL;Happy Amateur;High;2388;X
190151;Head of State;Gonzalo Segundo Córdova;1924;1933;1999;SL;powerhungry demagogue;High;2417;X
190152;Head of State;Leonidas Plaza Gutiérrez;1912;1933;1999;ML;powerhungry demagogue;High;2386;X
190153;Head of State;Alfredo Baquerizo Moreno;1912;1933;1999;SL;Autocratic Charmer;High;2387;X
190154;Head of State;José Luis Tamayo;1920;1933;1999;SL;Popular Figurehead;High;2388;X
190155;Minister of Security;Pío Jaramillo Alvarado;1924;1933;1999;SL;BACK STABBER;High;unknownminister;X
190156;Head of State;Abelardo Montalvo;1933;1934;1999;ML;Popular Figurehead;High;3986;X
190157;Head of Government;Abelardo Montalvo;1933;1934;1999;ML;Happy Amateur;High;3986;X
