VIE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
790026;Minister of Armament;Le Van Hoac;1933;1964;1999;PA;Theoretical Scientist;Medium;M542027;X
790027;Minister of Armament;Duong Thieu Tuoc;1941;1964;1999;PA;Submarine Proponent;Medium;M542028;X
790028;Minister of Armament;Pham Duy Thon;1943;1964;1999;PA;Resource Industrialist;Medium;M542029;X
790029;Minister of Armament;Le Duan;1933;1964;1999;LE;Military Entrepreneur;Medium;M542030;X
790030;Minister of Security;Pierre Louis-Dreyfus;1942;1964;1999;SL;Compassionate Gentleman;Medium;M542031;X
790031;Minister of Security;Tran Gia Thoai;1943;1964;1999;SL;Efficient Sociopath;Medium;M542032;X
790032;Minister of Security;Ngo Dinh Nhu;1933;1964;1999;PA;Prince of Terror;Medium;M542033;X
790033;Minister of Security;Duong Van Minh;1943;1964;1999;PA;Back Stabber;Medium;6389;X
790034;Minister of Security;The Lu;1933;1964;1999;LE;Silent Lawyer;Medium;M542035;X
790035;Head of Military Intelligence;Emilé Bollaert;1941;1964;1999;SL;Political Specialist;Medium;M542017;X
790036;Head of Military Intelligence;Pierre Iehlé;1943;1964;1999;SL;Naval Intelligence Specialist;Medium;M542037;X
790037;Head of Military Intelligence;Pham Toc Quia;1933;1964;1999;PA;Dismal Enigma;Medium;M542038;X
790038;Head of Military Intelligence;Phan Huy Quat;1933;1964;1999;LE;Political Specialist;Medium;M542039;X
790039;Head of Military Intelligence;Le Thanh;1941;1964;1999;LE;Industrial Specialist;Medium;M542040;X
790040;Chief of Staff;Leonce Jore;1940;1964;1999;SL;School of Fire Support;Medium;M542021;X
790041;Chief of Staff;Le Quan;1945;1964;1999;SL;School of Mass Combat;Medium;M542042;X
790042;Chief of Staff;Nguyen Huu Coo;1933;1964;1999;PA;School of Defence;Medium;M542043;X
790043;Chief of Staff;Vo Nguyen Giap;1933;1964;1999;LE;School of Psychology;Medium;M542044;X
790044;Chief of Army;Jean Decoux;1941;1964;1999;SL;Decisive Battle Doctrine;Medium;M542006;X
790045;Chief of Army;Duong Van Minh;1945;1964;1999;SL;Armoured Spearhead Doctrine;Medium;6389;X
790046;Chief of Army;Ho Chi Minh;1933;1964;1999;LE;Guns and Butter Doctrine;Medium;M542047;X
790047;Chief of Army;Vo Nguyen Giap;1942;1964;1999;LE;Elastic Defence Doctrine;Medium;M542048;X
790048;Chief of Navy;Pierre Iehlé;1942;1964;1999;SL;Base Control Doctrine;Medium;M542037;X
790049;Chief of Navy;Georges Thierry d'Argenlieu;1944;1964;1999;SL;Open Seas Doctrine;Medium;L24173;X
790050;Chief of Navy;Ho Tan Quyen;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M542051;X
790051;Chief of Navy;Thrang Tun Doc;1933;1964;1999;LE;Power Projection Doctrine;Medium;M542052;X
790052;Chief of Air Force;Michel Boudier;1942;1964;1999;SL;Naval Aviation Doctrine;Medium;M542053;X
790053;Chief of Air Force;Frederic Le Langé;1933;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M542054;X
790054;Chief of Air Force;Nguyen Huu Tho;1933;1964;1999;LE;Air Superiority Doctrine;Medium;M542055;X
790055;Head of State;H.M. Duy Tan;1914;1933;1999;PA;Popular Figurehead;Very high;6383;X
790056;Head of Government;Truong Nhu Cuong;1914;1933;1999;PA;Flamboyant Tough Guy;Medium;6384;X
790057;Foreign Minister;Ho Dac Trung;1914;1933;1999;PA;Biased Intellectual;Medium;M542005;X
790058;Minister of Armament;Hoang Cao Khai;1914;1933;1999;PA;Military Entrepreneur;Medium;6385;X
790059;Minister of Security;Huynh Con;1914;1933;1999;PA;Compassionate Gentleman;Medium;6386;X
790060;Head of Military Intelligence;Hoang Cao Khai;1914;1933;1999;PA;Political Specialist;Medium;6385;X
790061;Chief of Staff;Hoang Cao Khai;1914;1933;1999;PA;School of Psychology;Medium;6385;X
790062;Chief of Army;H.M. Duy Tan;1914;1933;1999;PA;Guns and Butter Doctrine;Very high;6383;X
790063;Chief of Navy;H.M. Duy Tan;1914;1933;1999;PA;Base Control Doctrine;Very high;6383;X
790064;Chief of Air Force;H.M. Duy Tan;1914;1933;1999;PA;Army Aviation Doctrine;Very high;6383;X
790065;Head of State;H.M. Khai Dinh;1916;1933;1999;PA;Autocratic Charmer;Very high;6387;X
790066;Head of State;H.I.H. Cuong De;1922;1933;1999;FA;Stern Imperialist;High;6388;X
790067;Head of State;Ngo Dinh Diem;1955;1964;1999;PA;Autocratic Charmer;Medium;M542018;X
790068;Head of State;Duong Van Minh;1963;1970;1999;PA;Resigned Generalissimo;Medium;6389;X
790069;Head of State;Nguyen Khanh;1964;1970;1999;PA;Resigned Generalissimo;Medium;6390;X
790070;Head of State;Tran Thien Khiem;1964;1970;1999;SC;Resigned Generalissimo;Medium;6391;X
790071;Head of State;Phan Khac Suu;1964;1970;1999;SC;Weary Stiffneck;Medium;6392;X
790072;Head of Government;H.I.H. Cuong De;1922;1933;1999;FA;Silent Workhorse;Medium;6388;X
790073;Head of Government;Phan Boi Chau;1922;1933;1999;SC;Naive Optimist;Medium;6393;X
790074;Head of Government;Nguyen Huu Bai;1923;1933;1999;PA;Flamboyant Tough Guy;Medium;6394;X
790075;Head of Government;Ton That Han;1925;1933;1999;PA;Silent Workhorse;Medium;6395;X
790076;Head of Government;Pham Quynh;1932;1933;1999;PA;Backroom Backstabber;Medium;6396;X
790077;Head of Government;Dang Nguyen Hung;1933;1964;1999;FA;Corporate Suit;Medium;unknownminister;X
790078;Head of Government;Tran Quang Vinh;1933;1964;1999;FA;Backroom Backstabber;Medium;6397;X
790079;Head of Government;Tran Trong Kim;1945;1964;1999;PA;Naive Optimist;Medium;6398;X
790080;Head of Government;Nguyen Van Thinh;1946;1964;1999;SL;Naive Optimist;Medium;M542025;X
790081;Head of Government;Le Van Hoach;1946;1964;1999;SL;Naive Optimist;Medium;6399;X
790082;Head of Government;Nguyen Van Xuan;1947;1964;1999;SL;Old General;Medium;6400;X
790083;Head of Government;H.M. Bao Dai;1949;1964;1999;SL;Flamboyant Tough Guy;Medium;M542001;X
790084;Head of Government;Nguyen Phan Long;1950;1964;1999;SL;Naive Optimist;Medium;6401;X
790085;Head of Government;Tran Van Huu;1950;1964;1999;SL;Flamboyant Tough Guy;Medium;6402;X
790086;Head of Government;Nguyen Van Tam;1952;1964;1999;SL;Backroom Backstabber;Medium;M542004;X
790087;Head of Government;Buu Loc;1954;1964;1999;SL;Political Protege;Medium;6403;X
790088;Head of Government;Ngo Dinh Nhu;1955;1964;1999;PA;Political Protege;High;M542033;X
790089;Head of Government;Nguyen Ngoc Tho;1963;1970;1999;SC;Flamboyant Tough Guy;Medium;7984;X
790090;Head of Government;Nguyen Khanh;1964;1970;1999;PA;Backroom Backstabber;Medium;6390;X
790091;Head of Government;Nguyen Xuan Oanh;1964;1970;1999;SC;Corporate Suit;Medium;6404;X
790092;Head of Government;Tran Van Huong;1964;1970;1999;SC;Flamboyant Tough Guy;Medium;6405;X
790093;Foreign Minister;Huynh Con;1914;1933;1999;PA;Biased Intellectual;Medium;6386;X
790094;Foreign Minister;Nguyen Khac Niem;1920;1933;1999;PA;Biased Intellectual;Medium;7980;X
790095;Foreign Minister;Phan Boi Chau;1922;1933;1999;SC;Biased Intellectual;Medium;6393;X
790096;Foreign Minister;Thai Van Toan;1922;1933;1999;PA;Biased Intellectual;Medium;6406;X
790097;Foreign Minister;Nguyen Dinh Hoe;1923;1933;1999;PA;Biased Intellectual;Medium;unknownminister;X
790098;Foreign Minister;Tran Van An;1933;1964;1999;FA;Apologetic Clerk;Medium;6407;X
790099;Foreign Minister;Nguyen Van Xuan;1945;1964;1999;SL;General Staffer;High;6400;X
790100;Foreign Minister;Tran Van Chuong;1945;1964;1999;SL;Great Compromiser;Medium;6408;X
790101;Foreign Minister;Nguyen Van Long;1949;1964;1999;SC;Biased Intellectual;Medium;unknownminister;X
790102;Foreign Minister;Nguyen Phan Long;1950;1964;1999;SL;Biased Intellectual;Medium;6401;X
790103;Foreign Minister;Tran Van Huu;1950;1964;1999;PA;Biased Intellectual;Medium;6402;X
790104;Foreign Minister;Truong Vinh Tong;1952;1964;1999;SC;The Cloak N Dagger Schemer;Medium;unknownminister;X
790105;Foreign Minister;Nguyen Quoc Dinh;1954;1964;1999;SC;The Cloak N Dagger Schemer;Medium;unknownminister;X
790106;Foreign Minister;Tran Van Do;1954;1964;1999;SC;Great Compromiser;Medium;7981;X
790107;Foreign Minister;Ngo Dinh Luyen;1955;1964;1999;PA;Ideological Crusader;High;6409;X
790108;Foreign Minister;Vu Van Mau;1955;1964;1999;SC;Biased Intellectual;Medium;6410;X
790109;Foreign Minister;Pham Dang Lam;1963;1970;1999;PA;Apologetic Clerk;Medium;6411;X
790110;Foreign Minister;Phan Huy Quat;1964;1970;1999;SC;Ideological Crusader;Medium;M542039;X
790111;Minister of Armament;Nguyen Huu Bai;1914;1933;1999;PA;Administrative Genius;Medium;6394;X
790112;Minister of Armament;Huynh Con;1914;1933;1999;PA;Resource Industrialist;Medium;6386;X
790113;Minister of Armament;Phan Boi Chau;1922;1933;1999;SC;Theoretical Scientist;Medium;6393;X
790114;Minister of Armament;H.I.H. Cuong De;1922;1933;1999;FA;Laissez-faire Capitalist;Medium;6388;X
790115;Minister of Armament;Pham Quynh;1929;1964;1999;PA;Laissez-faire Capitalist;Medium;6396;X
790116;Minister of Armament;Thai Van Toan;1929;1964;1999;PA;Administrative Genius;Medium;6406;X
790117;Minister of Armament;Nguyen Van Tam;1930;1964;1999;SL;Resource Industrialist;Medium;M542004;X
790118;Minister of Armament;Ho Dac Khai;1933;1964;1999;PA;Resource Industrialist;Medium;6412;X
790119;Minister of Armament;Tran Huu Cong;1933;1964;1999;FA;Administrative Genius;Medium;unknownminister;X
790120;Minister of Armament;Hoang Nam Hung;1933;1964;1999;FA;Theoretical Scientist;Medium;7983;X
790121;Minister of Armament;Hoang Xuan Han;1945;1964;1999;SL;Theoretical Scientist;Medium;6413;X
790122;Minister of Armament;Nguyen Van Hinh;1945;1964;1999;SL;Air to Ground Proponent;Medium;6414;X
790123;Minister of Armament;Phan Anh;1945;1964;1999;SL;Administrative Genius;Medium;6415;X
790124;Minister of Armament;Nguyen Van Xuan;1946;1964;1999;SL;Infantry Proponent;Medium;6400;X
790125;Minister of Armament;Tran Quang Vinh;1948;1964;1999;PA;Military Entrepreneur;Medium;6397;X
790126;Minister of Armament;Tran Van Huu;1950;1964;1999;PA;Administrative Genius;Medium;6402;X
790127;Minister of Armament;Nguyen Van Vy;1952;1964;1999;SL;Military Entrepreneur;Medium;6416;X
790128;Minister of Armament;Tran Trung Dung;1954;1964;1999;SC;Theoretical Scientist;Medium;6417;X
790129;Minister of Armament;Phan Huy Quat;1954;1964;1999;SC;Theoretical Scientist;Medium;M542039;X
790130;Minister of Armament;Ngo Dinh Diem;1954;1964;1999;PA;Resource Industrialist;Medium;M542018;X
790131;Minister of Armament;Ngo Dinh Can;1955;1964;1999;PA;Corrupt Kleptocrat;High;6418;X
790132;Minister of Armament;Duong Van Minh;1956;1964;1999;PA;Military Entrepreneur;Medium;6389;X
790133;Minister of Armament;Nguyen Khanh;1959;1964;1999;PA;Infantry Proponent;Medium;6390;X
790134;Minister of Armament;Tran Van Don;1963;1970;1999;PA;Corrupt Kleptocrat;Medium;6419;X
790135;Minister of Armament;Tran Thien Khiem;1964;1970;1999;SC;Military Entrepreneur;Medium;6391;X
790136;Minister of Armament;Nguyen Van Thieu;1964;1970;1999;PA;Corrupt Kleptocrat;Medium;6432;X
790137;Minister of Security;Truong Nhu Cuong;1914;1933;1999;PA;Prince of Terror;Medium;6384;X
790138;Minister of Security;Nguyen Huu Bai;1917;1933;1999;PA;Man of the People;Medium;6394;X
790139;Minister of Security;Ton That Han;1925;1933;1999;PA;Compassionate Gentleman;Medium;6395;X
790140;Minister of Security;Thai Van Toan;1933;1933;1999;PA;Compassionate Gentleman;Medium;6406;X
790141;Minister of Security;Bui Dang Doan;1933;1933;1999;PA;Silent Lawyer;Medium;6437;X
790142;Minister of Security;Ngo Dinh Diem;1933;1933;1999;PA;Back Stabber;Medium;M542018;X
790143;Minister of Security;Nguyen Hai Than;1933;1964;1999;FA;Efficient Sociopath;Medium;unknownminister;X
790144;Minister of Security;Hoang Nam Hung;1933;1964;1999;FA;Man of the People;Medium;7983;X
790145;Minister of Security;Ho Ngoc Lam;1933;1964;1999;FA;Back Stabber;Medium;unknownminister;X
790146;Minister of Security;Pham Quynh;1942;1964;1999;PA;Man of the People;Medium;6396;X
790147;Minister of Security;Tran Dinh Nam;1945;1964;1999;SL;Efficient Sociopath;Medium;unknownminister;X
790148;Minister of Security;Phan Anh;1945;1964;1999;SL;Silent Lawyer;Medium;6415;X
790149;Minister of Security;Nguyen Van Tam;1946;1964;1999;SL;Prince of Terror;Medium;M542004;X
790150;Minister of Security;Nguyen Van Thinh;1946;1964;1999;SL;Compassionate Gentleman;Medium;M542025;X
790151;Minister of Security;Tran Van Don;1951;1964;1999;PA;Prince of Terror;Medium;6419;X
790152;Minister of Security;Nguyen Van Vy;1954;1964;1999;SL;Compassionate Gentleman;Medium;6416;X
790153;Minister of Security;Nguyen Ngoc Tho;1954;1964;1999;SC;Efficient Sociopath;Medium;7984;X
790154;Minister of Security;Buu Loc;1954;1964;1999;SL;Prince of Terror;Medium;6403;X
790155;Minister of Security;Nguyen Ton Hoan;1954;1964;1999;SC;Efficient Sociopath;Medium;6420;X
790156;Minister of Security;Pham Dang Canh;1955;1964;1999;SC;Compassionate Gentleman;Medium;6421;X
790157;Minister of Security;Tran Le Xuan ;1955;1964;1999;PA;Efficient Sociopath;High;6436;X
790158;Minister of Security;Nguyen Van Y;1955;1964;1999;PA;Crime Fighter;Medium;6423;X
790159;Minister of Security;Nguyen Van Phuoc;1963;1970;1999;PA;Efficient Sociopath;Medium;6424;X
790160;Minister of Security;Linh Quang Vien;1964;1970;1999;PA;Prince of Terror;Medium;6425;X
790161;Head of Military Intelligence;Pham Quynh;1916;1933;1999;PA;Technical Specialist;Medium;6396;X
790162;Head of Military Intelligence;Pham Lieu;1929;1964;1999;PA;Logistics Specialist;Medium;7982;X
790163;Head of Military Intelligence;Tran Trung Lap;1933;1964;1999;FA;Logistics Specialist;Medium;unknownminister;X
790164;Head of Military Intelligence;Truong Anh Man;1933;1964;1999;FA;Political Specialist;Medium;unknownminister;X
790165;Head of Military Intelligence;Ngo Dinh Nhu;1954;1964;1999;PA;Political Specialist;Medium;M542033;X
790166;Head of Military Intelligence;Pham Dang Canh;1954;1964;1999;SC;Dismal Enigma;Medium;6421;X
790167;Head of Military Intelligence;Le Van Ty;1955;1964;1999;PA;Dismal Enigma;Medium;6422;X
790168;Head of Military Intelligence;Nguyen Van Y;1955;1964;1999;PA;Industrial Specialist;Medium;6423;X
790169;Head of Military Intelligence;Nguyen Van Phuoc;1955;1964;1999;PA;Political Specialist;Medium;6424;X
790170;Head of Military Intelligence;Ngo Dinh Can;1957;1964;1999;PA;Political Specialist;Medium;6418;X
790171;Head of Military Intelligence;Le Quang Tung;1958;1964;1999;PA;Political Specialist;Medium;6426;X
790172;Head of Military Intelligence;Tran Kim Tuyen;1956;1964;1999;SC;Political Specialist;Medium;6427;X
790173;Head of Military Intelligence;Mai Huu Xuan;1961;1964;1999;PA;Political Specialist;Medium;6428;X
790174;Head of Military Intelligence;Tran Van Ho;1964;1970;1999;PA;Technical Specialist;Medium;6429;X
790175;Chief of Staff;H.I.H. Cuong De;1922;1964;1999;FA;School of Psychology;Medium;6388;X
790176;Chief of Staff;Pham Lieu;1929;1964;1999;PA;School of Psychology;Medium;7982;X
790177;Chief of Staff;Tran Trung Lap;1933;1964;1999;FA;School of Psychology;Medium;unknownminister;X
790178;Chief of Staff;Tran Quang Vinh;1933;1964;1999;FA;School of Psychology;Medium;6397;X
790179;Chief of Staff;Nguyen Van Thanh;1943;1964;1999;FA;School of Psychology;Medium;6430;X
790180;Chief of Staff;Nguyen Van Hinh;1945;1964;1999;SL;School of Defence;Medium;6414;X
790181;Chief of Staff;Tran Van Don;1953;1964;1999;PA;School of Psychology;Medium;6419;X
790182;Chief of Staff;Tran Van Minh;1953;1964;1999;PA;School of Fire Support;Medium;6431;X
790183;Chief of Staff;Pham Dang Canh;1954;1964;1999;SC;School of Manoeuvre;Medium;6421;X
790184;Chief of Staff;Le Van Ty;1954;1964;1999;PA;School of Defence;Medium;6422;X
790185;Chief of Staff;Nguyen Van Vy;1954;1964;1999;SL;School of Defence;Medium;6416;X
790186;Chief of Staff;Tran Thien Khiem;1962;1970;1999;SC;School of Psychology;Medium;6391;X
790187;Chief of Staff;Nguyen Khanh;1964;1970;1999;PA;School of Psychology;Medium;6390;X
790189;Chief of Staff;Nguyen Van Thieu;1964;1970;1999;PA;School of Defence;Medium;6432;X
790190;Chief of Army;H.M. Khai Dinh;1916;1933;1999;PA;Guns and Butter Doctrine;Very high;6387;X
790191;Chief of Army;H.I.H. Cuong De;1922;1933;1999;FA;Guns and Butter Doctrine;Medium;6388;X
790192;Chief of Army;H.M. Bao Dai;1925;1946;1999;PA;Guns and Butter Doctrine;Very high;M542001;X
790193;Chief of Army;Tran Trung Lap;1933;1964;1999;FA;Guns and Butter Doctrine;Medium;unknownminister;X
790194;Chief of Army;Tran Quang Vinh;1933;1964;1999;FA;Guns and Butter Doctrine;Medium;6397;X
790195;Chief of Army;Nguyen Van Thanh;1943;1964;1999;FA;Static defence Doctrine;Medium;6430;X
790196;Chief of Army;Nguyen Van Hinh;1945;1964;1999;SL;Static defence Doctrine;Medium;6414;X
790197;Chief of Army;Nguyen Van Vy;1954;1964;1999;SL;Guns and Butter Doctrine;Medium;6416;X
790198;Chief of Army;Le Van Ty;1954;1964;1999;PA;Static defence Doctrine;Medium;6422;X
790199;Chief of Army;Pham Dang Canh;1954;1964;1999;SC;Armoured Spearhead Doctrine;Medium;6421;X
790201;Chief of Army;Tran Van Don;1962;1970;1999;PA;Static defence Doctrine;Medium;6419;X
790202;Chief of Army;Nguyen Khanh;1964;1970;1999;PA;Decisive Battle Doctrine;Medium;6390;X
790203;Chief of Army;Tran Thien Khiem;1964;1970;1999;SC;Guns and Butter Doctrine;Medium;6391;X
790204;Chief of Army;Tran Van Minh;1964;1970;1999;PA;Guns and Butter Doctrine;Medium;6431;X
790205;Chief of Navy;H.M. Khai Dinh;1916;1933;1999;PA;Base Control Doctrine;Very high;6387;X
790206;Chief of Navy;H.I.H. Cuong De;1922;1933;1999;FA;Base Control Doctrine;Medium;6388;X
790207;Chief of Navy;H.M. Bao Dai;1925;1946;1999;PA;Base Control Doctrine;Very high;M542001;X
790208;Chief of Navy;Nguyen Van Vy;1954;1964;1999;SL;Base Control Doctrine;Medium;6416;X
790209;Chief of Navy;Le Quang My;1955;1964;1999;PA;Open Seas Doctrine;Medium;6433;X
790210;Chief of Navy;Tran Van Chon;1957;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;6434;X
790211;Chief of Navy;Chung Tan Cang;1963;1970;1999;PA;Base Control Doctrine;Medium;6435;X
790212;Chief of Air Force;H.M. Khai Dinh;1916;1933;1999;PA;Army Aviation Doctrine;Very high;6387;X
790213;Chief of Air Force;H.I.H. Cuong De;1922;1933;1999;FA;Army Aviation Doctrine;Medium;6388;X
790214;Chief of Air Force;H.M. Bao Dai;1925;1946;1999;PA;Army Aviation Doctrine;Very high;M542001;X
790215;Chief of Air Force;Nguyen Van Hinh;1945;1964;1999;SL;Vertical Envelopment Doctrine;Medium;6414;X
790216;Chief of Air Force;Nguyen Khanh;1955;1964;1999;PA;Army Aviation Doctrine;Medium;6390;X
790217;Chief of Air Force;Tran Van Ho;1956;1964;1999;PA;Air Superiority Doctrine;Medium;6429;X
790218;Chief of Air Force;Nguyen Xuan Vinh;1957;1964;1999;PA;Army Aviation Doctrine;Medium;6438;X
790219;Chief of Air Force;Nguyen Cao Ky;1959;1964;1999;SC;Carpet Bombing Doctrine;Medium;6439;X
790220;Chief of Air Force;Huynh Huu Hien;1962;1970;1999;PA;Army Aviation Doctrine;Medium;6440;X
790221;Minister of Armament;Pham Lieu;1929;1964;1999;PA;Military Entrepreneur;Medium;7982;X
790222;Head of Government;Ngo Dinh Diem;1933;1964;1999;FA;Flamboyant Tough Guy;High;M542018;X
790223;Foreign Minister;Nguyen Van Xuan;1933;1964;1999;FA;Ideological Crusader;High;M542023;X
790224;Minister of Armament;Le Van Hoac;1933;1964;1999;FA;Theoretical Scientist;Medium;M542027;X
790225;Minister of Security;Ngo Dinh Nhu;1933;1964;1999;FA;Silent Lawyer;Medium;M542033;X
790226;Head of Military Intelligence;Pham Toc Quia;1933;1964;1999;FA;Industrial Specialist;Medium;M542038;X
790227;Chief of Staff;Nguyen Huu Coo;1933;1964;1999;FA;School of Manoeuvre;Medium;M542043;X
790228;Chief of Army;Duong Van Minh;1933;1964;1999;FA;Decisive Battle Doctrine;Medium;M542046;X
790229;Chief of Navy;Ho Tan Quyen;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M542051;X
790230;Chief of Air Force;Duong Van Minh;1933;1964;1999;FA;Naval Aviation Doctrine;Medium;M542046;X
