DEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
75090;Chief of Air Force;Jens Otto Krag;1942;1964;1999;SD;Vertical Envelopment Doctrine;Very High;M16128;X
75091;Chief of Air Force;Kaj Birksted;1945;1964;1999;SD;Air Superiority Doctrine;Very High;M16129;X
75092;Chief of Air Force;Svend Asbjørn Holten;1942;1964;1999;ML;Carpet Bombing Doctrine;High;M16081;X
75093;Chief of Air Force;Fritz Clausen;1943;1964;1999;PA;Naval Aviation Doctrine;Very High;M16011;X
75094;Chief of Air Force;Aksel Larsen;1938;1964;1999;ST;Air Superiority Doctrine;Very High;M16021;X
75095;Head of State;Christian X;1933;1964;1999;ML;Weary Stiffneck;High;M16001;X
75096;Head of State;Frederik IX;1947;1964;1999;SD;Autocratic Charmer;High;M16138;X
75097;Head of State;Frederik IX;1947;1964;1999;ML;Autocratic Charmer;High;M16138;X
75098;Head of State;Knud Bach;1945;1964;1999;FA;Pig-headed Isolationist;High;M16015;X
75099;Head of Government;Knud Bach;1945;1964;1999;FA;Smiling Oilman;High;M16015;X
75100;Chief of Air Force;Poul Sommer;1945;1964;1999;FA;Army Aviation Doctrine;Very Low;M16016;X
75101;Head of Government;Hans Hedtoft;1947;1964;1999;SD;Happy Amateur;High;2389;X
75102;Foreign Minister;Gustav Rasmussen;1947;1964;1999;SD;Biased Intellectual;Medium;M16053;X
75103;Minister of Armament;H.C. Hansen;1947;1964;1999;SD;Submarine Proponent;High;M16091;X
75104;Minister of Security;Alsing Andersen;1947;1964;1999;SD;Compassionate Gentleman;High;M16004;X
75105;Head of Government;Erik Eriksen;1950;1964;1999;ML;Naive Optimist;High;M16147;X
75106;Minister of Armament;Thorkild Kristensen;1950;1964;1999;ML;Administrative Genius;High;M16148;X
75107;Minister of Security;Aksel Møller;1950;1964;1999;SC;Silent Lawyer;High;M16149;X
75108;Foreign Minister;H.C. Hansen;1953;1964;1999;SD;Ideological Crusader;Medium;M16091;X
75109;Minister of Armament;Johannes Kjærbøll;1953;1964;1999;SD;Military Entrepreneur;High;M16151;X
75110;Chief of Navy;Otto Kofoed-Hansen;1914;1933;1999;SL;Decisive Naval Battle Doctrine;High;2390;X
75111;Chief of Navy;Henri Wenck;1918;1933;1999;SL;Open Seas Doctrine;High;2391;X
75112;Foreign Minister;Tage Reedtz-Thott;1914;1933;1999;SC;Great Compromiser;high;2392;X
75113;Foreign Minister;Hannibal Sehested;1914;1933;1999;SC;Apologetic Clerk;high;2393;X
75114;Foreign Minister;Johan Deuntzer;1914;1933;1999;SL;Biased Intellectual;high;2394;X
75115;Foreign Minister;Frederik Raben-Levetzau;1914;1933;1999;SL;Apologetic Clerk;high;3739;X
75116;Foreign Minister;Carl Ahlefeldt-Laurvig;1914;1933;1999;SL;Great Compromiser;high;2395;X
75117;Foreign Minister;Erik Scavenius;1914;1933;1999;SL;Ideological Crusader;High;2396;X
75118;Foreign Minister;Henri Konow;1920;1933;1999;SC;General Staffer;high;2397;X
75119;Foreign Minister;O.C. Scavenius;1920;1933;1999;SC;Apologetic Clerk;high;unknownminister;X
75120;Foreign Minister;Harald Scavenius;1920;1933;1999;SL;Apologetic Clerk;high;3740;X
75121;Foreign Minister;Christian Cold;1922;1933;1999;SL;General Staffer;high;3741;X
75122;Foreign Minister;Carl Moltke;1924;1933;1999;SL;Biased Intellectual;high;unknownminister;X
75123;Head of Government;Tage Reedtz-Thott;1914;1933;1999;SC;Naive Optimist;high;2392;X
75124;Head of Government;Hannibal Sehested;1914;1933;1999;SC;Happy Amateur;high;2393;X
75125;Head of Government;Johan Deuntzer;1914;1933;1999;SL;Happy Amateur;high;2394;X
75126;Head of Government;Jens Christensen;1914;1933;1999;SL;Flamboyant Tough Guy;high;2398;X
75127;Head of Government;Niels Nergaard;1914;1933;1999;SL;Corporate Suit;high;2399;X
75128;Head of Government;Carl Zahle;1913;1933;1999;SL;Ambitious Union Boss;high;2400;X
75129;Head of Government;Ludvig Holstein-Ledreborg;1914;1933;1999;SL;Flamboyant Tough Guy;high;2401;X
75130;Head of Government;Klaus Berntsen;1910;1933;1999;SL;Flamboyant Tough Guy;high;2402;X
75131;Head of Government;Otto Liebe;1920;1933;1999;SC;Political Protege;high;2403;X
75132;Head of Government;Michael Friis;1920;1933;1999;SC;Silent Workhorse;high;2404;X
75133;Head of Government;Thorvald Stauning;1924;1929;1999;SD;Ambitious Union Boss;high;2405;X
75134;Head of State;Christian X;1912;1933;1999;SL;benevolent gentleman;high;2406;X
75135;Minister of Armament;Christian Lüttichau;1914;1933;1999;SC;Resource Industrialist;High;2407;X
75136;Minister of Armament;Christopher Friedenreich Hage;1914;1933;1999;SL;Laissez-Faire Capitalist;High;2408;X
75137;Minister of Armament;Vilhelm Lassen;1914;1933;1999;SL;Resource Industrialist;High;3742;X
75138;Minister of Armament;Jens Christensen;1914;1933;1999;SL;Resource Industrialist;High;2398;X
75139;Minister of Armament;Niels Nergaard;1914;1933;1999;SL;Laissez-Faire Capitalist;High;2399;X
75140;Minister of Armament;Charles Brun;1914;1933;1999;SL;Resource Industrialist;High;3743;X
75141;Minister of Armament;Edvard Brandes;1914;1933;1999;SL;Administrative Genius;Low;2409;X
75142;Minister of Armament;Hans Hjerl Hansen;1920;1933;1999;SC;Laissez-Faire Capitalist;High;2410;X
75143;Minister of Armament;A.M. Koefoed;1920;1933;1999;SC;Resource Industrialist;High;unknownminister;X
75144;Minister of Armament;Carl Bramsnæs;1924;1933;1999;SD;Administrative Genius;High;M16069;X
75145;Minister of Armament;Thorvald Stauning;1924;1933;1999;SD;Resource Industrialist;High;2405;X
75146;Minister of Security;Carl Goos;1914;1933;1999;SC;Crime Fighter;High;2411;X
75147;Minister of Security;Peter Alberti;1914;1933;1999;SL;Prince of Terror;High;2412;X
75148;Minister of Security;Svend Høgsbro;1914;1933;1999;SL;Man of the People;High;3744;X
75149;Minister of Security;Carl Zahle;1914;1933;1999;SL;Silent Lawyer;High;2400;X
75150;Minister of Security;Fritz Bülow;1914;1933;1999;SL;Crime Fighter;High;unknownminister;X
75151;Minister of Security;Otto Liebe;1920;1933;1999;SC;Crime Fighter;High;2403;X
75152;Minister of Security;Kristian Sindballe;1920;1933;1999;SC;Silent Lawyer;High;2413;X
75153;Minister of Security;Frederik Schrøder;1920;1933;1999;SC;Compassionate Gentleman;High;unknownminister;X
75154;Minister of Security;Svenning Rytter;1920;1933;1999;SL;Crime Fighter;High;3745;X
75155;Minister of Security;Karl Steincke;1924;1933;1999;SD;Man of the People;High;2414;X
75156;Minister of Security;Ove Rode;1933;1964;1999;SD;Silent Lawyer;High;8029;X
75157;Head of Military Intelligence;Valdemar Henrik Mensen;1913;1933;1999;SD;Political Specialist;High;unknownminister;X
75158;Chief of Army;Christian X;1913;1933;1999;SD;Static Defence Doctrine;High;M16001;X
75159;Minister of Armament;Peter Munch;1913;1920;1999;SD;Laissez-Faire Capitalist;High;9773;X
75160;Chief of Staff;Palle Berthelsen;1912;1920;1921;SD;School of Defence;High;8030;X
75161;Chief of Air Force;Christian X;1913;1933;1999;SD;Army Aviation Doctrine;Very High;M16001;X
75162;Head of Military Intelligence;Anders Gjedde Nyholm;1911;1933;1999;SL;Logistics Specialist;Very High;8031;X
75163;Chief of Air Force;Asger Grandjean;1925;1941;1949;SL;naval aviation doctrine;High;9774;X
75164;Chief of Air Force;Johan Peter Koch;1914;1933;1999;SD;Air Superiority Doctrine;Very High;9867;X
75165;Head of Military Intelligence;Anders Gjedde Nyholm;1911;1933;1999;SL;Logistics Specialist;Very High;8031;X
75166;Chief of Staff;Vilhelm Gørtz;1909;1919;1919;SD;School of Fire Support;Very High;9856;X
75167;Chief of Staff;August Tuxen;1911;1929;1929;SD;School of Psychology;Very High;9862;X
