AST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
225149;Head of Military Intelligence;Neil O'Sullivan;1956;1964;1999;SC;Industrial Specialist;High;M56177;X
225150;Head of Military Intelligence;Garfield E. Barwick;1958;1964;1999;SC;Political Specialist;High;M56168;X
225151;Head of Military Intelligence;Lionel K. Murphy;1961;1964;1999;SD;Technical Specialist;High;M56179;X
225152;Chief of Army;Joseph Gordon;1914;1933;1999;ML;Decisive Battle Doctrine;Low;2179;X
225153;Chief of Army;Gordon Legge;1914;1933;1999;ML;elastic defence doctrine;Low;2180;X
225154;Chief of Army;Godfrey Irving;1915;1933;1999;ML;Guns and Butter Doctrine;Low;9743;X
225155;Chief of Army;Sir Brudenell White;1920;1933;1999;ML;elastic defence doctrine;Low;2181;X
225156;Chief of Army;Sir Harry Chauvel;1923;1933;1999;ML;Decisive Battle Doctrine;Low;2182;X
225157;Chief of Navy;W.R. Creswell;1914;1933;1999;ML;Decisive Naval Battle Doctrine;Very High;2183;X
225158;Chief of Staff;Joseph Gordon;1914;1933;1999;ML;School of Mass Combat;Undying;2179;X
225159;Chief of Staff;Gordon Legge;1914;1933;1999;ML;school of manoeuvre;Undying;2180;X
225160;Chief of Staff;Godfrey Irving;1915;1933;1999;ML;School of Fire Support;Undying;9743;X
225161;Chief of Staff;Sir Brudenell White;1920;1933;1999;ML;School of Psychology;Undying;2181;X
225162;Chief of Staff;Sir Harry Chauvel;1923;1933;1999;ML;school of manoeuvre;Undying;2182;X
225163;Foreign Minister;Patrick Glynn;1914;1933;1999;ML;Great Compromiser;Very High;2184;X
225164;Foreign Minister;John Arthur;1914;1933;1999;SL;Great Compromiser;Very High;2185;X
225165;Foreign Minister;Hugh Mahon;1914;1933;1999;SL;Biased Intellectual;Very High;2186;X
225166;Foreign Minister;Billy Hughes;1914;1933;1999;ML;biased intellectual;Very High;2187;X
225167;Head of Government;Joseph Cook;1914;1933;1999;ML;Silent Workhorse;High;2188;X
225168;Head of Military Intelligence;Harold Jones;1914;1933;1999;ML;Political Specialist;Very High;2189;X
225169;Head of State;Thomas Denman;1914;1933;1999;ML;Stern Imperialist;High;2190;X
225170;Minister of Armament;John Forrest;1914;1933;1999;ML;Resource Industrialist;High;2191;X
225171;Minister of Armament;Andrew Fisher;1914;1933;1999;SL;Military Entrepreneur;High;2192;X
225172;Minister of Armament;William Higgs;1914;1933;1999;SL;Administrative Genius;High;2193;X
225173;Minister of Armament;Alexander Poynton;1914;1933;1999;ML;laissez-faire capitalist;High;2194;X
225174;Minister of Security;Joseph Cook;1914;1933;1999;ML;Man of the People;Very High;2188;X
225175;Head of State;Ronald Munro Ferguson;1914;1933;1999;ML;Stern Imperialist;High;8016;X
225176;Chief of Army;William Throsby Bridges;1914;1933;1999;ML;Decisive Battle Doctrine;Medium;9744;X
225177;Chief of Air Force;Henry Petre;1914;1919;1999;ML;Air Superiority Doctrine;High;8014;X
225178;Chief of Air Force;Eric Harrison;1914;1933;1999;ML;Air Superiority Doctrine;High;8015;X
225179;Chief of Staff;Julius Bruche;1933;1936;1936;SC;school of fire support;Very High;9295;X
225180;Head of Military Intelligence;Eric Fairweather Harrison;1920;1931;1949;SC;logistics specialist;High;9728;X
225181;Head of Military Intelligence;John Lavarack;1929;1932;1947;SC;political specialist;High;M56008;X
225182;Head of Military Intelligence;Vernon Sturdee;1933;1939;1951;SL;logistics specialist;Medium;M56049;X
225183;Head of Military Intelligence;Sydney Rowell;1938;1939;1955;SD;logistics specialist;Medium;M56066;X
225184;Head of Military Intelligence;John Northcott;1938;1939;1958;SD;logistics specialist;Medium;M56028;X
225185;Head of Military Intelligence;Bertrand Combes;1939;1946;1947;SC;industrial specialist;High;9729;X
225186;Head of Military Intelligence;Kenneth Alan McKenzie;1940;1942;1948;SC;political specialist;High;9730;X
225187;Head of Military Intelligence;John David Rogers;1942;1945;1946;SC;logistics specialist;High;9731;X
225188;Head of Military Intelligence;Rupert Basil Michel Long;1939;1945;1946;SC;naval intelligence specialist;High;9732;X
225189;Chief of Navy;George Hyde;1931;1937;1938;SC;decisive naval battle doctrine;High;9736;X
225190;Chief of Navy;Louis Keppel Hamilton;1945;1949;1958;SC;indirect approach doctrine;High;9733;X
225191;Chief of Navy;Roy Russell Dowling;1955;1960;1962;SC;open seas doctrine;High;9734;X
225192;Chief of Navy;Henry Mackay Burrell;1959;1962;1963;SC;power projection doctrine;High;9735;X
225193;Chief of Navy;Wilfred Hastings Harrington;1962;1965;1966;SC;decisive naval battle doctrine;High;9737;X
225194;Chief of Air Force;William Anderson;1940;1941;1947;SC;naval aviation doctrine;High;9738;X
225195;Chief of Air Force;Donald Hardman;1952;1955;1958;SC;air superiority doctrine;High;9739;X
225196;Chief of Air Force;John McCauley;1954;1958;1958;SC;air superiority doctrine;High;9740;X
225197;Chief of Air Force;Frederick Scherger;1957;1962;1974;SC;army aviation doctrine;High;9741;X
225198;Chief of Air Force;Valston Hancock;1961;1965;1966;SC;naval aviation doctrine;High;9742;X
