LUX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
385050;Head of Military Intelligence;Max Simon;1940;1964;1999;FA;Political Specialist;Medium;M66077;X
385051;Head of Military Intelligence;Jules Prussen;1945;1964;1999;PA;Technical Specialist;High;M66078;X
385052;Head of Military Intelligence;Jean Pierre Kauder;1933;1964;1999;LE;Industrial Specialist;Medium;M66025;X
385053;Head of Military Intelligence;Max Weckering;1945;1964;1999;LWR;Dismal Enigma;Low;M66080;X
385054;Chief of Staff;Jean Seurlis;1940;1964;1999;SC;School of Psychology;Very High;M66082;X
385055;Chief of Staff;Alex Federspiel;1933;1964;1999;SD;School of Fire Support;Medium;M66055;X
385056;Chief of Staff;Francois Schammel;1944;1964;1999;SD;School of Mass Combat;Very High;M66050;X
385057;Chief of Staff;Aloyse Glodt;1933;1964;1999;FA;School of Fire Support;Medium;M66017;X
385058;Chief of Staff;Martin Karp;1933;1964;1999;LE;School of Mass Combat;Medium;M66024;X
385059;Chief of Army;Felix Bourbon-Parma;1940;1964;1999;SC;Armoured Spearhead Doctrine;Very High;M66090;X
385060;Chief of Army;Aloyse Glodt;1933;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M66017;X
385061;Chief of Army;Alexander von Falkenhausen;1940;1964;1999;FA;Decisive Battle Doctrine;Medium;M66034;X
385062;Chief of Army;Martin Karp;1933;1964;1999;LE;Elastic Defence Doctrine;Medium;M66024;X
385063;Chief of Navy;Henri Ahnen;1933;1964;1999;FA;Indirect Approach Doctrine;Medium;M66015;X
385064;Chief of Navy;Paul Medinger;1933;1964;1999;LE;Base Control Doctrine;Medium;M66021;X
385065;Chief of Air Force;Guillaume Soisson;1933;1964;1999;FA;Air Superiority Doctrine;Medium;M66016;X
385066;Chief of Air Force;Jean Marc Steffen;1933;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M66030;X
385067;Head of State;Charlotte;1945;1964;1999;FA;Autocratic Charmer;High;M66001;X
385068;Chief of Navy;Pierre Fischbach;1940;1964;1999;SC;Open Seas Doctrine;Very High;M66111;X
385069;Minister of Security;Max Simon;1940;1964;1999;FA;Prince of Terror;Medium;M66077;X
385070;Minister of Security;Eugene Schaus;1946;1964;1999;SL;Man of the People;Medium;M66114;X
385071;Head of Military Intelligence;Joseph Wohlfart;1951;1964;1999;ML;Industrial Specialist;Very High;M66115;X
385072;Foreign Minister;Paul Eyschen;1914;1933;1999;ML;GENERAL STAFFER;High;2825;X
385073;Foreign Minister;Hubert Loutsch;1915;1933;1999;ML;GENERAL STAFFER;High;3906;X
385074;Foreign Minister;Léon Kauffman;1917;1933;1999;ML;APOLOGETIC CLERK;High;3907;X
385075;Foreign Minister;Émile Reuter;1918;1933;1999;ML;Great Compromiser;High;3908;X
385076;Head of Government;Paul Eyschen;1914;1933;1999;ML;Happy Amateur;High;2825;X
385077;Head of Government;Mathias Mongenast;1915;1933;1999;ML;Happy Amateur;High;2826;X
385078;Head of Government;Hubert Loutsch;1915;1933;1999;ML;Smiling Oilman;High;3906;X
385079;Head of Government;Victor Thorn;1916;1933;1999;ML;Naive Optimist;High;3909;X
385080;Head of Government;Léon Kauffman;1917;1933;1999;ML;Silent Workhorse;High;3907;X
385081;Head of Government;Émile Reuter;1918;1933;1999;ML;Flamboyant Tough Guy;High;3908;X
385082;Head of Military Intelligence;Jaques Tillmany;1914;1933;1999;ST;political specialist;High;unknownminister;X
385083;Head of State;Maria-Adelheid;1914;1933;1999;SL;Insignificant Layman;High;2827;X
385084;Head of State;Maria-Adelheid;1914;1933;1999;PA;Insignificant Layman;High;2827;X
385085;Head of State;Aloys Kaiser;1914;1933;1999;ST;Die-hard Reformer;High;unknownminister;X
385086;Head of State;Charlotte;1919;1933;1999;PA;Popular Figurehead;High;2828;X
385087;Head of State;Charlotte;1919;1933;1999;SL;Popular Figurehead;High;2828;X
385088;Minister of Armament;Mathias Mongenast;1914;1933;1999;ML;Administrative Genius;High;2826;X
385089;Minister of Armament;Edmond Reiffers;1915;1933;1999;ML;laissez-faire capitalist;High;unknownminister;X
385090;Minister of Armament;Léon Kauffman;1916;1933;1999;ML;INFANTRY PROPONENT;High;3907;X
385091;Minister of Armament;Alphonse Neyens;1918;1933;1999;ML;Administrative Genius;High;unknownminister;X
385092;Minister of Security;Pierre Braun;1914;1933;1999;ML;BACK STABBER;High;unknownminister;X
385093;Minister of Security;Ernest Leclere;1915;1933;1999;ML;Silent Lawyer;High;unknownminister;X
385094;Minister of Security;Jean-Baptiste Sax;1915;1933;1999;ML;COMPASSIONATE GENTLEMAN;High;unknownminister;X
385095;Minister of Security;Léon Moutrier;1916;1933;1999;ML;CRIME FIGHTER;High;unknownminister;X
385096;Minister of Security;Maurice Kohn;1917;1933;1999;ML;Silent Lawyer;High;unknownminister;X
385097;Minister of Security;Émile Reuter;1918;1933;1999;ML;PRINCE OF TERROR;High;3908;X
385098;Minister of Security;Joseph Bech;1921;1933;1999;ML;MAN OF THE PEOPLE;High;3910;X
