TUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
45061;Minister of Armament;Sadi Özbek;1933;1964;1999;FA;Air to Sea Proponent;Medium;M12014;X
45062;Head of Military Intelligence;Ali Fehti Okyar;1933;1964;1999;SC;Dismal Enigma;Medium;M12013;X
45063;Chief of Staff;Mustafa Ismet Inönü;1933;1964;1999;PA;School of Defence;Medium;M12002;X
45064;Chief of Army;Alparslan Türkes;1933;1964;1999;FA;Guns and Butter Doctrine;Medium;M12018;X
45065;Chief of Navy;Rauf Orbay;1933;1964;1999;FA;Base Control Doctrine;Medium;M12019;X
45066;Chief of Air Force;Sadi Özbek;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M12014;X
45067;Head of State;Sefik Hüsnü;1933;1964;1999;ST;Stern Imperialist;High;M12021;X
45068;Head of Government;Pertev Naili Boratav;1933;1964;1999;ST;Naive Optimist;High;M12022;X
45069;Foreign Minister;Nazim Hikmet Ran;1933;1964;1999;ST;The Cloak N Dagger Schemer;Medium;M12023;X
45070;Minister of Armament;Refik Saydam;1933;1964;1999;LWR;Infantry Proponent;Medium;3383;X
45071;Chief of Staff;Abbas Cevat;1933;1964;1999;LWR;School of Manoeuvre;Medium;M12025;X
45072;Chief of Army;Pertev Naili Boratav;1933;1964;1999;LWR;Elastic Defence Doctrine;Very Low;M12022;X
45073;Chief of Navy;Ismael Erim;1933;1964;1999;LE;Decisive Naval Battle Doctrine;Medium;M12029;X
45074;Chief of Air Force;Refik Saydam;1933;1964;1999;LE;Air Superiority Doctrine;Medium;3383;X
45075;Head of State;Mahmud Celal Bayar;1950;1964;1999;ML;Barking Buffoon;High;3382;X
45076;Head of Government;Mehmet Recep Peker;1946;1964;1999;SC;Political Protege;High;M12067;X
45077;Head of Government;Hassan Saka;1947;1964;1999;SC;Happy Amateur;High;M12038;X
45078;Head of Government;Semsettin Günaltay;1949;1964;1999;SC;Silent Workhorse;High;M12051;X
45079;Head of Government;Adnan Menderes;1950;1964;1999;ML;Ambitious Union Boss;High;M12046;X
45080;Foreign Minister;Mehmet Fuat Köprülü;1950;1964;1999;ML;Iron Fisted Brute;Medium;M12090;X
45081;Minister of Armament;Faik Ahmet Barutcu;1947;1964;1999;SC;Battle Fleet Proponent;Medium;M12091;X
45082;Minister of Armament;Ismael Erim;1949;1964;1999;SC;Resource Industrialist;Medium;M12029;X
45083;Minister of Armament;Samet Agaoglu;1950;1964;1999;ML;Theoretical Scientist;Medium;M12093;X
45084;Minister of Armament;Fatim Rüstü Zorlu;1952;1964;1999;ML;Administrative Genius;Medium;M12094;X
45085;Minister of Security;Refik Koraltan;1950;1964;1999;ML;Silent Lawyer;Medium;M12095;X
45086;Head of Government;Alparslan Tuerkes;1941;1964;1999;NS;Ambitious Union Boss;medium;M12018;x
45087;Minister of Security;Alparslan Tuerkes;1939;1964;1999;NS;Prince of Terror;medium;M12018;x
45088;Minister of Security;Mehmet Cemil Uybadin;1921;1964;1999;SC;Silent Lawyer;Medium;unknownminister;X
45089;Chief of Army;Kemal Atatürk;1921;1964;1999;PA;Decisive Battle Doctrine;High;3379;X
