SPA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
35094;Minister of Security;José Martínez de Velasco;1941;1964;1999;SC;Crime Fighter;Low;M11110;X
35095;Minister of Security;Andrés Saliquet Zumeta;1942;1964;1999;SC;Man of the People;Medium;M10015;X
35096;Minister of Security;Miguel Cabanellas Ferrer;1933;1964;1999;SC;Crime Fighter;High;M10001;X
35097;Minister of Security;Gonzalo Queipo de Llano;1937;1964;1999;ML;Man of the People;High;M10055;X
35098;Minister of Security;Miguel Maura Gamazo;1944;1964;1999;ML;Compassionate Gentleman;High;M11073;X
35099;Head of Military Intelligence;Antonio Barroso Sánchez-Guerra;1939;1964;1999;PA;Logistics Specialist;High;M10159;X
35100;Head of Military Intelligence;Juan Vigón Suerodíaz;1939;1964;1999;PA;Technical Specialist;High;M10118;X
35101;Head of Military Intelligence;José Ungría Jiménez;1933;1964;1999;PA;Industrial Specialist;High;M10085;X
35102;Head of Military Intelligence;Isidro Gomá y Tomás;1933;1964;1999;FA;Dismal Enigma;High;M10065;X
35103;Head of Military Intelligence;Joaquín Bau Nolla;1941;1964;1999;FA;Political Specialist;Medium;M10095;X
35104;Head of Military Intelligence;Luís Hernando de Larramendi;1943;1964;1999;FA;Technical Specialist;High;M10067;X
35105;Head of Military Intelligence;Ricardo de Rada;1937;1964;1999;FA;Logistics Specialist;High;M10166;X
35106;Head of Military Intelligence;Manuel Hedilla Larrey;1933;1964;1999;FA;Political Specialist;High;M10050;X
35107;Head of Military Intelligence;José Luís Arrese Magra;1939;1964;1999;FA;Dismal Enigma;High;M10072;X
35108;Head of Military Intelligence;Dionisio Ridruejo;1942;1964;1999;FA;Technical Specialist;Medium;M10129;X
35109;Head of Military Intelligence;Onésimo Redondo Ortega;1943;1964;1999;FA;Logistics Specialist;High;M10107;X
35110;Head of Military Intelligence;Enrique Plá y Deniel;1933;1964;1999;SC;Political Specialist;Medium;M10063;X
35111;Head of Military Intelligence;Luis Orgaz Yoldi;1933;1964;1999;SC;Logistics Specialist;High;M10016;X
35112;Head of Military Intelligence;Ricardo Samper Ibáñez;1933;1964;1999;ML;Political Specialist;Medium;M11104;X
35113;Head of Military Intelligence;Juan March Ordinas;1939;1964;1999;ML;Dismal Enigma;High;M10113;X
35114;Head of Military Intelligence;Diego Hidalgo Dúran;1940;1964;1999;ML;Logistics Specialist;High;M11101;X
35115;Head of Military Intelligence;Luis Luciá Luciá;1941;1964;1999;ML;Technical Specialist;Low;M11113;X
35116;Head of Military Intelligence;Joaquín Chapaprieta Torregrosa;1943;1964;1999;ML;Industrial Specialist;High;M11155;X
35117;Chief of Staff;Francisco Franco Bahamonde;1933;1964;1999;PA;School of Psychology;Very High;L3426;X
35118;Chief of Staff;Juan Yagüe Blanco;1937;1964;1999;PA;School of Manoeuvre;Medium;M10184;X
35119;Chief of Staff;José Enrique Varela Iglesias;1939;1964;1999;PA;School of Fire Support;High;M10014;X
35120;Chief of Staff;Carlos Asensio Cabanillas;1945;1964;1999;PA;School of Mass Combat;High;M10187;X
35121;Chief of Staff;José Sanjurjo Sacanell;1933;1964;1999;FA;School of Psychology;High;M10040;X
35122;Chief of Staff;Emilio Mola Vidal;1933;1964;1999;FA;School of Manoeuvre;High;M10008;X
35123;Chief of Staff;Javier de Borbón-Parma;1939;1964;1999;FA;School of Defence;High;M10034;X
35124;Chief of Staff;Ricardo de Rada;1940;1964;1999;FA;School of Mass Combat;High;M10166;X
35125;Chief of Staff;Agustín Aznar Guerner;1938;1964;1999;FA;School of Psychology;High;M10070;X
35126;Chief of Staff;Agustín Muñoz Grandes;1939;1964;1999;FA;School of Fire Support;High;M10194;X
35127;Chief of Staff;Sancho Dávila;1941;1964;1999;FA;School of Defence;Medium;M10109;X
35128;Chief of Staff;Onésimo Redondo Ortega;1943;1964;1999;FA;School of Mass Combat;High;M10107;X
35129;Chief of Staff;Gonzalo Queipo de Llano;1938;1964;1999;SC;School of Mass Combat;High;M10055;X
35130;Chief of Staff;Joaquin Fanjul Goñi;1943;1964;1999;SC;School of Fire Support;Medium;M10202;X
35131;Chief of Staff;Miguel Cabanellas Ferrer;1938;1964;1999;ML;School of Psychology;High;M10001;X
35132;Chief of Army;Fidel Dávila Arrondo;1933;1964;1999;PA;Static Defence Doctrine;High;M10002;X
35133;Chief of Army;Rafael García Valiño;1939;1964;1999;PA;Decisive Battle Doctrine;High;M10207;X
35134;Chief of Army;Carlos Asensio Cabanillas;1939;1964;1999;PA;Armoured Spearhead Doctrine;High;M10208;X
35135;Chief of Army;Juan Yagüe Blanco;1939;1964;1999;PA;Elastic Defence Doctrine;Medium;M10184;X
35136;Chief of Army;José Enrique Varela Iglesias;1939;1964;1999;PA;Guns and Butter Doctrine;High;M10014;X
35137;Chief of Army;José Sanjurjo Sacanell;1933;1964;1999;FA;Armoured Spearhead Doctrine;High;M10040;X
35138;Chief of Army;Ricardo de Rada;1937;1964;1999;FA;Static Defence Doctrine;High;M10166;X
35139;Chief of Army;Agustín Aznar Guerner;1938;1964;1999;FA;Guns and Butter Doctrine;High;M10070;X
35140;Chief of Army;Agustín Muñoz Grandes;1939;1964;1999;FA;Armoured Spearhead Doctrine;High;M10194;X
35141;Chief of Army;Onésimo Redondo Ortega;1941;1964;1999;FA;Static Defence Doctrine;High;M10107;X
35142;Chief of Army;Sancho Dávila;1941;1964;1999;FA;Decisive Battle Doctrine;Medium;M10109;X
35143;Chief of Army;Antonio Aranda Mata;1942;1964;1999;SC;Static Defence Doctrine;Low;M10018;X
35144;Chief of Army;Miguel Cabanellas Ferrer;1938;1964;1999;ML;Static Defence Doctrine;High;M10001;X
35145;Chief of Army;Gonzalo Queipo de Llano;1939;1964;1999;ML;Guns and Butter Doctrine;High;M10055;X
35146;Chief of Navy;Carlos Bareda Terry;1933;1964;1999;PA;Indirect Approach Doctrine;High;M10229;X
35147;Chief of Navy;Salvador Moreno Fernández;1938;1964;1999;PA;Decisive Naval Battle Doctrine;High;M10230;X
35148;Chief of Navy;Nicolás Franco Bahamonde;1941;1964;1999;PA;Power Projection Doctrine;Very High;M10092;X
35149;Chief of Navy;Luis Carrero Blanco;1944;1964;1999;PA;Base Control Doctrine;High;M10232;X
35150;Chief of Navy;Francisco Reglado Rodríguez;1944;1964;1999;PA;Open Seas Doctrine;High;M10233;X
35151;Chief of Navy;José María Lammamié;1942;1964;1999;FA;Indirect Approach Doctrine;Medium;M10102;X
35152;Chief of Navy;Tomás Domínguez Arévalo;1943;1964;1999;FA;Base Control Doctrine;High;M10048;X
35153;Chief of Navy;J. de Areilza y Martínez-Rodas;1933;1964;1999;FA;Decisive Naval Battle Doctrine;High;M10071;X
35154;Chief of Navy;José Millán Astray;1941;1964;1999;SC;Base Control Doctrine;Medium;M10131;X
35155;Chief of Navy;Ramiro Ledesma Ramos;1943;1964;1999;FA;Open Seas Doctrine;High;M10069;X
35156;Chief of Navy;Francisco Núñez de Olaneta;1933;1964;1999;PA;Base Control Doctrine;High;M10019;X
35157;Chief of Navy;Antonio Azarola Gresillón;1933;1964;1999;ML;Open Seas Doctrine;High;7444;X
35158;Chief of Navy;Miguel Maura Gamazo;1940;1964;1999;ML;Decisive Naval Battle Doctrine;High;M11073;X
35159;Chief of Air Force;Ramón Franco Bahamonde;1933;1964;1999;PA;Naval Aviation Doctrine;High;M10089;X
35160;Chief of Air Force;Juan Yagüe Blanco;1939;1964;1999;PA;Air Superiority Doctrine;Medium;M10184;X
35161;Chief of Air Force;Eduardo González Gallarza;1944;1964;1999;PA;Vertical Envelopment Doctrine;High;M10250;X
35162;Chief of Air Force;Juan Vigón Suerodíaz;1940;1964;1999;PA;Army Aviation Doctrine;High;M10118;X
35163;Chief of Air Force;J. de Clairac de la Colina;1933;1964;1999;FA;Vertical Envelopment Doctrine;Medium;M10252;X
35164;Chief of Air Force;Tomás Domínguez Arévalo;1941;1964;1999;FA;Air Superiority Doctrine;High;M10048;X
35165;Chief of Air Force;Manuel Fal Conde;1942;1964;1999;FA;Naval Aviation Doctrine;High;M10049;X
35166;Chief of Air Force;José Luís Arrese Magra;1938;1964;1999;FA;Army Aviation Doctrine;High;M10072;X
35167;Chief of Air Force;J. de Areilza y Martínez-Rodas;1941;1964;1999;FA;Carpet Bombing Doctrine;High;M10071;X
35168;Chief of Air Force;Ramiro Ledesma Ramos;1943;1964;1999;FA;Air Superiority Doctrine;High;M10069;X
35169;Chief of Air Force;Francisco Reglado Rodríguez;1945;1964;1999;FA;Naval Aviation Doctrine;High;M10233;X
35170;Chief of Air Force;Juan I.L. de Tena García;1938;1964;1999;SC;Vertical Envelopment Doctrine;Low;M10262;X
35171;Chief of Air Force;Juan Ansaldo Vejarano;1937;1964;1999;SC;Air Superiority Doctrine;High;M10263;X
35172;Chief of Air Force;Andrés Saliquet Zumeta;1933;1964;1999;ML;Naval Aviation Doctrine;High;M10266;X
35173;Chief of Air Force;Emilio Herrera;1938;1964;1999;ML;Army Aviation Doctrine;High;M11145;X
35174;Chief of Air Force;Diego Hidalgo Dúran;1940;1964;1999;ML;Air Superiority Doctrine;High;M11101;X
35175;Chief of Air Force;Rudolf von Moreau;1942;1964;1999;ML;Carpet Bombing Doctrine;High;M10269;X
35176;Chief of Air Force;Camilo Alonso Vega;1944;1964;1999;ML;Vertical Envelopment Doctrine;High;M10270;X
35177;Minister of Armament;Tomás Domínguez Arévalo;1933;1964;1999;PA;Air to Ground Proponent;High;M10271;X
35178;Minister of Armament;Diego Hidalgo Durán;1938;1964;1999;SC;Military Entrepreneur;High;M11101;X
35179;Minister of Security;Tomás Domínguez Arévalo;1933;1964;1999;PA;Prince of Terror;High;M10271;X
35180;Minister of Security;Emilio Mola Vidal;1937;1964;1999;PA;Prince of Terror;Medium;M10008;X
35181;Chief of Army;Francisco Franco Bahamonde;1933;1964;1999;PA;Decisive Battle Doctrine;Very High;L3426;X
35182;Chief of Navy;J. de Clairac de la Colina;1933;1964;1999;FA;Indirect Approach Doctrine;High;M10252;X
35183;Head of State;Emilio Mola Vidal;1933;1964;1999;FA;Resigned Generalissimo;Very High;M10008;X
35184;Head of State;José Sanjurjo Sacanell;1933;1964;1999;PA;Resigned Generalissimo;Very High;M10040;X
35185;Head of State;José Calvo-Sotelo;1870;1964;1999;SC;Insignificant Layman;Very High;M11014;X
35186;Head of Government;José Sanjurjo Sacanell;1933;1964;1999;PA;Old General;Very High;M10040;X
35187;Head of Government;José Antonio Primo de Rivera;1933;1964;1999;FA;Silent Workhorse;Very High;M10036;X
35188;Minister of Security;José Antonio Primo de Rivera;1933;1964;1999;FA;Man of the People;Very High;M10036;X
35189;Foreign Minister;Juan Beigbéder Atienza;1933;1964;1999;PA;Apologetic Clerk;Medium;M10013;X
35190;Chief of Staff;Luís Orgaz Yoldi;1933;1964;1999;PA;School of Defence;Medium;M10016;X
35191;Chief of Navy;Francisco Nunez de Olaneta;1933;1964;1999;PA;Indirect Approach Doctrine;High;M10019;X
35192;Head of State;José Díaz Ramos;1933;1964;1999;ST;Powerhungry Demagogue;High;M10021;X
35193;Head of Government;José Díaz Ramos;1933;1964;1999;ST;Backroom Backstabber;High;M10021;X
35194;Foreign Minister;Julio Álvarez del Vayo;1933;1964;1999;ST;Ideological Crusader;High;M10023;X
35195;Minister of Armament;Enrique Castro Delgado;1933;1964;1999;ST;Infantry Proponent;High;M10024;X
35196;Minister of Security;Santiago Carrillo Solares;1933;1964;1999;LE;Prince of Terror;Very High;M10025;X
35197;Head of Military Intelligence;José Díaz Ramos;1933;1964;1999;LE;Technical Specialist;Medium;M10021;X
35198;Chief of Staff;Miguel Tagüeña Lacorte;1933;1964;1999;LE;School of Manoeuvre;Very High;M10027;X
35199;Chief of Army;Enrique Líster Forján;1933;1964;1999;LE;Decisive Battle Doctrine;Very High;M10028;X
35200;Chief of Navy;Francisco Galán Rodríguez;1933;1964;1999;LE;Open Seas Doctrine;Medium;M10029;X
35201;Chief of Air Force;Ignacio Hidalgo de Cisneros;1933;1964;1999;LE;Air Superiority Doctrine;High;M10030;X
35202;Chief of Staff;Emilio Esteban Infantes;1944;1964;1999;PA;School of Defence;High;6080;X
35203;Head of State;Juan Carlos I;1960;1964;1999;SC;Popular Figurehead;Very High;6081;X
35204;Head of State;Alfonso XIII;1902;1932;1999;SC;Weary Stiffneck;Medium;3281;X
35205;Head of Government;Antonio Maura;1907;1925;1999;SC;Political Protege;Medium;3268;X
35206;Head of Government;Segismundo Moret;1909;1913;1999;ML;Flamboyant Tough Guy;Medium;3261;X
35207;Head of Government;José Canalejas;1910;1912;1999;ML;Backroom Backstabber;Medium;3233;X
35208;Head of Government;Manuel García-Prieto;1912;1932;1999;ML;Silent Workhorse;Medium;3269;X
35209;Head of Government;Álvaro de Figueroa;1912;1932;1999;ML;Smiling Oilman;Medium;3254;X
35210;Head of Government;Eduardo Dato e Iradier;1913;1921;1999;SC;Naive Optimist;Medium;3239;X
35211;Head of Government;Joaquín Sánchez de Toca Calvo;1919;1932;1999;SC;Corporate Suit;Medium;3270;X
35212;Head of Government;Manuel Allendesalazar;1919;1923;1999;SC;Happy Amateur;Medium;3977;X
35213;Head of Government;José Sánchez-Guerra;1922;1932;1999;SC;Ambitious Union Boss;Medium;3272;X
35214;Head of Government;Miguel Primo de Rivera;1923;1930;1999;PA;Old General;Medium;3260;X
35215;Foreign Minister;Manuel Allendesalazar;1905;1911;1999;SC;Iron Fisted Brute;Medium;3977;X
35216;Foreign Minister;Juan Pérez-Caballero;1907;1912;1999;ML;General Staffer;Medium;3976;X
35217;Foreign Minister;Manuel García-Prieto;1908;1920;1999;ML;Ideological Crusader;Medium;3269;X
35218;Foreign Minister;Juan Navarro-Reverter;1910;1915;1999;ML;Great Compromiser;Medium;3249;X
35219;Foreign Minister;Antonio López Muñoz;1911;1915;1999;ML;Apologetic Clerk;Medium;3224;X
35220;Foreign Minister;Salvador Bermúdez de Castro;1911;1923;1999;SC;Biased Intellectual;Medium;3253;X
35221;Foreign Minister;Miguel Villanueva;1913;1918;1999;ML;The Cloak N Dagger Schemer;Medium;3287;X
35222;Foreign Minister;Álvaro de Figueroa;1914;1921;1999;ML;Iron Fisted Brute;Medium;3254;X
35223;Foreign Minister;Amalio Gimeno;1914;1919;1999;ML;General Staffer;Medium;3238;X
35224;Foreign Minister;Juan Alvarado;1915;1919;1999;ML;Ideological Crusader;Medium;3242;X
35225;Foreign Minister;Eduardo Dato e Iradier;1916;1920;1999;SC;Great Compromiser;Medium;3239;X
35226;Foreign Minister;Manuel González Hontoria;1917;1924;1999;SC;Apologetic Clerk;Medium;3256;X
35227;Foreign Minister;Joaquín Fernández Prida;1920;1924;1999;SC;Biased Intellectual;Medium;3970;X
35228;Foreign Minister;Francisco Bergamín;1920;1924;1999;SC;The Cloak N Dagger Schemer;Medium;3255;X
35229;Foreign Minister;Santiago Alba Bonifaz;1920;1925;1999;ML;Iron Fisted Brute;Medium;3257;X
35230;Foreign Minister;Fernando Espinosa de los Monteros;1921;1927;1999;PA;General Staffer;Medium;unknownminister;X
35231;Minister of Armament;Guillermo de Osma;1905;1910;1999;SC;Military Entrepreneur;Medium;3231;X
35232;Minister of Armament;Cayetano Sánchez Bustillo;1906;1910;1999;SC;Laissez-Faire Capitalist;Medium;3227;X
35233;Minister of Armament;Augusto González Besada;1906;1920;1999;SC;Theoretical Scientist;Medium;3982;X
35234;Minister of Armament;Juan Alvarado;1907;1912;1999;ML;Resource Industrialist;Medium;3242;X
35235;Minister of Armament;Eduardo Cobián;1908;1913;1999;ML;Administrative Genius;Medium;3230;X
35236;Minister of Armament;Tirso Rodrigáñez;1909;1914;1999;SC;Corrupt Kleptocrat;Medium;3262;X
35237;Minister of Armament;Juan Navarro-Reverter;1910;1914;1999;ML;Theoretical Scientist;Medium;3249;X
35238;Minister of Armament;Félix Suárez Inclán;1910;1925;1999;ML;Resource Industrialist;Medium;3285;X
35239;Minister of Armament;Gabino Bugallal;1911;1922;1999;SC;Air to Sea Proponent;Medium;3284;X
35240;Minister of Armament;Ángel Urzáiz;1913;1918;1999;ML;Resource Industrialist;Medium;3222;X
35241;Minister of Armament;Miguel Villanueva;1914;1925;1999;ML;Theoretical Scientist;Medium;3287;X
35242;Minister of Armament;Santiago Alba Bonifaz;1914;1920;1999;ML;Air to Ground Proponent;Medium;3257;X
35243;Minister of Armament;Juan Ventosa;1915;1920;1999;SC;Infantry Proponent;Medium;3979;X
35244;Minister of Armament;José de Caralt;1916;1920;1999;ML;Corrupt Kleptocrat;Medium;3980;X
35245;Minister of Armament;Fermín Calbetón;1916;1921;1999;ML;Administrative Genius;Medium;3981;X
35246;Minister of Armament;José Gómez Acebo;1917;1921;1999;ML;Battle Fleet Proponent;Medium;unknownminister;X
35247;Minister of Armament;Juan de la Cierva y Peñafiel;1917;1921;1999;SC;Tank Proponent;Medium;3245;X
35248;Minister of Armament;Lorenzo Domínguez Pascual;1918;1923;1999;SC;Resource Industrialist;Medium;3286;X
35249;Minister of Armament;Manuel Argüelles Argüelles;1919;1923;1999;SC;Theoretical Scientist;Medium;3252;X
35250;Minister of Armament;Mariano Ordóñez García;1919;1923;1999;SC;Submarine Proponent;Medium;unknownminister;X
35251;Minister of Armament;Francesc Cambó;1919;1924;1999;SC;Corrupt Kleptocrat;Medium;3289;X
35252;Minister of Armament;Francisco Bergamín;1920;1924;1999;SC;Air Superiority Proponent;Medium;3255;X
35253;Minister of Armament;Juan José Ruano de la Sota;1920;1924;1999;SC;Strategic Air Proponent;Medium;3248;X
35254;Minister of Armament;José Manuel Pedregal;1920;1925;1999;PA;Corrupt Kleptocrat;Medium;unknownminister;X
35255;Minister of Armament;Enrique Illana;1921;1925;1999;PA;Resource Industrialist;Medium;unknownminister;X
