HUN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
105153;Head of Government;István Friedrich;1919;1933;1999;SD;Naive Optimist;Medium;3866;X
105154;Head of Government;Sándor Simonyi-Semadam;1920;1933;1999;SD;Political Protege;Medium;3867;X
105155;Head of State;Mihály Károlyi;1914;1933;1999;SL;Insignificant Layman;Medium;3864;X
105156;Head of State;Miklós Horthy;1914;1933;1999;PA;Autocratic Charmer;Medium;M21001;X
105157;Head of State;Belá Kun;1914;1933;1999;ST;Die-hard Reformer;Medium;3868;X
105158;Head of State;Archduke Josef;1919;1933;1999;ML;Popular Figurehead;Medium;3869;X
105159;Head of State;Karl;1920;1933;1999;SL;Popular Figurehead;Medium;3870;X
105160;Head of State;Gyula Peidl;1919;1931;1999;SD;Pig-headed Isolationist;Medium;9576;X
105161;Head of State;István Friedrich;1919;1933;1999;SC;powerhungry demagogue;High;3866;X
105162;Head of State;Károly Huszár de Sárvár;1919;1933;1999;SC;stern imperialist;Medium;9583;X
105163;Head of Government;Dénes Berinkey;1919;1933;1999;ML;Political Protege;Medium;9569;X
105164;Head of Government;Károly Huszár de Sárvár;1919;1933;1999;SC;Happy Amateur;Medium;9583;X
105165;Head of Government;Gyula Peidl;1919;1931;1999;SD;Ambitious Union Boss;Medium;9576;X
105166;Head of Government;István Bethlen;1918;1933;1999;ML;Backroom Backstabber;High;9578;X
105167;Head of Government;Gyula Károlyi de Nagykároly;1920;1933;1999;FA;Naive Optimist;High;9575;X
105168;Foreign Minister;Béla Kun;1914;1933;1999;LE;Ideological Crusader;Medium;3868;X
105169;Foreign Minister;Dénes Berinkey;1919;1933;1999;SL;Apologetic Clerk;Medium;9569;X
105170;Foreign Minister;Ferenc Harrer;1919;1933;1999;SL;biased intellectual;Medium;9572;X
105171;Foreign Minister;Béla Kun;1914;1933;1999;LE;Ideological Crusader;Medium;3868;X
105172;Foreign Minister;József Pogány;1919;1933;1999;LE;Ideological Crusader;Medium;9580;X
105173;Foreign Minister;Péter Ágoston;1919;1933;1999;SD;Great Compromiser;Medium;unknownminister;X
105174;Foreign Minister;Gábor Tánczos;1919;1933;1999;ML;General Staffer;Very High;unknownminister;X
105175;Foreign Minister;Márton Lovászy;1919;1933;1999;ML;Biased Intellectual;Medium;9587;X
105176;Foreign Minister;József Somssich;1919;1933;1999;ML;Great Compromiser;Medium;9581;X
105177;Foreign Minister;Sándor Simonyi-Semadam;1920;1933;1999;SD;Great Compromiser;Medium;3867;X
105178;Foreign Minister;Pál Teleki de Szek;1920;1941;1999;PA;Apologetic Clerk;High;M21055;X
105179;Foreign Minister;Imre Csáky;1920;1933;1999;ML;Great Compromiser;High;9577;X
105180;Foreign Minister;Gusztáv Gratz;1921;1933;1999;ML;Ideological Crusader;High;9574;X
105181;Foreign Minister;Miklós Bánffy;1921;1933;1999;SL;Biased Intellectual;High;9588;X
105182;Foreign Minister;Géza Daruváry;1922;1933;1999;ML;Biased Intellectual;Medium;unknownminister;X
105183;Foreign Minister;István Bethlen;1924;1933;1999;PA;Great Compromiser;High;9578;X
105184;Foreign Minister;Tibor Scitovszky de Nagykér;1924;1933;1999;FA;Iron Fisted Brute;Medium;unknownminister;X
105185;Foreign Minister;Lajos Walko;1931;1964;1999;FA;Ideological Crusader;Medium;9585;X
105186;Foreign Minister;Endre Puky;1932;1964;1999;FA;the cloak n dagger schemer;Medium;9570;X
105187;Foreign Minister;Gyula Gömbös de Jakfa;1933;1964;1999;FA;Ideological Crusader;High;M21002;X
105188;Foreign Minister;Kálmán de Kánya;1933;1964;1999;PA;Great Compromiser;High;9582;X
105189;Minister of Armament;Mihály Károlyi;1914;1933;1999;SL;theoretical scientist;Medium;3864;X
105190;Minister of Armament;Pál Szende;1919;1933;1999;SL;laissez-faire capitalist;Medium;9589;X
105191;Minister of Armament;Eugen Samuilovich Varga;1914;1933;1999;LE;resource industrialist;Medium;9571;X
105192;Minister of Armament;Gyula Lengyel;1919;1933;1999;LE;Administrative Genius;Medium;unknownminister;X
105193;Minister of Armament;Béla Székely;1919;1933;1999;LE;Oil baron;Medium;unknownminister;X
105194;Minister of Armament;Ferenc Miákits;1919;1933;1999;LE;Steel magnate;Medium;unknownminister;X
105195;Minister of Armament;Gyula Peidl;1919;1933;1999;SD;Laissez-Faire Capitalist;Medium;9576;X
105196;Minister of Armament;János Grünn;1919;1933;1999;ML;Industrial chemist;Medium;unknownminister;X
105197;Minister of Armament;Frigyes Korányi de Tolcsva;1919;1933;1999;ML;Laissez-Faire Capitalist;Medium;9573;X
105198;Minister of Armament;Lóránt Hegedüs;1920;1933;1999;PA;Laissez-Faire Capitalist;Medium;9586;X
105199;Minister of Armament;Lajos Hegyeshalmi;1921;1933;1999;PA;Resource Industrialist;Medium;9584;X
105200;Minister of Armament;István Bethlen;1921;1933;1999;PA;Administrative Genius;High;9578;X
105201;Minister of Armament;Tibor Kállay de Nagykálló;1921;1933;1999;PA;Laissez-Faire Capitalist;Medium;9591;X
105202;Minister of Armament;Lajos Walko;1924;1933;1999;PA;Planned economy proponent;Medium;9585;X
105203;Minister of Armament;János Bud;1924;1933;1999;PA;Resource Industrialist;Medium;9579;X
105204;Minister of Armament;Sándor Wekerle;1928;1933;1999;PA;Military Entrepreneur;Medium;9590;X
105205;Minister of Armament;Gyula Károlyi de Nagykároly;1931;1964;1999;PA;Keynesian economy;Medium;9575;X
105206;Head of Government;Ferenc Szálasi;1944;1964;1999;NS;Happy Amateur;High;M21021;X
105207;Head of Military Intelligence;Béla Miklós de Dalnók;1932;1933;1949;FA;Logistics Specialist;High;M21002;X
105208;Head of Military Intelligence;Gusztáv Hennyey;1933;1937;1964;FA;Logistics Specialist;High;M21007;X
105209;Head of Military Intelligence;Mihály Ibrányi;1934;1938;1963;FA;dismal enigma;High;L31141;X
