COL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
175026;Head of Government;Gabriel Turbay Ayala;1946;1964;1999;SL;Ambitious Union Boss;High;M37034;X
175027;Head of Government;Joaquin Fernandez;1938;1964;1999;SC;Corporate Suit;High;M37035;X
175028;Head of Government;Carlos Arango Vélez;1942;1964;1999;SC;Silent Workhorse;High;M37036;X
175029;Head of Government;Jorge Eliecer Gaitan;1945;1964;1999;SC;Naive Optimist;High;M37037;X
175030;Head of Government;Mariano Ospina Pérez;1946;1964;1999;SC;Happy Amateur;High;M37038;X
175031;Head of Government;Julio Valdez;1938;1964;1999;FA;Old General;High;M37011;X
175032;Head of Government;Ruben Piedrahita Arango;1945;1964;1999;PA;Old General;High;M37017;X
175033;Head of Government;Querista Sellor;1938;1964;1999;LE;Backroom Backstabber;High;M37021;X
175034;Head of Government;Jorge Eliecer Gaitan;1946;1964;1999;LWR;Naive Optimist;High;M37037;X
175035;Foreign Minister;Jorge Soto del Corral;1933;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M37057;X
175036;Foreign Minister;Gabriel Turbay Ayala;1937;1964;1999;SD;Iron Fisted Brute;Medium;M37034;X
175037;Foreign Minister;Carlos Lozano y Lozano;1942;1964;1999;SD;Great Compromiser;High;M37044;X
175038;Foreign Minister;Alberto Lleras Camargo;1944;1964;1999;SD;Biased Intellectual;Medium;M37033;X
175039;Foreign Minister;Luis López de Mesa;1938;1964;1999;SL;Ideological Crusader;Medium;M37061;X
175040;Foreign Minister;Enrique Olaya Herrera;1940;1964;1999;SL;Apologetic Clerk;Medium;M37062;X
175041;Foreign Minister;Fernando Londono y Londono;1943;1964;1999;SL;General Staffer;Medium;M37006;X
175042;Foreign Minister;Eduardo Zuleta Castillo;1946;1964;1999;SL;Great Compromiser;Medium;M37064;X
175043;Foreign Minister;Antonio José Restrepo;1938;1964;1999;SC;General Staffer;Medium;M37065;X
175044;Foreign Minister;Roberto Urdaneta Arbeláez;1933;1964;1999;SC;Apologetic Clerk;High;M37066;X
175045;Foreign Minister;Laureano Gómez Castro;1944;1964;1999;SC;The Cloak N Dagger Schemer;High;M37067;X
175046;Foreign Minister;Francisco Umana Bernal;1946;1964;1999;SC;Biased Intellectual;High;M37068;X
175047;Foreign Minister;Melitón Rodriguez Roldan;1938;1964;1999;FA;Biased Intellectual;Medium;M37013;X
175048;Foreign Minister;Eduardo Porier Escobar;1939;1964;1999;PA;General Staffer;Medium;M37008;X
175049;Foreign Minister;Baldomero Sanin Caño;1945;1964;1999;PA;Iron Fisted Brute;Medium;M37071;X
175050;Minister of Armament;Gregorio Obregon;1937;1964;1999;SD;Tank Proponent;Medium;M37073;X
175051;Minister of Armament;Alain Adair Arriaga;1942;1964;1999;SD;Resource Industrialist;High;M37074;X
175052;Minister of Armament;Alfonso Lopéz Pumarejo;1937;1964;1999;SD;Infantry Proponent;Medium;M37001;X
175053;Minister of Armament;Francisco Barberi Zamorano;1944;1964;1999;SD;laissez-faire capitalist;Medium;M37076;X
175054;Minister of Armament;Humberto Chica Pinzon;1938;1964;1999;SL;Theoretical Scientist;Medium;M37077;X
175055;Minister of Armament;Camilo Daza Alvarez;1940;1964;1999;SL;Air Superiority Proponent;Medium;M37078;X
175056;Minister of Armament;Alejandro Galvis;1942;1964;1999;SL;Corrupt Kleptocrat;Medium;M37079;X
175057;Minister of Armament;Plinio Mendoza;1945;1964;1999;SL;Corrupt Kleptocrat;Medium;M37080;X
175058;Minister of Armament;Mauricio Soto Gomez;1946;1964;1999;SL;Submarine Proponent;Medium;M37081;X
175059;Minister of Armament;Alberto Nariño Cheyne;1938;1964;1999;SC;Air to Sea Proponent;Medium;M37082;X
175060;Minister of Armament;William Martinéz Pérez;1939;1964;1999;SC;Tank Proponent;Medium;M37083;X
175061;Minister of Armament;Joaquin Fernandez;1942;1964;1999;SC;Resource Industrialist;Medium;M37035;X
175062;Minister of Armament;Mariano Ospina Pérez;1944;1964;1999;SC;Military Entrepreneur;Medium;M37038;X
175063;Minister of Armament;Carlos Arango Vélez;1933;1964;1999;SC;Battle Fleet Proponent;High;M37036;X
175064;Minister of Armament;Camilo Ospina Bernal;1946;1964;1999;SC;Resource Industrialist;High;M37087;X
175065;Minister of Armament;Antonio Acevedo Escobar;1938;1964;1999;FA;Corrupt Kleptocrat;Medium;M37014;X
175066;Minister of Armament;Julio Valdez;1947;1964;1999;PA;Theoretical Scientist;Medium;M37011;X
175067;Minister of Armament;Jorge Roa Martinez;1938;1964;1999;LWR;Infantry Proponent;Medium;M37005;X
175068;Minister of Armament;Gabriel Quintanilla Morales;1946;1964;1999;LWR;Battle Fleet Proponent;Medium;M37029;X
175069;Minister of Armament;Carlos Lozano y Lozano;1947;1964;1999;LWR;laissez-faire capitalist;High;M37044;X
175070;Minister of Security;Rafael Giraldo Vargas;1942;1964;1999;SD;Crooked Kleptocrat;Medium;M37093;X
175071;Minister of Security;Raphael Hollmann;1943;1964;1999;SD;Compassionate Gentleman;Medium;M37094;X
175072;Minister of Security;Alberto Lleras Camargo;1939;1964;1999;SD;Silent Lawyer;High;M37033;X
175073;Minister of Security;Francesco José Urrutia;1938;1964;1999;SL;Man of the People;Medium;M37096;X
175074;Minister of Security;Benito Hernandez;1942;1964;1999;SL;Back Stabber;Medium;M37004;X
175075;Minister of Security;Enrique Gomez Hurtado;1945;1964;1999;SL;Crime Fighter;Medium;M37099;X
175076;Minister of Security;Eduardo Zuleta Castillo;1946;1964;1999;SL;Crooked Kleptocrat;High;M37064;X
175077;Minister of Security;Caesare Bernal Gustaves;1938;1964;1999;SC;Crooked Kleptocrat;Medium;M37101;X
175078;Minister of Security;José Ellis Quinsado;1942;1964;1999;SC;Back Stabber;Medium;M37016;X
175079;Minister of Security;Ulpiano Rengifo Cárdenas;1945;1964;1999;SC;Efficient Sociopath;Medium;M37103;X
175080;Minister of Security;Francesco José Urrutia;1947;1964;1999;SC;Man of the People;Medium;M37096;X
175081;Minister of Security;Melitón Rodriguez Roldan;1938;1964;1999;FA;Efficient Sociopath;Low;M37013;X
175082;Minister of Security;Gustavo Rojas Pinilla;1945;1964;1999;PA;Prince of Terror;Medium;M37040;X
175083;Minister of Security;M.E. Rojas de Moreno;1947;1964;1999;PA;Man of the People;Medium;M37107;X
175084;Minister of Security;Leon de Greiff;1938;1964;1999;LWR;Man of the People;Very Low;M37025;X
175085;Minister of Security;Jorge Lopez Suyo;1941;1964;1999;LWR;Prince of Terror;Low;M37109;X
175086;Minister of Security;Darío Echandía;1946;1964;1999;LWR;Compassionate Gentleman;Medium;M37045;X
175087;Head of Military Intelligence;Jorge Lopez Suyo;1942;1964;1999;SD;Political Specialist;Low;M37109;X
175088;Head of Military Intelligence;Manuel Arizan Lopez;1944;1964;1999;SD;Technical Specialist;Low;M37112;X
175089;Head of Military Intelligence;Eduardo Santos Montejo;1938;1964;1999;SL;Technical Specialist;Medium;M37032;X
175090;Head of Military Intelligence;Mauricio Soto Gomez;1942;1964;1999;SL;Naval Intelligence Specialist;Medium;M37081;X
175091;Head of Military Intelligence;Enrico Díaz Carias;1946;1964;1999;SL;Political Specialist;Low;M37116;X
175092;Head of Military Intelligence;Eduardo Porier Escobar;1938;1964;1999;SC;Logistics Specialist;Medium;M37008;X
175093;Head of Military Intelligence;Antonio Acevedo Escobar;1942;1964;1999;SC;Dismal Enigma;Medium;M37014;X
175094;Head of Military Intelligence;Guillermo Padilla Manrique;1945;1964;1999;SC;Dismal Enigma;Medium;M37119;X
175095;Head of Military Intelligence;José Ellis Quinsado;1938;1964;1999;FA;Logistics Specialist;Medium;M37016;X
175096;Head of Military Intelligence;Melitón Rodriguez Roldan;1946;1964;1999;PA;Political Specialist;Low;M37013;X
175097;Head of Military Intelligence;Enrico Díaz Carias;1947;1964;1999;PA;Dismal Enigma;Low;M37116;X
175098;Head of Military Intelligence;Querista Sellor;1938;1964;1999;ST;Dismal Enigma;Medium;M37021;X
175099;Head of Military Intelligence;Leon de Greiff;1946;1964;1999;LWR;Technical Specialist;Very Low;M37025;X
175100;Chief of Staff;Luis Acevedo;1942;1964;1999;SD;School of Mass Combat;Medium;M37009;X
175101;Chief of Staff;José Guisa y Escalar;1943;1964;1999;SD;School of Defence;Medium;M37127;X
175102;Chief of Staff;Camilo Daza Alvarez;1938;1964;1999;SL;School of Psychology;Medium;M37078;X
175103;Chief of Staff;Eduardo Porier Escobar;1938;1964;1999;SC;School of Fire Support;High;M37008;X
175104;Chief of Staff;Salvador Tiaga Gonzalez;1942;1964;1999;SC;School of Psychology;High;M37131;X
175105;Chief of Staff;Ruben Piedrahita Arango;1938;1964;1999;PA;School of Manoeuvre;Medium;M37017;X
175106;Chief of Staff;Gustavo Rojas Pinilla;1946;1964;1999;PA;School of Psychology;Medium;M37133;X
175107;Chief of Staff;Luis Bernardo Andrade;1938;1964;1999;ST;School of Psychology;Medium;M37027;X
175108;Chief of Staff;Jorge Lopez Suyo;1946;1964;1999;LWR;School of Manoeuvre;Low;M37109;X
175109;Chief of Army;Luis Acevedo;1938;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M37009;X
175110;Chief of Army;Gustavo Rojas Pinilla;1944;1964;1999;SD;Static Defence Doctrine;Medium;M37133;X
175111;Chief of Army;Manuel Quinones;1938;1964;1999;SL;Static Defence Doctrine;Medium;M37138;X
175112;Chief of Army;José Guisa y Escalar;1942;1964;1999;SL;Elastic Defence Doctrine;Medium;M37127;X
175113;Chief of Army;Ruben Piedrahita Arango;1938;1964;1999;SC;Decisive Battle Doctrine;Medium;M37017;X
175114;Chief of Army;Guillermo Padilla Manrique;1946;1964;1999;SC;Guns and Butter Doctrine;Medium;M37119;X
175115;Chief of Army;Querista Sellor;1938;1964;1999;ST;Guns and Butter Doctrine;Medium;M37021;X
175116;Chief of Navy;Mario Espinoza Gacitua;1938;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M37019;X
175117;Chief of Navy;Mauricio Soto Gomez;1945;1964;1999;SL;Open Seas Doctrine;Medium;M37081;X
175118;Chief of Navy;Salvador Tiaga Gonzalez;1938;1964;1999;SC;Base Control Doctrine;High;M37131;X
175119;Chief of Navy;Gabriel Quintanilla Morales;1938;1964;1999;LWR;Power Projection Doctrine;Medium;M37029;X
175120;Chief of Air Force;Luis Acevedo;1942;1964;1999;SD;Naval Aviation Doctrine;Medium;M37009;X
175121;Chief of Air Force;Salvador Tiaga Gonzalez;1943;1964;1999;SD;Vertical Envelopment Doctrine;High;M37131;X
175122;Chief of Air Force;Manuel Quinones;1938;1964;1999;SL;Carpet Bombing Doctrine;Medium;M37138;X
175123;Chief of Air Force;Camilo Daza Alvarez;1942;1964;1999;SL;Air Superiority Doctrine;Medium;M37078;X
175124;Chief of Air Force;Arturo Lema Pasada;1945;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M37154;X
175125;Chief of Air Force;Felix Mercado;1938;1964;1999;SC;Army Aviation Doctrine;Medium;M37156;X
175126;Chief of Air Force;Enrico Díaz Carias;1942;1964;1999;SC;Naval Aviation Doctrine;Low;M37116;X
175127;Chief of Air Force;Luis Rodriguez;1938;1964;1999;PA;Carpet Bombing Doctrine;Medium;M37020;X
175128;Chief of Air Force;German Olano;1945;1964;1999;PA;Air Superiority Doctrine;Medium;M37010;X
175129;Chief of Air Force;Luis Bernardo Andrade;1938;1964;1999;ST;Naval Aviation Doctrine;Medium;M37027;X
175130;Chief of Air Force;Raphael Hollmann;1946;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M37094;X
175131;Head of State;Alfonso López Pumarejo;1942;1964;1999;SD;Weary Stiffneck;High;M37001;X
175132;Head of State;Gustavo Rojas Pinilla;1945;1964;1999;SD;Resigned Generalissimo;High;M37040;X
175133;Head of State;Laureano Gómez Castro;1950;1964;1999;SC;Barking Buffoon;High;M37067;X
175134;Chief of Army;Gabriel Paris Gordillo;1952;1964;1999;SD;Elastic Defence Doctrine;Medium;M37169;X
175135;Chief of Army;Pedro Nel Ospina;1914;1933;1999;SC;Static Defence Doctrine;Very High;2363;X
175136;Chief of Army;Rafael del Corral;1914;1933;1999;SC;Decisive Battle Doctrine;Very High;unknownminister;X
175137;Chief of Staff;Pedro Nel Ospina;1914;1933;1999;SC;School of Defence;Very High;2363;X
175138;Chief of Staff;Rafael del Corral;1914;1933;1999;SC;School of Defence;Very High;unknownminister;X
175139;Chief of Staff;Guillermo Quintero Calderón;1914;1933;1999;SC;School of Mass Combat;Very High;2364;X
175140;Chief of Staff;Pedro M. Carreño;1914;1933;1999;SC;School of Mass Combat;Very High;5968;X
175141;Chief of Staff;Gral. Isaías Luján;1914;1933;1999;PA;School of Mass Combat;High;unknownminister;X
175142;Chief of Staff;Guillermo Valencia Castillo;1915;1933;1999;SC;School of Fire Support;High;2365;X
175143;Chief of Staff;Gral. Pedro Justo Berrío;1915;1933;1999;PA;School of Mass Combat;High;unknownminister;X
175144;Chief of Staff;Antonio José Cadavid;1915;1933;1999;SL;School of Mass Combat;High;unknownminister;X
175145;Chief of Staff;Gral. Salvador Franco;1916;1933;1999;PA;school of manoeuvre;High;unknownminister;X
175146;Chief of Staff;Jorge Roa;1918;1933;1999;SC;school of manoeuvre;High;unknownminister;X
175147;Chief of Staff;Bonifacio Vélez;1921;1933;1999;SC;School of Fire Support;High;unknownminister;X
175148;Chief of Staff;Aristóbulo Archila;1921;1933;1999;SC;School of Mass Combat;High;5969;X
175149;Chief of Staff;Carlos Vélez Daníes;1922;1933;1999;SC;school of defence;High;5970;X
175150;Chief of Staff;José Ulises Osorio;1922;1933;1999;SC;School of Mass Combat;High;5971;X
175151;Chief of Staff;Gral. Alfonso Jaramillo Isaza;1923;1933;1999;PA;School of Fire Support;High;unknownminister;X
175152;Chief of Staff;Gral. Carlos Jaramillo Isaza;1924;1933;1999;PA;School of Mass Combat;High;unknownminister;X
175153;Foreign Minister;Marco Fidel Suárez;1914;1933;1999;SC;Great Compromiser;Very High;2366;X
175154;Foreign Minister;Jorge Holguín;1914;1933;1999;SC;Ideological Crusader;Very High;2367;X
175155;Foreign Minister;Enrique Olaya Herrera;1914;1933;1999;SC;General Staffer;Very High;2368;X
175156;Foreign Minister;Pedro Antonio Molina;1917;1933;1999;SC;Biased Intellectual;High;unknownminister;X
175157;Foreign Minister;Hernando Holguín y Caro;1919;1933;1999;SC;Apologetic Clerk;High;unknownminister;X
175158;Foreign Minister;Francisco Montaña;1920;1933;1999;SC;Ideological Crusader;High;unknownminister;X
175159;Foreign Minister;Laureano García Ortiz;1920;1933;1999;SC;Apologetic Clerk;High;5972;X
175160;Foreign Minister;José Vicente Concha;1921;1933;1999;SC;Iron Fisted Brute;High;5973;X
175161;Foreign Minister;Carlos Adolfo Urueta;1921;1933;1999;SC;Ideological Crusader;High;5974;X
175162;Foreign Minister;Lucas Caballero Barrera;1922;1933;1999;SL;Biased Intellectual;High;5975;X
175163;Foreign Minister;Jorge Vélez;1922;1933;1999;SC;Apologetic Clerk;High;unknownminister;X
175164;Head of Government;José Vicente Concha;1914;1933;1999;SC;Flamboyant Tough Guy;Very High;5973;X
175165;Head of Government;Marco Fidel Suárez;1918;1933;1999;SC;silent workhorse;Very High;5976;X
175166;Head of Government;Gral. Jorge Holguín;1914;1933;1999;SC;naive optimist;Very High;2369;X
175167;Head of Government;Guillermo Quintero Calderón;1914;1933;1999;SC;Political Protege;High;5977;X
175168;Head of Government;Clodomiro Ramírez;1914;1933;1999;SC;Ambitious Union Boss;High;5978;X
175169;Head of Government;Pedro Antonio Molina;1918;1933;1999;SC;Ambitious Union Boss;High;unknownminister;X
175170;Head of Government;Gral. Marcelino Arango;1918;1933;1999;PA;Ambitious Union Boss;High;unknownminister;X
175171;Head of Government;Luis Cuervo Márquez;1919;1933;1999;SC;Ambitious Union Boss;High;5979;X
175172;Head of Government;Aristóbulo Archila;1921;1933;1999;SC;Ambitious Union Boss;High;5969;X
175173;Head of Government;Miguel Jiménez López;1921;1933;1999;SC;Ambitious Union Boss;High;unknownminister;X
175174;Head of Government;Luis Mejía Álvarez;1921;1933;1999;SC;Ambitious Union Boss;High;5980;X
175175;Head of Government;Gral. Gabino Hernández;1921;1933;1999;SC;Ambitious Union Boss;High;unknownminister;X
175176;Head of Government;Gral. Víctor Manuel Salazar;1921;1933;1999;SC;Ambitious Union Boss;High;unknownminister;X
175177;Head of Government;Miguel Jiménez López;1922;1933;1999;SC;Ambitious Union Boss;High;unknownminister;X
175178;Head of Government;José Ulises Osorio;1923;1933;1999;SC;Ambitious Union Boss;High;5971;X
175179;Head of Military Intelligence;Guillermo Valencia;1914;1933;1999;SC;political specialist;Very High;2365;X
175180;Head of State;José Vicente Concha;1914;1933;1999;SC;Stern Imperialist;Very High;5973;X
175181;Head of State;Marco Fidel Suárez;1918;1933;1999;SC;Autocratic Charmer;Very High;5976;X
175182;Head of State;Gral. Jorge Holguín;1921;1933;1999;PA;Benevolent Gentleman;Very High;2369;X
175183;Head of State;Pedro Nel Ospina;1920;1933;1999;SC;Autocratic Charmer;High;2363;X
175184;Minister of Security;Emilio Ferrero;1914;1933;1999;SC;Crime Fighter;High;5981;X
175185;Head of State;Enrique Olaya Herrera;1930;1937;1999;SC;Die-hard Reformer;High;3985;X
175186;Head of Government;Enrique Olaya Herrera;1930;1937;1999;SC;Silent Workhorse;High;3985;X
