IRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
125087;Head of Military Intelligence;Jack Lynch;1947;1964;1999;ML;Political Specialist;High;M25112;X
125088;Head of Military Intelligence;Liam Archer;1933;1942;1999;SC;Dismal Enigma;High;M25113;X
125089;Head of Military Intelligence;Joseph Walshe;1941;1964;1999;SC;Industrial Specialist;High;M25114;X
125090;Head of Military Intelligence;Thomas Teevan;1944;1964;1999;SC;Naval Intelligence Specialist;High;M25115;X
125091;Head of Military Intelligence;Sean MacEoin;1947;1964;1999;SC;Political Specialist;High;M25028;X
125092;Head of Military Intelligence;Donal Brackley;1933;1964;1999;FA;Industrial Specialist;High;M25014;X
125093;Head of Military Intelligence;Patrick Sweeney;1939;1964;1999;FA;Dismal Enigma;Medium;M25012;X
125094;Head of Military Intelligence;Sean Murray;1933;1964;1999;LE;Naval Intelligence Specialist;High;M25026;X
125095;Head of Military Intelligence;Betty Sinclair;1939;1964;1999;LE;Technical Specialist;High;M25104;X
125096;Chief of Staff;Norman Devlin;1933;1964;1999;SD;School of Manoeuvre;Very Low;M25121;X
125097;Chief of Staff;Seán O'Grady;1944;1964;1999;SD;School of Psychology;High;M25122;X
125098;Chief of Staff;Michael Brennan;1933;1964;1999;ML;School of Defence;High;M25123;X
125099;Chief of Staff;Dan Bryan;1939;1964;1999;ML;School of Fire Support;High;M25124;X
125100;Chief of Staff;Dan McKenna;1942;1964;1999;ML;School of Mass Combat;High;M25125;X
125101;Chief of Staff;Richard Mulcahy;1933;1964;1999;SC;School of Psychology;High;M25126;X
125102;Chief of Staff;Conor Maguire;1941;1964;1999;SC;School of Mass Combat;High;M25127;X
125103;Chief of Staff;Liam Archer;1947;1964;1999;SC;School of Fire Support;High;M25113;X
125104;Chief of Staff;Hubert de la Poer Gough;1914;1922;1999;PA;School of Mass Combat;High;M25017;X
125105;Chief of Staff;Padraig O'Connor;1933;1964;1999;LE;School of Psychology;High;M25027;X
125106;Chief of Staff;Frank Lynch;1941;1964;1999;LWR;School of Mass Combat;High;M25131;X
125107;Chief of Army;Cecil Lavery;1933;1964;1999;SD;Decisive Battle Doctrine;High;M25069;X
125108;Chief of Army;William Norton;1941;1964;1999;SD;Guns and Butter Doctrine;High;2494;X
125109;Chief of Army;Emmett Dalton;1947;1964;1999;ML;Elastic Defence Doctrine;High;M25134;X
125110;Chief of Army;Frank Fahy;1933;1964;1999;ML;Static Defence Doctrine;High;M25031;X
125111;Chief of Army;M.J. Costello;1937;1964;1999;ML;Elastic Defence Doctrine;High;M25007;X
125112;Chief of Army;Liam Archer;1933;1964;1999;SC;Armoured Spearhead Doctrine;High;M25113;X
125113;Chief of Army;Eoin O'Duffy;1933;1964;1999;FA;Elastic Defence Doctrine;High;M25138;X
125114;Chief of Army;Seán MacEoin;1933;1964;1999;LWR;Decisive Battle Doctrine;High;M25028;X
125115;Chief of Navy;A.T. Lawlor;1933;1964;1999;SD;Open Seas Doctrine;High;M25140;X
125116;Chief of Navy;S. O'Muiris;1941;1964;1999;SD;Decisive Naval Battle Doctrine;High;M25141;X
125117;Chief of Navy;Seán MacEntee;1933;1964;1999;ML;Open Seas Doctrine;High;M25004;X
125118;Chief of Navy;Thomas Derrig;1941;1964;1999;ML;Power Projection Doctrine;High;M25143;X
125119;Chief of Navy;Seán T. O'Ceallaigh;1944;1964;1999;ML;Base Control Doctrine;High;M25036;X
125120;Chief of Navy;A.H.J. Jerome;1947;1964;1999;ML;Indirect Approach Doctrine;High;M25145;X
125121;Chief of Navy;John O'Byrne;1933;1964;1999;SC;Power Projection Doctrine;High;M25081;X
125122;Chief of Navy;Eamonn Broy;1933;1964;1999;FA;Power Projection Doctrine;High;M25015;X
125123;Chief of Navy;William McCullough;1933;1964;1999;LWR;Decisive Naval Battle Doctrine;High;M25029;X
125124;Chief of Air Force;Cearbhall O'Dalaigh;1933;1964;1999;SD;Vertical Envelopment Doctrine;High;M25092;X
125125;Chief of Air Force;M.J. Costello;1933;1964;1999;ML;Army Aviation Doctrine;High;M25007;X
125126;Chief of Air Force;Oscar Traynor;1939;1964;1999;ML;Vertical Envelopment Doctrine;High;M25152;X
125127;Chief of Air Force;Charles Casey;1941;1964;1999;ML;Air Superiority Doctrine;High;M25153;X
125128;Chief of Air Force;W. Delamere;1944;1964;1999;ML;Naval Aviation Doctrine;High;M25154;X
125129;Chief of Air Force;H.T. Green;1933;1964;1999;SC;Naval Aviation Doctrine;High;M25009;X
125130;Chief of Air Force;P. Quinn;1944;1964;1999;SC;Carpet Bombing Doctrine;High;M25156;X
125131;Chief of Air Force;Jack White;1933;1964;1999;FA;Army Aviation Doctrine;High;M25020;X
125132;Chief of Air Force;Pieras Beaslai;1933;1964;1999;LWR;Air Superiority Doctrine;High;M25030;X
125133;Head of State;Seán T. O'Ceallaigh;1947;1964;1999;SC;Autocratic Charmer;High;M25036;X
125134;Foreign Minister;Frank Aiken;1951;1964;1999;ML;Great Compromiser;High;M25074;X
125135;Minister of Armament;Oscar Traynor;1939;1964;1999;ML;Infantry Proponent;High;M25111;X
125136;Minister of Armament;Kevin O'Higgins;1948;1964;1999;SC;Military Entrepreneur;High;2681;X
125137;Chief of Staff;Oscar Traynor;1939;1964;1999;ML;School of Mass Combat;High;6070;x
125138;Head of State;George V;1914;1936;1999;ML;Stern Imperialist;High;2474;X
125139;Head of State;Denis McCullough;1914;1916;1999;SL;Weary Stiffneck;High;2476;X
125140;Head of State;Thomas Ashe;1916;1917;1999;SD;Benevolent Gentleman;High;2466;X
125141;Head of State;Sean McGarry;1917;1919;1999;SD;Insignificant Layman;High;2477;X
125142;Head of State;Cathal Brugha;1919;1922;1999;SD;Benevolent Gentleman;High;2683;X
125143;Head of State;Eamon De Valera;1919;1926;1999;SD;Die-hard Reformer;High;2491;X
125144;Head of State;Arthur Griffith;1922;1923;1999;SD;Benevolent Gentleman;High;2685;X
125145;Head of State;Timothy Healy;1922;1928;1999;ML;Insignificant Layman;High;2473;X
125146;Head of State;James MacNeill;1928;1932;1999;ML;Pig-headed Isolationist;High;3814;X
125147;Head of Government;Denis McCullough;1914;1916;1999;SL;Happy Amateur;High;2476;X
125148;Head of Government;John Redmond;1900;1918;1999;ML;Silent Workhorse;High;2686;X
125149;Head of Government;John Dillon;1918;1927;1999;ML;Happy Amateur;High;2687;X
125150;Head of Government;Joseph Devlin;1918;1934;1999;ML;Silent Workhorse;High;2469;X
125151;Head of Government;Eamon de Valera;1917;1926;1999;SD;Flamboyant Tough Guy;High;2491;X
125152;Head of Government;Arthur Griffith;1922;1923;1999;SD;Silent Workhorse;High;2685;X
125153;Head of Government;Michael Collins;1922;1923;1999;SL;Flamboyant Tough Guy;High;2677;X
125154;Foreign Minister;Joseph Devlin;1914;1934;1999;ML;Biased Intellectual;Undying;2469;X
125155;Foreign Minister;George Noble Plunkett;1917;1936;1999;SD;Great Compromiser;High;2682;X
125156;Foreign Minister;Arthur Griffith;1918;1922;1999;SD;Biased Intellectual;Undying;2685;X
125157;Foreign Minister;George Gavan Duffy;1922;1933;1999;SL;Iron Fisted Brute;High;2470;X
125159;Foreign Minister;Desmond Fitzgerald;1922;1943;1999;SL;Great Compromiser;High;2679;X
125160;Minister of Armament;John Dillon;1914;1927;1999;ML;Administrative Genius;High;2687;X
125161;Minister of Armament;Eoin MacNeill;1916;1933;1999;SD;Resource Industrialist;High;2684;X
125162;Minister of Armament;Michael Collins;1919;1922;1999;SL;Administrative Genius;High;2677;X
125163;Minister of Armament;Ernest Blythe;1919;1932;1999;SD;laissez-faire capitalist;High;2467;X
125164;Minister of Armament;W.T. Cosgrave;1922;1933;1999;SC;Resource Industrialist;High;2680;X
125165;Minister of Armament;Joseph McGrath;1922;1924;1999;ML;Resource Industrialist;High;2478;X
125166;Minister of Security;John Redmond;1900;1918;1999;ML;Man of the People;High;2686;X
125167;Minister of Security;John Dillon;1918;1927;1999;ML;Silent Lawyer;High;2687;X
125168;Minister of Security;Michael Collins;1916;1922;1999;SL;Crime Fighter;High;2677;X
125169;Minister of Security;Arthur Griffith;1919;1922;1999;SD;Compassionate Gentleman;High;2685;X
125170;Minister of Security;Austin Stack;1921;1927;1999;SD;Silent Lawyer;High;2486;X
125171;Minister of Security;Eamonn Duggan;1922;1927;1999;SL;Silent Lawyer;High;2471;X
125172;Minister of Security;Kevin O'Higgins;1923;1927;1999;ML;Prince of Terror;High;2681;X
125173;Minister of Security;W.T. Cosgrave;1927;1933;1999;SC;Compassionate Gentleman;High;2680;X
125174;Minister of Security;James FitzGerald-Kenney;1927;1932;1999;ML;Silent Lawyer;High;3815;X
125175;Head of Military Intelligence;Michael Collins;1916;1922;1999;SL;Political Specialist;High;2468;X
125176;Head of Military Intelligence;Liam Tobin;1922;1924;1999;ML;Logistics Specialist;High;2487;X
125177;Head of Military Intelligence;Diarmuid O'Hergarty;1922;1933;1999;ML;Technical Specialist;High;2485;X
125178;Head of Military Intelligence;Joseph McGrath;1922;1924;1999;ML;Logistics Specialist;High;2478;X
125179;Head of Military Intelligence;David Neligan;1922;1924;1999;ML;Dismal Enigma;Medium;2479;X
125180;Head of Military Intelligence;Joseph E. Vize;1922;1933;1999;ML;Naval Intelligence Specialist;High;2488;X
125181;Chief of Staff;Michael Collins;1916;1922;1999;SL;School of Psychology;High;2468;X
125182;Chief of Staff;Cathal Brugha;1917;1922;1999;SD;School of Mass Combat;High;2683;X
125183;Chief of Staff;Richard Mulcahy;1919;1933;1999;SL;School of Manoeuvre;High;2678;X
125184;Chief of Staff;Eoin O'Duffy;1921;1933;1999;SC;School of Fire Support;High;2484;X
125185;Chief of Staff;Liam Lynch;1919;1922;1999;SD;School of Mass Combat;High;8147;X
125186;Chief of Staff;J.J. O'Connell;1921;1936;1999;ML;School of Psychology;High;2483;X
125187;Chief of Staff;Hugo MacNeill;1924;1946;1999;ML;School of Defence;High;2489;X
125188;Chief of Army;Michael Collins;1916;1922;1999;SL;Decisive Battle Doctrine;High;2468;X
125189;Chief of Army;Cathal Brugha;1917;1922;1999;SD;Elastic Defence Doctrine;High;2683;X
125190;Chief of Army;Richard Mulcahy;1919;1933;1999;SL;Decisive Battle Doctrine;High;2678;X
125191;Chief of Army;Eoin O'Duffy;1921;1933;1999;SC;Elastic Defence Doctrine;High;2484;X
125192;Chief of Army;Liam Lynch;1919;1922;1999;SD;Static Defence Doctrine;High;8147;X
125193;Chief of Army;J.J. O'Connell;1921;1936;1999;ML;Guns and Butter Doctrine;High;2483;X
125194;Chief of Army;Hugo MacNeill;1924;1946;1999;ML;Decisive Battle Doctrine;High;2489;X
125195;Chief of Navy;Joseph E. Vize;1919;1933;1999;ML;Base Control Doctrine;High;2488;X
125196;Chief of Air Force;James Fitzmaurice;1921;1929;1999;ML;Air Superiority Doctrine;High;2472;X
125197;Head of Government;Cathal Brugha;1914;1933;1999;SL;Flamboyant Tough Guy;High;2683;X
125198;Head of Military Intelligence;Dan Bryan;1942;1945;1956;SC;Dismal Enigma;High;M25124;X
