PAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
510035;Chief of Staff;Ali Djemal Pasha;1933;1964;1999;NS;School of Fire Support;Medium;M557035;X
510036;Chief of Staff;Sir Herbert Plumer;1933;1964;1999;PA;School of Defence;Medium;M557016;X
510037;Chief of Staff;Alan G. Cunningham;1941;1964;1999;ML;School of Manoeuvre;Medium;M557037;X
510038;Chief of Staff;Faruk Haydar;1933;1964;1999;SD;School of Psychology;Medium;M557033;X
510039;Chief of Staff;Jaafra Pasha;1933;1964;1999;LWR;School of Defence;Medium;M557039;X
510040;Chief of Army;Aly al-Muttalib;1933;1964;1999;NS;Guns and Butter Doctrine;Medium;M557040;X
510041;Chief of Army;Sir Greenfell Wauchope;1933;1964;1999;PA;Static Defence Doctrine;Medium;M557020;X
510042;Chief of Army;Lord John Gort;1942;1964;1999;ML;Armoured Spearhead Doctrine;Medium;L1138;X
510043;Chief of Army;Liwa al-Mawawiyi;1933;1964;1999;SD;Elastic Defence Doctrine;Medium;M557043;X
510044;Chief of Army;Sharif Nasir al-Qagli;1933;1964;1999;LWR;Guns and Butter Doctrine;Medium;M557026;X
510045;Chief of Navy;Ali Djemal Pasha;1933;1964;1999;NS;Base Control Doctrine;Medium;M557035;X
510046;Chief of Navy;Rodney Tatton-Sykes;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;L300023;X
510047;Chief of Navy;Alfred Howard;1933;1964;1999;SD;Open Seas Doctrine;Medium;M557047;X
510048;Chief of Navy;Ahmad Wasi Pasha;1933;1964;1999;LWR;Power Projection Doctrine;Medium;M557048;X
510049;Chief of Air Force;Mohammed Azmy Pasha;1933;1964;1999;NS;Army Aviation Doctrine;Medium;M512096;X
510050;Chief of Air Force;Abdullah Jaffer Dalal;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M557024;X
510051;Chief of Air Force;James Rogers;1933;1964;1999;SD;Carpet Bombing Doctrine;Medium;M557051;X
510052;Chief of Air Force;Muhammed al-Taif;1933;1964;1999;LWR;Naval Aviation Doctrine;Medium;M557052;X
510053;Chief of Staff;Hasan Salama;1947;1964;1999;ML;School of Defence;High;6095;x
510054;Chief of Staff;Yasser Arafat;1961;1964;1999;LWR;School of Mass Combat;High;6096;x 
