GEO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
475024;Foreign Minister;Patriarch Kalistrate Tsintadzhe;1933;1964;1999;SC;Iron Fisted Brute;High;M519024;X
475025;Foreign Minister;Alexander Nikuradze;1933;1964;1999;NS;Great Compromiser;High;M519025;X
475026;Minister of Armament;Batchua Zezvasdze;1933;1964;1999;ST;Resource Industrialist;Medium;M519026;X
475027;Minister of Armament;Beso Lominadzhe;1933;1964;1999;SD;Theoretical Scientist;Medium;M519027;X
475028;Minister of Armament;Tedore Sakhoia;1933;1964;1999;SD;Resource Industrialist;Medium;M519028;X
475029;Minister of Armament;Gheorghe Gvazava;1933;1964;1999;SL;laissez-faire capitalist;Medium;M519029;X
475030;Minister of Armament;Avel Enukidzhe;1933;1964;1999;SC;Air Superiority Proponent;High;M519030;X
475031;Minister of Armament;Vasil G. Tsereteli;1933;1964;1999;SC;Air to Ground Proponent;High;M519031;X
475032;Minister of Armament;Revaz Gabashvili;1933;1964;1999;NS;Infantry Proponent;High;M519032;X
475033;Minister of Security;Sergei Kavtaradzhe;1933;1964;1999;ST;Efficient Sociopath;Medium;M519033;X
475034;Minister of Security;Stalva Eliavi;1933;1964;1999;SD;Prince of Terror;Medium;M519034;X
475035;Minister of Security;Noe Jordania;1933;1964;1999;SL;Efficient Sociopath;Medium;M519035;X
475036;Minister of Security;Mehmed Abashidzhe;1933;1964;1999;SC;Back Stabber;Medium;M519036;X
475037;Minister of Security;Ali Mitaev;1933;1964;1999;SC;Crime Fighter;Medium;M519037;X
475038;Minister of Security;Ekvtime Takaishivili;1933;1964;1999;NS;Crime Fighter;Medium;M519038;X
475039;Head of Military Intelligence;Gyrogy Sturua;1933;1964;1999;ST;Logistics Specialist;Medium;M519039;X
475040;Head of Military Intelligence;Georgi Eliava;1933;1964;1999;SD;Technical Specialist;Medium;M519004;X
475041;Head of Military Intelligence;Nikoloz Kartsivadzhe;1933;1964;1999;SD;Political Specialist;Medium;M519041;X
475042;Head of Military Intelligence;Mihael Akhmeteli;1933;1964;1999;SL;Logistics Specialist;Medium;M519042;X
475043;Head of Military Intelligence;Markoz Tugushi;1933;1964;1999;SC;Dismal Enigma;Medium;M519043;X
475044;Head of Military Intelligence;Merab Kostava;1933;1964;1999;NS;Industrial Specialist;Medium;M519044;X
475045;Chief of Staff;Sekhnia Utchashvili;1933;1964;1999;ST;School of Defence;Medium;M519045;X
475046;Chief of Staff;Kakutsa Cholokashvili;1933;1964;1999;SD;School of Manoeuvre;Medium;M519046;X
475047;Chief of Staff;Shalva Karumidzhe;1933;1964;1999;SL;School of Mass Combat;Medium;M519047;X
475048;Chief of Staff;Konstantine Abkhazi;1933;1964;1999;SC;School of Fire Support;Medium;M519048;X
475049;Chief of Staff;Gaguca de Bagration;1933;1964;1999;NS;School of Manoeuvre;Medium;M519049;X
475050;Chief of Army;Alexei Brusilov;1933;1964;1999;ST;Static Defence Doctrine;Medium;M519050;X
475051;Chief of Army;Levan Razikashvili;1933;1964;1999;SD;Decisive Battle Doctrine;Medium;M519051;X
475052;Chief of Army;Wardan Tsulukidzhe;1933;1964;1999;SL;Elastic Defence Doctrine;Medium;M519052;X
475053;Chief of Army;Niko Nikoladzhe;1933;1964;1999;SC;Guns and Butter Doctrine;Medium;M519053;X
475054;Chief of Army;Shalva Maglakelidzhe;1933;1964;1999;NS;Static Defence Doctrine;Medium;M519054;X
475055;Chief of Navy;Valerian Bakradzhe;1933;1964;1999;ST;Base Control Doctrine;Medium;M519055;X
475056;Chief of Navy;dr. Samson Pirtskhalava;1933;1964;1999;SD;Power Projection Doctrine;Medium;M519056;X
475057;Chief of Navy;Grigol T. Robakidzhe;1933;1964;1999;SL;Open Seas Doctrine;Medium;M519057;X
475058;Chief of Navy;Gigla Demnadzhe;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M519058;X
475059;Chief of Navy;Franz Biwer;1933;1964;1999;NS;Indirect Approach Doctrine;Medium;M519059;X
475060;Chief of Air Force;Djaba Vepkhiadzhe;1933;1964;1999;ST;Army Aviation Doctrine;Medium;M519060;X
475061;Chief of Air Force;dr. Samson Pirtskhalava;1933;1964;1999;SD;Air Superiority Doctrine;Medium;M519056;X
475062;Chief of Air Force;Kote Andronikashvili;1933;1964;1999;SL;Naval Aviation Doctrine;Medium;M519062;X
475063;Chief of Air Force;Erich von Falkenhayn;1933;1964;1999;SC;Carpet Bombing Doctrine;Medium;M519063;X
475064;Chief of Air Force;Eduard Muhr;1933;1964;1999;NS;Air Superiority Doctrine;Medium;M519064;X
475065;Chief of Army;Giorgi Mazniashvili;1918;1933;1999;LE;STATIC DEFENCE DOCTRINE;Medium;unknownminister;X
475066;Chief of Staff;Giorgi Kvinitadze;1918;1933;1999;LE;SCHOOL OF MANOEUVRE;Medium;unknownminister;X
475067;Foreign Minister;Evgeni Gegechkori;1918;1933;1999;LE;IRON FISTED BRUTE;Medium;unknownminister;X
475068;Head of Government;Besarionis Ramishvili;1918;1933;1999;LE;Backroom Backstabber;Medium;2632;X
475069;Head of Government;Nikolozis Zhordania;1918;1933;1999;LE;Political Protege;Medium;unknownminister;X
475070;Head of State;Nikolozis Zhordania;1918;1933;1999;ST;Die-hard Reformer;Medium;2633;X
475071;Head of State;Nikoloz Ch'kheidze;1919;1933;1999;ST;Insignificant Layman;Medium;5982;X
475072;Head of State;P'ilipe Makharadze;1921;1933;1999;ST;Resigned Generalissimo;Medium;unknownminister;X
475073;Head of State;Polikarp Mdivani;1922;1933;1999;ST;Stern Imperialist;Medium;unknownminister;X
475074;Minister of Armament;Nestor Gardapkhadze;1918;1933;1999;LE;ADMINISTRATIVE GENIUS;Medium;unknownminister;X
475075;Minister of Security;Mikheil Tsereteli;1918;1933;1999;LE;CROOKED KLEPTOCRAT;Medium;unknownminister;X
