NEP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
395023;Minister of Armament;H.T.S Collins;1938;1964;1999;SC;Submarine Proponent;Medium;M75023;X
395024;Minister of Armament;W.R. Parker-Gill;1938;1964;1999;SC;laissez-faire capitalist;Medium;M75015;X
395025;Minister of Armament;Dhir Rana;1939;1964;1999;PA;Theoretical Scientist;Medium;M75014;X
395026;Minister of Armament;Padma Rana;1941;1964;1999;PA;Military Entrepreneur;Medium;M75008;X
395027;Minister of Armament;Kiran Rana;1941;1964;1999;PA;Air to Ground Proponent;Medium;M75010;X
395028;Minister of Armament;Sidney R. Planter;1942;1964;1999;SC;Resource Industrialist;Medium;M75028;X
395029;Minister of Armament;Robert Mainwaring;1943;1964;1999;SC;Tank Proponent;Medium;M75029;X
395030;Minister of Security;W.R. Parker-Gill;1939;1964;1999;SC;Back Stabber;Medium;M75015;X
395031;Minister of Security;Edward Cook;1937;1964;1999;SC;Efficient Sociopath;High;M75019;X
395032;Minister of Security;H.T.S Collins;1938;1964;1999;SC;Prince of Terror;Medium;M75023;X
395033;Minister of Security;Sidney R. Planter;1942;1964;1999;SC;Man of the People;Medium;M75028;X
395034;Minister of Security;Mohan Rana;1942;1964;1999;PA;Silent Lawyer;Medium;M75004;X
395035;Minister of Security;William Stevenson Meyer;1944;1964;1999;SC;Crime Fighter;Medium;M75018;X
395036;Minister of Security;Padma Rana;1945;1964;1999;PA;Compassionate Gentleman;Medium;M75008;X
395037;Head of Military Intelligence;H.T.S Collins;1933;1964;1999;SC;Naval Intelligence Specialist;Medium;M75023;X
395038;Head of Military Intelligence;Sidney R. Planter;1938;1964;1999;SC;Industrial Specialist;Medium;M75028;X
395039;Head of Military Intelligence;Robert Mainwaring;1940;1964;1999;SC;Logistics Specialist;Medium;M75029;X
395040;Head of Military Intelligence;Mohan Rana;1941;1964;1999;PA;Dismal Enigma;Medium;M75004;X
395041;Head of Military Intelligence;Edward Cook;1942;1964;1999;SC;Political Specialist;High;M75019;X
395042;Head of Military Intelligence;Dhir Rana;1944;1964;1999;PA;Technical Specialist;Medium;M75014;X
395043;Chief of Staff;Baber Rana;1941;1964;1999;PA;School of Manoeuvre;Medium;M75044;X
395044;Chief of Staff;Mohan Rana;1942;1964;1999;PA;School of Defence;Medium;M75004;X
395045;Chief of Staff;H.T.S Collins;1943;1964;1999;SC;School of Fire Support;Medium;M75023;X
395046;Chief of Staff;L.M. Potter;1944;1964;1999;SC;School of Mass Combat;Medium;M75047;X
395047;Chief of Staff;Padma Rana;1945;1964;1999;PA;School of Psychology;Medium;M75008;X
395048;Chief of Army;Robert Mainwaring;1940;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M75029;X
395049;Chief of Army;L.M. Potter;1941;1964;1999;SC;Decisive Battle Doctrine;Medium;M75047;X
395050;Chief of Army;Baber Rana;1941;1964;1999;PA;Elastic Defence Doctrine;Medium;M75044;X
395051;Chief of Army;Mohan Rana;1945;1964;1999;PA;Static Defence Doctrine;Medium;M75004;X
395052;Chief of Navy;H.T.S Collins;1938;1964;1999;SC;Indirect Approach Doctrine;Medium;M75023;X
395053;Chief of Air Force;H.T.S Collins;1937;1964;1999;SC;Carpet Bombing Doctrine;Medium;M75023;X
395054;Chief of Air Force;Gehendra Rana;1945;1964;1999;PA;Air Superiority Doctrine;Medium;M75022;X
395055;Chief of Staff;Pyar Jung Thapa;1946;1964;1999;PA;School of Mass Combat;Medium;M75057;X
395056;Head of Government;Matrika Koirala;1951;1964;1999;SL;Ambitious Union Boss;High;M75058;X
395057;Head of Government;Chandra Shumshere Rana;1914;1933;1999;PA;Corporate Suit;Medium;5777;X
395058;Head of State;Tribhuhvan Bir Bikram Shah;1914;1933;1999;PA;Ruthless Powermonger;High;5778;X
