EGY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
340038;Foreign Minister;Abdelhamid Badawi Pasha;1946;1964;1999;ML;The Cloak N Dagger Schemer;High;M512038;X
340039;Foreign Minister;Ahmed Lofti al Sayed;1946;1964;1999;ML;Biased Intellectual;High;M512039;X
340040;Foreign Minister;Elie Nessim Mosseri;1933;1964;1999;SL;Great Compromiser;High;M512040;X
340041;Foreign Minister;Ali Mahir Pasha;1942;1964;1999;SL;The Cloak N Dagger Schemer;High;M512002;X
340042;Foreign Minister;Aly Chamsy Pasha;1933;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M512042;X
340043;Foreign Minister;Wasef Boutros Ghali;1940;1964;1999;SD;Great Compromiser;High;M512023;X
340044;Foreign Minister;Mustafa an-Nahhas Pasha;1942;1964;1999;SD;General Staffer;High;M512005;X
340045;Minister of Armament;Faruq I;1933;1964;1999;SC;Corrupt Kleptocrat;High;M512045;X
340046;Minister of Armament;Aly Tahal;1941;1964;1999;SC;laissez-faire capitalist;High;M512046;X
340047;Minister of Armament;Muhammad Mahmoud Pasha;1943;1964;1999;SC;Resource Industrialist;High;M512017;X
340048;Minister of Armament;Abdelhamid Soliman;1945;1964;1999;SC;Air Superiority Proponent;Medium;M512048;X
340049;Minister of Armament;Wahid Ghaylam Pasha;1933;1964;1999;ML;laissez-faire capitalist;Medium;M512049;X
340050;Minister of Armament;Taalat Harb;1938;1964;1999;ML;Administrative Genius;Medium;M512050;X
340051;Minister of Armament;Talal al-Quros;1941;1964;1999;ML;Air to Ground Proponent;High;M512051;X
340052;Minister of Armament;Salib Sami Bey;1945;1964;1999;ML;Tank Proponent;High;M512031;X
340053;Minister of Armament;Mohammed Salah al Din;1933;1964;1999;SL;Air to Sea Proponent;High;M512053;X
340054;Minister of Armament;Ali Hassouna Pasha;1941;1964;1999;SL;Infantry Proponent;High;M512054;X
340055;Minister of Armament;Aly Amir Pasha;1945;1964;1999;SL;Administrative Genius;High;M512055;X
340056;Minister of Armament;Mohammed Fahmy al-Kaiss;1933;1964;1999;SD;Strategic Air Proponent;High;M512056;X
340057;Minister of Armament;Abd el-Azim;1942;1964;1999;SD;Infantry Proponent;High;M512057;X
340058;Minister of Armament;Aga I Khan;1944;1964;1999;SD;Resource Industrialist;High;M512058;X
340059;Minister of Security;Amil al-Husseini;1938;1964;1999;SC;Efficient Sociopath;High;M512059;X
340060;Minister of Security;Muhammad Mahmoud Pasha;1940;1964;1999;SC;Compassionate Gentleman;High;M512017;X
340061;Minister of Security;H.R.H. Nawal Zaki;1943;1964;1999;SC;Man of the People;High;M512061;X
340062;Minister of Security;Kamel Nabih Pasha;1933;1964;1999;ML;Man of the People;Medium;M512062;X
340063;Minister of Security;Sir Ralph Stevenson;1942;1964;1999;ML;Prince of Terror;Medium;M512063;X
340064;Minister of Security;Romarcos Hanna Pasha;1944;1964;1999;ML;Crime Fighter;Medium;M512064;X
340065;Minister of Security;Salib Samir Pasha;1933;1964;1999;SL;Back Stabber;Medium;M512065;X
340066;Minister of Security;Mohammed Najib Pasha;1942;1964;1999;SL;Compassionate Gentleman;Medium;M512066;X
340067;Minister of Security;Mohammed Hilmi Issa;1945;1964;1999;SL;Man of the People;Medium;M512006;X
340068;Minister of Security;Gaafaar Waly Pasha;1933;1964;1999;SD;Back Stabber;Medium;M512068;X
340069;Minister of Security;Makran Ebeid Pasha;1940;1964;1999;SD;Man of the People;Medium;M512069;X
340070;Minister of Security;Ali Hilali Pasha;1946;1964;1999;SD;Crime Fighter;Medium;M512070;X
340071;Head of Military Intelligence;Mohammed al Fransawi;1933;1964;1999;SC;Technical Specialist;Medium;M512004;X
340072;Head of Military Intelligence;Pierre Lacau;1941;1964;1999;SC;Industrial Specialist;Medium;M512072;X
340073;Head of Military Intelligence;Solima Sami;1933;1964;1999;ML;Naval Intelligence Specialist;Medium;M512073;X
340074;Head of Military Intelligence;Aly Chamsy Pasha;1933;1964;1999;SL;Industrial Specialist;Medium;M512027;X
340075;Head of Military Intelligence;George Cresswell;1942;1964;1999;SL;Dismal Enigma;Medium;M512076;X
340076;Head of Military Intelligence;Aga I Khan;1933;1964;1999;SD;Industrial Specialist;Medium;M512077;X
340077;Head of Military Intelligence;Wahid Raafat;1944;1964;1999;SD;Technical Specialist;Medium;M512078;X
340078;Chief of Staff;Abdelhamid Soliman;1938;1964;1999;SC;School of Psychology;Medium;M512048;X
340079;Chief of Staff;Hassan Sirry Pasha;1933;1964;1999;ML;School of Defence;High;M512019;X
340080;Chief of Staff;Abil Nashran;1941;1964;1999;ML;School of Manoeuvre;Medium;M512080;X
340081;Chief of Staff;Mohammed Aflatan;1933;1964;1999;SL;School of Mass Combat;Medium;M512083;X
340082;Chief of Staff;Abdallah Ziwar Pasha;1933;1964;1999;SD;School of Manoeuvre;High;M512009;X
340083;Chief of Army;Mohammed Naguib;1943;1964;1999;SC;Decisive Battle Doctrine;High;M512088;X
340084;Chief of Army;Hassan Sirry Pasha;1933;1964;1999;ML;Elastic Defence Doctrine;High;M512019;X
340085;Chief of Army;Mustafa Kamel;1933;1964;1999;SL;Decisive Battle Doctrine;High;M512087;X
340086;Chief of Army;Wasef Boutros Ghali;1933;1964;1999;SD;Guns and Butter Doctrine;High;M512023;X
340087;Chief of Navy;Mohammed Azmy Pasha;1943;1964;1999;SC;Base Control Doctrine;Medium;M512096;X
340088;Chief of Navy;Talal al-Quros;1933;1964;1999;ML;Indirect Approach Doctrine;High;M512051;X
340089;Chief of Navy;Pierre Lacau;1933;1964;1999;SL;Power Projection Doctrine;Medium;M512072;X
340090;Chief of Navy;Aly Hamid Pasha;1942;1964;1999;SL;Base Control Doctrine;Medium;M512072;X
340091;Chief of Navy;Wahid Raafat;1944;1964;1999;SD;Power Projection Doctrine;Medium;M512078;X
340092;Chief of Air Force;Abdelhamid Soliman;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M512048;X
340093;Chief of Air Force;Mohammed Azmy Pasha;1943;1964;1999;SC;Army Aviation Doctrine;Medium;M512096;X
340094;Chief of Air Force;Mohammed Nasheed;1933;1964;1999;ML;Army Aviation Doctrine;Medium;M512105;X
340095;Chief of Air Force;Ali Mahir Pasha;1933;1964;1999;SL;Naval Aviation Doctrine;High;M512002;X
340096;Chief of Air Force;Aly Chamsy Pasha;1941;1964;1999;SL;Carpet Bombing Doctrine;Medium;M512027;X
340097;Chief of Air Force;Aga I Khan;1933;1964;1999;SD;Army Aviation Doctrine;Medium;M512077;X
340098;Chief of Air Force;Solima Sami;1942;1964;1999;SD;Naval Aviation Doctrine;Medium;M512073;X
340099;Head of State;Mohammed Naguib;1952;1964;1999;SD;Resigned Generalissimo;High;M512088;X
340100;Head of Government;Ibrahim Abdel Hadi;1949;1964;1999;SC;Political Protege;High;M512033;X
340101;Head of Government;Mohammed Naguib;1952;1964;1999;SD;Old General;High;M512088;X
340102;Minister of Armament;Noureddin Arraf;1952;1964;1999;SD;Theoretical Scientist;High;M512114;X
340103;Minister of Security;Kamaleddin Hussein;1952;1964;1999;SD;Prince of Terror;Medium;M512115;X
340104;Chief of Staff;Mohammed Naguib;1952;1964;1999;SD;School of Mass Combat;High;M512088;X
340105;Chief of Army;Gamal Abdel Nasser;1952;1964;1999;SD;Armoured Spearhead Doctrine;High;6003;X
340106;Chief of Air Force;Gamal Abdel Nasser;1952;1964;1999;SD;Carpet Bombing Doctrine;Medium;6003;X
340107;Chief of Army;Sir Rex Wingate;1914;1933;1999;ML;Decisive Battle Doctrine;High;2418;X
340108;Chief of Army;Sir Lee Stack;1914;1933;1999;ML;elastic defence doctrine;High;2419;X
340109;Chief of Staff;Sir Lee Stack;1914;1933;1999;ML;School of Fire Support;High;2419;X
340110;Chief of Staff;Sir Rex Wingate;1914;1933;1999;ML;school of manoeuvre;High;2418;X
340111;Foreign Minister;Mahmud Fakhri Pasha;1922;1933;1999;SL;Biased Intellectual;Very High;3746;X
340112;Foreign Minister;Abd al-Khalek Tharwat Pasha;1914;1933;1999;SL;Great Compromiser;Very High;2420;X
340113;Foreign Minister;Ahmad Hishmet Pasha;1923;1933;1999;SL;Great Compromiser;Very High;2422;X
340114;Foreign Minister;Ahmad Ziwer Pasha;1924;1933;1999;SL;Great Compromiser;Very High;2421;X
340115;Foreign Minister;Wasif Boutros Ghali Effendi;1914;1933;1999;FA;Ideological Crusader;High;M512023;X
340116;Foreign Minister;Tawfiq Rifaat Pasha;1923;1933;1999;SL;Ideological Crusader;Very High;unknownminister;X
340117;Foreign Minister;Wasif Boutros Ghali Effendi;1924;1933;1999;LWR;Ideological Crusader;Very High;M512023;X
340118;Head of Government;Muhammad Tawfiq Nasim Pasha;1922;1933;1999;SL;Backroom Backstabber;Very High;2423;X
340119;Head of Government;Yahya Ibrahim Pasha;1923;1933;1999;SL;Flamboyant Tough Guy;Very High;2424;X
340120;Head of Government;Sa'ad Zaghlul Pasha;1924;1933;1999;LWR;Happy Amateur;Very High;2425;X
340121;Head of Government;Ahmad Ziwer Pasha;1924;1933;1999;SL;Naive Optimist;Very High;2421;X
340122;Head of Government;Sa'ad Zaghlul Pasha;1914;1933;1999;PA;Political Protege;Very High;2425;X
340123;Head of Government;Abd al-Khalek Tharwat Pasha;1914;1933;1999;SL;Smiling Oilman;Very High;2420;X
340124;Head of State;Sa'ad Zaghlul Pasha;1914;1933;1999;PA;powerhungry demagogue;Very High;2425;X
340125;Head of State;Abbas Hilmi II;1914;1933;1999;PA;Die-hard Reformer;Very High;2426;X
340126;Head of State;Fuad;1914;1933;1999;ML;Autocratic Charmer;Very High;M512001;X
340127;Minister of Armament;Adly Yakan Pasha;1914;1933;1999;SL;Administrative Genius;Very High;2427;X
340128;Minister of Armament;Ahmad Hishmet Pasha;1923;1933;1999;SL;Laissez-Faire Capitalist;Very High;2422;X
340129;Minister of Armament;Muhammad Tawfiq Nasim Pasha;1924;1933;1999;SL;Resource Industrialist;Very High;2423;X
340130;Minister of Armament;Ahmad Ziwer Pasha;1924;1933;1999;SL;military entrepreneur;Very High;2421;X
340131;Minister of Security;Ahmad Hishmet Pasha;1923;1933;1999;SL;Compassionate Gentleman;Very High;2422;X
340132;Minister of Security;Ismail Sidqi;1924;1933;1999;SL;Crime Fighter;Very High;2428;X
340133;Minister of Security;Fathallah Barakat;1924;1933;1999;LWR;Man of the People;Very High;2429;X
340134;Minister of Security;Adly Yakan Pasha;1914;1933;1999;SL;Silent Lawyer;Medium;2427;X
340135;Chief of Staff;Oskar Munzel;1951;1964;1999;PA;School of Fire Support;High;5994;x
340136;Head of State;Abdel Hakim Amer;1955;1964;1999;LE;Resigned Generalissimo;Medium;5995;x
340137;Head of Government;Abdel Hakim Amer;1955;1964;1999;LE;Old General;Medium;5995;x
340138;Chief of Army;Abdel Hakim Amer;1955;1964;1999;LE;Armoured Spearhead Doctrine;Medium;5995;x
340139;Chief of Army;Abdel Hakim Amer;1955;1964;1999;LWR;Armoured Spearhead Doctrine;Medium;5995;x
340140;Chief of Army;Abdel Latif Boghdadi;1954;1964;1999;LWR;Static Defence Doctrine;Medium;5996;x
340141;Minister of Security;Abdel Latif Boghdadi;1953;1964;1999;LWR;Man of the People;Medium;5996;x
340142;Head of Military Intelligence;Ali Sabri;1955;1964;1999;SD;Dismal Enigma;High;5997;x
340143;Head of Military Intelligence;Ali Sabri;1955;1964;1999;LWR;Dismal Enigma;High;5997;x
340144;Foreign Minister;Anwar El Sadat;1951;1964;1999;LWR;General Staffer;High;5998;x
340145;Foreign Minister;Anwar El Sadat;1951;1964;1999;PA;General Staffer;High;5998;x
340146;Minister of Security;Gamal Salem;1954;1964;1999;LWR;Prince of Terror;Medium;5999;x
340147;Minister of Armament;Khaled Mohieddin;1952;1964;1999;LE;Tank Proponent;Medium;6000;x
340148;Minister of Armament;Khaled Mohieddin;1952;1964;1999;LWR;Tank Proponent;Medium;6000;x
340149;Chief of Staff;Aziz Ali Al-Masri;1937;1964;1999;FA;School of Manoeuvre;Very High;6001;x
340150;Chief of Army;Hussein El-Shafei;1954;1964;1999;SD;Decisive Battle Doctrine;Very High;6002;x
340151;Chief of Staff;Hussein El-Shafei;1944;1964;1999;SD;School of Mass Combat;Very High;6002;x
340152;Head of Government;Gamal Abdel Nasser;1954;1964;1999;SD;Flamboyant Tough Guy;Very High;6003;x
340153;Head of State;Gamal Abdel Nasser;1956;1964;1999;SD;Die-hard Reformer;Very High;6003;x
340154;Chief of Army;Mohamed Hussein Tantawi;1957;1964;1999;SD;Armoured Spearhead Doctrine;Very High;6004;x
340155;Chief of Staff;Mohamed Hussein Tantawi;1957;1964;1999;SD;School of Fire Support;Very High;6004;x
340156;Chief of Staff;Zakaria Mohieddin;1948;1964;1999;SD;School of Psychology;High;6005;x
340157;Minister of Security;Zakaria Mohieddin;1951;1964;1999;SD;Silent Lawyer;High;6005;x
340158;Head of Military Intelligence;Zakaria Mohieddin;1951;1964;1999;SD;Political Specialist;High;6005;x
340159;Head of State;Muhammad Naguib;1953;1964;1999;ML;Stern Imperialist;Very High;6006;x
340160;Head of Government;Muhammad Naguib;1953;1964;1999;ML;Old General;Very High;6006;x
340161;Chief of Staff;Muhammad Naguib;1944;1964;1999;ML;School of Defence;Very High;6006;x
340162;Minister of Armament;Muhammad Naguib;1952;1964;1999;ML;Infantry Proponent;Very High;6006;x
340163;Chief of Navy;Muhammad Naguib;1940;1964;1999;ML;Indirect Approach Doctrine;High;6006;x
340164;Minister of Security;Salah Nasr;1957;1964;1999;SD;Crime Fighter;High;6007;x
340165;Foreign Minister;Salah Salem;1953;1964;1999;LWR;The Cloak N Dagger Schemer;Medium;6008;x
340166;Minister of Security;Sayyid Qutb;1952;1964;1999;PA;Silent Lawyer;High;6009;x
