FRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
5088;Minister of Security;Henri Roy;1938;1964;1999;SL;Man of the People;Medium;M2107;X
5089;Minister of Security;Louis-Georges Mandel;1940;1964;1999;SL;Crime Fighter;Low;M2108;X
5090;Minister of Security;Jean Maillet;1947;1964;1999;SL;Back Stabber;High;M2109;X
5091;Minister of Security;Joseph Paganon;1933;1964;1999;SC;Silent Lawyer;Medium;M2006;X
5092;Minister of Security;Gaston Alexandre Clauzel;1938;1964;1999;SC;Man of the People;High;M2111;X
5093;Minister of Security;René Nicolau;1941;1964;1999;SC;Compassionate Gentleman;High;M2112;X
5094;Minister of Security;André Marie;1947;1964;1999;ML;Prince of Terror;Medium;M2041;X
5095;Minister of Security;Camille Chautemps;1932;1964;1999;SC;Man of the People;Medium;M2036;X
5096;Minister of Security;Robert Schumann;1944;1964;1999;ML;Crime Fighter;Medium;M2088;X
5097;Minister of Security;André Le Troquer;1945;1964;1999;SC;Compassionate Gentleman;Medium;M2072;X
5098;Minister of Security;Lucien Micol;1933;1964;1999;ST;Crime Fighter;High;M2015;X
5099;Minister of Security;Claudine Chomat;1937;1964;1999;ST;Efficient Sociopath;Medium;M2118;X
5100;Minister of Security;Henri Gourdeaux;1938;1964;1999;ST;Silent Lawyer;High;M2119;X
5101;Minister of Security;Jean-Marie Clamamus;1940;1964;1999;ST;Man of the People;Medium;M2120;X
5102;Minister of Security;Maurice Thorez;1944;1964;1999;ST;Prince of Terror;Very High;M2011;X
5103;Minister of Security;Eugene Dunoyer de Segonzac;1938;1964;1999;PA;Compassionate Gentleman;Very High;M2122;X
5104;Minister of Security;Roger Salengro;1933;1937;1999;SD;Compassionate Gentleman;Medium;M2123;X
5105;Head of Military Intelligence;Felix Gouin;1937;1964;1999;SD;Technical Specialist;Medium;M2034;X
5106;Head of Military Intelligence;Daniel Mayer;1941;1964;1999;SD;Logistics Specialist;Medium;M2023;X
5107;Head of Military Intelligence;André Le Troquer;1947;1964;1999;SD;Dismal Enigma;Medium;M2072;X
5108;Head of Military Intelligence;Pierre Etienne Flandin;1932;1964;1999;SL;Dismal Enigma;Low;M2003;X
5109;Head of Military Intelligence;Maurice Delage;1941;1964;1999;SL;Technical Specialist;High;M2129;X
5110;Head of Military Intelligence;Aimé Lepercq;1947;1964;1999;SL;Industrial Specialist;High;M2130;X
5111;Head of Military Intelligence;René Nicolau;1933;1964;1999;SC;Dismal Enigma;High;M2112;X
5112;Head of Military Intelligence;Jacques Brunschwig;1938;1964;1999;SC;Naval Intelligence Specialist;High;M2132;X
5113;Head of Military Intelligence;André Marie;1940;1964;1999;ML;Technical Specialist;Medium;M2041;X
5114;Head of Military Intelligence;Charles Luizet;1940;1964;1999;ML;Technical Specialist;High;5905;X
5115;Head of Military Intelligence;André de Wawrin-Passy;1942;1964;1999;SC;Logistics Specialist;High;M2135;X
5116;Head of Military Intelligence;Roger Lantenois;1944;1964;1999;SC;Industrial Specialist;High;M2136;X
5117;Head of Military Intelligence;André Boulloche;1946;1964;1999;SC;Dismal Enigma;High;M2137;X
5118;Head of Military Intelligence;Waldeck Rochet;1933;1964;1999;ST;Dismal Enigma;High;M2016;X
5119;Head of Military Intelligence;Jean-Marie Clamamus;1938;1964;1999;ST;Industrial Specialist;Medium;M2120;X
5120;Head of Military Intelligence;Henri Gourdeaux;1941;1964;1999;ST;Logistics Specialist;High;M2119;X
5121;Head of Military Intelligence;Gustave Guéhenneux;1947;1964;1999;ST;Technical Specialist;Medium;M2141;X
5122;Head of Military Intelligence;Paul Repiton-Preneuf;1938;1964;1999;PA;Logistics Specialist;Medium;M2142;X
5123;Chief of Staff;Jean-Marie Lattre de Tassigny;1933;1964;1999;SC;School of Mass Combat;Medium;5903;X
5124;Chief of Staff;Maxime Weygand;1929;1964;1999;SL;School of Defence;Very High;5910;X
5125;Chief of Staff;Paul Le Gentilhomme;1933;1964;1999;SC;School of Psychology;Medium;6373;X
5126;Chief of Staff;Charles de Gaulle;1940;1964;1999;SC;School of Manoeuvre;High;2562;X
5127;Chief of Staff;Pierre-Armand Billotte;1942;1964;1999;SC;School of Fire Support;Medium;M2151;X
5128;Chief of Staff;Pierre Bourges-Maunory;1944;1964;1999;SC;School of Psychology;High;M2152;X
5129;Chief of Staff;Marcel Cachin;1924;1964;1999;ST;School of Fire Support;Medium;M2017;X
5130;Chief of Army;Leon Victor Bourgeois;1895;1925;1999;SD;Guns and Butter Doctrine;Medium;M2157;X
5131;Chief of Army;Jean-Marie Lattre de Tassigny;1940;1964;1999;SC;Armoured Spearhead Doctrine;Medium;5903;X
5132;Chief of Army;Pierre Auguste Chardigny;1941;1964;1999;SL;Elastic Defence Doctrine;Medium;M2098;X
5133;Chief of Army;Jean Bertin-Boussus;1940;1964;1999;SC;Elastic Defence Doctrine;Medium;M2164;X
5134;Chief of Army;André Marty;1924;1964;1999;ST;Guns and Butter Doctrine;Medium;M2018;X
5135;Chief of Army;Pierre Fabien;1924;1964;1999;ST;Decisive Battle Doctrine;Medium;M2167;X
5136;Chief of Army;Maxime Weygand;1929;1964;1999;PA;Elastic Defence Doctrine;Medium;5910;X
5137;Chief of Navy;Joseph Paul Boncour;1938;1964;1999;SD;Base Control Doctrine;High;M2170;X
5138;Chief of Navy;Jean Gout;1944;1964;1999;SD;Power Projection Doctrine;High;M2171;X
5139;Chief of Navy;César Campinchi;1940;1964;1999;ML;Indirect Approach Doctrine;Very High;M2173;X
5140;Chief of Navy;Francois Pietri;1940;1964;1999;SC;Indirect Approach Doctrine;Medium;M2176;X
5141;Chief of Navy;Etienne Schlumberger;1940;1964;1999;SC;Decisive Naval Battle Doctrine;High;M2174;X
5142;Chief of Navy;André Marty;1924;1964;1999;ST;Indirect Approach Doctrine;Medium;M2018;X
5143;Chief of Navy;Charles Tillon;1924;1964;1999;ST;Base Control Doctrine;High;M2180;X
5144;Chief of Navy;Pierre Richard;1938;1964;1999;PA;Decisive Naval Battle Doctrine;High;M2181;X
5145;Chief of Air Force;Marcel Deat;1938;1964;1999;SD;Air Superiority Doctrine;Low;M2183;X
5146;Chief of Air Force;Pierre Cot;1940;1964;1999;SD;Army Aviation Doctrine;Very High;M2184;X
5147;Chief of Air Force;Joseph Vuillemin;1938;1964;1999;SL;Air Superiority Doctrine;Very High;M2187;X
5148;Chief of Air Force;Guy La Chambre;1940;1964;1999;SL;Vertical Envelopment Doctrine;Medium;M2188;X
5149;Chief of Air Force;Robert Rossi;1940;1964;1999;SC;Army Aviation Doctrine;Very High;M2191;X
5150;Chief of Air Force;Martial Valín;1940;1964;1999;SC;Air Superiority Doctrine;Very High;M2185;X
5151;Chief of Air Force;Raymond Roques;1944;1964;1999;SC;Carpet Bombing Doctrine;Very High;M2194;X
5152;Chief of Air Force;Marcel Gitton;1924;1964;1999;ST;Air Superiority Doctrine;Medium;M2020;X
5153;Chief of Air Force;Charles Tillon;1924;1964;1999;ST;Army Aviation Doctrine;High;M2180;X
5154;Head of Government;Robert Schumann;1947;1964;1999;SL;Corporate Suit;High;M2088;X
5155;Foreign Minister;Maurice Dejean;1940;1964;1999;ML;Great Compromiser;High;M2202;X
5156;Foreign Minister;René Pleven;1942;1964;1999;ML;Biased Intellectual;High;M2090;X
5157;Chief of Army;Alphonse Georges;1939;1964;1999;SC;Static Defence Doctrine;High;L24082;X
5158;Head of State;Albert Lebrun;1932;1964;1999;SC;Barking Buffoon;Very High;3871;X
5159;Head of State;Camille Chautemps;1940;1964;1999;SL;Popular Figurehead;Very High;M2036;X
5160;Head of Government;Louis-Georges Mandel;1940;1964;1999;SL;Backroom Backstabber;Medium;M2108;X
5161;Minister of Security;Yvon Delbos;1940;1964;1999;SL;Silent Lawyer;High;M2048;X
5162;Head of State;Henri-Honoré Giraud;1940;1964;1999;PA;Weary Stiffneck;Very High;L24084;X
5163;Head of Government;Henri-Honoré Giraud;1940;1964;1999;PA;Old General;Very High;L24084;X
5164;Foreign Minister;Charles-Emmanuel Mast;1940;1964;1999;PA;General Staffer;High;L24224;X
5165;Minister of Armament;Marie-Pierre Koenig;1940;1964;1999;SC;Military Entrepreneur;Very High;L24107;X
5166;Chief of Staff;Henri-Honoré Giraud;1940;1964;1999;PA;School of Fire Support;Very High;L24084;X
5167;Head of Government;Robert Schumann;1947;1964;1999;ML;Corporate Suit;High;M2088;X
5168;Head of Government;René Pleven;1950;1964;1999;ML;Political Protege;High;M2090;X
5169;Head of Government;Edgar Faure;1952;1964;1999;SD;Backroom Backstabber;High;M2219;X
5170;Head of Government;Antoine Pinay;1952;1964;1999;ML;Silent Workhorse;High;M2220;X
5171;Head of Government;René Mayer;1953;1964;1999;SL;Naive Optimist;High;M2221;X
5172;Head of Government;Joseph Laniel;1953;1964;1999;SC;Flamboyant Tough Guy;High;M2222;X
5173;Foreign Minister;Robert Schumann;1948;1964;1999;ML;Biased Intellectual;High;M2088;X
5174;Minister of Armament;Pierre-Henri Teitgen;1947;1964;1999;ML;laissez-faire capitalist;Medium;M2224;X
5175;Minister of Armament;René Mayer;1948;1964;1999;SL;Tank Proponent;Medium;M2221;X
5176;Minister of Armament;Paul Ramadier;1948;1964;1999;SL;Resource Industrialist;Medium;M2035;X
5177;Minister of Armament;Jules Moch;1950;1964;1999;SD;Battle Fleet Proponent;Medium;M2104;X
5178;Minister of Armament;Georges Bidault;1951;1964;1999;ML;Infantry Proponent;Medium;M2039;X
5179;Minister of Security;Antoine Henri Queuille;1950;1964;1999;SC;Back Stabber;Medium;M2043;X
5180;Minister of Security;Charles Brune;1951;1964;1999;SD;Silent Lawyer;Medium;M2229;X
5181;Minister of Security;Leon Martinaud-Deplat;1953;1964;1999;SC;Compassionate Gentleman;Medium;M2230;X
5182;Head of Military Intelligence;Robert Lecourt;1948;1964;1999;SC;Industrial Specialist;Medium;M2231;X
5183;Head of Military Intelligence;René Mayer;1949;1964;1999;SL;Logistics Specialist;Medium;M2221;X
5184;Head of Military Intelligence;Edgar Faure;1951;1964;1999;SD;Dismal Enigma;Medium;M2219;X
5185;Head of Military Intelligence;Leon Martinaud-Deplat;1952;1964;1999;SC;Political Specialist;Medium;M2230;X
5186;Head of Military Intelligence;Paul Ribeyre;1953;1964;1999;SC;Naval Intelligence Specialist;Medium;M2235;X
5187;Head of State;Vincent Auriol;1947;1964;1999;SC;Autocratic Charmer;Medium;5901;X
5189;Head of Government;François Darlan;1933;1943;1967;PA;Old Admiral;High;M57002;X
5190;Foreign Minister;Paul Baudouin;1924;1964;1999;PA;Iron Fisted Brute;Medium;M57003;X
5191;Minister of Armament;Marius Berliet;1933;1964;1999;PA;laissez-faire capitalist;Medium;M57004;X
5192;Minister of Security;Joseph Barthélemy;1924;1964;1999;PA;Silent Lawyer;Medium;M57005;X
5193;Head of Military Intelligence;Rene Bousquet;1924;1964;1999;PA;Technical Specialist;Medium;M57006;X
5194;Chief of Staff;Charles Huntziger;1924;1964;1999;PA;School of Defence;Medium;M57007;X
5196;Chief of Air Force;Jean Marie Bergeret;1924;1964;1999;PA;Army Aviation Doctrine;Medium;M57010;X
5197;Head of Government;Pierre Laval;1931;1964;1999;PA;Flamboyant Tough Guy;High;M57011;X
5198;Foreign Minister;François Darlan;1941;1943;1967;PA;General Staffer;Low;M57002;X
5199;Foreign Minister;Charles André Weiss;1941;1964;1999;PA;Iron Fisted Brute;Low;M57013;X
5200;Foreign Minister;Albert Thomas;1941;1964;1999;PA;The Cloak N Dagger Schemer;Low;M57014;X
5201;Foreign Minister;Pierre Laval;1942;1964;1999;PA;Apologetic Clerk;Medium;M57011;X
5202;Foreign Minister;Gabriel Hanoteaux;1942;1964;1999;PA;Ideological Crusader;Medium;M57016;X
5203;Foreign Minister;Henri de Jouvenel;1943;1964;1999;PA;Biased Intellectual;Medium;M57017;X
5204;Foreign Minister;Arne Leroy;1943;1964;1999;PA;Great Compromiser;Medium;M57018;X
5205;Minister of Armament;Tulio Franco Franco;1941;1964;1999;PA;Resource Industrialist;Medium;M57019;X
5206;Minister of Armament;Lucien Lacaze;1941;1964;1999;PA;Military Entrepreneur;Medium;M57020;X
5207;Minister of Armament;Robert Haas;1942;1964;1999;PA;laissez-faire capitalist;Medium;M57021;X
5208;Minister of Armament;Stephane Auphan;1942;1964;1999;PA;Air to Sea Proponent;Medium;M57022;X
5209;Minister of Armament;Paul Painleve;1943;1964;1999;PA;Administrative Genius;Medium;M57023;X
5210;Minister of Armament;Paul Mantoux;1943;1964;1999;PA;Theoretical Scientist;Medium;M57024;X
5211;Minister of Security;François Darlan;1940;1943;1967;PA;Back Stabber;Low;M57002;X
5212;Minister of Security;Eduard Herriot;1941;1964;1999;PA;Silent Lawyer;Low;M57026;X
5213;Minister of Security;Pierre Laval;1942;1964;1999;PA;Prince of Terror;Medium;M57011;X
5214;Minister of Security;Marius Viple;1942;1964;1999;PA;Man of the People;Medium;M57028;X
5215;Minister of Security;René Bousquet;1942;1964;1999;PA;Compassionate Gentleman;Medium;M57006;X
5216;Minister of Security;Raphael Alibert;1943;1964;1999;PA;Crime Fighter;Medium;M57030;X
5217;Minister of Security;Gouffre de Lapradelle;1943;1964;1999;PA;Efficient Sociopath;Medium;M57031;X
5218;Head of Military Intelligence;Pierre Laval;1942;1964;1999;PA;Political Specialist;Medium;M57011;X
5219;Chief of Staff;François Darlan;1941;1943;1967;PA;School of Psychology;Low;M57002;X
5220;Chief of Staff;Eugene Bridoux;1942;1964;1999;PA;School of Mass Combat;Medium;M57034;X
5221;Chief of Army;Eugene Bridoux;1941;1964;1999;PA;Decisive Battle Doctrine;Medium;M57034;X
5222;Chief of Navy;Jean Esteva;1942;1964;1999;PA;Indirect Approach Doctrine;Medium;M57036;X
5223;Chief of Navy;Jean Marie Abrial;1943;1964;1999;PA;Open Seas Doctrine;Medium;M57037;X
5224;Chief of Air Force;Maurice Jannekeyn;1924;1964;1999;PA;Carpet Bombing Doctrine;Medium;M57038;X
5225;Head of State;Henri de Jouvenel;1945;1964;1999;PA;Insignificant Layman;High;M57017;X
5226;Head of Military Intelligence;Gouffre de Lapradelle;1945;1964;1999;PA;Industrial Specialist;Medium;M57031;X
5227;Chief of Air Force;Edouard Barès;1914;1936;1999;ML;Army Aviation Doctrine;Very High;2565;X
5228;Chief of Air Force;Victor Duval;1914;1936;1999;FA;Air Superiority Doctrine;Very High;2566;X
5229;Chief of Air Force;Jean Du Peuty;1917;1936;1999;ML;Army Aviation Doctrine;Very High;unknownminister;X
5230;Chief of Air Force;Louis Guillabert;1917;1936;1999;ML;Carpet Bombing Doctrine;Very High;unknownminister;X
5231;Chief of Air Force;Victor Duval;1917;1936;1999;ML;Air Superiority Doctrine;Very High;2566;X
5232;Chief of Army;Auguste Dubail;1914;1936;1999;ML;Decisive Battle Doctrine;Very High;2567;X
5233;Chief of Army;Etienne Laffon de Ladébat;1914;1936;1999;ML;Decisive Battle Doctrine;Very High;2568;X
5234;Chief of Army;Ferdinand Foch;1914;1929;1999;FA;Guns and Butter Doctrine;Very High;2569;X
5235;Chief of Army;Joseph Joffre;1914;1920;1999;ML;Decisive Battle Doctrine;Very High;2570;X
5236;Chief of Army;Maurice Sarrail;1914;1929;1999;LWR;Decisive Battle Doctrine;Low;2571;X
5237;Chief of Army;Philippe Pétain;1916;1936;1999;PA;static defence doctrine;Very High;2572;X
5238;Chief of Army;Robert Nivelle;1916;1936;1999;ML;Decisive Battle Doctrine;Very High;2573;X
5239;Chief of Army;Philippe Pétain;1917;1936;1999;ML;static defence doctrine;Medium;2572;X
5240;Chief of Army;Ferdinand Foch;1918;1929;1999;ML;Guns and Butter Doctrine;Very High;2569;X
5241;Chief of Navy;Joseph Barnouin;1914;1936;1999;FA;Decisive Naval Battle Doctrine;High;unknownminister;X
5242;Chief of Navy;Jules Habert;1914;1936;1999;ML;Open Seas Doctrine;High;unknownminister;X
5243;Chief of Navy;Joseph Barnouin;1915;1936;1999;ML;Decisive Naval Battle Doctrine;Very High;unknownminister;X
5244;Chief of Navy;François Morin;1917;1936;1999;ML;Open Seas Doctrine;Very High;3780;X
5245;Chief of Navy;Marie Merveilleux du Vignaux;1918;1936;1999;ML;Power Projection Doctrine;Very High;7944;X
5246;Chief of Staff;Auguste Dubail;1914;1936;1999;ML;School of Psychology;Very High;2567;X
5247;Chief of Staff;Emile Belin;1914;1936;1999;ML;School of Fire Support;Very High;2574;X
5248;Chief of Staff;Etienne Laffon de Ladébat;1914;1936;1999;ML;School of Psychology;Very High;2568;X
5249;Chief of Staff;Ferdinand Foch;1914;1929;1999;FA;Counterattack Genius;Very High;2569;X
5250;Chief of Staff;Maurice Pellé;1914;1936;1999;ML;School of Mass Combat;Very High;2575;X
5251;Chief of Staff;Maurice Sarrail;1914;1929;1999;LWR;School of Fire Support;Low;2571;X
5252;Chief of Staff;Noël de Castelnau;1914;1936;1999;ML;School of Psychology;Very High;2576;X
5253;Chief of Staff;Jean Graziani;1915;1936;1999;ML;School of Fire Support;Very High;3781;X
5254;Chief of Staff;Philippe Pétain;1916;1936;1999;PA;school of defence;Very High;2572;X
5255;Chief of Staff;Pierre Duport;1916;1936;1999;ML;school of manoeuvre;Very High;2577;X
5256;Chief of Staff;Ferdinand Foch;1917;1929;1999;ML;Counterattack Genius;Very High;2569;X
5257;Chief of Staff;François Anthoine;1917;1936;1999;ML;School of Mass Combat;Very High;2578;X
5258;Chief of Staff;Philippe Pétain;1917;1936;1999;ML;school of defence;Medium;2572;X
5259;Chief of Staff;Henri Alby;1918;1936;1999;ML;School of Fire Support;Very High;unknownminister;X
5260;Chief of Staff;Edmond Buat;1920;1923;1999;ML;school of manoeuvre;Very High;2579;X
5261;Chief of Staff;Marie-Eugene Debeney;1924;1936;1999;ML;School of Mass Combat;Very High;2580;X
5262;Foreign Minister;Charles Jonnart;1914;1936;1999;SL;Ideological Crusader;Very High;2581;X
5263;Foreign Minister;Gabriel Hanotaux;1914;1936;1999;ML;iron fisted brute;High;2582;X
5264;Foreign Minister;Gaston Doumergue;1913;1936;1999;SD;Great Compromiser;High;2583;X
5265;Foreign Minister;Jean Cruppi;1914;1936;1999;LWR;Great Compromiser;Very High;2584;X
5266;Foreign Minister;Justin de Selves;1914;1936;1999;LWR;Apologetic Clerk;Very High;2585;X
5267;Foreign Minister;Léon Bourgeois;1895;1925;1999;SL;Biased Intellectual;High;2586;X
5268;Foreign Minister;Louis Franchet d'Esperey;1914;1936;1999;FA;General Staffer;High;2587;X
5269;Foreign Minister;Louis Frossard;1914;1936;1999;ST;iron fisted brute;Very High;unknownminister;X
5270;Foreign Minister;Raymond Poincaré;1914;1936;1999;SL;Ideological Crusader;Very High;2588;X
5271;Foreign Minister;René Viviani;1914;1936;1999;SD;Great Compromiser;Very High;2589;X
5272;Foreign Minister;Stéphen Pichon;1914;1936;1999;SL;Ideological Crusader;Very High;2590;X
5273;Foreign Minister;Théophile Delcassé;1914;1936;1999;SL;Great Compromiser;Very High;2591;X
5274;Foreign Minister;Aristide Briand;1915;1936;1999;SD;Ideological Crusader;Very High;2592;X
