PAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
405019;Head of Government;Manuel D. Granados;1945;1964;1999;SL;Silent Workhorse;High;M95039;X
405020;Head of Government;José Augustín Arango;1946;1964;1999;PA;Political Protege;High;M95011;X
405021;Foreign Minister;Raul de Roux y García;1933;1964;1999;ML;Biased Intellectual;Medium;M95041;X
405022;Foreign Minister;José Lefebvré de la Ossa;1933;1964;1999;SC;Great Compromiser;Medium;M95042;X
405023;Foreign Minister;Narciso Garay Díaz;1938;1964;1999;PA;Apologetic Clerk;Medium;M95003;X
405024;Foreign Minister;Juan Demosthenes Arosemana;1938;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M95031;X
405025;Foreign Minister;Augusto Samuel Boyd;1940;1964;1999;ML;Iron Fisted Brute;Medium;M95038;X
405026;Foreign Minister;Riccardo de la Guardia;1941;1964;1999;PA;Biased Intellectual;High;M95013;X
405027;Foreign Minister;Octavio Fábrega López;1942;1964;1999;SC;Iron Fisted Brute;High;M95047;X
405028;Foreign Minister;Samuel Luis Aranga;1945;1964;1999;PA;Great Compromiser;High;M95048;X
405029;Foreign Minister;Roberto Jímenez de Roux;1945;1964;1999;ML;Great Compromiser;High;M95049;X
405030;Foreign Minister;Horacío Alfaro Díaz;1946;1964;1999;PA;General Staffer;High;M95050;X
405031;Foreign Minister;Hermaño Castillo Ballidó;1947;1964;1999;SC;Apologetic Clerk;High;M95051;X
405032;Minister of Armament;Nestor Urribe Suarez;1933;1964;1999;SC;Infantry Proponent;Medium;M95052;X
405033;Minister of Armament;José Pezet;1940;1964;1999;SL;Resource Industrialist;Medium;M95053;X
405034;Minister of Armament;Enrique Jiménez Brín;1945;1964;1999;SL;Tank Proponent;Medium;M95035;X
405035;Minister of Armament;Ignacio E. Mendoza;1946;1964;1999;SC;Infantry Proponent;Medium;M95005;X
405036;Minister of Security;Raoul Arias Amador;1933;1964;1999;SC;Man of the People;Medium;M95015;X
405037;Minister of Security;Carlos Mendoza;1940;1964;1999;SL;Crime Fighter;Medium;M95059;X
405038;Minister of Security;Juan Remon;1941;1964;1999;SC;Man of the People;Medium;M95007;X
405039;Minister of Security;Nicolas Ardito Barletta;1945;1964;1999;SL;Compassionate Gentleman;Medium;M95061;X
405040;Minister of Security;José Avila;1946;1964;1999;SC;Crime Fighter;Medium;M95062;X
405041;Head of Military Intelligence;Ernesto Fabréga López;1933;1964;1999;SC;Dismal Enigma;Medium;M95063;X
405042;Head of Military Intelligence;Victor Pareja;1940;1964;1999;SL;Industrial Specialist;Medium;M95025;X
405043;Head of Military Intelligence;Baldomero Tarté;1941;1964;1999;PA;Logistics Specialist;Medium;M95016;X
405044;Head of Military Intelligence;Ignacio C. Garces;1945;1964;1999;SL;Naval Intelligence Specialist;Medium;M95066;X
405045;Head of Military Intelligence;José Lefebvré de la Ossa;1946;1964;1999;SC;Industrial Specialist;Medium;M95042;X
405046;Chief of Staff;Bolivar Villarino;1933;1964;1999;SC;School of Defence;Medium;M95008;X
405047;Chief of Staff;Juan José Parada;1940;1964;1999;SL;School of Manoeuvre;Medium;M95020;X
405048;Chief of Staff;Pacificio Marciaga;1941;1964;1999;PA;School of Psychology;Medium;M95017;X
405049;Chief of Staff;José Gomez Ayan;1945;1964;1999;SL;School of Fire Support;Medium;M95071;X
405050;Chief of Army;Juan Remón;1933;1964;1999;SC;Guns and Butter Doctrine;Medium;M95007;X
405051;Chief of Army;Enrico Fabrego Páz;1940;1964;1999;ML;Static Defence Doctrine;Medium;M95018;X
405052;Chief of Army;Omar Torrijos;1946;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M95077;X
405053;Chief of Navy;Arturo Osborne Irragá;1941;1964;1999;PA;Open Seas Doctrine;Medium;M95019;X
405054;Chief of Air Force;Marcos A. Gelabert;1933;1964;1999;SC;Army Aviation Doctrine;Medium;M95082;X
405055;Chief of Air Force;Juan José Parada;1940;1964;1999;ML;Air Superiority Doctrine;Medium;M95020;X
405056;Chief of Air Force;Carlos Zavala;1941;1964;1999;SC;Air Superiority Doctrine;Medium;M95036;X
405057;Chief of Air Force;Nestor Urribe Suarez;1946;1964;1999;SC;Carpet Bombing Doctrine;Medium;M95052;X
405058;Head of State;Ezequeil Fernandez Jaen;1939;1964;1999;SC;Insignificant Layman;Medium;M95006;X
405059;Head of Government;Ezequeil Fernandez Jaen;1939;1964;1999;SC;Smiling Oilman;Medium;M95006;X
405060;Head of Government;Augusto Samuel Boyd;1940;1964;1999;SC;Ambitious Union Boss;High;M95038;X
405061;Head of State;Augusto Samuel Boyd;1940;1964;1999;SC;Barking Buffoon;High;M95038;X
405062;Head of State;José Augustin Arango;1933;1964;1999;PA;Resigned Generalissimo;High;M95011;X
405063;Head of Government;José Augustin Arango;1933;1964;1999;PA;Old General;High;M95011;X
405064;Head of State;Floyd N. Britton sr.;1933;1964;1999;LE;Pig-headed Isolationist;High;M95021;X
405065;Head of Government;Floyd N. Britton sr.;1933;1964;1999;LE;Happy Amateur;High;M95021;X
405066;Foreign Minister;Luís Costa Arías;1933;1964;1999;LWR;Ideological Crusader;Medium;M95023;X
405067;Minister of Armament;Floyd N. Britton sr.;1933;1964;1999;LE;Administrative Genius;Medium;M95021;X
405068;Minister of Security;Victor Pareja;1933;1964;1999;LE;Crooked Kleptocrat;Medium;M95025;X
405069;Chief of Staff;Adolfo Gutíerrez Clark;1933;1964;1999;LE;School of Defence;Medium;M95027;X
405070;Chief of Army;Manuel Ríos Urribe;1933;1964;1999;LWR;Armoured Spearhead Doctrine;Medium;M95028;X
405071;Chief of Navy;Ferdinando Hernandez Ytuarte;1933;1964;1999;LWR;Power Projection Doctrine;Medium;M95029;X
405072;Chief of Air Force;Margarita Belloso Jímenez;1933;1964;1999;LE;Vertical Envelopment Doctrine;Medium;M95030;X
405073;Head of State;Domingo Diaz Arosemena;1948;1964;1999;SC;Weary Stiffneck;High;M95091;X
405074;Head of Government;Domingo Diaz Arosemena;1948;1964;1999;SC;Silent Workhorse;High;M95091;X
405075;Minister of Security;Henrique de Obarrio;1948;1964;1999;SC;Back Stabber;Medium;M95093;X
405076;Head of State;Daniel C. Pinzon;1949;1964;1999;ML;Benevolent Gentleman;High;M95004;X
405077;Head of Government;Alciabides Arosemena;1949;1964;1999;ML;Corporate Suit;High;M95095;X
405078;Head of State;Alciabides Arosemena;1951;1964;1999;SC;Insignificant Layman;High;M95095;X
405079;Head of Government;Juan Remón;1951;1964;1999;SC;Old General;High;M95007;X
405080;Foreign Minister;Pietro del Oramio;1951;1964;1999;SC;Biased Intellectual;High;M95098;X
405081;Head of State;Juan Remón;1952;1964;1999;SC;Resigned Generalissimo;High;M95007;X
405082;Minister of Security;Ernesto de la Guardia;1952;1964;1999;SC;Compassionate Gentleman;Medium;M95100;X
405083;Chief of Staff;Henrique de Obarrio;1952;1964;1999;SC;School of Mass Combat;Medium;M95093;X
405084;Foreign Minister;Narciso Garay;1916;1933;1999;SL;Great Compromiser;Medium;unknownminister;X
405085;Foreign Minister;Horacio F. Alfaro;1924;1933;1999;SL;Great Compromiser;Medium;unknownminister;X
405086;Foreign Minister;J.F. De la Ossa;1924;1933;1999;ML;Great Compromiser;Medium;unknownminister;X
405087;Foreign Minister;Ernesto T. Lefevre;1914;1933;1999;SL;Great Compromiser;Medium;2922;X
405088;Foreign Minister;Pablo Arosemena;1916;1933;1999;ML;Ideological Crusader;Medium;2923;X
405089;Head of Government;Jose A. Brower;1914;1933;1999;LE;Ambitious Union Boss;Medium;unknownminister;X
405090;Head of Government;Ramón Maximiliano Valdés;1916;1933;1999;SL;Ambitious Union Boss;Medium;unknownminister;X
405091;Head of Government;Ciro Urriola;1918;1933;1999;SL;Backroom Backstabber;Medium;2924;X
405092;Head of Government;Belisario P. Barahona;1912;1933;1999;ML;Corporate Suit;Medium;2925;X
405093;Head of Government;Ernesto T. Lefevre;1920;1933;1999;SL;Happy Amateur;Medium;2922;X
405094;Head of Government;Rodolfo E. Chiari;1924;1933;1999;SL;Naive Optimist;Medium;unknownminister;X
405095;Head of Government;Belisario P. Barahona;1912;1933;1999;SL;Political Protege;Medium;2925;X
405096;Head of State;Jose Maria Blazquez de Pedro;1914;1933;1999;ST;Die-hard Reformer;Medium;unknownminister;X
405097;Head of State;Jose Maria Blazquez de Pedro;1914;1933;1999;LE;Die-hard Reformer;Medium;unknownminister;X
405098;Head of State;Jose Maria Blazquez de Pedro;1914;1933;1999;LWR;Die-hard Reformer;Medium;unknownminister;X
405099;Head of State;Ramón Maximiliano Valdés;1916;1933;1999;ML;Insignificant Layman;Medium;unknownminister;X
405100;Head of State;Ramón Maximiliano Valdés;1916;1933;1999;SL;Insignificant Layman;Medium;unknownminister;X
405101;Head of State;Ramón Maximiliano Valdés;1916;1933;1999;SD;Insignificant Layman;Medium;unknownminister;X
405102;Head of State;Ciro Urriola;1918;1933;1999;ML;Benevolent Gentleman;Medium;2924;X
405103;Head of State;Ciro Urriola;1918;1933;1999;SD;Benevolent Gentleman;Medium;2924;X
405104;Head of State;Belisario P. Barahona;1920;1933;1999;ML;Popular Figurehead;Medium;2925;X
405105;Head of State;Belisario P. Barahona;1920;1933;1999;SL;Popular Figurehead;Medium;2925;X
405106;Head of State;Belisario P. Barahona;1920;1933;1999;SD;Popular Figurehead;Medium;2925;X
405107;Head of State;Ernesto T. Lefevre;1920;1933;1999;ML;Ruthless Powermonger;Medium;2922;X
405108;Head of State;Ernesto T. Lefevre;1920;1933;1999;SL;Ruthless Powermonger;Medium;2922;X
405109;Head of State;Ernesto T. Lefevre;1920;1933;1999;SD;Ruthless Powermonger;Medium;2922;X
405110;Head of State;Rodolfo E. Chiari;1924;1933;1999;ML;Weary Stiffneck;Medium;unknownminister;X
405111;Head of State;Rodolfo E. Chiari;1924;1933;1999;SL;Weary Stiffneck;Medium;unknownminister;X
405112;Head of State;Rodolfo E. Chiari;1924;1933;1999;SD;Weary Stiffneck;Medium;unknownminister;X
405113;Head of State;Belisario P. Barahona;1912;1920;1999;ML;Stern Imperialist;Medium;2925;X
405114;Head of State;Belisario P. Barahona;1912;1920;1999;SL;Stern Imperialist;Medium;2925;X
405115;Head of State;Belisario P. Barahona;1912;1920;1999;SD;Stern Imperialist;Medium;2925;X
405116;Minister of Security;Samuel Lewis;1916;1933;1999;ML;Crime Fighter;Medium;unknownminister;X
405117;Minister of Security;Carlos L. Lopez;1924;1933;1999;SL;Crime Fighter;Medium;unknownminister;X
405118;Minister of Security;Antenor Quinzada;1924;1933;1999;ML;Crime Fighter;Medium;unknownminister;X
405119;Minister of Security;Juan B. Sosa;1914;1933;1999;SL;Crime Fighter;Medium;unknownminister;X
405120;Minister of Security;Jose Gonzales;1914;1933;1999;LE;Man of the People;Medium;unknownminister;X
405121;Minister of Security;Juan B. Sosa;1916;1933;1999;SL;Silent Lawyer;Medium;unknownminister;X
405122;Minister of Security;Prospero Pinel;1918;1933;1999;ML;Silent Lawyer;Medium;unknownminister;X
