CHC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
260868;Head of Military Intelligence;Li Kenong;1926;1959;1959;ST;Logistics Specialist;Medium;2335;X
260869;Foreign Minister;Li Kenong;1926;1959;1959;ST;Great Compromiser;Medium;2335;X
260870;Chief of Staff;Zhu De;1922;1951;1952;ST;School of Mass Combat;Medium;2336;X
260871;Chief of Army;Zhu De;1922;1951;1952;ST;Guns and Butter Doctrine;Medium;2336;X
260872;Chief of Navy;Ziao Jingguang;1924;1968;1969;ST;Open Seas Doctrine;Medium;9228;X
260873;Chief of Staff;Ziao Jingguang;1924;1968;1969;ST;School of Psychology;Medium;9228;X
260874;Chief of Air Force;Fang Ziyi;1930;1982;1983;ST;Army Aviation Doctrine;Medium;9229;X
260875;Head of State;Ye Jianying;1927;1983;1984;LWR;Insignificant Layman;Medium;9230;X
260876;Chief of Staff;Ye Jianying;1927;1978;1984;LWR;School of Manoeuvre;Medium;9230;X
260877;Chief of Army;Ye Jianying;1927;1978;1984;LWR;Doctrine of autonomy;Medium;9230;X
260878;Minister of Armament;Ye Jianying;1927;1978;1984;LWR;Mixed economy;Medium;9230;X
260879;Chief of Staff;Chen Yi;1923;1966;1967;ST;School of Psychology;Medium;M51045;X
260880;Chief of Army;Chen Yi;1923;1966;1967;ST;Armoured Spearhead Doctrine;Medium;M51045;X
260881;Foreign Minister;Chen Yi;1923;1966;1967;ST;General Staffer;High;M51045;X
260882;Chief of Army;Gao Gang;1926;1954;1954;ST;Elastic Defence Doctrine;Low;M51049;X
260883;Minister of Armament;Gao Gang;1926;1954;1954;ST;Planned economy proponent;Medium;M51049;X
260884;Minister of Security;Ren Bishi;1922;1950;1951;ST;Efficient Sociopath;Medium;9231;X
260885;Minister of Armament;Lin Biao;1924;1971;1972;ST;Military Entrepreneur;High;9232;X
260886;Head of State;Lin Biao;1924;1971;1972;ST;Barking Buffoon;High;9232;X
260887;Head of Government;Lin Biao;1924;1971;1972;ST;Backroom Backstabber;High;9232;X
260888;Chief of Army;Lin Biao;1924;1962;1963;ST;Armoured Spearhead Doctrine;High;9232;X
260889;Minister of Security;Qian Ying;1931;1971;1972;ST;Silent Lawyer;Medium;9233;X
260890;Head of Military Intelligence;Qian Ying;1931;1971;1972;ST;Political Specialist;Medium;9233;X
260891;Minister of Security;Zeng Shan;1926;1974;1975;ST;Back Stabber;Medium;M51060;X
260892;Head of Military Intelligence;Bo Yibo;1928;1983;1984;ST;Technical Specialist;Medium;9234;X
260893;Head of Military Intelligence;Li Xiannian;1931;1974;1975;LE;Logistics Specialist;Medium;321;X
260894;Head of State;Li Xiannian;1931;1988;1989;LE;Insignificant Layman;Medium;321;X
260895;Chief of Army;Li Xiannian;1931;1974;1975;LE;Armoured Spearhead Doctrine;Medium;321;X
260896;Chief of Navy;Jiang Xianyun;1925;1928;1968;LE;Decisive Naval Battle Doctrine;High;9440;X
260897;Chief of Army;Chen Gang;1927;1962;1962;LE;Guns and Butter Doctrine;High;9441;X
