UKR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
545020;Foreign Minister;Mykola O. Skrypnyk;1933;1964;1999;SD;Ideological Crusader;High;M518020;X
545021;Foreign Minister;Jevgennij Konovalets;1933;1964;1999;SD;Iron Fisted Brute;High;M518021;X
545022;Foreign Minister;Yulian Revay;1933;1964;1999;SL;Apologetic Clerk;High;M518022;X
545023;Foreign Minister;Mikola Lebed;1933;1964;1999;SC;The Cloak N Dagger Schemer;High;M518023;X
545024;Foreign Minister;Yurij Linden-Lypa;1933;1964;1999;SC;General Staffer;High;M518024;X
545025;Foreign Minister;Fritz von der Schulenburg;1933;1964;1999;NS;Great Compromiser;High;M518025;X
545026;Foreign Minister;Roland Popeguschiy;1933;1964;1999;NS;Iron Fisted Brute;High;M518026;X
545027;Foreign Minister;Georgij Shilenkov;1933;1964;1999;NS;General Staffer;High;M518027;X
545028;Minister of Armament;Panas P. Lyubchenko;1933;1964;1999;ST;Resource Industrialist;Medium;M518028;X
545029;Minister of Armament;Mikola Sciborsky;1933;1964;1999;ST;Military Entrepreneur;Medium;M518029;X
545030;Minister of Armament;Oleska Hasyn-Tarap;1933;1964;1999;SD;Administrative Genius;Medium;M518030;X
545031;Minister of Armament;Grygory Leonidovych;1933;1964;1999;SL;Infantry Proponent;Medium;M518031;X
545032;Minister of Armament;Evheniya Bosch;1933;1964;1999;SL;laissez-faire capitalist;Medium;M518032;X
545033;Minister of Armament;Taras Bulba;1933;1964;1999;SC;Resource Industrialist;Medium;M518033;X
545034;Minister of Armament;Grigorij Petrovsky;1933;1964;1999;SC;Tank Proponent;Medium;M518034;X
545035;Minister of Armament;Dimitru Klachkiwsky;1933;1964;1999;NS;Infantry Proponent;Medium;M518035;X
545036;Minister of Armament;Hans Heinrich Lammers;1933;1964;1999;NS;Resource Industrialist;Medium;M518036;X
545037;Minister of Security;Emanoil Kviring;1933;1964;1999;ST;Efficient Sociopath;Medium;M518037;X
545038;Minister of Security;Leonid Melnikov;1933;1964;1999;ST;Silent Lawyer;Medium;M518038;X
545039;Minister of Security;Mikhaylo Kolodzinsky;1933;1964;1999;SD;Crooked Kleptocrat;Medium;M518039;X
545040;Minister of Security;Nil Khasevich;1933;1964;1999;SL;Crime Fighter;Medium;M518040;X
545041;Minister of Security;Zenon Kossack-Tarnowsky;1933;1964;1999;SL;Compassionate Gentleman;Medium;M518041;X
545042;Minister of Security;Sergei Kubiyovich;1933;1964;1999;SC;Prince of Terror;Medium;M518042;X
545043;Minister of Security;His Beatitude Sheptitsky;1933;1964;1999;SC;Compassionate Gentleman;Medium;M518043;X
545044;Minister of Security;Curt von Gottberg;1933;1964;1999;NS;Prince of Terror;Medium;M517034;X
545045;Minister of Security;Karl Hermann Frank;1933;1964;1999;NS;Secret police chief;Medium;M518045;X
545046;Head of Military Intelligence;Leonid Korniyets;1933;1964;1999;ST;Industrial Specialist;Medium;M518046;X
545047;Head of Military Intelligence;Yevgennij Paton;1933;1964;1999;ST;Technical Specialist;Medium;M518047;X
545048;Head of Military Intelligence;Olena Teliha;1933;1964;1999;SD;Dismal Enigma;Medium;M518048;X
545049;Head of Military Intelligence;Vasil Sydor-Rustek;1933;1964;1999;SD;Naval Intelligence Specialist;Medium;M518049;X
545050;Head of Military Intelligence;Sholom Schwartzbard;1933;1964;1999;SL;Technical Specialist;Medium;M518050;X
545051;Head of Military Intelligence;Mikhaylo Soroka;1933;1964;1999;SL;Industrial Specialist;Medium;M518051;X
545052;Head of Military Intelligence;Oleg Olzhych;1933;1964;1999;SC;Technical Specialist;Medium;M518052;X
545053;Head of Military Intelligence;Ulban Griniokh;1933;1964;1999;NS;Political Specialist;Medium;M518053;X
545054;Head of Military Intelligence;Erhard Kröger;1933;1964;1999;NS;Industrial Specialist;Medium;M518054;X
545055;Head of Military Intelligence;Vassilj Malyschkin;1933;1964;1999;NS;Logistics Specialist;Medium;M518055;X
545056;Chief of Staff;Oleg Yefimov;1933;1964;1999;ST;School of Defence;Medium;M518056;X
545057;Chief of Staff;Mikhailo Duda;1933;1964;1999;SD;School of Fire Support;Medium;M518057;X
545058;Chief of Staff;Kiril Osmak;1933;1964;1999;SL;School of Psychology;Medium;M518058;X
545059;Chief of Staff;Leonid Skoropadsky;1933;1964;1999;SC;School of Psychology;Medium;M518059;X
545060;Chief of Staff;Konstantin Kromiadi;1933;1964;1999;NS;School of Manoeuvre;Medium;M518060;X
545061;Chief of Staff;Eberhard Kinzel;1933;1964;1999;NS;School of Defence;Medium;M518061;X
545062;Chief of Army;Nikita Kruschev;1933;1964;1999;ST;Static Defence Doctrine;Medium;M518062;X
545063;Chief of Army;Roman Shukhevich;1933;1964;1999;SD;Guns and Butter Doctrine;Medium;M518063;X
545064;Chief of Army;Veniamin Ruvinsky;1933;1964;1999;SL;Decisive Battle Doctrine;Medium;M518064;X
545065;Chief of Army;Pavlo Shandruk;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M518065;X
545066;Chief of Army;Petar N. Krasnov;1933;1964;1999;SC;Static Defence Doctrine;Medium;M518066;X
545067;Chief of Army;Georgij Shilenkov;1933;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M518067;X
545068;Chief of Navy;Sergei Gorshkov;1933;1964;1999;ST;Decisive Naval Battle Doctrine;Medium;M518068;X
545069;Chief of Navy;Glorya Stetsko;1933;1964;1999;SD;Open Seas Doctrine;Medium;M518069;X
545070;Chief of Navy;Avram Z. Dushin;1933;1964;1999;SL;Indirect Approach Doctrine;Medium;M518070;X
545071;Chief of Navy;Vladimir Pilipenko;1933;1964;1999;SC;Base Control Doctrine;Medium;M518071;X
545072;Chief of Navy;Wolf von Trotha;1933;1964;1999;NS;Power Projection Doctrine;Medium;M518072;X
545073;Chief of Air Force;Avram Z. Dushin;1933;1964;1999;ST;Naval Aviation Doctrine;Medium;M518070;X
545074;Chief of Air Force;Petar Fedun-Poltava;1933;1964;1999;SD;Carpet Bombing Doctrine;Medium;M518074;X
545075;Chief of Air Force;Avhustyn Shtefan;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M518075;X
545076;Chief of Air Force;Dimitri Myron;1933;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M518076;X
545077;Chief of Air Force;Viktor Maltsev;1933;1964;1999;NS;Air Superiority Doctrine;Medium;M518077;X
545078;Chief of Staff;Petro Dyachenko;1941;1964;1999;PA;School of Defence;Medium;6092;X
545079;Chief of Staff;Mykhailo Omelianovych-Pavlenko;1933;1964;1999;PA;School of Manoeuvre;Medium;6093;X
545080;Head of State;Mikhailo Hrushevsky;1914;1932;1999;SD;weary stiffneck;Medium;9026;X
545081;Head of State;Pavlo Skoropadsky;1914;1932;1999;PA;stern imperialist;Medium;9054;X
545082;Head of State;Volodimir Vinnichenko;1914;1932;1999;SD;insignificant layman;Medium;9079;X
545083;Head of State;Symon Petlyura;1914;1932;1999;SD;powerhungry demagogue;Medium;9061;X
545084;Head of Government;Volodimir Vinnichenko;1914;1932;1999;SD;political protege;Medium;9079;X
545085;Head of Government;Vsevolod Holubovic;1914;1932;1999;SD;flamboyant tough guy;Medium;9089;X
545086;Head of Government;Mikola Vasilenko;1914;1932;1999;PA;backroom backstabber;Medium;9033;X
545087;Head of Government;Fedir Lizogub;1914;1932;1999;PA;silent workhorse;Medium;8948;X
545088;Head of Government;Sergiy Gerbel;1914;1932;1999;PA;smiling oilman;Medium;9058;X
545089;Head of Government;Volodimir Chehivsky;1914;1932;1999;SD;naive optimist;Medium;9081;X
545090;Head of Government;Sergiy Ostapenko;1914;1932;1999;SD;corporate suit;Medium;9060;X
545091;Head of Government;Boris Martos;1914;1932;1999;SD;corporate suit;Medium;8941;X
545092;Head of Government;Isaak Mazepa;1914;1932;1999;SD;ambitious union boss;Medium;9017;X
545093;Head of Government;Vyacheslav Prokopovich;1914;1932;1999;SD;happy amateur;Medium;9091;X
545094;Foreign Minister;Sergiy Efremov;1914;1932;1999;SD;iron fisted brute;Medium;9059;X
545095;Foreign Minister;Oleksandr Shulgin;1914;1932;1999;SD;general staffer;Medium;9048;X
545096;Foreign Minister;Vsevolod Holubovic;1914;1932;1999;SD;ideological crusader;Medium;9089;X
545097;Foreign Minister;Mikola Lyubinsky;1914;1932;1999;SD;great compromiser;Medium;9031;X
545098;Foreign Minister;Mikola Vasilenko;1914;1932;1999;PA;apologetic clerk;Medium;9033;X
545099;Foreign Minister;Dmitro Doroshenko;1914;1932;1999;PA;biased intellectual;Medium;8944;X
545100;Foreign Minister;Georgiy Afanasev;1914;1932;1999;PA;iron fisted brute;Medium;9013;X
545101;Foreign Minister;Volodimir Chehivsky;1914;1932;1999;SD;general staffer;Medium;9081;X
545102;Foreign Minister;Kostyantin Matsievich;1914;1932;1999;SD;ideological crusader;Medium;unknownminister;X
545103;Foreign Minister;Volodimir Temnitsky;1914;1932;1999;SD;great compromiser;Medium;9080;X
545104;Foreign Minister;Andriy Livitsky;1914;1932;1999;SD;apologetic clerk;Medium;8937;X
545105;Foreign Minister;Andriy Nikovsky;1914;1932;1999;SD;biased intellectual;Medium;8938;X
545106;Minister of Armament;Khristofor Baranovsky;1914;1920;1999;SD;administrative genius;Medium;9019;X
545107;Minister of Armament;Vsevolod Holubovic;1914;1920;1999;SD;laissez-faire capitalist;Medium;9089;X
545108;Minister of Armament;S. Perepelitsya;1914;1920;1999;SD;corrupt kleptocrat;Medium;unknownminister;X
545109;Minister of Armament;P. Klimovich;1914;1920;1999;SD;resource industrialist;Medium;unknownminister;X
545110;Minister of Armament;Anton Rzhepetsky;1914;1932;1999;PA;theoretical scientist;Medium;8940;X
545111;Minister of Armament;Sergiy Ostapenko;1920;1932;1999;SD;Oil baron;Medium;9060;X
545112;Minister of Armament;Vasil Mazurenko;1920;1932;1999;SD;Construction magnate;Medium;unknownminister;X
545113;Minister of Armament;I. Feshchenko-Chopivsky;1920;1932;1999;SD;Balanced budget economy;Medium;unknownminister;X
545114;Minister of Armament;Mikhailo Krivetsky;1920;1932;1999;SD;Mixed economy;Medium;unknownminister;X
545115;Minister of Armament;Boris Martos;1920;1932;1999;SD;Keynesian economy;Medium;8941;X
545116;Minister of Armament;M. Shadlun;1920;1932;1999;SD;Reformer;Medium;unknownminister;X
545117;Minister of Armament;Dmitro Antonovich;1914;1932;1999;SD;battle fleet proponent;Medium;8946;X
545118;Minister of Armament;Mikola Maksimov;1914;1932;1999;PA;battle fleet proponent;Medium;9029;X
545119;Minister of Armament;Andriy Pokrovsky;1914;1932;1999;PA;submarine proponent;Medium;8935;X
545120;Minister of Armament;Mikhail Belinsky;1914;1932;1999;SD;submarine proponent;Medium;unknownminister;X
545121;Minister of Armament;Symon Petlyura;1914;1920;1999;SD;infantry proponent;Medium;9061;X
545122;Minister of Armament;Mikola Porsh;1914;1920;1999;SD;tank proponent;Medium;9034;X
545123;Minister of Armament;Ivan Nemolovsky;1914;1920;1999;SD;military entrepreneur;Medium;unknownminister;X
545124;Minister of Armament;Oleksandr Shukovsky;1914;1920;1999;SD;infantry proponent;Medium;unknownminister;X
545125;Minister of Armament;Oleksandr Ragoza;1914;1932;1999;PA;tank proponent;Medium;9039;X
545126;Minister of Armament;Oleksandr Osetsky;1920;1932;1999;SD;military entrepreneur;Medium;9046;X
545127;Minister of Armament;Oleksandr Grekiv;1920;1932;1999;SD;air to ground proponent;Medium;9044;X
545128;Minister of Armament;Grigoriy Sirotenko;1920;1932;1999;SD;air to sea proponent;Medium;9015;X
545129;Minister of Armament;Oleksandr Shapoval;1920;1932;1999;SD;air superiority proponent;Medium;9038;X
545130;Minister of Armament;Vsevolod Petriv;1920;1932;1999;SD;strategic air proponent;Medium;9090;X
545131;Minister of Armament;Volodimir Salsky;1920;1932;1999;SD;administrative genius;Medium;9086;X
545132;Minister of Security;Volodimir Vinnichenko;1914;1932;1999;SD;compassionate gentleman;Medium;9079;X
545133;Minister of Security;Pavlo Khristok;1914;1932;1999;SD;man of the people;Medium;9053;X
545134;Minister of Security;Mikhailo Tkachenko;1914;1920;1999;SD;prince of terror;Medium;unknownminister;X
545135;Minister of Security;Vishnevsky;1914;1932;1999;PA;crime fighter;Medium;unknownminister;X
545136;Minister of Security;Fedir Lizogub;1914;1932;1999;PA;silent lawyer;Medium;8948;X
545137;Minister of Security;Igor Kistyakivsyi;1914;1932;1999;PA;back stabber;Medium;9016;X
545138;Minister of Security;Viktor Reynbot;1914;1932;1999;PA;efficient sociopath;Medium;unknownminister;X
545139;Minister of Security;Grigori Chishevsky;1914;1932;1999;SD;crooked kleptocrat;Medium;9014;X
545140;Minister of Security;Isaak Mazepa;1914;1932;1999;SD;Media magnate;Medium;9017;X
545141;Minister of Security;Mikhail Belinsky;1914;1921;1999;SD;Health and safety;Medium;unknownminister;X
545142;Head of Military Intelligence;Vasil Tyutyunnik;1914;1919;1999;SD;industrial specialist;Medium;9074;X
545143;Head of Military Intelligence;Oleksandr Udovitsenko;1914;1932;1999;PA;political specialist;Medium;9042;X
545144;Chief of Staff;Boris Borovsky;1914;1918;1999;SL;school of fire support;Medium;8943;X
545145;Chief of Staff;Oleksandr Slivinsky;1914;1932;1999;SL;school of manoeuvre;Medium;9047;X
545146;Chief of Staff;Oleksandr Grekiv;1914;1932;1999;SC;school of defence;Medium;9044;X
545147;Chief of Staff;Oleksandr Osetsky;1914;1932;1999;SL;school of psychology;Medium;9046;X
545148;Chief of Staff;Mikola Yunakiv;1914;1932;1999;SL;school of mass combat;Medium;9030;X
545149;Chief of Staff;Volodomir Sinkler;1914;1932;1999;SL;commando doctrine staff;Medium;9083;X
545150;Chief of Army;Boris Borovsky;1914;1932;1999;SL;guns and butter doctrine;Medium;8943;X
545151;Chief of Army;Oleksandr Slivinsky;1914;1932;1999;SL;armoured spearhead doctrine;Medium;9047;X
545152;Chief of Army;Oleksandr Grekiv;1914;1932;1999;SC;decisive battle doctrine;Medium;9044;X
545153;Chief of Army;Oleksandr Osetsky;1914;1932;1999;SL;static defence doctrine;Medium;9046;X
545154;Chief of Army;Mikola Yunakiv;1914;1932;1999;SL;elastic defence doctrine;Medium;9030;X
545155;Chief of Army;Volodomir Sinkler;1914;1932;1999;SL;commando doctrine army;Medium;9083;X
545156;Chief of Navy;Mikola Maksimov;1914;1932;1999;SL;base control doctrine;Medium;9029;X
545157;Chief of Navy;Mikola Protasov;1914;1932;1999;SC;open seas doctrine;Medium;unknownminister;X
545158;Chief of Navy;Lev Postriganev;1914;1932;1999;SL;decisive naval battle doctrine;Medium;unknownminister;X
545159;Chief of Navy;Mikhail Belinsky;1914;1921;1999;SL;power projection doctrine;Medium;unknownminister;X
545160;Chief of Air Force;Viktor Pavlenko;1914;1932;1999;SC;air superiority doctrine;Medium;9077;X
545161;Chief of Air Force;Vasil Murashko;1914;1932;1999;SL;army aviation doctrine;Medium;9075;X
