EUS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
645039;Chief of Air Force;Ignacio Hidalgo de Cisneros;1936;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M11030;X
645040;Chief of Air Force;Pablo Rada;1936;1964;1999;LWR;Naval Aviation Doctrine;High;8518;X
645041;Head of State;Alfonso Carlos I;1931;1937;1999;PA;Benevolent Gentleman;High;8519;X
645042;Head of State;Carlos XII Antonio de Habsburgo;1936;1964;1999;PA;Insignificant Layman;Medium;unknownminister;X
645043;Head of Government;Pedro Mourlane Michelena;1936;1964;1999;FA;Flamboyant Tough Guy;Very High;8188;X
645044;Head of Government;José Felix Lequerica;1936;1964;1999;PA;Silent Workhorse;High;8659;X
645045;Foreign Minister;José María de Areilza;1936;1964;1999;PA;Great Compromiser;Very High;8668;X
645046;Foreign Minister;José Felix Lequerica;1936;1964;1999;PA;Biased Intellectual;High;8659;X
645047;Minister of Armament;José Luis Arrese;1936;1964;1999;FA;Resource Industrialist;Medium;8660;X
645048;Minister of Armament;Alejandro Goicoechea;1936;1964;1999;PA;Administrative Genius;High;8661;X
645049;Minister of Security;Rafael Sánchez Mazas;1936;1964;1999;FA;Compassionate Gentleman;High;8669;X
645050;Minister of Security;Pedro Mourlane Michelena;1936;1964;1999;FA;Man of the People;Very High;8188;X
645051;Head of Military Intelligence;Manuel Aznar Zubigaray;1919;1936;1999;PA;Political Specialist;Medium;8520;X
645052;Head of Military Intelligence;Alejandro Goicoechea;1936;1964;1999;PA;Logistics Specialist;High;8661;X
645053;Chief of Staff;Carlos XI de Habsburgo;1936;1964;1999;PA;School of Mass Combat;High;unknownminister;X
645054;Chief of Staff;Carlos XII Antonio de Habsburgo;1936;1964;1999;PA;School of Defence;Medium;unknownminister;X
645055;Chief of Army;Alejandro Goicoechea;1936;1964;1999;PA;Static Defence Doctrine;High;8661;X
645056;Chief of Army;Enrique Sotomayor;1936;1964;1999;FA;Decisive Battle Doctrine;Medium;6586;X
645057;Chief of Navy;Felipe Abárzuza;1936;1964;1999;PA;Power Projection Doctrine;High;8662;X
645058;Chief of Navy;Francisco Nuñez de Olañeta;1936;1964;1999;PA;Indirect Approach Doctrine;Very High;8663;X
645059;Chief of Air Force;Ángel Salas;1936;1964;1999;PA;Vertical Envelopment Doctrine;High;8664;X
645060;Chief of Air Force;Esteban Ibarreche;1936;1964;1999;PA;Carpet Bombing Doctrine;High;6590;X
645061;Head of State;Enrique V de Borbón-Parma;1936;1964;1999;PA;Weary Stiffneck;Medium;8665;X
645062;Head of State;José I de Borbón-Parma;1936;1964;1999;PA;Insignificant Layman;Medium;8666;X
645063;Head of State;Elías I de Borbón-Parma;1939;1964;1999;PA;Popular Figurehead;High;8667;X
645064;Chief of Staff;Enrique V de Borbón-Parma;1936;1964;1999;PA;School of Manoeuvre;Medium;8665;X
645065;Chief of Staff;José I de Borbón-Parma;1936;1964;1999;PA;School of Defence;Medium;8666;X
645066;Chief of Staff;Elías I de Borbón-Parma;1939;1964;1999;PA;School of Fire Support;High;8667;X
645067;Chief of Army;Saturnino Bengoa;1936;1964;1999;SC;Static Defence Doctrine;High;unknownminister;X
645068;Chief of Staff;José Antonio Aguirre;1936;1960;1999;SC;School of Defence;Very High;8505;X
645069;Head of State;Luis Arana Goiri;1908;1933;1999;SC;stern imperialist;Very High;8521;X
645070;Minister of Armament;José Antonio Aguirre;1936;1960;1999;SC;laissez-faire capitalist;High;8505;X
645071;Minister of Security;Telesforo Monzón;1936;1964;1999;SD;man of the people;High;8511;X
645072;Chief of Air Force;Manuel Zubiaga Aldecoa;1914;1936;1999;SC;air superiority doctrine;Low;8522;X
645073;Chief of Air Force;Luis Lavín;1946;1963;1999;LE;army aviation doctrine;Medium;8523;X
645074;Chief of Staff;Tomás Echabe;1936;1963;1999;LWR;School of Psychology;High;unknownminister;X
645075;Foreign Minister;Elías Gallastegui Uriarte;1921;1937;1999;SD;Ideological Crusader;High;8524;X
645076;Foreign Minister;Manuel de la Sota Aburto;1921;1946;1999;SD;Biased Intellectual;High;8525;X
645077;Head of Military Intelligence;Fidel Rotaeche Romarategui;1918;1937;1999;SL;logistics specialist;High;unknownminister;X
645078;Head of Military Intelligence;Trifón Echebarría;1921;1937;1999;SL;political specialist;High;unknownminister;X
645079;Minister of Security;Adolfo de Larrañaga;1923;1950;1999;SC;man of the people;High;unknownminister;X
645080;Minister of Armament;Agustín Zumalabe Mendiburu;1936;1958;1999;SD;resource industrialist;High;8526;X
645081;Minister of Security;Manuel Aranzadi Irujo;1909;1942;1999;SC;Silent Lawyer;High;8527;X
645082;Chief of Army;Juan Ibarrola Orueta;1927;1964;1999;SC;guns and butter doctrine;Medium;8528;X
645083;Chief of Air Force;Felipe del Rio Grespo;1937;1939;1999;LWR;Air Superiority Doctrine;Low;8529;X
645084;Head of State;Ramón de la Sota y Llano;1914;1936;1999;SC;weary stiffneck;High;8530;X
645085;Head of Government;Ramón de la Sota y Llano;1914;1936;1999;SC;happy amateur;High;8530;X
645086;Chief of Air Force;Joaquín de Egia;1936;1956;1999;SC;army aviation doctrine;High;8494;X
645087;Chief of Army;Saturnino Bengoa;1936;1964;1999;SC;Static Defence Doctrine;High;unknownminister;X
645088;Chief of Staff;José Antonio Aguirre;1936;1960;1999;SC;School of Defence;Very High;8505;X
645089;Head of State;Luis Arana Goiri;1908;1933;1999;SC;stern imperialist;Very High;8521;X
645090;Minister of Armament;José Antonio Aguirre;1936;1960;1999;SC;laissez-faire capitalist;High;8505;X
645091;Minister of Security;Telesforo Monzón;1936;1964;1999;SD;man of the people;High;8511;X
645092;Chief of Air Force;Manuel Zubiaga Aldecoa;1914;1936;1999;SC;air superiority doctrine;Low;8522;X
645093;Chief of Air Force;Luis Lavín;1946;1963;1999;LE;army aviation doctrine;Medium;8523;X
645094;Chief of Staff;Tomás Echabe;1936;1963;1999;LWR;School of Psychology;High;unknownminister;X
645095;Foreign Minister;Elías Gallastegui Uriarte;1921;1937;1999;SD;Ideological Crusader;High;8524;X
645096;Foreign Minister;Manuel de la Sota Aburto;1921;1946;1999;SD;Biased Intellectual;High;8525;X
645097;Head of Military Intelligence;Fidel Rotaeche Romarategui;1918;1937;1999;SL;logistics specialist;High;unknownminister;X
645098;Head of Military Intelligence;Trifón Echebarría;1921;1937;1999;SL;political specialist;High;unknownminister;X
645099;Minister of Security;Adolfo de Larrañaga;1923;1950;1999;SC;man of the people;High;unknownminister;X
645100;Minister of Armament;Agustín Zumalabe Mendiburu;1936;1958;1999;SD;resource industrialist;High;8526;X
645101;Minister of Security;Manuel Aranzadi Irujo;1909;1942;1999;SC;Silent Lawyer;High;8527;X
645102;Chief of Army;Juan Ibarrola Orueta;1927;1964;1999;SC;guns and butter doctrine;Medium;8528;X
645103;Chief of Air Force;Felipe del Rio Grespo;1937;1939;1999;LWR;Air Superiority Doctrine;Low;8529;X
645104;Head of State;Ramón de la Sota y Llano;1914;1936;1999;SC;weary stiffneck;High;8530;X
645105;Head of Government;Ramón de la Sota y Llano;1914;1936;1999;SC;happy amateur;High;8530;X
645106;Chief of Air Force;Joaquín de Egia;1936;1956;1999;SC;army aviation doctrine;High;8494;X
