NOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
65114;Minister of Armament;Anton Omholt;1914;1933;1999;SL;Laissez-Faire Capitalist;High;unknownminister;X
65115;Minister of Armament;Otto Blehr;1915;1933;1999;SL;Laissez-Faire Capitalist;High;2883;X
65116;Minister of Armament;Arnold Holmboe;1924;1933;1999;SL;Laissez-Faire Capitalist;High;unknownminister;X
65117;Minister of Security;Lars Abrahamsen;1914;1933;1999;SL;Man of the People;High;2884;X
65118;Minister of Security;Kristian F. Petersen;1914;1933;1999;SL;Compassionate Gentleman;High;unknownminister;X
65119;Minister of Security;Andreas Urbye;1916;1933;1999;SL;Silent Lawyer;High;2885;X
65120;Minister of Security;Otto Blehr;1917;1933;1999;SL;Crime Fighter;High;2883;X
65121;Minister of Security;Otto Halvorsen;1920;1933;1999;SC;Crime Fighter;High;2880;X
65122;Minister of Security;Olaf Amundsen;1921;1933;1999;SL;Silent Lawyer;High;unknownminister;X
65123;Minister of Security;Lars Oftedal;1921;1933;1999;SL;Compassionate Gentleman;High;3925;X
65124;Minister of Security;Arnold Holmboe;1922;1933;1999;SL;Silent Lawyer;High;unknownminister;X
65125;Minister of Security;Odd Klingenberg;1923;1933;1999;SC;Crime Fighter;High;3926;X
65126;Minister of Security;Christian Rolfsen;1923;1933;1999;SC;Silent Lawyer;High;unknownminister;X
65127;Minister of Security;Paal Berg;1924;1933;1999;SL;Crime Fighter;High;2886;X
65128;Minister of Security;Karl A. Marthinsen;1940;1964;1999;NS;Prince of Terror;Medium;6033;X
65129;Minister of Security;Sverre P. Riisnæs;1939;1964;1999;FA;Silent Lawyer;Medium;5985;X
65130;Foreign Minister;Johan S. Johansen;1944;1964;1999;LE;Ideological Crusader;Medium;5986;X
65131;Head of Government;Gunnar Knudsen;1913;1920;1999;SL;Ambitious Union Boss;High;8022;X
65132;Minister of Armament;Christian Theodor Holtfodt;1914;1919;1999;SL;Resource Industrialist;High;8023;X
65133;Chief of Army;Einar Wilhelm Anton Martin Krohn;1912;1916;1999;SL;Guns and Butter doctrine;High;8024;X
65134;Chief of Army;Johan Christopher Ræder;1916;1927;1999;SL;Guns and Butter doctrine;High;8025;X
65135;Chief of Navy;Karl Friedrich Griffin Dawes;1910;1919;1999;ML;Decisive Naval Battle Doctrine;High;8028;X
65136;Chief of Air Force;Einar Wilhelm Anton Martin Krohn;1912;1916;1999;SL;Air Superiority Doctrine;High;8024;X
65137;Chief of Air Force;Einar Sem-Jacobsen;1912;1922;1999;SL;Air Superiority Doctrine;High;8026;X
65138;Foreign Minister;Fridtjof Nansen;1910;1927;1999;ML;Great Compromiser;Very High;8544;X
65139;Minister of Security;Henry Wilhelm Kristiansen;1933;1943;1999;ST;Media magnate;High;M14024;X
