HOL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyality;Picture Name;X
15104;Head of Military Intelligence;Simon Spoor;1942;1964;1999;SC;Naval Intelligence Specialist;Very High;M8137;X
15105;Head of Military Intelligence;Henk Feldmeijer;1937;1964;1999;NS;Political Specialist;Low;M8016;X
15106;Head of Military Intelligence;Michiel de Bruyne;1945;1964;1999;PA;Technical Specialist;Low;M8139;X
15107;Head of Military Intelligence;Abraham Menist;1937;1964;1999;LE;Political Specialist;High;M8026;X
15108;Head of Military Intelligence;Ina Willekes-MacDonald;1943;1964;1999;ST;Dismal Enigma;Very High;M8141;X
15109;Chief of Staff;Bernhard Coltof;1937;1964;1999;SD;School of Psychology;High;M8142;X
15110;Chief of Staff;Simon Spoor;1943;1964;1999;SC;School of Psychology;High;M8137;X
15111;Chief of Staff;Anton Mussert;1937;1964;1999;FA;School of Psychology;High;M8148;X
15112;Chief of Staff;Hendrik Seyffardt;1943;1964;1999;FA;School of Defence;Medium;M8017;X
15113;Chief of Staff;Thomas Struik;1937;1964;1999;ST;School of Mass Combat;High;M8027;X
15114;Chief of Staff;Geert Sterringa;1940;1964;1999;ST;School of Defence;High;M8152;X
15115;Chief of Staff;Jacobus Engels;1943;1964;1999;LE;School of Psychology;High;M8105;X
15116;Chief of Army;Jan van Voorst tot Voorst;1937;1964;1999;ML;Static Defence Doctrine;High;M8155;X
15117;Chief of Army;Henri Winkelman;1940;1964;1999;ML;Elastic Defence Doctrine;High;M8154;X
15118;Chief of Army;Adrianus Zondervan;1937;1964;1999;NS;Decisive Battle Doctrine;Very Low;M8018;X
15119;Chief of Army;Hendrik Seyffardt;1943;1964;1999;FA;Guns and Butter Doctrine;Very High;M8017;X
15120;Chief of Army;Herman van Voorst tot Voorst;1945;1964;1999;PA;Elastic Defence Doctrine;Very High;M8161;X
15121;Chief of Army;Alexander de Leeuw;1937;1964;1999;ST;Elastic Defence Doctrine;Very High;M8162;X
15122;Chief of Army;Nico van Straaten;1943;1964;1999;LE;Armoured Spearhead Doctrine;Low;M8028;X
15123;Chief of Army;Anthon Koejemans;1945;1964;1999;ST;Guns and Butter Doctrine;Very High;M8164;X
15124;Chief of Navy;Pieter Koenraad;1937;1964;1999;FA;Base Control Doctrine;Low;M8019;X
15125;Chief of Navy;Christiaan Beekman;1937;1964;1999;LE;Base Control Doctrine;Low;M8170;X
15126;Chief of Navy;Fokke Bosman;1940;1964;1999;ST;Open Seas Doctrine;High;M8123;X
15127;Chief of Air Force;Petrus W. Best;1939;1964;1999;SD;Naval Aviation Doctrine;High;M8172;X
15128;Chief of Air Force;Claes Douw van der Krap;1937;1964;1999;FA;Naval Aviation Doctrine;Low;M8020;X
15129;Chief of Air Force;Jan Dieters;1937;1964;1999;ST;Vertical Envelopment Doctrine;High;M8041;X
15130;Chief of Air Force;Julius Zegers;1943;1964;1999;LE;Air Superiority Doctrine;Low;M8030;X
15131;Chief of Army;Bernhard Coltof;1939;1964;1999;SD;Elastic Defence Doctrine;High;M8142;X
15132;Head of State;Alexander von Falkenhausen;1940;1964;1999;NS;Resigned Generalissimo;Very High;M510086;X
15133;Head of State;Arthur Seyss-Inquart;1940;1964;1999;NS;Powerhungry Demagogue;Very High;M58;X
15134;Chief of Navy;Karel Doorman;1933;1964;1999;LWR;Open Seas Doctrine;Low;M8029;X
15135;Head of State;Wilhelmina;1933;1964;1999;SL;Stern Imperialist;Very High;M8001;X
15136;Head of State;Juliana;1948;1964;1999;SD;Popular Figurehead;High;M8186;X
15137;Head of State;Juliana;1948;1964;1999;SC;Popular Figurehead;High;M8186;X
15138;Head of Government;Willem Drees;1948;1964;1999;SD;Ambitious Union Boss;High;M8130;X
15139;Foreign Minister;Dirk U. Stikker;1948;1964;1999;SL;Great Compromiser;Medium;M8189;X
15140;Foreign Minister;Jan Willem Beyen;1951;1964;1999;SL;Apologetic Clerk;Medium;M8190;X
15141;Minister of Armament;Wim Schokking;1948;1964;1999;SD;Air to Ground Proponent;Medium;M8191;X
15142;Minister of Armament;Louis de Visser;1950;1964;1999;LWR;Theoretical Scientist;Medium;M8192;X
15143;Minister of Armament;Kees Staf;1951;1964;1999;SL;Resource Industrialist;Medium;M8193;X
15144;Minister of Security;Johannes van Maarseveen;1946;1964;1999;ML;Silent Lawyer;Medium;M8194;X
15145;Minister of Security;Teun Struiken;1948;1964;1999;SL;Back Stabber;Medium;M8195;X
15146;Minister of Security;Henrik Mulderije;1951;1964;1999;SL;Crime Fighter;Medium;M8196;X
15147;Minister of Security;Leendert A. Donker;1952;1964;1999;SD;Compassionate Gentleman;Medium;M8197;X
15148;Chief of Air Force;Hendrik Walaardt Sacré;1914;1933;1999;ML;Army Aviation Doctrine;Very High;2653;X
15149;Chief of Army;Cornelis Snijders;1914;1933;1999;ML;static defence doctrine;Very High;2654;X
15150;Chief of Army;Cornelis Snijders;1914;1933;1999;PA;static defence doctrine;Very High;2654;X
15151;Chief of Army;Nicolaas Bosboom;1914;1933;1999;ML;elastic defence doctrine;Very High;2655;X
15152;Chief of Army;P. Forbes Wels;1922;1933;1999;ML;Guns and Butter Doctrine;Very High;3904;X
15153;Chief of Navy;Jean Rambonnet;1914;1933;1999;ML;Open Seas Doctrine;High;2656;X
15154;Chief of Navy;Jean Rambonnet;1914;1933;1999;PA;Open Seas Doctrine;High;2656;X
15155;Chief of Navy;Willem Naudin ten Cate;1918;1933;1999;ML;Decisive Naval Battle Doctrine;High;2657;X
15156;Chief of Staff;Cornelis Snijders;1914;1933;1999;ML;school of defence;Very High;2654;X
15157;Chief of Staff;Cornelis Snijders;1914;1933;1999;PA;school of defence;Very High;2654;X
15158;Chief of Staff;Nicolaas Bosboom;1914;1933;1999;ML;School of Fire Support;Very High;2655;X
15159;Chief of Staff;P. Forbes Wels;1922;1933;1999;ML;School of Fire Support;Very High;3904;X
15160;Foreign Minister;David Wijnkoop;1914;1933;1999;ST;Ideological Crusader;Very High;2658;X
15161;Foreign Minister;Herman van Karnebeek;1918;1933;1999;ML;Ideological Crusader;High;2659;X
15162;Foreign Minister;John Loudon;1914;1933;1999;SL;Great Compromiser;High;2660;X
15163;Foreign Minister;Pieter Cort van der Linden;1914;1933;1999;SL;Apologetic Clerk;High;2661;X
15164;Foreign Minister;Reneke de Marees van Swinderen;1914;1933;1999;SC;Great Compromiser;High;3859;X
15165;Foreign Minister;Willem Naudin ten Cate;1914;1933;1999;PA;General Staffer;High;2657;X
15166;Head of Government;Charles Ruijs de Beerenbrouck;1914;1933;1999;SC;Happy Amateur;Very High;2662;X
15167;Head of Government;Cornelis Snijders;1914;1933;1999;PA;Old General;High;2654;X
15168;Head of Government;David Wijnkoop;1914;1933;1999;ST;Flamboyant Tough Guy;High;2658;X
15169;Head of Government;Pieter Cort van der Linden;1913;1933;1999;SL;Naive Optimist;Very High;2661;X
15170;Head of Government;Pieter Troelstra;1914;1933;1999;LWR;Happy Amateur;High;2663;X
15171;Head of Military Intelligence;Cornelis Snijders;1914;1933;1999;PA;LOGISTICS SPECIALIST;High;2654;X
15172;Head of Military Intelligence;J.J. Le Roy;1914;1933;1999;SL;Dismal Enigma;Very High;3905;X
15173;Head of State;Louis de Visser;1914;1933;1999;ST;Barking Buffoon;High;M8192;X
15174;Head of State;Wilhelmina;1914;1933;1999;SC;Stern Imperialist;High;2664;X
15175;Head of State;Wilhelmina;1914;1933;1999;PA;Stern Imperialist;High;2664;X
15176;Minister of Armament;Anthonij Bertling;1914;1933;1999;SL;Corrupt Kleptocrat;High;3860;X
15177;Minister of Armament;Anton van Gijn;1916;1933;1999;SL;Laissez-Faire Capitalist;High;3861;X
15178;Minister of Armament;David Wijnkoop;1914;1933;1999;ST;Resource Industrialist;Very High;2658;X
15179;Minister of Armament;Dirk Jan de Geer;1921;1933;1999;SC;Resource Industrialist;High;2665;X
15180;Minister of Armament;Hendrikus Colijn;1923;1933;1999;SC;Military Entrepreneur;High;2666;X
15181;Minister of Armament;Jean Rambonnet;1914;1933;1999;PA;Battle Fleet Proponent;High;2656;X
15182;Minister of Armament;Johannes Harte van Tecklenburg;1914;1933;1999;SC;Corrupt Kleptocrat;High;3862;X
15183;Minister of Armament;Maximilien Kolkman;1914;1933;1999;SC;Administrative Genius;High;3863;X
15184;Minister of Armament;Simon de Vries Czn;1918;1933;1999;SC;Resource Industrialist;High;2667;X
15185;Minister of Armament;Willem Treub;1914;1933;1999;SL;Resource Industrialist;High;2668;X
15186;Minister of Security;Charles Ruijs de Beerenbrouck;1918;1933;1999;SC;Compassionate Gentleman;High;2662;X
15187;Minister of Security;Hendrik Goeman Borgesius;1914;1933;1999;SL;Crime Fighter;High;2669;X
15188;Minister of Security;Horace van Gybland Oosterhoff;1914;1933;1999;PA;Efficient Sociopath;High;unknownminister;X
15189;Minister of Security;Louis de Visser;1914;1933;1999;ST;Man of the People;Medium;M8192;X
15190;Minister of Security;Pieter Cort van der Linden;1914;1933;1999;SL;Compassionate Gentleman;High;2661;X
15191;Minister of Security;Pieter Rink;1914;1933;1999;SL;Silent Lawyer;High;2670;X
15192;Minister of Security;Theodorus Heemskerk;1914;1933;1999;SC;Man of the People;High;2671;X
