RUS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
515068;Chief of Staff;Mikhail Bogdanov;1933;1964;1999;FA;school of manoeuvre;High;9191;X
515069;Chief of Staff;Sysoi Borodin;1933;1964;1999;FA;School of Mass Combat;High;9192;X
515070;Chief of Staff;Pavel Bermondt-Avalov;1933;1964;1999;FA;School of Psychology;Medium;6379;X
515071;Chief of Army;Alexander von Lampe;1925;1967;1999;PA;decisive battle doctrine;High;5628;X
515072;Chief of Army;Grand Duke Andrey;1925;1956;1999;SC;guns and butter doctrine;High;4451;X
515073;Chief of Army;Alexey von Budberg;1925;1945;1999;SC;static defence doctrine;High;5601;X 
515074;Chief of Army;Vladimir Vitkovsky;1925;1978;1999;SC;Guns and Butter Doctrine;High;5581;X
515075;Chief of Army;Vladimir Harzhevsky;1925;1964;1999;SC;Decisive Battle Doctrine;High;9325;X
515076;Chief of Army;Sergey Bunyachenko;1930;1950;1999;NS;static defence doctrine;High;9213;X
515077;Chief of Army;Dmitry Zakutny;1930;1964;1999;NS;armoured spearhead doctrine;High;9315;X
515078;Chief of Army;Mikhail Skorodumov;1930;1964;1999;FA;Decisive Battle Doctrine;High;9321;X
515079;Chief of Army;Vladimir Kislitsin;1930;1964;1999;SC;Decisive Battle Doctrine;Very high;6375;X
515080;Chief of Army;Andrei Shkuro;1930;1964;1999;PA;Decisive Battle Doctrine;Medium;6372;X
515081;Chief of Army;Sysoi Borodin;1933;1964;1999;FA;static defence doctrine;High;9192;X
515082;Chief of Army;Andrei Vlasov;1933;1964;1999;NS;Elastic Defence Doctrine;Very High;M4090;X
515083;Chief of Army;Fyodor Trukhin;1933;1964;1999;NS;elastic defence doctrine;High;M4125;X
515084;Chief of Army;Pavel Bermondt-Avalov;1933;1964;1999;FA;Static Defence Doctrine;Medium;6379;X
515085;Chief of Army;Pyotr Krasnov;1939;1964;1999;PA;Guns and Butter Doctrine;Medium;6374;X
515086;Chief of Navy;Garold Graf;1925;1964;1999;PA;indirect approach doctrine;High;9314;X
515087;Chief of Navy;Sergey Evdokimov;1925;1964;1999;PA;Open Seas Doctrine;High;9324;X
515088;Chief of Navy;Alexey Zaev;1925;1964;1999;SL;open seas doctrine;High;5701;X
515089;Chief of Navy;Alexander Gadd;1925;1964;1999;SL;Open Seas Doctrine;High;9322;X
515090;Chief of Navy;Ivan Blagoveschensky;1933;1964;1999;NS;BASE CONTROL DOCTRINE;High;9194;X
515091;Chief of Air Force;Vyacheslav Baranov;1925;1964;1999;SL;army aviation doctrine;High;9319;X
515092;Chief of Air Force;Viktor Maltsev;1933;1964;1999;NS;Carpet Bombing Doctrine;High;9195;X
515093;Chief of Air Force;Semyon Bychkov;1940;1964;1999;FA;army aviation doctrine;High;9316;X
515094;Chief of Air Force;Duke Andrey Alexandrovich;1940;1980;1999;SC;vertical envelopment doctrine;High;9317;X
515095;Head of State;Nikolay II;1915;1933;1999;ML;Autocratic Charmer;High;3045;X
515096;Head of State;Nikolay II;1894;1933;1999;PA;Autocratic Charmer;High;3045;X
515097;Head of State;Georgy Lvov;1915;1925;1999;ML;Die-hard Reformer;High;3067;X
515098;Head of State;Alexander Kerensky;1915;1933;1999;SD;Die-hard Reformer;High;3051;X
515099;Head of State;Kirill I;1918;1939;1999;PA;Autocratic Charmer;High;3025;X
515100;Head of State;Kirill I;1918;1939;1999;ML;Autocratic Charmer;High;3025;X
515101;Head of State;Nikolay III;1915;1930;1999;PA;Popular Figurehead;High;4461;X
515102;Head of State;Nikolay III;1915;1930;1999;ML;Popular Figurehead;High;4461;X
515103;Head of State;Vladimir III;1938;1993;1999;PA;Weary Stiffneck;High;M4091;X
515104;Head of State;Vladimir III;1938;1993;1999;ML;Weary Stiffneck;High;M4091;X
515105;Head of Government;Sergey Witte;1903;1906;1999;PA;Silent Workhorse;Very High;9134;X
515106;Head of Government;Ivan Goremykin;1914;1919;1999;SC;Political Protege;Very High;3060;X
515107;Head of Government;Petr Stolypin;1905;1911;1999;SC;Flamboyant Tough Guy;Very High;3063;X
515108;Head of Government;Vladimir Kokovtsov;1914;1943;1999;PA;Naive Optimist;High;3064;X
515109;Head of Government;Boris Stürmer;1915;1920;1999;PA;Political Protege;High;3056;X
515110;Head of Government;Alexander Trepov;1916;1930;1999;PA;Silent Workhorse;High;3065;X
515111;Head of Government;Nikolay Golitsyn;1916;1925;1999;PA;Happy Amateur;High;3066;X
515112;Head of Government;Georgy Lvov;1915;1925;1999;ML;Silent Workhorse;High;3067;X
515113;Head of Government;Alexander Kerensky;1915;1933;1999;SD;Ambitious Union Boss;High;3051;X
515114;Foreign Minister;Vladimir Lamsdorf;1900;1908;1999;SC;iron fisted brute;High;3072;X
515115;Foreign Minister;Alexander Izvolsky;1906;1920;1999;SC;general staffer;High;3039;X
515116;Foreign Minister;Sergey Sazonov;1914;1933;1999;ML;Apologetic Clerk;Very High;8801;X
515117;Foreign Minister;Boris Stürmer;1916;1920;1999;PA;Iron Fisted Brute;High;3056;X
515118;Foreign Minister;Nikolay Pokrovsky;1915;1933;1999;PA;Great Compromiser;High;3059;X
515119;Foreign Minister;Pavel Milyukov;1914;1943;1999;ML;Ideological Crusader;Medium;3054;X
515120;Foreign Minister;Mikhail Tereshchenko;1915;1956;1999;SL;Ideological Crusader;High;3058;X
515121;Minister of Armament;Ivan Shipov;1900;1911;1999;SC;Mixed economy;High;3062;X
515122;Minister of Armament;Vladimir Kokovtsov;1901;1919;1999;SC;administrative genius;Very High;3064;X
515123;Minister of Armament;Petr Bark;1909;1921;1999;PA;laissez-faire capitalist;High;3076;X
515124;Minister of Armament;Mikhail Tereshchenko;1914;1956;1999;SL;corrupt kleptocrat;High;3058;X
515125;Minister of Armament;Andrey Shingaryev;1914;1933;1999;SL;resource industrialist;High;3078;X
515126;Minister of Armament;Nikolay Nekrasov;1914;1933;1999;SD;theoretical scientist;High;3080;X
515127;Minister of Armament;Mikhail Bernatsky;1914;1943;1999;SL;Industrial chemist;High;3079;X
515128;Minister of Armament;Alexander Konovalov;1914;1949;1999;SL;Steel magnate;High;3073;X
515129;Minister of Armament;Sergey Prokopovich;1914;1955;1999;SD;Reformer;High;9201;X
515130;Minister of Armament;Alexander Roediger;1903;1911;1999;SC;military entrepreneur;High;3958;X
515131;Minister of Armament;Vladimir Sukhomlinov;1907;1917;1999;PA;infantry proponent;Very High;3040;X
515132;Minister of Armament;Alexey Polivanov;1913;1918;1999;PA;military entrepreneur;High;3077;X
515133;Minister of Armament;Dmitry Shuvaev;1914;1919;1999;SC;infantry proponent;High;6376;X
515134;Minister of Armament;Mikhail Belyaev;1915;1919;1999;SC;military entrepreneur;High;9198;X
515135;Minister of Armament;Alexander Guchkov;1914;1936;1999;ML;infantry proponent;High;3082;X
515136;Minister of Armament;Alexander Kerensky;1914;1970;1999;SD;military entrepreneur;Low;3051;X
515137;Minister of Armament;Alexander Verkhovsky;1914;1938;1999;SD;tank proponent;High;3081;X
515138;Minister of Armament;Dmitry Verderevsky;1914;1946;1999;SD;battle fleet proponent;High;3070;X
515139;Minister of Armament;Alexey Birilyov;1903;1909;1999;SC;battle fleet proponent;High;3069;X
515140;Minister of Armament;Ivan Dikov;1905;1911;1999;SC;submarine proponent;High;3075;X
515141;Minister of Armament;Stepan Voevodsky;1907;1913;1999;SC;battle fleet proponent;High;3955;X
515142;Minister of Armament;Ivan Grigorovich;1909;1919;1999;SC;submarine proponent;High;9189;X
515143;Minister of Security;Petr Durnovo;1903;1908;1999;SC;compassionate gentleman;High;4869;X
515144;Minister of Security;Petr Stolypin;1904;1913;1999;PA;man of the people;High;3063;X
515145;Minister of Security;Alexander Makarov;1909;1914;1999;SC;prince of terror;Very High;3084;X
515146;Minister of Security;Nikolay Maklakov;1910;1917;1999;PA;crime fighter;Very High;3085;X
515147;Minister of Security;Nikolay Shcherbatov;1913;1917;1999;PA;silent lawyer;High;3957;X
515148;Minister of Security;Alexey Khvostov;1913;1918;1999;PA;back stabber;High;3086;X
515149;Minister of Security;Boris Stürmer;1914;1918;1999;PA;efficient sociopath;High;3056;X
515150;Minister of Security;Alexander Protopopov;1914;1919;1999;PA;crooked kleptocrat;High;3083;X
515151;Minister of Security;Georgy Lvov;1914;1926;1999;ML;Media magnate;High;3067;X
515152;Minister of Security;Nikolay Avksentev;1914;1944;1999;SD;Health and safety;High;4974;X
515153;Minister of Security;Alexey Nikitin;1914;1940;1999;SD;Secret police chief;High;5904;X
515154;Head of Military Intelligence;Vitaly Tselebrovsky;1899;1907;1999;SC;industrial specialist;High;unknownminister;X
515155;Head of Military Intelligence;Nikolay Ermolov;1903;1908;1999;PA;political specialist;High;unknownminister;X
515156;Head of Military Intelligence;Mikhail Adabash;1904;1909;1999;PA;dismal enigma;High;6546;X
515157;Head of Military Intelligence;Nikolay Monkevits;1906;1916;1999;SC;naval intelligence specialist;High;5920;X
515158;Head of Military Intelligence;Oscar Enckell;1911;1916;1999;PA;technical specialist;High;8998;X
515159;Head of Military Intelligence;Nikolay Rasha ;1912;1918;1999;PA;logistics specialist;High;6100;X
515160;Head of Military Intelligence;Pavel Ryabikov ;1915;1919;1999;SC;industrial specialist;High;6114;X
515161;Chief of Staff;Fedor Palitsyn;1905;1909;1999;PA;school of fire support;High;6115;X
515162;Chief of Staff;Vladimir Sukhomlinov;1908;1910;1999;PA;school of manoeuvre;Very High;3040;X
515163;Chief of Staff;Alexander Myshlaevsky;1909;1910;1999;SC;school of defence;High;6116;X
515164;Chief of Staff;Alexander Gerngroß;1909;1912;1999;PA;school of psychology;High;6117;X
515165;Chief of Staff;Yakov Zhilinsky;1911;1915;1999;PA;school of mass combat;High;6118;X
515166;Chief of Staff;Mikhail Belyaev;1914;1917;1999;PA;school of fire support;High;9198;X
515167;Chief of Staff;Petr  Averyanov;1916;1918;1999;PA;school of manoeuvre;High;6119;X
515168;Chief of Staff;Georgy Romanovsky;1917;1918;1999;SC;school of defence;High;8721;X
515169;Chief of Staff;Vladimir Marushevsky;1917;1918;1999;PA;school of psychology;High;6301;X
515170;Chief of Staff;Nikolay Yanushkevich;1914;1916;1999;PA;school of mass combat;High;3049;X
515171;Chief of Staff;Mikhail Alexeyev;1915;1918;1999;SC;commando doctrine staff;High;8732;X
515172;Chief of Staff;Vasily Gurko;1916;1918;1999;PA;school of fire support;Very High;3050;X
515173;Chief of Staff;Vladislav Klembovsky;1917;1922;1999;PA;school of manoeuvre;High;6500;X
515174;Chief of Staff;Anton Denikin;1917;1948;1999;SC;school of defence;High;8696;X
515175;Chief of Staff;Alexander Lukomsky;1917;1940;1999;PA;school of psychology;Very High;3953;X
515176;Chief of Staff;Nikolay Dukhonin;1917;1918;1999;ML;school of mass combat;Very High;3954;X
515177;Chief of Staff;Mikhail Diterichs;1917;1938;1999;ML;commando doctrine staff;High;8898;X
515178;Chief of Staff;Mikhail Bonch-Bruevich;1917;1957;1999;ML;school of fire support;High;6501;X
515179;Chief of Army;Nikolay Romanov;1914;1930;1999;PA;guns and butter doctrine;High;4461;X
515180;Chief of Army;Nikolay II;1914;1919;1999;PA;armoured spearhead doctrine;Very High;3045;X
515181;Chief of Army;Mikhail Alexeyev;1914;1919;1999;ML;decisive battle doctrine;High;8732;X
515182;Chief of Army;Alexey Brusilov;1914;1937;1999;SL;static defence doctrine;High;3041;X
515183;Chief of Army;Lavr Kornilov;1915;1919;1999;ML;elastic defence doctrine;Low;4675;X
515184;Chief of Army;Alexander Kerensky;1916;1971;1999;SD;commando doctrine army;High;3051;X
515185;Chief of Army;Nikolay Dukhonin;1917;1918;1999;ML;Doctrine of autonomy;High;3954;X
515186;Chief of Navy;Lev Brusilov;1904;1910;1999;PA;base control doctrine;High;6502;X
515187;Chief of Navy;Andrey Eberhardt;1906;1913;1999;SC;open seas doctrine;High;6503;X
515188;Chief of Navy;Alexander Lieven;1909;1914;1999;PA;decisive naval battle doctrine;High;6504;X
515189;Chief of Navy;Alexander Rusin;1912;1933;1999;PA;power projection doctrine;Very High;5218;X
515190;Chief of Navy;Mikhail Kedrov;1915;1933;1999;ML;indirect approach doctrine;High;3047;X
515191;Chief of Navy;Alexey Kapnist;1915;1919;1919;PA;base control doctrine;High;4551;X
515192;Chief of Air Force;Alexander Kovanko;1910;1920;1920;PA;carpet bombing doctrine;High;4687;X
515193;Chief of Air Force;Alexander Mikhailovich;1914;1933;1933;PA;naval aviation doctrine;Very High;4449;X
515194;Chief of Air Force;Sergey Ulyanin;1914;1922;1922;SC;air superiority doctrine;High;6505;X
515195;Chief of Air Force;Mikhail Shishkevich ;1910;1930;1999;SC;army aviation doctrine;High;6506;X
515196;Chief of Air Force;Vyacheslav Tkachov;1916;1945;1999;ML;carpet bombing doctrine;High;5464;X
