MON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
300058;Chief of Staff;Horloogiyn Choybalsan;1937;1964;1999;LWR;School of Manoeuvre;Very High;M94081;X
300059;Chief of Staff;Ölziytrygyn Badrak;1938;1964;1999;LWR;School of Defence;Very High;M94082;X
300060;Chief of Staff;Buma Tsende;1940;1964;1999;ST;School of Defence;Very High;M94035;X
300061;Chief of Army;Lee Shou-hsin;1937;1964;1999;PA;Guns and Butter Doctrine;Medium;M94017;X
300062;Chief of Army;Dagva;1937;1964;1999;SD;Guns and Butter Doctrine;Medium;M94028;X
300063;Chief of Army;Ölziytrygyn Badrak;1937;1964;1999;LWR;Static Defence Doctrine;Very High;M94082;X
300064;Chief of Army;Horloogiyn Choybalsan;1938;1964;1999;LWR;Guns and Butter Doctrine;Very High;M94049;X
300065;Chief of Navy;Yundunwangcug;1937;1964;1999;PA;Open Seas Doctrine;Medium;M94011;X
300066;Chief of Navy;Haidav;1937;1964;1999;LE;Power Projection Doctrine;Medium;M94093;X
300067;Chief of Navy;Ganbaatar;1937;1964;1999;LWR;Base Control Doctrine;Medium;M94029;X
300068;Chief of Navy;Gomgchigryn Bumtsend;1940;1964;1999;ST;Base Control Doctrine;Very High;M94034;X
300069;Chief of Navy;Dashdorj;1942;1964;1999;ST;Indirect Approach Doctrine;High;M94075;X
300070;Chief of Air Force;Sükhbaataryn Yanjmaa;1937;1964;1999;PA;Naval Aviation Doctrine;Medium;M94020;X
300071;Chief of Air Force;Haidav;1937;1964;1999;LE;Naval Aviation Doctrine;Medium;M94093;X
300072;Chief of Air Force;Ganbaatar;1937;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M94029;X
300073;Chief of Air Force;Sükhbaataryn Yanjmaa;1940;1964;1999;ST;Naval Aviation Doctrine;Medium;M94020;X
300074;Chief of Air Force;Gomgchigryn Bumtsend;1942;1964;1999;ST;Vertical Envelopment Doctrine;Very High;M94034;X
300075;Chief of Air Force;Buyannmeh;1944;1964;1999;ST;Carpet Bombing Doctrine;Very High;M94064;X
300076;Chief of Army;Ja Lama Dambijanstan;1914;1933;1999;PA;Guns and Butter Doctrine;Medium;2852;X
300077;Chief of Army;Khatanbaatar Magsarjav;1914;1933;1999;PA;elastic defence doctrine;Medium;unknownminister;X
300078;Chief of Army;Sukhe Bator;1920;1933;1999;ST;Decisive Battle Doctrine;Very High;2853;X
300079;Chief of Army;Roman von Ungern-Sternberg;1920;1933;1999;PA;Decisive Battle Doctrine;Very High;2854;X
300080;Chief of Army;Khatanbaatar Magsarjav;1922;1933;1999;ST;elastic defence doctrine;Medium;unknownminister;X
300081;Chief of Army;Horloyn Choybalsan;1923;1933;1999;ST;Decisive Battle Doctrine;Very High;2855;X
300082;Chief of Staff;Ja Lama Dambijanstan;1914;1933;1999;PA;School of Mass Combat;Medium;2852;X
300083;Chief of Staff;Khatanbaatar Magsarjav;1914;1933;1999;PA;school of defence;Medium;unknownminister;X
300084;Chief of Staff;Sukhe Bator;1920;1933;1999;ST;School of Mass Combat;Very High;2853;X
300085;Chief of Staff;Roman von Ungern-Sternberg;1920;1933;1999;PA;School of Manoeuvre;Very High;2854;X
300086;Chief of Staff;Horloyn Choybalsan;1923;1933;1999;ST;School of Psychology;Very High;2855;X
300087;Foreign Minister;Tserenchimit;1914;1933;1999;PA;Great Compromiser;Very High;unknownminister;X
300088;Foreign Minister;Tögs-Ochiryn Namnansüren;1914;1933;1999;PA;Biased Intellectual;Very High;2856;X
300089;Foreign Minister;Manlaibaatar Damdinsüren;1914;1933;1999;PA;General Staffer;Very High;unknownminister;X
300090;Foreign Minister;Da Lama Ravdan;1914;1933;1999;PA;Great Compromiser;Very High;unknownminister;X
300091;Foreign Minister;Da Lama Shanzav Badamdorji;1915;1933;1999;PA;Great Compromiser;Very High;2857;X
300092;Foreign Minister;Khatan Baatar Maksarjav;1919;1933;1999;PA;iron fisted brute;Very High;unknownminister;X
300093;Foreign Minister;Sodomyn Damdinbazar;1919;1933;1999;PA;Biased Intellectual;Very High;2858;X
300094;Foreign Minister;Dogsomyn Bodoo;1920;1933;1999;ST;General Staffer;Very High;2859;X
300095;Foreign Minister;Ferdynand Ossendowski;1920;1933;1999;PA;Ideological Crusader;Very High;2860;X
300096;Foreign Minister;Balingiin Tserendorj;1922;1933;1999;ST;Biased Intellectual;Very High;2861;X
300097;Head of Government;Tögs-Ochiryn Namnansüren;1912;1933;1999;PA;Silent Workhorse;Very High;2856;X
300098;Head of Government;Da Lama Shanzav Badamdorji;1915;1933;1999;PA;Silent Workhorse;Very High;2857;X
300099;Head of Government;Khatan Baatar Maksarjav;1919;1933;1999;PA;Backroom Backstabber;Very High;unknownminister;X
300100;Head of Government;Dogsomyn Bodoo;1920;1933;1999;ST;Old General;Very High;2859;X
300101;Head of Government;Roman von Ungern-Sternberg;1920;1933;1999;PA;Happy Amateur;Very High;2854;X
300102;Head of Government;Sodomyn Damdinbazar;1920;1933;1999;PA;Silent Workhorse;Very High;2858;X
300103;Head of Government;Sodnomyn Damdinbazar;1922;1933;1999;ST;Silent Workhorse;Very High;2858;X
300104;Head of Government;Balingiin Tserendorj;1923;1933;1999;ST;Happy Amateur;Very High;2861;X
300105;Head of Military Intelligence;Ja Lama Dambijanstan;1914;1933;1999;PA;Dismal Enigma;Very High;2852;X
300106;Head of Military Intelligence;Khatanbaatar Magsarjav;1914;1933;1999;PA;Logistics Specialist;Very High;unknownminister;X
300107;Head of Military Intelligence;Sukhe Bator;1920;1933;1999;ST;Dismal Enigma;Very High;2853;X
300108;Head of Military Intelligence;Ferdynand Ossendowski;1920;1933;1999;PA;Dismal Enigma;Very High;2860;X
300109;Head of Military Intelligence;Horloogiyn Dandzan;1922;1933;1999;ST;Logistics Specialist;Very High;unknownminister;X
300110;Head of State;Bogd Kahn;1914;1933;1999;PA;Stern Imperialist;Very High;2862;X
300111;Head of State;Bogd Khan;1920;1933;1999;ST;Weary Stiffneck;Very High;2862;X
300112;Head of State;Balingiin Tserendorj;1924;1933;1999;ST;Weary Stiffneck;Very High;2861;X
300113;Head of State;Navaandorjiin Jadambaa;1924;1933;1999;ST;Weary Stiffneck;Very High;unknownminister;X
300114;Minister of Security;Bogd Kahn;1914;1933;1999;PA;Man of the People;Very High;2862;X
300115;Minister of Security;Sodnomyn Damdinbazar;1914;1933;1999;PA;Crime Fighter;Very High;2858;X
