SLO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
280031;Minister of Security;Vtislav Hrubec;1945;1964;1999;PA;Silent Lawyer;High;M31053;X
280032;Head of Military Intelligence;Gustav Malar;1938;1964;1999;FA;Naval Intelligence Specialist;High;L70010;X
280033;Head of Military Intelligence;Hans Bernard;1939;1964;1999;NS;Industrial Specialist;High;M31055;X
280034;Head of Military Intelligence;Manfred von Killinger;1940;1964;1999;NS;Logistics Specialist;High;M31056;X
280035;Head of Military Intelligence;Hans Elard Ludin;1941;1964;1999;NS;Political Specialist;High;M31057;X
280036;Head of Military Intelligence;Vilmos Nejedly;1945;1964;1999;PA;Technical Specialist;High;M31058;X
280037;Head of Military Intelligence;Jaroslav Mellan;1946;1964;1999;SC;Industrial Specialist;High;M31059;X
280038;Chief of Staff;Gustav Malar;1938;1964;1999;FA;School of Fire Support;High;L70010;X
280039;Chief of Staff;Otomar Kubala;1944;1964;1999;NS;School of Mass Combat;Medium;M31061;X
280040;Chief of Army;Ferdinand Catlos;1938;1964;1999;FA;Guns and Butter Doctrine;Low;3175;X
280041;Chief of Army;Jozef Snejdarek;1944;1964;1999;NS;Decisive Battle Doctrine;High;M31064;X
280042;Chief of Army;Emil Lendvay;1945;1964;1999;PA;Armoured Spearhead Doctrine;High;M31045;X
280043;Chief of Navy;Jozef Turanec;1938;1964;1999;FA;Open Seas Doctrine;Medium;L70016;X
280044;Chief of Navy;Vojtech Daubner;1945;1964;1999;PA;Indirect Approach Doctrine;Medium;M31068;X
280045;Chief of Air Force;Anton Pulanich;1938;1964;1999;FA;Army Aviation Doctrine;Medium;M31069;X
280046;Chief of Air Force;Frantisek Straka;1944;1964;1999;NS;Vertical Envelopment Doctrine;Medium;M31070;X
280047;Chief of Air Force;Vojtech Daubner;1945;1964;1999;PA;Air Superiority Doctrine;Medium;M31068;X
280048;Head of State;Jan Srobar Vavro;1933;1964;1999;SC;Insignificant Layman;High;M31011;X
280049;Head of Government;Daniel Ertl;1933;1964;1999;SC;Ambitious Union Boss;High;M31012;X
280050;Foreign Minister;Ladislav Skovira;1933;1964;1999;SC;Great Compromiser;Low;M31013;X
280051;Minister of Armament;Frantisek Halas;1933;1964;1999;ML;Infantry Proponent;Medium;M31014;X
280052;Minister of Security;Ulian Pauliny;1933;1964;1999;SC;Man of the People;Low;M31015;X
280053;Head of Military Intelligence;Edouard Urx;1933;1964;1999;ML;Dismal Enigma;High;M31016;X
280054;Chief of Staff;Rudolf Viest;1933;1964;1999;PA;School of Fire Support;Low;M31017;X
280055;Chief of Army;Rudolf Viest;1933;1964;1999;PA;Decisive Battle Doctrine;High;M31017;X
280056;Chief of Navy;Jozef Kubin;1933;1964;1999;SC;Power Projection Doctrine;Medium;M31019;X
280057;Chief of Air Force;Jozef Kubin;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M31019;X
280058;Head of State;Rudolf Slansky;1933;1964;1999;ST;Powerhungry Demagogue;High;M31021;X
280059;Head of Government;Michael Knosko;1933;1964;1999;ST;Happy Amateur;High;M31022;X
280060;Foreign Minister;Gustaf Husak;1933;1964;1999;ST;Ideological Crusader;Low;M31023;X
280061;Minister of Armament;Karel Konrad;1933;1964;1999;LE;Tank Proponent;Medium;M31024;X
280062;Minister of Security;Frano Kral;1933;1964;1999;ST;Man of the People;Low;M31025;X
280063;Head of Military Intelligence;Frantisek Kralina;1933;1964;1999;LE;Technical Specialist;High;M31026;X
280064;Chief of Staff;Julius Nosko;1933;1964;1999;ST;School of Psychology;Low;M31027;X
280065;Chief of Army;Frantisek Sadek;1933;1964;1999;ST;Armoured Spearhead Doctrine;High;M31028;X
280066;Chief of Navy;Jindrich Honzl;1933;1964;1999;ST;Open Seas Doctrine;Medium;M31029;X
280067;Chief of Air Force;Cyril Kuchta;1933;1964;1999;ST;Air Superiority Doctrine;Medium;M31030;X
