NZL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
215029;Minister of Armament;Leonard Monk Isitt;1939;1964;1999;SD;Air to Sea Proponent;High;M55050;X
215030;Minister of Armament;Keith J. Holyoake;1944;1964;1999;SD;Military Entrepreneur;High;M55051;X
215031;Minister of Armament;W.E. Parry;1942;1964;1999;ML;Submarine Proponent;High;M55052;X
215032;Minister of Armament;Ralph Alexander Cochrane;1933;1964;1999;SC;Air Superiority Proponent;High;M55010;X
215033;Minister of Armament;Sydney Holland;1938;1964;1999;SC;laissez-faire capitalist;High;M55039;X
215034;Minister of Armament;Arthur de Terrotte Nevill;1939;1964;1999;SC;Strategic Air Proponent;High;9814;X
215035;Minister of Armament;W.H. Stratton;1939;1964;1999;SC;Air to Ground Proponent;High;M55056;X
215036;Minister of Armament;Sir Frederick Field;1942;1964;1999;SC;Battle Fleet Proponent;High;M55057;X
215037;Minister of Armament;Ken MacKenzie;1943;1964;1999;SC;Theoretical Scientist;High;M55058;X
215038;Minister of Armament;Edward Puttick;1944;1964;1999;SC;Infantry Proponent;High;M55059;X
215039;Minister of Armament;J.E. Duigan;1945;1964;1999;SC;Tank Proponent;High;M55060;X
215040;Minister of Security;Edward Blundell;1938;1964;1999;SD;Silent Lawyer;High;M55061;X
215041;Minister of Security;Robert Semple;1940;1964;1999;SD;Man of the People;High;M55062;X
215042;Minister of Security;James Allen;1933;1964;1999;ML;Back Stabber;Very High;M55043;X
215043;Minister of Security;E.R. Drummond;1943;1964;1999;ML;Efficient Sociopath;High;M55009;X
215044;Minister of Security;Gordon Coates;1938;1964;1999;SC;Silent Lawyer;High;M55046;X
215045;Minister of Security;Adam Hamilton;1939;1964;1999;SC;Crime Fighter;High;M55037;X
215046;Minister of Security;Sydney Holland;1942;1964;1999;SC;Prince of Terror;Very High;M55039;X
215047;Minister of Security;Kenneth Folkes;1945;1964;1999;SC;Compassionate Gentleman;Medium;M55006;X
215048;Head of Military Intelligence;Hugo Philpott;1938;1964;1999;SD;Logistics Specialist;High;M55069;X
215049;Head of Military Intelligence;Tom Stanley;1943;1964;1999;SD;Political Specialist;Low;M55021;X
215050;Head of Military Intelligence;Adam Hamilton;1937;1964;1999;SC;Dismal Enigma;High;M55037;X
215051;Head of Military Intelligence;Ken MacKenzie;1939;1964;1999;SC;Industrial Specialist;High;M55058;X
215052;Head of Military Intelligence;E.R. Drummond;1942;1964;1999;SC;Naval Intelligence Specialist;High;M55009;X
215053;Head of Military Intelligence;J.E. Duigan;1942;1964;1999;SC;Technical Specialist;High;M55060;X
215054;Chief of Staff;J.E. Duigan;1937;1964;1999;ML;School of Manoeuvre;High;M55060;X
215055;Chief of Staff;Ronald Park;1940;1964;1999;ML;School of Mass Combat;High;M55076;X
215056;Chief of Staff;Edward Puttick;1941;1964;1999;ML;School of Defence;High;M55059;X
215057;Chief of Staff;William Stevens;1942;1964;1999;ML;School of Fire Support;High;M55078;X
215058;Chief of Staff;N. Weir;1946;1964;1999;ML;School of Psychology;High;M55079;X
215059;Chief of Army;Norris Stephen Falla;1937;1964;1999;ML;Elastic Defence Doctrine;High;M55080;X
215060;Chief of Army;J.E. Duigan;1937;1964;1999;ML;Armoured Spearhead Doctrine;High;M55060;X
215061;Chief of Army;J.C. Nichols;1940;1964;1999;ML;Static Defence Doctrine;High;M55082;X
215062;Chief of Army;Edward Puttick;1941;1964;1999;ML;Decisive Battle Doctrine;High;M55059;X
215063;Chief of Army;N. Weir;1946;1964;1999;ML;Guns and Butter Doctrine;High;M55079;X
215064;Chief of Navy;H.E. Horan;1938;1964;1999;ML;Open Seas Doctrine;High;M55085;X
215065;Chief of Navy;W.E. Parry;1940;1964;1999;ML;Indirect Approach Doctrine;High;M55052;X
215066;Chief of Navy;Sir Frederick Field;1942;1964;1999;ML;Decisive Naval Battle Doctrine;High;M55057;X
215067;Chief of Navy;W.H.Stratton;1945;1964;1999;ML;Power Projection Doctrine;High;M55056;X
215068;Chief of Navy;G.W.G. Simpson;1945;1964;1999;ML;Base Control Doctrine;High;M55089;X
215069;Chief of Air Force;W.H. Stratton;1939;1964;1999;ML;Army Aviation Doctrine;High;M55056;X
215070;Chief of Air Force;H.D. McGregor;1941;1964;1999;ML;Vertical Envelopment Doctrine;High;M55091;X
215071;Chief of Air Force;Leonard Monk Isitt;1943;1964;1999;ML;Naval Aviation Doctrine;High;M55050;X
215072;Chief of Air Force;Gordon H. Steege;1944;1964;1999;ML;Air Superiority Doctrine;High;M55093;X
215073;Chief of Air Force;Arthur de Terrotte Nevill;1945;1964;1999;ML;Carpet Bombing Doctrine;High;9814;X
215074;Head of State;T.C.A. Hislop;1933;1964;1999;PA;Benevolent Gentleman;High;M55011;X
215075;Head of Government;A.E. Davy;1933;1964;1999;PA;Happy Amateur;High;M55012;X
215076;Foreign Minister;A.E. Davy;1933;1964;1999;PA;Ideological Crusader;Very High;M55012;X
215077;Minister of Armament;A.J. Stallworthy;1933;1964;1999;PA;Air to Sea Proponent;High;M55014;X
215078;Minister of Security;W.A. Veitch-Milne;1933;1964;1999;PA;Prince of Terror;High;M55015;X
215079;Head of Military Intelligence;Arthur Dawes;1933;1964;1999;PA;Naval Intelligence Specialist;High;M55016;X
215080;Chief of Staff;Seymour DeWitt;1933;1964;1999;PA;School of Manoeuvre;High;M55017;X
215081;Chief of Army;Seymour DeWitt;1933;1964;1999;PA;Elastic Defence Doctrine;High;M55017;X
215082;Chief of Navy;Trevor Handley;1933;1964;1999;PA;Base Control Doctrine;High;M55019;X
215083;Chief of Air Force;Margaret Whittington;1933;1964;1999;PA;Vertical Envelopment Doctrine;High;M55020;X
215084;Head of State;Tom Stanley;1933;1964;1999;LE;Powerhungry Demagogue;High;M55021;X
215085;Head of Government;Victor Wilcox;1933;1964;1999;LE;Happy Amateur;High;M55022;X
215086;Foreign Minister;Victor Wilcox;1933;1964;1999;LE;Biased Intellectual;Very High;M55022;X
215087;Minister of Armament;Sid Scott;1933;1964;1999;LWR;Theoretical Scientist;High;M55024;X
215088;Minister of Security;Gordon Watson;1933;1964;1999;ST;Efficient Sociopath;High;M55025;X
215089;Head of Military Intelligence;Frederick Freeman;1933;1964;1999;LWR;Technical Specialist;High;M55026;X
215090;Chief of Staff;Henry Colthorpe;1933;1964;1999;ST;School of Psychology;High;M55027;X
215091;Chief of Army;Gordon Watson;1933;1964;1999;ST;Guns and Butter Doctrine;High;M55025;X
215092;Chief of Navy;Eric Prendergast;1933;1964;1999;LE;Decisive Naval Battle Doctrine;High;M55029;X
215093;Chief of Air Force;L.P. Peterson;1933;1964;1999;ST;Air Superiority Doctrine;High;M55030;X
215094;Head of State;Willoughby Baron Norrie;1952;1964;1999;ML;Weary Stiffneck;High;M55095;X
215095;Head of State;Willoughby Baron Norrie;1952;1964;1999;SD;Weary Stiffneck;High;M55095;X
215096;Head of Government;Walter Nash;1947;1964;1999;SD;Happy Amateur;High;M55004;X
215097;Foreign Minister;Frederick W. Doidge;1949;1964;1999;SC;Biased Intellectual;Very High;M55098;X
215098;Foreign Minister;Thomas C. Webb;1951;1964;1999;SC;Iron Fisted Brute;Very High;M55099;X
215099;Foreign Minister;Arnold H. Nordmeyer;1950;1964;1999;SD;The Cloak N Dagger Schemer;Very High;M55100;X
215100;Minister of Security;Thomas L. MacDonald;1951;1964;1999;SC;Efficient Sociopath;Medium;M55101;X
215101;Chief of Army;William Malone;1914;1933;1999;SC;Guns and Butter Doctrine;Very High;2887;X
215102;Chief of Navy;Percival Hall-Thompson;1914;1933;1999;SC;Open Seas Doctrine;Very High;2888;X
215103;Chief of Staff;Arthur Myers;1914;1933;1999;SL;School of Defence;very High;2889;X
215104;Foreign Minister;Thomas Mackenzie;1914;1933;1999;SL;Apologetic Clerk;very High;2890;X
215105;Head of Government;Thomas Mackenzie;1914;1933;1999;SL;Silent Workhorse;very High;2890;X
215106;Head of Military Intelligence;Arthur Myers;1914;1933;1999;SL;Industrial Specialist;very High;2889;X
215107;Head of State;Arthur Foljambe;1912;1933;1999;ML;Stern Imperialist;Very High;2891;X
215108;Minister of Armament;Arthur Myers;1914;1933;1999;SL;Military Entrepreneur;very High;2889;X
215109;Minister of Security;John Findlay;1914;1933;1999;SL;Compassionate Gentleman;Very High;2892;X
215110;Minister of Security;Francis Bell;1918;1933;1999;SC;Man of the People;Very high;2893;X
215111;Head of State;Charles Bathurst Viscount Bledisloe;1930;1935;1999;SD;Popular Figurehead;High;5769;X
215112;Head of State;Charles Bathurst Viscount Bledisloe;1930;1935;1999;SC;Popular Figurehead;High;5769;X
215113;Head of Military Intelligence;William Stevens;1931;1938;1969;SC;logistics specialist;High;M55078;X
215114;Head of Military Intelligence;William George Gentry;1933;1934;1956;SC;logistics specialist;High;L58011;X
215115;Head of Military Intelligence;George Henry Clifton;1937;1939;1940;SC;logistics specialist;High;L58004;X
215116;Head of Military Intelligence;Leonard George Goss;1939;1940;1947;SC;logistics specialist;High;L58012;X
215117;Chief of Navy;Fischer Watson;1932;1936;1936;SC;decisive naval battle doctrine;High;unknownminister;X
215118;Chief of Navy;Irvine Glennie;1938;1939;1948;SC;open seas doctrine;High;9815;X
215119;Chief of Navy;James Rivett-Carnac;1938;1940;1948;SC;decisive naval battle doctrine;High;9816;X
215120;Chief of Navy;Atwell Henry Lake;1942;1945;1946;SC;open seas doctrine;High;9817;X
215121;Chief of Navy;George Haynes Faulkner;1945;1947;1948;SC;decisive naval battle doctrine;High;9818;X
215122;Chief of Navy;F. A. Balance;1950;1953;1954;SC;open seas doctrine;High;unknownminister;X
215123;Chief of Navy;Charles Madden;1953;1955;1966;SC;decisive naval battle doctrine;High;9819;X
215124;Chief of Air Force;Hugh Saunders;1939;1942;1954;SC;air superiority doctrine;High;9820;X
215125;Chief of Air Force;Victor Goddard;1941;1943;1952;SC;naval aviation doctrine;High;9821;X
215126;Chief of Air Force;David Carnegie;1951;1954;1955;SC;air superiority doctrine;High;unknownminister;X
215127;Chief of Air Force;Walter Merton;1954;1956;1964;SC;carpet bombing doctrine;High;unknownminister;X
