MAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
235060;Chief of Navy;Yin Tsuo-chien;1938;1964;1999;FA;Base Control Doctrine;Medium;M58062;X
235061;Chief of Navy;Oka Keijun;1941;1964;1999;NS;Indirect Approach Doctrine;Medium;M58063;X
235062;Chief of Navy;Oda Yurozu;1943;1964;1999;NS;Base Control Doctrine;Medium;M58064;X
235063;Chief of Navy;Kadono Chokuro;1944;1964;1999;NS;Power Projection Doctrine;Medium;M58065;X
235064;Chief of Navy;Tai Chi-Quo;1945;1964;1999;PA;Power Projection Doctrine;Very Low;M58066;X
235065;Chief of Navy;Chao Hsin-chu;1946;1964;1999;PA;Open Seas Doctrine;Very High;M58020;X
235066;Chief of Air Force;Isono Yuzo;1937;1964;1999;FA;Air Superiority Doctrine;Medium;M58068;X
235067;Chief of Air Force;Nakajima Shinji;1938;1964;1999;FA;Naval Aviation Doctrine;Medium;M58069;X
235068;Chief of Air Force;Miyazaki Akira;1941;1964;1999;NS;Army Aviation Doctrine;Medium;M58070;X
235069;Chief of Air Force;Ito Nobumi;1943;1964;1999;NS;Carpet Bombing Doctrine;Medium;M58071;X
235070;Chief of Air Force;Kadono Chokuro;1944;1964;1999;NS;Air Superiority Doctrine;Medium;M58065;X
235071;Chief of Air Force;Loh Tcheng;1945;1964;1999;PA;Naval Aviation Doctrine;Very Low;M58019;X
235072;Chief of Air Force;Tsao Ping-sen;1946;1964;1999;PA;Army Aviation Doctrine;Very High;M58074;X
