VEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
180059;Chief of Air Force;Tomas Contreras Villalobos;1946;1964;1999;LWR;Naval Aviation Doctrine;Medium;M38019;X
180060;Chief of Air Force;José Polares Pavon;1947;1964;1999;SD;Air Superiority Doctrine;Medium;M38080;X
180061;Foreign Minister;Pedro Itriago Chacín;1933;1935;1999;PA;Biased Intellectual;Medium;M38081;X
180062;Head of State;Isidoro Ruiz Tuerro;1933;1964;1999;PA;Resigned Generalissimo;High;M38011;X
180063;Head of Government;Isidoro Ruiz Tuerro;1933;1964;1999;PA;Old General;High;M38011;X
180064;Foreign Minister;Ernesto Mayz Villanella;1933;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M38013;X
180065;Minister of Armament;Ricardo Mendez Moreno;1933;1964;1999;PA;Infantry Proponent;Medium;M38014;X
180066;Minister of Security;Jesús Alcantara Borrego;1933;1964;1999;PA;Back Stabber;Medium;M38015;X
180067;Head of Military Intelligence;Carlos Casanova Leal;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M38016;X
180068;Chief of Staff;Bernardo Jose Montilla;1933;1964;1999;PA;School of Fire Support;Medium;M38017;X
180069;Chief of Army;Pedro Elías Guiterrez;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M38018;X
180070;Chief of Navy;Tomas Contreras Villalobos;1933;1964;1999;FA;Indirect Approach Doctrine;Low;M38019;X
180071;Head of State;Jovito Villalba;1933;1964;1999;LWR;Powerhungry Demagogue;High;M38021;X
180072;Head of Government;Manuel Diaz Rodriguez;1933;1964;1999;LWR;Naive Optimist;High;M38022;X
180073;Foreign Minister;Pedro Leon Castro;1933;1964;1999;LWR;Biased Intellectual;Medium;M38023;X
180074;Minister of Armament;Manuel Diaz Rodriguez;1933;1964;1999;LWR;Air to Sea Proponent;Medium;M38022;X
180075;Minister of Security;Francisco Pelliser;1933;1964;1999;LWR;Crime Fighter;Medium;M38025;X
180076;Head of Military Intelligence;Pedro Leon Castro;1933;1964;1999;LWR;Dismal Enigma;Medium;M38023;X
180077;Chief of Air Force;Humberto S. Torres Vilera;1933;1964;1999;LWR;Naval Aviation Doctrine;Medium;M38030;X
180078;Head of State;Romulo Gallegos Freire;1948;1964;1999;SD;Popular Figurehead;Medium;M38051;X
180079;Head of State;Carlos Delgado Chalbaud;1948;1964;1999;SC;Resigned Generalissimo;Medium;L270004;X
180080;Head of State;German Suarez Flamerich;1950;1964;1999;SC;Insignificant Layman;Medium;M38084;X
180081;Head of State;Marcos Perez Jimenez;1952;1964;1999;PA;Barking Buffoon;Medium;L270021;X
180082;Head of Government;Luis Felipe Llovera Paez;1948;1964;1999;SC;old airmarshal;High;M38086;X
180083;Head of Government;Marcos Perez Jimenez;1948;1964;1999;PA;Old General;High;L270021;X
180084;Foreign Minister;German Suarez Flamerich;1948;1964;1999;SC;Biased Intellectual;Medium;M38084;X
180085;Foreign Minister;Antonio Casas Gonzalez;1952;1964;1999;PA;General Staffer;Medium;M38057;X
180086;Chief of Army;Marcos Perez Jimenez;1948;1964;1999;SC;Elastic Defence Doctrine;Medium;L270021;X
180087;Chief of Army;Wolfgang Larrazabal Ugueto;1952;1964;1999;PA;Armoured Spearhead Doctrine;Medium;L270011;X
180088;Chief of Army;Ignacio Andrade;1900;1933;1999;ML;ARMOURED SPEARHEAD DOCTRINE;Medium;3681;X
180089;Chief of Army;Juan Vicente Gómez;1902;1933;1999;PA;DECISIVE BATTLE DOCTRINE;Medium;7985;X
180090;Chief of Army;Juan Penazola;1903;1933;1999;ML;ELASTIC DEFENCE DOCTRINE;Medium;3682;X
180091;Chief of Army;Eleazar Lopez Contreras;1919;1933;1999;PA;GUNS AND BUTTER DOCTRINE;Medium;3683;X
180092;Chief of Staff;Ignacio Andrade;1900;1933;1999;ML;SCHOOL OF DEFENCE;Medium;3681;X
180093;Chief of Staff;Juan Vicente Gómez;1902;1933;1999;PA;SCHOOL OF FIRE SUPPORT;Medium;7985;X
180094;Chief of Staff;Juan Penazola;1903;1933;1999;ML;SCHOOL OF MASS COMBAT;Medium;3682;X
180095;Chief of Staff;Eleazar Lopez Contreras;1919;1933;1999;PA;SCHOOL OF MANOEUVRE;Medium;3683;X
180096;Foreign Minister;Pedro Itriago Chacin;1914;1933;1999;PA;General Staffer;Medium;3684;X
180097;Foreign Minister;Ignacio Andrade;1916;1933;1999;ML;General Staffer;Medium;3681;X
180098;Foreign Minister;Esteban Gil Borges;1914;1933;1999;SL;Great Compromiser;Medium;3685;X
180099;Head of Government;Joaquín Crespo;1900;1933;1999;PA;Old General;Medium;3686;X
180100;Head of Government;Cipriano Castro;1900;1933;1999;PA;Old General;Medium;3687;X
180101;Head of Government;Juan Vicente Gómez;1908;1935;1999;PA;Old General;Medium;3688;X
180102;Head of Government;Victorino Marquez Bustillos;1914;1933;1999;SL;Old General;Medium;3689;X
180103;Head of Military Intelligence;Eustoquio Gomez;1908;1933;1999;PA;DISMAL ENIGMA;Medium;3690;X
180104;Head of State;Joaquín Crespo;1900;1933;1999;PA;Stern Imperialist;Medium;3686;X
180105;Head of State;Cipriano Castro;1900;1933;1999;PA;Stern Imperialist;Medium;3687;X
180106;Head of State;Juan Vicente Gómez;1908;1935;1999;PA;Stern Imperialist;Medium;3688;X
180107;Head of State;Victorino Marquez Bustillos;1914;1933;1999;SL;Stern Imperialist;Medium;3689;X
180108;Minister of Security;Ignacio Andrade;1917;1933;1999;ML;SILENT LAWYER;Medium;3681;X
