ARM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
455039;Head of Government;Aleksandr Miasnikyan;1921;1933;1999;ST;Flamboyant Tough Guy;Medium;5945;X
455040;Head of Government;Sarkis Ambartsumyan;1922;1933;1999;ST;Corporate Suit;Medium;unknownminister;X
455041;Head of Military Intelligence;General Siligian;1914;1933;1999;PA;Logistics Specialist;Medium;unknownminister;X
455042;Head of State;Avetik Sahakian;1914;1933;1999;PA;Popular Figurehead;Medium;5946;X
455043;Head of State;Sargis Hambardzumian;1914;1933;1999;LE;Weary Stiffneck;Medium;5942;X
455044;Head of State;Avestis Aharonyan;1918;1933;1999;PA;Resigned Generalissimo;Medium;2178;X
455045;Head of State;Avetik Sahakyan;1920;1933;1999;PA;Benevolent Gentleman;Medium;5946;X
455046;Head of State;Sarkis Kasyan;1920;1933;1999;ST;Insignificant Layman;Medium;5944;X
455047;Head of State;Aleksandr Miasnikyan;1921;1933;1999;ST;Popular Figurehead;Medium;5945;X
455048;Head of State;Sarkis Ambartsumyan;1922;1933;1999;ST;Powerhungry demagogue;Medium;unknownminister;X
455049;Minister of Armament;General Nazarpekian;1914;1933;1999;PA;Infantry Proponent;Medium;unknownminister;X
455050;Minister of Security;Aleksandr I. Khatisyan;1914;1933;1999;PA;Man of the People;Medium;2176;X
455051;Minister of Security;Abraham Gulkhandanian;1919;1933;1999;PA;Silent Lawyer;Medium;unknownminister;X
455052;Minister of Security;Ruben Ter-Minasian;1920;1933;1999;PA;Crime Fighter;Medium;5947;X
455053;Minister of Security;Sargis Araratian;1920;1933;1999;PA;Crime Fighter;Medium;5948;X
455054;Minister of Security;Simeon Vratsyan;1920;1933;1999;PA;Back Stabber;Medium;2177;X
