USA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
240142;Chief of Navy;Robert L. Ghormley;1933;1959;1959;ML;Open Seas Doctrine;Very High;L60406;X
240143;Head of Military Intelligence;Frank B. Rowlett;1933;1999;1999;SL;Naval Intelligence Specialist;High;M6184;X
240144;Minister of Armament;Joseph P. Lash;1940;1988;1988;LWR;Resource Industrialist;Very High;M6024;X
240145;Head of Government;Fritz Kuhn;1933;1952;1952;FA;Naive Optimist;High;M6011;X
240146;Head of State;William F. Lemke;1933;1951;1951;PA;Barking Buffoon;Medium;M6097;X
240147;Head of Government;Lawrence Dennis;1933;1978;1978;SC;Happy Amateur;Medium;M6187;X
240148;Minister of Security;Gerald K. Smith;1933;1977;1977;PA;Back Stabber;Low;M6040;X
240149;Head of State;Charles Lindbergh;1940;1975;1975;PA;Pig-headed Isolationist;Very High;M6020;X
240150;Head of Government;Robert E. Wood;1940;1970;1970;PA;Silent Workhorse;Very High;M6190;X
240151;Minister of Security;Gerald B. Winrod;1940;1958;1958;PA;Efficient Sociopath;Very High;M6191;X
240152;Chief of Staff;Robert E. Wood;1933;1970;1970;PA;School of Defence;High;M6190;X
240153;Chief of Staff;Walter Bedell-Smith;1942;1962;1964;SL;School of Fire Support;Very High;L60031;X
240154;Chief of Army;Mark Clark;1945;1985;1985;SL;Decisive Battle Doctrine;Very High;L60098;X
240155;Chief of Staff;Joe L. Collins;1945;1988;1988;SL;School of Manoeuvre;Very High;L60105;X
240156;Chief of Army;Joseph Stilwell;1944;1947;1947;SL;Decisive Battle Doctrine;Very High;L60341;X
240157;Chief of Navy;William Halsey;1944;1960;1960;SC;Power Projection Doctrine;Very High;L60414;X
240158;Minister of Armament;Dean Acheson;1944;1972;1972;SL;laissez-faire capitalist;Very High;M6198;X
240159;Minister of Armament;Harold Ickes;1933;1953;1953;SL;Secretary of the Interior;Very High;M6199;X
240160;Minister of Security;Archibald MacLeish;1939;1983;1983;LWR;Man of the People;Medium;M6200;X
240161;Foreign Minister;Archibald MacLeish;1939;1983;1983;LWR;Biased Intellectual;Medium;M6200;X
240162;Minister of Security;Burton K. Wheeler;1910;1947;1958;SC;Efficient Sociopath;Medium;3621;X
240163;Foreign Minister;Thomas Connally;1941;1964;1964;SL;Ideological Crusader;High;M6203;X
240164;Minister of Security;Charles E. Hughes;1933;1949;1949;SC;Efficient Sociopath;Medium;M6204;X
240165;Minister of Security;Hugo Black;1937;1972;1972;SL;Compassionate Gentleman;High;M6205;X
240166;Minister of Armament;Robert F. Wagner;1933;1954;1954;SL;laissez-faire capitalist;Very High;M6206;X
240167;Minister of Armament;Henry L. Stimson;1940;1946;1946;SL;Secretary of War;Very High;M6061;X
240168;Head of State;Dwight D. Eisenhower;1952;1970;1970;ML;Resigned Generalissimo;High;M6208;X
240169;Head of State;Adlai Stevenson;1952;1966;1966;SL;Benevolent Gentleman;High;M6209;X
240170;Head of Government;Earl Warren;1948;1975;1975;ML;Naive Optimist;High;M6210;X
240171;Head of Government;Richard M. Nixon;1952;1961;1961;ML;Backroom Backstabber;High;M6211;X
240172;Head of Government;John Sparkman;1952;1961;1961;SL;Corporate Suit;High;M6212;X
240173;Foreign Minister;Dean Acheson;1949;1972;1972;SL;Biased Intellectual;High;M6072;X
240174;Foreign Minister;Allen Tate;1948;1980;1980;ML;Apologetic Clerk;High;M6214;X
240175;Foreign Minister;John Foster Dulles;1952;1960;1960;ML;Iron Fisted Brute;High;M6215;X
240176;Foreign Minister;Culbert Levy Olson;1952;1963;1963;SL;Great Compromiser;High;M6216;X
240177;Minister of Armament;John W. Snyder;1948;1954;1954;SL;Theoretical Scientist;High;M6217;X
240178;Minister of Armament;Joseph Bracken Lee;1948;1997;1997;ML;Infantry Proponent;High;M6218;X
240179;Minister of Armament;George M. Humphrey;1952;1971;1971;ML;Balanced budget economy;High;M6219;X
240180;Minister of Armament;Herbert R. O'Connor;1952;1961;1961;SL;Submarine Proponent;High;M6220;X
240181;Minister of Security;Julius A. Krug;1948;1971;1971;SL;Silent Lawyer;Very High;M6221;X
240182;Minister of Security;Oscar L. Chapman;1951;1979;1979;SL;Man of the People;Very High;M6222;X
240183;Minister of Security;Gordon J. Knight;1948;1964;1964;ML;Back Stabber;Very High;M6223;X
240184;Minister of Security;Douglas McKay;1952;1960;1960;ML;Prince of Terror;Very High;M6224;X
240185;Minister of Security;Frank J. Lausche;1952;1970;1970;SL;Compassionate Gentleman;Very High;M6225;X
240186;Head of Military Intelligence;Walter Bedell-Smith;1950;1962;1962;SL;Logistics Specialist;Very High;L60031;X
240187;Head of Military Intelligence;John Howard Pyle;1948;1988;1988;ML;Industrial Specialist;Very High;M6227;X
240188;Head of Military Intelligence;Allen W. Dulles;1952;1970;1970;ML;Dismal Enigma;Very High;M6228;X
240189;Head of Military Intelligence;William Preston Lane;1952;1968;1968;SL;Industrial Specialist;Very High;M6229;X
240190;Chief of Staff;Omar N. Bradley;1948;1954;1954;ML;School of Mass Combat;High;M6145;X
240191;Chief of Army;J. Lawton Collins;1948;1988;1988;ML;Decisive Battle Doctrine;High;L60105;X
240192;Chief of Navy;Louis E.Denfeld;1948;1973;1973;ML;Open Seas Doctrine;High;M6232;X
240193;Chief of Navy;Forrest P. Sherman;1949;1952;1952;ML;Indirect Approach Doctrine;High;L60464;X
240194;Chief of Navy;William R. Fechteler;1951;1968;1968;ML;Power Projection Doctrine;High;L60402;X
240195;Chief of Air Force;Hoyt Vandenberg;1948;1955;1955;ML;Vertical Envelopment Doctrine;Medium;M6235;X
240196;Head of State;Douglas MacArthur;1952;1965;1965;SC;Resigned Generalissimo;Medium;L60250;X
240197;Head of Military Intelligence;Charles Willoughby;1952;1973;1973;PA;Dismal Enigma;High;M6237;X
240198;Minister of Security;Joseph McCarthy;1952;1958;1958;ML;Man of the People;High;M6238;X
240199;Head of Government;Joseph McCarthy;1952;1958;1958;ML;Political Protege;High;M6238;X
240200;Foreign Minister;Christian A. Herter;1959;1967;1967;ML;Apologetic Clerk;High;M6240;X
240201;Head of State;Richard M. Nixon;1960;1969;1969;ML;Ruthless Powermonger;High;M6211;X
240202;Head of State;John F. Kennedy;1960;1964;2003;SL;Autocratic Charmer;High;M6242;X
240203;Head of Government;Henry Cabot Lodge jr.;1960;1969;1969;ML;Political Protege;High;M6243;X
240204;Head of Government;Lyndon B. Johnson;1960;1974;1974;SL;Ambitious Union Boss;High;M6244;X
240205;Head of Government;Estes Kefauver;1956;1964;1964;SL;Backroom Backstabber;High;M6245;X
240206;Foreign Minister;Strom Thurmond;1960;2004;2004;SC;Iron Fisted Brute;High;M6051;X
240207;Foreign Minister;Dean Rusk;1960;1970;1970;SL;Ideological Crusader;High;M6247;X
240208;Minister of Armament;Robert B. Anderson;1956;1962;1962;ML;Resource Industrialist;High;M6248;X
240209;Minister of Armament;Robert A. Lovett;1956;1987;1987;SL;Military Entrepreneur;High;M6249;X
240210;Minister of Armament;C. Douglas Dillon;1958;1976;1976;SL;Submarine Proponent;High;M6250;X
240211;Minister of Armament;Nelson A. Rockefeller;1950;1979;1979;ML;laissez-faire capitalist;High;M6251;X
240212;Head of Military Intelligence;Peter C. Reilly;1956;1964;1964;SL;Political Specialist;Very High;M6252;X
240213;Head of Military Intelligence;John A. McCone;1960;1966;1966;SL;Technical Specialist;Very High;M6253;X
240214;Head of State;Lyndon B. Johnson;1963;1974;1974;SL;Stern Imperialist;High;M6244;X
240215;Head of Government;Hubert Humphrey;1963;1974;1974;SL;Silent Workhorse;High;M6255;X
240216;Chief of Staff;Arthur W. Radford;1954;1974;1974;ML;School of Psychology;High;M6256;X
240217;Chief of Staff;Nathan F. Twining;1957;1961;1961;ML;School of Fire Support;High;L60560;X
240218;Chief of Staff;Lyman L. Lemnitzer;1960;1970;1970;SL;School of Mass Combat;High;L60244;X
240219;Chief of Staff;Maxwell D. Taylor;1962;1971;1971;SL;School of Manoeuvre;High;L60348;X
240220;Chief of Army;Matthew B. Ridgway;1953;1956;1956;ML;Guns and Butter Doctrine;High;L60311;X
240221;Chief of Army;Maxwell D. Taylor;1955;1971;1971;ML;Elastic Defence Doctrine;High;L60348;X
240222;Chief of Army;Lyman L. Lemnitzer;1959;1964;1964;ML;Armoured Spearhead Doctrine;High;L60244;X
240223;Chief of Army;George H. Decker;1960;1963;1963;SL;Decisive Battle Doctrine;High;L60127;X
240224;Chief of Army;Earle G. Wheeler;1962;1971;1971;SL;Static Defence Doctrine;High;L60368;X
240225;Chief of Navy;Robert B. Carney;1953;1956;1956;ML;Indirect Approach Doctrine;High;M6265;X
240226;Chief of Navy;Arleigh A. Burke;1955;1962;1962;ML;Decisive Naval Battle Doctrine;High;L60386;X
240227;Chief of Navy;George W. Anderson;1961;1964;1964;SL;Open Seas Doctrine;High;L60380;X
240228;Chief of Navy;David L. McDonald;1963;1968;1968;SL;Power Projection Doctrine;High;M6268;X
240229;Chief of Air Force;Nathan F. Twining;1953;1961;1961;ML;Air Superiority Doctrine;Medium;L60560;X
240230;Chief of Air Force;Thomas D. White;1957;1962;1962;ML;Army Aviation Doctrine;Medium;L60370;X
240231;Chief of Air Force;Curtis LeMay;1943;1966;1966;SC;Carpet Bombing Doctrine;Medium;L60532;X
240232;Head of Government;Harry I. Hopkins;1933;1947;1947;SL;Silent Workhorse;Very High;M6078;X
240233;Chief of Air Force;Charles Chandler;1912;1921;1921;SL;Army Aviation Doctrine;High;3597;X
240234;Chief of Air Force;William Mitchell;1912;1926;1926;PA;Air Superiority Doctrine;High;3598;X
240236;Chief of Air Force;William Kenly;1917;1929;1929;ML;Air Superiority Doctrine;High;3998;X
240237;Chief of Air Force;Benjamin Foulois;1908;1936;1936;ML;Army Aviation Doctrine;High;3599;X
240238;Chief of Air Force;Mason Patrick;1918;1928;1928;ML;Air Superiority Doctrine;High;3600;X
240239;Chief of Air Force;Charles Menoher;1918;1927;1927;ML;Army Aviation Doctrine;High;3601;X
240241;Chief of Army;Samuel Young;1861;1905;1905;ML;Decisive Battle Doctrine;High;3602;X
240242;Chief of Army;Adna R. Chaffee;1904;1915;1915;ML;Decisive Battle Doctrine;High;3603;X
240243;Chief of Army;John C. Bates;1906;1920;1920;ML;Decisive Battle Doctrine;High;3604;X
240244;Chief of Army;J. Franklin Bell;1906;1920;1920;ML;Decisive Battle Doctrine;High;3605;X
240246;Chief of Army;Leonard Wood;1912;1928;1928;PA;Decisive Battle Doctrine;High;3606;X
240247;Chief of Army;William W. Wotherspoon;1914;1922;1922;ML;static defence doctrine;High;3607;X
240248;Chief of Army;Hugh L. Scott;1914;1920;1920;ML;Decisive Battle Doctrine;High;3608;X
240249;Chief of Army;Tasker H. Bliss;1917;1931;1931;ML;Decisive Battle Doctrine;High;3609;X
240250;Chief of Army;Peyton C. March;1918;1921;1921;ML;Decisive Battle Doctrine;High;3610;X
240251;Chief of Army;John J. Pershing;1921;1924;1924;ML;Guns and Butter Doctrine;High;3611;X
240252;Chief of Army;John L. Hines;1924;1933;1933;ML;static defence doctrine;High;3612;X
240253;Chief of Army;Nelson A. Miles;1898;1926;1926;ML;Decisive Battle Doctrine;High;3613;X
240254;Chief of Navy;William S. Benson;1912;1932;1932;SD;Decisive Naval Battle Doctrine;High;3614;X
240255;Chief of Navy;William S. Benson;1912;1932;1932;FA;Decisive Naval Battle Doctrine;High;3614;X
240256;Chief of Navy;Robert E. Coontz;1919;1929;1929;ML;Open Seas Doctrine;High;3615;X
240257;Chief of Navy;Edward W. Eberle;1923;1929;1929;ML;Base Control Doctrine;High;3616;X
240259;Chief of Navy;George Dewey;1900;1917;1917;ML;Decisive Naval Battle Doctrine;High;3617;X
240260;Chief of Staff;Samuel Young;1861;1905;1905;ML;School of Fire Support;High;3602;X
240261;Chief of Staff;Adna R. Chaffee;1904;1915;1915;ML;School of Fire Support;High;3603;X
240262;Chief of Staff;John C. Bates;1906;1920;1920;ML;School of Fire Support;High;3604;X
240263;Chief of Staff;J. Franklin Bell;1906;1920;1920;ML;School of Fire Support;High;3605;X
240265;Chief of Staff;Leonard Wood;1912;1928;1928;PA;School of Fire Support;High;3606;X
240266;Chief of Staff;William W. Wotherspoon;1914;1922;1922;ML;school of defence;High;3607;X
240267;Chief of Staff;Hugh L. Scott;1914;1920;1920;ML;School of Fire Support;High;3608;X
240268;Chief of Staff;Tasker H. Bliss;1917;1931;1931;ML;School of Mass Combat;High;3609;X
240269;Chief of Staff;Peyton C. March;1918;1921;1921;ML;School of Fire Support;High;3610;X
240270;Chief of Staff;John J. Pershing;1921;1924;1924;ML;School of Mass Combat;High;3611;X
240271;Chief of Staff;John L. Hines;1924;1933;1933;ML;school of manoeuvre;High;3612;X
240272;Chief of Staff;Nelson A. Miles;1898;1926;1926;ML;School of Fire Support;High;3613;X
240273;Foreign Minister;Philander C. Knox;1908;1922;1922;ML;General Staffer;High;3618;X
240274;Foreign Minister;Augustus Bacon;1908;1915;1915;SL;General Staffer;High;3619;X
240275;Foreign Minister;Emil Seidel;1910;1948;1948;SD;Ideological Crusader;High;3620;X
240276;Foreign Minister;Tasker H. Bliss;1912;1931;1931;PA;General Staffer;High;3609;X
240277;Foreign Minister;Burton K. Wheeler;1910;1947;1958;SC;Ideological Crusader;High;3621;X
240278;Foreign Minister;Edward House;1912;1920;1920;SL;Great Compromiser;High;3622;X
240279;Foreign Minister;Henry Cabot Lodge;1912;1925;1925;ML;Ideological Crusader;High;3623;X
240280;Foreign Minister;Robert Lansing;1915;1929;1929;SL;Ideological Crusader;High;3624;X
