JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
50019;Head of Government;Terauchi Hisaichi;1923;1947;1947;PA;Naive Optimist;High;M5039;X
50020;Head of Government;Hirota Koki;1922;1949;1949;FA;Happy Amateur;High;M5003;X
50021;Head of Government;Hiranuma Kiichiro;1911;1953;1953;FA;Old Admiral;High;M5041;X
50022;Head of Government;Tojo Hideki;1928;1949;1949;FA;Razor;High;M5042;X
50023;Head of Government;Koiso Kuniaki;1924;1951;1951;FA;Corporate Suit;High;M5043;X
50024;Head of Government;Goto Fumio;1928;1981;1981;SD;Naive Optimist;High;M5005;X
50025;Head of Government;Katayama Tetsu;1931;1979;1979;SD;Political Protege;High;M5027;X
50026;Head of Government;Ugaki Kazushige;1940;1957;1957;SC;Silent Workhorse;High;M5028;X
50027;Head of Government;Suzuki Kisaburo;1911;1941;1941;SC;Happy Amateur;High;M5029;X
50028;Head of Government;Shidehara Kijuro;1916;1952;1952;SC;Naive Optimist;High;M5030;X
50029;Head of Government;Yoshida Shigeru;1922;1968;1968;SC;Backroom Backstabber;High;M5031;X
50030;Head of Government;Hatoyama Ichiro;1927;1960;1960;SC;Political Protege;High;M5032;X
50031;Head of Government;Miyamoto Kenji;1952;1999;1999;LE;Smiling Oilman;High;M5012;X
50032;Foreign Minister;Nosaka Sanzo;1927;1994;1994;SD;The Cloak N Dagger Schemer;Low;M5011;X
50033;Foreign Minister;Ashida Hitoshi;1922;1960;1960;SL;Apologetic Clerk;High;M5046;X
50034;Foreign Minister;Yoshizawa Kenkichi;1909;1966;1966;SC;Ideological Crusader;High;M5047;X
50035;Foreign Minister;Okada Keisuke;1903;1953;1953;SC;Iron Fisted Brute;High;M5002;X
50036;Foreign Minister;Suzuki Kisaburo;1902;1941;1941;SC;The Cloak N Dagger Schemer;Medium;M5029;X
50037;Foreign Minister;Shigemitsu Mamoru;1922;1958;1958;SC;Great Compromiser;Medium;M5050;X
50038;Foreign Minister;Yoshida Shigeru;1913;1968;1968;SC;Apologetic Clerk;Medium;M5031;X
50039;Foreign Minister;Sato Naotake;1917;1972;1972;PA;The Cloak N Dagger Schemer;Medium;M5053;X
50040;Foreign Minister;Ugaki Kazushige;1931;1957;1957;PA;Biased Intellectual;Medium;M5028;X
50041;Foreign Minister;Konoe Fumimaro;1926;1946;1946;PA;Apologetic Clerk;Medium;M5034;X
50042;Foreign Minister;Arita Hachiro;1919;1966;1966;FA;Ideological Crusader;Medium;M5057;X
50043;Foreign Minister;Abe Nobuyuki;1910;1954;1954;FA;Iron Fisted Brute;Medium;M5035;X
50044;Foreign Minister;Nomura Kichisaburo;1912;1965;1965;PA;General Staffer;Medium;M5059;X
50045;Foreign Minister;Matsuoka Yosuke;1915;1947;1947;PA;Ideological Crusader;Medium;M5060;X
50046;Foreign Minister;Toyoda Teijiro;1920;1962;1962;PA;Iron Fisted Brute;Medium;M5061;X
50047;Foreign Minister;Hayashi Senjuro;1911;1944;1944;PA;General Staffer;Medium;M5033;X
50048;Foreign Minister;Togo Shigenori;1917;1951;1951;FA;Biased Intellectual;Medium;M5065;X
50049;Foreign Minister;Tani Masayuki;1924;1963;1963;FA;Apologetic Clerk;Medium;M5066;X
50050;Foreign Minister;Shigemitsu Mamoru;1922;1958;1958;FA;Great Compromiser;Medium;M5050;X
50051;Foreign Minister;Shiga Yoshio;1936;1990;1990;LE;Biased Intellectual;Very Low;M5013;X
50052;Minister of Armament;Yoshino Shinji;1923;1972;1972;SD;Laissez-Faire Capitalist;Very High;M5069;X
50053;Minister of Armament;Mizutani Chosaburo;1932;1961;1961;SD;Resource Industrialist;High;M5070;X
50054;Minister of Armament;Hoshijima Niro;1922;1981;1981;SD;Administrative Genius;Medium;M5071;X
50055;Minister of Armament;Ogawa Gotaro;1911;1946;1946;SC;Resource Industrialist;Medium;M5072;X
50056;Minister of Armament;Godo Takuo;1912;1957;1957;SC;Battle Fleet Proponent;Medium;M5073;X
50057;Minister of Armament;Yoshida Shigeru;1913;1968;1968;SC;Balanced Budget Economy;Medium;M5031;X
50058;Minister of Armament;Shidehara Kijuro;1907;1952;1952;SC;Tank Proponent;High;M5030;X
50059;Minister of Armament;Hatoyama Ichiro;1918;1960;1960;SC;Administrative Genius;High;M5032;X
50060;Minister of Armament;Hoshijima Niro;1922;1981;1981;SC;Military Entrepreneur;Very High;M5071;X
50061;Minister of Armament;Ogasawara Sankuro;1920;1968;1968;SC;Laissez-Faire Capitalist;Medium;M5079;X
50062;Minister of Armament;Kawasaki Takukichi;1906;1937;1937;PA;Air Superiority Proponent;Medium;M5080;X
50063;Minister of Armament;Ikeda Shigeaki;1902;1951;1951;PA;Resource Industrialist;High;M5081;X
50064;Minister of Armament;Hatta Yoshiaki;1914;1965;1965;PA;Military Entrepreneur;Medium;M5082;X
50065;Minister of Armament;Kobayashi Seiichi;1999;1999;1999;PA;Laissez-Faire Capitalist;Medium;unknownminister;X
50066;Minister of Armament;Fujiwara Ginjiro;1904;1961;1961;PA;Administrative Genius;Medium;M5084;X
50067;Minister of Armament;Kishi Nobusuke;1931;1988;1988;PA;Theoretical Scientist;Medium;M5085;X
50068;Minister of Armament;Toyoda Teijiro;1920;1962;1962;PA;Air to Ground Proponent;Medium;M5061;X
50069;Minister of Armament;Sakonji Seizo;1914;1970;1970;PA;Submarine Proponent;Medium;M5087;X
50070;Minister of Armament;Terauchi Hisaichi;1914;1947;1947;PA;Tank Proponent;High;M5039;X
50071;Minister of Armament;Yonai Mitsumasa;1915;1949;1949;PA;Battle Fleet Proponent;High;M5036;X
50072;Minister of Armament;Shoda Kazue;1931;1949;1949;FA;Military Entrepreneur;High;M5090;X
50073;Minister of Armament;Kobayashi Ichizo;1908;1958;1958;FA;Resource Industrialist;High;M5083;X
50074;Minister of Armament;Tojo Hideki;1919;1949;1949;FA;Infantry Proponent;Medium;M5042;X
50075;Minister of Armament;Nakajima Chikuhei;1919;1950;1950;FA;Air to Sea Proponent;Medium;M5093;X
50076;Minister of Armament;Kato Sotomatsu;1999;1999;1999;FA;Tank Proponent;Medium;M5094;X
50077;Minister of Armament;Tokuda Kyuichi;1929;1954;1954;LWR;Resource Industrialist;Low;M5014;X
50078;Minister of Security;Yamamoto Tatsuo;1891;1948;1948;SD;Compassionate Gentleman;High;2796;X
50079;Minister of Security;Goto Fumio;1919;1981;1981;SD;Silent Lawyer;High;M5005;X
50080;Minister of Security;Kimura Kozaemon;1923;1953;1953;SD;Man of the People;High;M5098;X
50081;Minister of Security;Kawarada Kakichi;1921;1956;1956;SC;Man of the People;High;M5099;X
50082;Minister of Security;Ohara Naoshi;1912;1968;1968;SC;Back Stabber;Medium;M5100;X
50083;Minister of Security;Omura Seiichi;1927;1969;1969;SC;Silent Lawyer;Very High;M5101;X
50084;Minister of Security;Horikiri Zenjiro;1919;1980;1980;SC;Crime Fighter;Medium;M5102;X
50085;Minister of Security;Yamazaki Iwao;1929;1969;1969;SC;Man of the People;Medium;M5103;X
50086;Minister of Security;Ushio Shigenosuke;1916;1956;1956;PA;Crime Fighter;Very High;M5105;X
50087;Minister of Security;Suetsugu Nobumasa;1915;1945;1945;PA;Silent Lawyer;Medium;M5106;X
50088;Minister of Security;Baba Eiichi;1914;1938;1938;PA;Prince of Terror;Medium;M5107;X
50089;Minister of Security;Kido Koichi;1924;1978;1978;PA;Crime Fighter;Medium;M5108;X
50090;Minister of Security;Yasui Eiji;1925;1983;1983;PA;Crooked Kleptocrat;High;M5110;X
50091;Minister of Security;Kobayashi Seizo;1912;1963;1963;PA;Man of the People;High;M5111;X
50092;Minister of Security;Tanabe Harumichi;1913;1951;1951;PA;Man of the People;Medium;M5112;X
50093;Minister of Security;Yuzawa Michio;1923;1964;1964;PA;Silent Lawyer;Medium;M5113;X
50094;Minister of Security;Abe Genki;1929;1990;1990;PA;Silent Lawyer;Medium;M5114;X
50095;Minister of Security;Fujie Keisuke;1920;1970;1970;FA;Prince of Terror;Medium;M5115;X
50096;Minister of Security;Nakajima Kesago;1916;1946;1946;FA;Man of the People;Medium;M5116;X
50097;Minister of Security;Tanaka Seiichi;1922;1946;1946;FA;Back Stabber;Medium;M5117;X
50098;Minister of Security;Hirabayashi Morito;1922;1969;1969;FA;Silent Lawyer;Medium;M5118;X
50099;Minister of Security;Hiranuma Kiichiro;1902;1953;1953;FA;Prince of Terror;Medium;M5041;X
50100;Minister of Security;Teshima Fusataro;1924;1980;1980;FA;Crime Fighter;Medium;M5120;X
50101;Minister of Security;Kodama Hideo;1911;1948;1948;FA;Silent Lawyer;Low;M5109;X
50102;Minister of Security;Nakamura Aketo;1924;1967;1967;FA;Crime Fighter;Medium;M5122;X
50103;Minister of Security;Tojo Hideki;1919;1949;1949;FA;Secret Police Chief;Medium;M5042;X
50104;Minister of Security;Kato Hakujiro;1922;1952;1952;FA;Man of the People;Medium;M5124;X
50105;Minister of Security;Odachi Shigeo;1927;1956;1956;FA;Man of the People;Medium;M5125;X
50106;Minister of Security;Iimura Jo;1923;1977;1977;FA;Crime Fighter;Medium;M5126;X
50107;Minister of Security;Nosaka Sanzo;1927;1994;1994;LE;Man of the People;Very High;M5011;X
50108;Head of Military Intelligence;Nosaka Sanzo;1927;1994;1994;SD;Industrial Specialist;Low;M5011;X
50109;Head of Military Intelligence;Katayama Tetsu;1922;1979;1979;SD;Naval Intelligence Specialist;Medium;M5027;X
50110;Head of Military Intelligence;Ugaki Kazushige;1931;1957;1957;SC;Political Specialist;Medium;M5028;X
50111;Head of Military Intelligence;Machida Chuji;1898;1947;1947;SC;Technical Specialist;High;M5004;X
50112;Head of Military Intelligence;Ogawa Gotaro;1911;1946;1946;SC;Dismal Enigma;Medium;M5072;X
50113;Head of Military Intelligence;Horikiri Zenjiro;1919;1980;1980;SC;Logistics Specialist;Medium;M5102;X
50114;Head of Military Intelligence;Takasu Shiro;1919;1945;1945;PA;Industrial Specialist;Medium;M5134;X
50115;Head of Military Intelligence;Nomura Naokuni;1920;1974;1974;PA;Naval Intelligence Specialist;Medium;M5135;X
50116;Head of Military Intelligence;Kano Jigoro;1895;1939;1939;PA;Dismal Enigma;Medium;M5136;X
50117;Head of Military Intelligence;Oka Takazumi;1925;1974;1974;PA;Logistics Specialist;Medium;M5137;X
50118;Head of Military Intelligence;Maeda Minoru;1928;1991;1991;PA;Technical Specialist;Medium;M5138;X
50119;Head of Military Intelligence;Suzuki Kantaro;1903;1949;1949;PA;Political Specialist;Medium;M5037;X
50120;Head of Military Intelligence;Honma Masaharu;1922;1947;1947;FA;Dismal Enigma;Medium;M5141;X
50121;Head of Military Intelligence;Higuchi Kiichiro;1923;1971;1971;FA;Logistics Specialist;Medium;M5142;X
50122;Head of Military Intelligence;Araki Sadao;1912;1967;1967;FA;Naval Intelligence Specialist;Medium;M5143;X
50123;Head of Military Intelligence;Tsuchihashi Yuitsu;1916;1973;1973;FA;Technical Specialist;Medium;M5144;X
50124;Head of Military Intelligence;Koiso Kuniaki;1915;1951;1951;FA;Industrial Specialist;Medium;M5043;X
50125;Head of Military Intelligence;Miyamoto Kenji;1943;1999;1999;LE;Industrial Specialist;Medium;M5012;X
50126;Chief of Staff;Nakazawa Tasuku;1929;1978;1978;SD;School of Psychology;Very Low;M5147;X
50127;Chief of Staff;Osamura Kajika;1999;1999;1999;SD;School of Fire Support;Very Low;M5148;X
50128;Chief of Staff;Hayashida Hirotsugu;1999;1999;1999;SC;School of Fire Support;Very Low;M5149;X
50129;Chief of Staff;Tashiro Kanichiro;1916;1938;1938;SC;Commando Doctrine Staff;Very Low;M5150;X
50130;Chief of Staff;Tanigawa Kazuo;1934;1955;1955;SC;School of Mass Combat;Very Low;M5151;X
50131;Chief of Staff;Abe Nobuyuki;1910;1954;1954;PA;School of Fire Support;Medium;M5035;X
50132;Chief of Staff;Mikawa Gunichi;1923;1982;1982;PA;School of Psychology;Medium;M5154;X
50133;Chief of Staff;Sugiyama Hajime;1915;1946;1946;FA;School of Defence;Medium;M5155;X
50134;Chief of Staff;Tojo Hideki;1919;1949;1949;FA;School of Psychology;Medium;M5042;X
50135;Chief of Staff;Umezu Yoshijiro;1917;1950;1950;FA;School of Fire Support;Medium;M5157;X
50136;Chief of Staff;Kusaka Ryunosuke;1927;1972;1972;LWR;School of Defence;Medium;M5017;X
50137;Chief of Army;Imai Takeo;1933;1983;1983;SD;Elastic Defence Doctrine;Medium;M5018;X
50138;Chief of Army;Inanba Satoru;1999;1999;1999;SC;Guns and Butter Doctrine;Medium;M5160;X
50139;Chief of Army;Tsuchihashi Yuitsu;1916;1973;1973;SC;Decisive Battle Doctrine;Medium;M5144;X
50140;Chief of Army;Fujioka Takeo;1926;1946;1946;PA;Elastic Defence Doctrine;Very Low;M5163;X
50141;Chief of Army;Aotsu Kikutaro;1932;1948;1948;PA;Doctrine of Autonomy;Very Low;M5164;X
50142;Chief of Army;Sugiyama Hajime;1915;1946;1946;FA;Decisive Battle Doctrine;Medium;M5155;X
50143;Chief of Army;Tojo Hideki;1919;1949;1949;FA;Elastic Defence Doctrine;Medium;M5042;X
50144;Chief of Army;Umezu Yoshijiro;1917;1950;1950;FA;Guns and Butter Doctrine;Medium;M5157;X
50145;Chief of Navy;Kawai Akira;1999;1999;1999;SD;Open Seas Doctrine;Medium;M5019;X
50146;Chief of Navy;Shimada Shigetaro;1918;1977;1977;SC;Open Seas Doctrine;Medium;M5170;X
50147;Chief of Navy;Toyoda Soemu;1920;1958;1958;FA;Decisive Naval Battle Doctrine;Medium;M5171;X
50148;Chief of Navy;Fujita Hisanori;1915;1971;1971;PA;Decisive Naval Battle Doctrine;Medium;M5172;X
50149;Chief of Navy;Nagano Osami;1915;1948;1948;PA;Power Projection Doctrine;Medium;M5173;X
50150;Chief of Navy;Oikawa Koshiro;1918;1959;1959;PA;Base Control Doctrine;Medium;M5175;X
50151;Chief of Air Force;Fukui Yoshio;1999;1999;1999;SD;Air Superiority Doctrine;Medium;M5020;X
50152;Chief of Air Force;Inoue Shigeyoshi;1924;1976;1976;SC;Naval Aviation Doctrine;Medium;M5180;X
50153;Chief of Air Force;Tsukahara Nishizo;1922;1967;1967;SC;Air Superiority Doctrine;Medium;M5181;X
50154;Chief of Air Force;Oikawa Koshiro;1918;1959;1959;PA;Naval Aviation Doctrine;Medium;M5175;X
50155;Chief of Air Force;Higashikuni Naruhiko;1922;1991;1991;PA;Carpet Bombing Doctrine;Medium;M5038;X
50156;Chief of Air Force;Toyoda Teijiro;1920;1962;1962;PA;Vertical Envelopment Doctrine;Medium;M5061;X
50157;Chief of Air Force;Wada Misao;1924;1982;1982;PA;Vertical Envelopment Doctrine;Medium;M5182;X
50158;Chief of Air Force;Hata Shunroku;1914;1963;1963;FA;Army Aviation Doctrine;Medium;M5189;X
50159;Chief of Air Force;Tojo Hideki;1919;1949;1949;FA;Army Aviation Doctrine;Medium;M5042;X
50160;Chief of Air Force;Yamashita Tomoyuki;1920;1947;1947;FA;Carpet Bombing Doctrine;Medium;M5192;X
50161;Chief of Air Force;Doihara Kenji;1918;1949;1949;FA;Naval Aviation Doctrine;Medium;M5193;X
50162;Chief of Air Force;Anami Korechika;1922;1946;1946;FA;Vertical Envelopment Doctrine;Medium;M5194;X
50163;Chief of Air Force;Ushiroku Jun;1919;1974;1974;FA;Army Aviation Doctrine;Medium;M5195;X
50164;Chief of Air Force;Sugawara Michio;1923;1984;1984;FA;Air Superiority Doctrine;Medium;M5196;X
50165;Chief of Air Force;Kawabe Masakazu;1921;1966;1966;PA;Army Aviation Doctrine;Medium;M5197;X
50166;Foreign Minister;Tojo Hideki;1919;1949;1949;FA;General Staffer;Medium;M5042;X
50167;Chief of Navy;Yamamoto Isoroku;1919;1944;1944;FA;Power Projection Doctrine;Very High;M5010;X
50168;Chief of Navy;Koga Mineichi;1920;1945;1945;FA;Decisive Naval Battle Doctrine;Very High;L101243;X
50169;Chief of Navy;Ozawa Jisaburo;1921;1967;1967;PA;Open Seas Doctrine;High;L101273;X
50170;Head of Government;Konoe Fumimaro;1999;1999;1999;PA;Flamboyant Tough Guy;High;M5034;X
50171;Foreign Minister;Suzuki Kantaro;1903;1949;1949;PA;Biased Intellectual;High;M5037;X
50172;Head of State;Hirohito;1901;1990;1990;SD;Benevolent Gentleman;High;M5001;X
50173;Head of State;Hirohito;1901;1990;1990;ML;Benevolent Gentleman;High;M5001;X
50174;Head of Government;Ashida Hitoshi;1931;1960;1960;SL;Smiling Oilman;High;M5046;X
50175;Minister of Security;Ishibashi Tanzan;1919;1974;1974;SC;Silent Lawyer;Medium;M5210;X
50176;Head of Government;Ishibashi Tanzan;1928;1974;1974;SC;Silent Workhorse;High;M5210;X
50177;Head of Government;Kishi Nobusuke;1940;1988;1988;SC;Backroom Backstabber;High;M5085;X
50178;Head of Government;Ikeda Hayato;1943;1957;1957;SC;Corporate Suit;High;M5213;X
50179;Head of Government;Nishio Suehiro;1935;1982;1982;SD;Flamboyant Tough Guy;High;M5214;X
50180;Foreign Minister;Kubota Kanichiro;1937;1978;1978;SD;Iron Fisted Brute;Medium;M5215;X
50181;Foreign Minister;Kishi Nobusuke;1931;1988;1988;SC;Ideological Crusader;Medium;M5085;X
50182;Foreign Minister;Fujiyama Aiichiro;1932;1986;1986;SC;Apologetic Clerk;Medium;M5217;X
50183;Foreign Minister;Kosaka Zentaro;1947;1999;1999;SC;Biased Intellectual;Medium;M5218;X
50184;Foreign Minister;Ohira Masayoshi;1945;1981;1981;SC;The Cloak N Dagger Schemer;Medium;M5219;X
50185;Minister of Armament;Ikeda Hayato;1934;1966;1966;SC;Infantry Proponent;High;M5213;X
50186;Minister of Armament;Mukai Tadaharu;1920;1983;1983;SC;Strategic Air Proponent;High;M5221;X
50187;Minister of Armament;Ichimada Hisato;1928;1985;1985;SC;Submarine Proponent;High;M5222;X
50188;Minister of Armament;Sato Eisaku;1936;1976;1976;SC;Administrative Genius;High;M5223;X
50189;Minister of Armament;Mizuta Mikio;1940;1977;1977;SC;Resource Industrialist;High;M5224;X
50190;Minister of Armament;Tanaka Kakuei;1953;1994;1994;SC;Corrupt Kleptocrat;High;M5225;X
50191;Minister of Armament;Nishio Suehiro;1926;1982;1982;SD;Military Entrepreneur;Medium;M5214;X
50192;Minister of Armament;Usami Makoto;1936;1984;1984;SD;Theoretical Scientist;Medium;M5227;X
50193;Minister of Security;Ohashi Takeo;1939;1982;1982;SC;Crooked Kleptocrat;Medium;M5228;X
50194;Minister of Security;Kimura Tokutaro;1921;1983;1983;SC;Efficient Sociopath;Medium;M5229;X
50195;Minister of Security;Inukai Takeru;1931;1961;1961;SC;Back Stabber;Medium;M5230;X
50196;Minister of Security;Nakamura Umekichi;1936;1985;1985;SC;Compassionate Gentleman;Medium;M5231;X
50197;Minister of Security;Ueki Koshiro;1935;1981;1981;SC;Silent Lawyer;Medium;M5232;X
50198;Minister of Security;Hanamura Shiro;1926;1964;1964;SD;Prince of Terror;Medium;M5233;X
50199;Minister of Security;Morinaga Teiichiro;1945;1987;1987;SD;Crime Fighter;Medium;M5234;X
50200;Head of Military Intelligence;Kato Ryogoro;1918;1971;1971;SC;Political Specialist;Medium;M5235;X
50201;Head of Military Intelligence;Ohara Naoshi;1912;1968;1968;SC;Technical Specialist;Medium;M5236;X
50202;Head of Military Intelligence;Hanamura Shiro;1926;1964;1964;SD;Dismal Enigma;Medium;M5233;X
50203;Chief of Air Force;Hino Kumazo;1913;1947;1947;SD;Army Aviation Doctrine;Medium;2735;X
50204;Chief of Air Force;Inoue Ikutaro;1907;1966;1966;ML;Air Superiority Doctrine;Medium;2736;X
50205;Chief of Air Force;Shirakawa Yoshinori;1904;1933;1933;ML;Vertical Envelopment Doctrine;Medium;2737;X
50206;Chief of Air Force;Tokugawa Yoshitoshi;1919;1964;1964;ML;Army Aviation Doctrine;Very High;2738;X
50207;Chief of Air Force;Inoue Jinro;1899;1920;1920;PA;Air Superiority Doctrine;Medium;unknownminister;X
50208;Chief of Air Force;Yamamoto Eisuke;1911;1963;1963;ML;Naval Aviation Doctrine;Medium;2739;X
50209;Chief of Army;Hasegawa Yoshimichi;1885;1925;1925;SC;Decisive Battle Doctrine;Medium;2740;X
50210;Chief of Army;Kawai Misao;1899;1942;1942;SC;Guns and Butter Doctrine;Medium;2741;X
50211;Chief of Army;Kigoshi Yasutsuna;1889;1933;1933;SL;Elastic Defence Doctrine;Medium;2742;X
50212;Chief of Army;Kusunose Yukihiko;1893;1928;1928;ML;Elastic Defence Doctrine;Very High;2743;X
50213;Chief of Army;Oka Ichinosuke;1895;1917;1917;ML;Static Defence Doctrine;Medium;2744;X
50214;Chief of Army;Oku Yasukata;1882;1931;1931;PA;Static Defence Doctrine;Medium;2745;X
50215;Chief of Army;Oshima Kenichi;1893;1948;1948;PA;Decisive Battle Doctrine;Medium;2746;X
50216;Chief of Army;Kanin Kotohito;1900;1931;1931;NS;Decisive Battle Doctrine;Medium;2747;X
50217;Chief of Army;Shirakawa Yoshinori;1904;1933;1933;SD;Static Defence Doctrine;Medium;2737;X
50218;Chief of Army;Takashima Tomonosuke;1879;1917;1917;PA;Decisive Battle Doctrine;Medium;2748;X
50219;Chief of Army;Tanaka Giichi;1899;1930;1930;ML;Guns and Butter Doctrine;Medium;2749;X
50220;Chief of Army;Terauchi Masatake;1887;1920;1920;PA;Static Defence Doctrine;Medium;2750;X
50221;Chief of Army;Uehara Yusaku;1891;1934;1934;FA;Guns and Butter Doctrine;Medium;2751;X
50222;Chief of Army;Ugaki Kazushige;1903;1931;1931;FA;Armoured Spearhead Doctrine;Medium;2752;X
50223;Chief of Navy;Ijuin Goro;1887;1922;1922;SD;Base Control Doctrine;Medium;2753;X
50224;Chief of Navy;Kato Hiroharu;1905;1940;1940;FA;Decisive Naval Battle Doctrine;Medium;2754;X
50225;Chief of Navy;Kato Tomosaburo;1896;1924;1924;ML;Decisive Naval Battle Doctrine;Medium;2755;X
50226;Chief of Navy;Murakami Kakuichi;1897;1928;1928;SD;Base Control Doctrine;Medium;2756;X
50227;Chief of Navy;Okada Keisuke;1903;1953;1953;SD;Indirect Approach Doctrine;Medium;M5002;X
50228;Chief of Navy;Fushimi Hiroyasu;1910;1947;1947;NS;Base Control Doctrine;Medium;2758;X
50229;Chief of Navy;Saito Makoto;1893;1937;1937;ML;Decisive Naval Battle Doctrine;High;2759;X
50230;Chief of Navy;Takarabe Takeshi;1902;1950;1950;ML;Indirect Approach Doctrine;Medium;2760;X
50231;Chief of Navy;Togo Heihachiro;1883;1935;1935;FA;Decisive Naval Battle Doctrine;Medium;2761;X
50232;Chief of Navy;Yamamoto Gonnohyoe;1887;1934;1934;ML;Power Projection Doctrine;Medium;2762;X
50233;Chief of Navy;Yashiro Rokuro;1895;1931;1931;ML;Open Seas Doctrine;Medium;2763;X
50234;Chief of Staff;Hasegawa Yoshimichi;1885;1925;1925;SC;School of Fire Support;Medium;2740;X
50235;Chief of Staff;Kawai Misao;1899;1942;1942;SC;School of Fire Support;Medium;2741;X
50236;Chief of Staff;Kigoshi Yasutsuna;1889;1933;1933;SL;School of Defence;Medium;2742;X
50237;Chief of Staff;Kusunose Yukihiko;1893;1928;1928;ML;School of Psychology;Very High;2743;X
50238;Chief of Staff;Oka Ichinosuke;1895;1917;1917;ML;School of Fire Support;Medium;2744;X
50239;Chief of Staff;Oku Yasukata;1882;1931;1931;PA;School of Defence;Medium;2745;X
50240;Chief of Staff;Oshima Kenichi;1893;1948;1948;PA;School of Mass Combat;Medium;2746;X
50241;Chief of Staff;Kanin Kotohito;1900;1931;1931;NS;School of Mass Combat;Medium;2747;X
50242;Chief of Staff;Shirakawa Yoshinori;1904;1933;1933;SD;School of Defence;Medium;2737;X
50243;Chief of Staff;Takashima Tomonosuke;1879;1917;1917;PA;School of Fire Support;Medium;2748;X
50244;Chief of Staff;Tanaka Giichi;1899;1930;1930;ML;School of Psychology;Medium;2749;X
50245;Chief of Staff;Terauchi Masatake;1887;1920;1920;PA;School of Fire Support;Medium;2750;X
50246;Chief of Staff;Uehara Yusaku;1891;1934;1934;FA;School of Fire Support;Medium;2751;X
50247;Chief of Staff;Ugaki Kazushige;1903;1931;1931;FA;School of Fire Support;Medium;2752;X
50248;Foreign Minister;Arahata Kanson;1922;1982;1982;ST;General Staffer;Medium;2764;X
50249;Foreign Minister;Inukai Tsuyoshi;1890;1933;1933;SD;General Staffer;Medium;2765;X
50250;Foreign Minister;Ishii Kikujiro;1901;1946;1946;ML;Great Compromiser;Medium;2766;X
50251;Foreign Minister;Kato Takaaki;1895;1927;1927;SL;Apologetic Clerk;Medium;2767;X
50252;Foreign Minister;Kiyoura Keigo;1885;1943;1943;FA;Biased Intellectual;Medium;2768;X
50253;Foreign Minister;Makino Nobuaki;1896;1950;1950;ML;Biased Intellectual;High;2769;X
50254;Foreign Minister;Motono Ichiro;1897;1919;1919;PA;The Cloak N Dagger Schemer;Medium;2770;X
50255;Foreign Minister;Okuma Shigenobu;1873;1923;1923;ML;General Staffer;Medium;2771;X
50256;Foreign Minister;Saionji Kinmochi;1884;1941;1941;ML;Great Compromiser;Medium;2772;X
50257;Foreign Minister;Shidehara Kijuro;1907;1952;1952;SD;Great Compromiser;Medium;M5030;X
50258;Foreign Minister;Terauchi Masatake;1887;1920;1920;PA;General Staffer;Medium;2750;X
50259;Foreign Minister;Uchida Kosai;1900;1937;1937;ML;General Staffer;Medium;2774;X
50260;Head of Government;Hamaguchi Osachi;1914;1932;1932;SD;Flamboyant Tough Guy;Medium;2775;X
50261;Head of Government;Hara Takashi;1900;1922;1922;ML;Flamboyant Tough Guy;Medium;2776;X
50262;Head of Government;Inukai Tsuyoshi;1899;1933;1933;SD;Ambitious Union Boss;Medium;2765;X
50263;Head of Government;Kato Takaaki;1904;1927;1927;ML;Flamboyant Tough Guy;Medium;2767;X
