LEB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
375049;Head of Military Intelligence;Ayoub Thabet;1933;1964;1999;SC;Industrial Specialist;Medium;M529002;X
375050;Head of Military Intelligence;Slimane Naoufai;1943;1964;1999;SC;Logistics Specialist;Medium;M529045;X
375051;Head of Military Intelligence;Saader al-Munla;1933;1964;1999;PA;Dismal Enigma;Medium;M529012;X
375052;Chief of Staff;Antoine Harb;1944;1964;1999;SL;School of Mass Combat;Medium;M529052;X
375053;Chief of Staff;Iskander Ghanem;1940;1964;1999;SC;School of Defence;Medium;M529053;X
375054;Chief of Staff;Nicolas Rouminatzoff;1933;1964;1999;PA;School of Psychology;Medium;M529054;X
375055;Chief of Army;Jamil Lahoud;1944;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M529055;X
375056;Chief of Army;Fouad Chehab;1940;1964;1999;SC;Guns and Butter Doctrine;Medium;M529056;X
375057;Chief of Army;Rashrash Azzam;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M529057;X
375058;Chief of Navy;Louis Finet;1941;1964;1999;SL;Indirect Approach Doctrine;Medium;M529058;X
375059;Chief of Navy;Nabil Jad;1943;1964;1999;SC;Open Seas Doctrine;Medium;M529059;X
375060;Chief of Navy;Abdallah Aref al-Yafi;1940;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M529003;X
375061;Chief of Air Force;Slimane Naoufai;1944;1964;1999;SL;Air Superiority Doctrine;Medium;M529045;X
375062;Chief of Air Force;Emile Boustany;1940;1964;1999;SC;Air Superiority Doctrine;Medium;M529062;X
375063;Chief of Air Force;Petro Trad;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M529022;X
375064;Head of Government;Henri Dentz;1933;1964;1999;PA;Old General;High;L24059;X
375065;Head of Military Intelligence;Henri Dentz;1933;1964;1999;PA;Logistics Specialist;High;L24059;X
375066;Chief of Staff;Henri Dentz;1933;1964;1999;PA;School of Defence;High;L24059;X
375067;Foreign Minister;Hamid Faranjiyya;1938;1964;1999;PA;Iron Fisted Brute;Medium;M529067;X
375068;Minister of Armament;Kamil Sham'un;1938;1964;1999;PA;laissez-faire capitalist;Medium;M529068;X
375069;Head of Military Intelligence;Ahmad al-Husayni;1938;1964;1999;PA;Dismal Enigma;Medium;M529069;X
375070;Head of State;Camille Chamoun;1952;1964;1999;SC;Powerhungry Demagogue;High;M529070;X
375071;Head of Government;Hassan al-Oweini;1951;1964;1999;SC;Happy Amateur;High;M529071;X
375072;Head of Government;Nazim al-Akkari;1952;1964;1999;SC;Smiling Oilman;High;M529072;X
375073;Head of Government;Saeb Sallam;1952;1964;1999;ML;Naive Optimist;High;M529073;X
375074;Foreign Minister;Fouad Chehab;1950;1964;1999;SC;General Staffer;High;M529056;X
375075;Minister of Security;William Amine Hawi;1937;1964;1999;FA;Prince of Terror;High;8557;X
375076;Chief of Staff;William Amine Hawi;1941;1964;1999;FA;School of Mass Combat;High;8557;X
375077;Foreign Minister;Pierre Gemayel;1943;1964;1999;FA;Ideological Crusader;Medium;8558;X
375078;Head of Government;Pierre Gemayel;1935;1964;1999;FA;Naive Optimist;High;8558;X
375079;Foreign Minister;Charles Helou;1937;1964;1999;FA;Great Compromiser;High;8559;X
375080;Head of State;Charles Helou;1958;1964;1999;PA;Autocratic Charmer;High;8559;X
