LIT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
140098;Chief of Staff;Antanas Snieckus;1938;1964;1999;ST;School of Fire Support;Medium;M28027;X
140099;Chief of Staff;Aleksandras Guzevicius;1941;1964;1999;ST;School of Defence;Medium;M28030;X
140100;Chief of Army;Albinas Cepas-Cepauskas;1938;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M28122;X
140101;Chief of Army;Petras Plechavicius;1941;1964;1999;NS;Elastic Defence Doctrine;Medium;M28071;X
140102;Chief of Army;Jonas Galvydis-Bykauskas;1938;1964;1999;FA;Static Defence Doctrine;Medium;M28007;X
140103;Chief of Army;Gedrivius Palionis;1945;1964;1999;PA;Decisive Battle Doctrine;Medium;M28126;X
140104;Chief of Army;Kazys Musteikis;1938;1964;1999;SC;Guns and Butter Doctrine;Medium;M28125;X
140105;Chief of Army;Anatolijus Kairys;1940;1964;1999;SC;Static Defence Doctrine;High;M28019;X
140106;Chief of Army;Adolfas Ramanasukas-Vanagas;1945;1964;1999;SC;Elastic Defence Doctrine;Medium;M28018;X
140107;Chief of Army;Antanas Snieckus;1938;1964;1999;ST;Armoured Spearhead Doctrine;Medium;M28027;X
140108;Chief of Army;Jurgis Terleckas;1941;1964;1999;ST;Guns and Butter Doctrine;Medium;M28098;X
140109;Chief of Navy;Azuolas Kuschat;1938;1964;1999;NS;Power Projection Doctrine;Medium;M28056;X
140110;Chief of Navy;Jurgis Saulys;1938;1964;1999;SC;Indirect Approach Doctrine;Medium;M28107;X
140111;Chief of Navy;Anatolijus Kairys;1941;1964;1999;SC;Base Control Doctrine;Medium;M28019;X
140112;Chief of Navy;Vladas Karvelis;1938;1964;1999;ST;Indirect Approach Doctrine;Medium;M28029;X
140113;Chief of Navy;Mecislovas Gedvilas;1941;1964;1999;ST;Base Control Doctrine;Medium;M28024;X
140114;Chief of Air Force;Kazys Skirpa;1938;1964;1999;NS;Army Aviation Doctrine;Medium;M28032;X
140115;Chief of Air Force;Juozas Ambrazevicius;1938;1964;1999;SC;Carpet Bombing Doctrine;Medium;M28020;X
140116;Chief of Air Force;Mykolas Filipavicius;1945;1964;1999;SC;Air Superiority Doctrine;Medium;M28093;X
140117;Chief of Air Force;Aleksandras Guzevicius;1938;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M28030;X
140118;Chief of Air Force;Juozas Baukarskas;1945;1964;1999;ST;Army Aviation Doctrine;Medium;M28145;X
140119;Head of State;Mindaugas II;1914;1933;1999;PA;Popular Figurehead;Medium;2824;X
140120;Head of State;Kazys Grinius;1920;1964;1999;LE;benevolent gentleman;High;6950;X
140121;Head of Government;Aleksandras Stulginskis;1920;1964;1999;LE;naive optimist;High;6951;X
140122;Head of Government;Antanas Smetona;1914;1945;1960;PA;flamboyant tough guy;Medium;M28001;X
140123;Foreign Minister;Augustinas Voldemaras;1914;1943;1969;PA;ideological crusader;Medium;M28031;X
140124;Foreign Minister;Jurgis Saulys;1914;1949;1949;PA;biased intellectual;Medium;M28107;X
140125;Foreign Minister;Juozas Purickis;1914;1935;1935;PA;great compromiser;Medium;M28076;X
140126;Minister of Armament;Martynas Ycas;1914;1942;1942;PA;resource industrialist;Medium;9244;X
140127;Minister of Armament;Jonas Vailokaitis;1914;1945;1945;PA;Construction magnate;Medium;M28063;X
140128;Minister of Security;Aleksandras Stulginskis;1914;1970;1970;PA;crime fighter;Medium;6951;X
140129;Minister of Security;Eliziejus Draugelis;1914;1982;1982;PA;Health and safety;Medium;9245;X
140130;Minister of Security;Saliamonas Banaitis;1914;1934;1934;PA;Media magnate;Medium;9246;X
140131;Head of Military Intelligence;Antanas Merkys;1914;1956;1963;PA;logistics specialist;Medium;M28035;X
140132;Chief of Staff;Silvestras Zukauskas;1914;1938;1938;PA;school of defence;Medium;896;X
140133;Chief of Staff;Mykolas Velykis;1914;1956;1956;PA;school of fire support;Medium;898;X
140134;Chief of Army;Jonas Variakojis;1914;1964;1964;PA;decisive battle doctrine;Medium;9247;X
140135;Chief of Army;Stasys Nastopka;1914;1932;1940;PA;static defence doctrine;Medium;9248;X
140136;Chief of Army;Kazys Ladiga;1914;1922;1969;PA;static defence doctrine;Medium;9249;X
140137;Chief of Army;Maksimas Katche;1914;1932;1934;PA;decisive battle doctrine;Medium;9250;X
