BEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
565043;Minister of Security;André Lavergne;1945;1964;1999;SL;Prince of Terror;Medium;M533043;X
565044;Minister of Security;Albert Doti;1933;1964;1999;PA;Back Stabber;Medium;M533044;X
565045;Minister of Security;Maurice Yameogo;1933;1964;1999;LWR;Crime Fighter;Medium;M533045;X
565046;Head of Military Intelligence;Charles Guéritault;1940;1964;1999;SL;Dismal Enigma;Medium;M533038;X
565047;Head of Military Intelligence;Oswald Durand;1944;1964;1999;SL;Political Specialist;Medium;M533026;X
565048;Head of Military Intelligence;Robert Joany;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M533048;X
565049;Head of Military Intelligence;Hamani Diori;1933;1964;1999;LWR;Naval Intelligence Specialist;Medium;M533049;X
565050;Head of Military Intelligence;Babacar Ba;1943;1964;1999;LWR;Industrial Specialist;Medium;M533050;X
565051;Chief of Staff;Andre Latrille;1943;1964;1999;SL;School of Manoeuvre;Medium;M533024;X
565052;Chief of Staff;Francis d'Oultre Seille;1933;1964;1999;PA;School of Defence;Medium;M533009;X
565053;Chief of Staff;Akira Jomo;1933;1964;1999;LWR;School of Psychology;Medium;M533053;X
565054;Chief of Staff;Ali Saibou;1941;1964;1999;LWR;School of Defence;Medium;M533054;X
565055;Chief of Army;Pierre Salceti;1942;1964;1999;SL;Elastic Defence Doctrine;Medium;M533014;X
565056;Chief of Army;Roger Podeur;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;M533056;X
565057;Chief of Army;Habib al-Aziz;1933;1964;1999;LWR;Elastic Defence Doctrine;Medium;M533057;X
565058;Chief of Army;Yorgui Koli;1941;1964;1999;LWR;Guns and Butter Doctrine;Medium;M533058;X
565059;Chief of Navy;Edmond Louveau;1942;1964;1999;SL;Base Control Doctrine;Medium;M533059;X
565060;Chief of Navy;Jean Lassere;1933;1964;1999;PA;Base Control Doctrine;Medium;M533060;X
565061;Chief of Navy;Francois Tombalbaye;1933;1964;1999;LWR;Power Projection Doctrine;Medium;M533061;X
565062;Chief of Air Force;Fred Scamaroni;1941;1964;1999;SL;Army Aviation Doctrine;Medium;M533062;X
565063;Chief of Air Force;Augustino de Souza;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M533063;X
565064;Chief of Air Force;Auguste Denise;1933;1964;1999;LWR;Air Superiority Doctrine;Medium;M533064;X
