POR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
20080;Chief of Staff;Tomás Garcia Rosado;1917;1933;1999;ML;School of Mass Combat;Medium;2955;X
20081;Chief of Staff;João Pereira Bastos;1924;1933;1999;ML;School of Fire Support;Medium;2956;X
20082;Foreign Minister;Bernadino Machado;1914;1933;1999;SD;Great Compromiser;Medium;2961;X
20083;Foreign Minister;António Caetano Macieira Júnior;1914;1933;1999;ML;Biased Intellectual;Medium;3945;X
20084;Foreign Minister;António Joaquim Granjo;1914;1933;1999;ML;Great Compromiser;Medium;3946;X
20085;Foreign Minister;Sidónio Pais;1917;1933;1999;PA;General Staffer;Medium;2962;X
20086;Foreign Minister;João de Sousa Barbosa;1917;1933;1999;SC;General Staffer;Medium;2963;X
20087;Head of Government;Teófilo Braga;1914;1933;1999;SL;Silent Workhorse;Medium;2964;X
20088;Head of Government;João Pinheiro Chagas;1914;1933;1999;SL;Silent Workhorse;Medium;3947;X
20089;Head of Government;Afonso Augusto da Costa;1914;1933;1999;SD;Political Protege;Medium;2965;X
20090;Head of Government;Vitor Hugo de Azevedo Coutinho;1915;1933;1999;SD;Old General;Medium;1040;X
20091;Head of Government;Joaquim Pimenta de Castro;1916;1933;1999;SC;Old General;Medium;2966;X
20092;Head of Government;Sidónio Pais;1917;1933;1999;PA;Old General;Medium;2962;X
20093;Head of Government;Alfredo de Sá Cardoso;1919;1933;1999;SC;Old General;Medium;2967;X
20094;Head of Government;Antonio Maria da Silva;1920;1933;1999;SD;Silent Workhorse;Medium;2968;X
20095;Head of Government;José Mendes Cabeçadas;1924;1933;1999;ML;Political Protege;Medium;2969;X
20096;Head of Government;Vitorino Guimarães;1925;1933;1999;ML;Old General;Medium;2970;X
20097;Head of Military Intelligence;João Pereira Bastos;1914;1933;1999;ML;Logistics Specialist;Medium;2956;X
20098;Head of Military Intelligence;Alves Roçadas;1915;1933;1999;ML;Technical Specialist;Medium;2971;X
20099;Head of Military Intelligence;Sidónio Pais;1917;1933;1999;PA;Logistics Specialist;Medium;2962;X
20100;Head of Military Intelligence;Amilcar Abreu e Mota;1918;1933;1999;PA;Dismal Enigma;Medium;2972;X
20101;Head of Military Intelligence;Amilcar Abreu e Mota;1918;1933;1999;ML;Dismal Enigma;Medium;2972;X
20102;Head of Military Intelligence;João de Sousa Barbosa;1918;1933;1999;SC;Logistics Specialist;Medium;2963;X
20103;Head of Military Intelligence;António Maria Baptista;1919;1933;1999;SC;Logistics Specialist;Medium;2973;X
20104;Head of State;Emanuel II;1914;1933;1999;PA;Insignificant Layman;Medium;2974;X
20105;Head of State;Manuel d'Arriaga;1914;1933;1999;ML;Weary Stiffneck;Medium;2975;X
20106;Head of State;Bernadino Machado;1915;1933;1999;SD;Die-hard Reformer;Medium;2961;X
20107;Head of State;Sidónio Pais;1917;1933;1999;PA;Resigned Generalissimo;Medium;2962;X
20108;Head of State;João do Canto e Castro;1918;1933;1999;PA;Resigned Generalissimo;Medium;2959;X
20109;Head of State;António José de Almeida;1919;1933;1999;SC;Barking Buffoon;Medium;2976;X
20110;Head of State;António Óscar Carmona;1924;1933;1999;SC;Popular Figurehead;Medium;2977;X
20111;Minister of Armament;Antonio Maria da Silva;1914;1933;1999;SD;Resource Industrialist;Medium;2968;X
20112;Minister of Armament;Sidónio Pais;1914;1933;1999;ML;Infantry Proponent;Medium;2962;X
20113;Minister of Armament;Afonso Augusto da Costa;1914;1933;1999;ML;Administrative Genius;Medium;2965;X
20114;Minister of Armament;José Norton de Matos;1914;1933;1999;SC;Infantry Proponent;Medium;1026;X
20115;Minister of Security;António José de Almeida;1914;1933;1999;SC;Crime Fighter;Medium;2976;X
20116;Minister of Security;Afonso Augusto da Costa;1914;1933;1999;SD;Silent Lawyer;Medium;2965;X
20117;Minister of Security;Alvaro de Castro;1914;1933;1999;ML;Silent Lawyer;Medium;2979;X
20118;Minister of Security;Alexandre Braga;1915;1933;1999;PA;Crime Fighter;Medium;3948;X
20119;Minister of Security;Artur de Almeida Ribeiro;1917;1933;1999;PA;Prince of terror;Medium;unknownminister;X
20120;Minister of Security;Alfredo de Sá Cardoso;1919;1933;1999;SC;Silent Lawyer;Medium;2967;X
20121;Minister of Security;Marcelo Caetano;1944;1964;1999;PA;Man of the People;High;6085;x 
20122;Minister of Security;Alberto Monsaraz;1933;1964;1999;FA;Prince of Terror;High;6086;x
20123;Head of Government;Francisco Rolao Preto;1932;1964;1999;FA;Ambitious Union Boss;High;6087;x
20124;Head of Government;Bernadino Machado;1914;1933;1999;SD;Ambitious Union Boss;High;2961;X
20125;Chief of Navy;Eduardo Augusto Neuparth;1914;1933;1999;ML;Decisive Naval Battle Doctrine;Medium;9643;X
20126;Chief of Navy;Jose Jaoquim Xavier de Brito;1915;1932;1999;SC;Open Seas Doctrine;High;9644;X
