ROM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
110195;Minister of Security;Ion Camarasescu;1921;1933;1999;SC;Silent Lawyer;Medium;3024;X
110196;Head of Government;Ion I.C. Bratianu;1910;1964;1999;SC;Silent Workhorse;High;3018;X
110197;Head of Government;Alexandru Vaida-Voevod;1919;1950;1999;SC;Naive Optimist;Medium;3002;X
110198;Head of Government;Ion Gh. Duca;1922;1934;1999;ML;Ambitious Union Boss;Medium;3007;X
110199;Minister of Security;Gheorghe Mironescu;1928;1949;1999;SD;Silent Lawyer;Medium;9669;X
110200;Minister of Security;Ion C. Inculet;1917;1940;1999;SD;Silent Lawyer;Medium;9670;X
110201;Head of Government;Constantin I. Angelescu;1914;1948;1999;SD;Silent Workhorse;High;9671;X
110202;Minister of Armament;Victor Slavescu;1934;1977;1999;SC;Resource Industrialist;High;9672;X
110203;Minister of Armament;Gheorghe Tatarescu;1934;1964;1999;SC;Balanced budget economy;High;M22002;X
110204;Minister of Armament;Victor Antonescu;1935;1947;1999;SC;Laissez-Faire Capitalist;Medium;9673;X
110205;Minister of Security;Dumitru Iuca;1936;1940;1999;SC;Silent Lawyer;Medium;9674;X
110206;Minister of Security;Gheorghe Tatarescu;1936;1964;1999;SC;Silent Lawyer;High;M22002;X
110207;Minister of Security;Richard Franasovici;1937;1964;1999;SC;Silent Lawyer;Medium;9675;X
110208;Foreign Minister;Victor Antonescu;1935;1947;1999;SC;Apologetic Clerk;Medium;9673;X
110209;Minister of Armament;Mircea Cancicov;1936;1959;1999;SC;Balanced budget economy;Medium;9676;X
110210;Minister of Armament;Eugen Savu;1937;1964;1999;SC;Resource Industrialist;Medium;9677;X
110211;Minister of Armament;Milita Constantinescu;1939;1964;1999;SC;Balanced budget economy;Medium;9678;X
110212;Minister of Security;Mihail Ghelmegeanu;1939;1964;1999;SC;Silent Lawyer;Medium;9679;X
110213;Minister of Armament;Gheorghe N. Leon;1940;1949;1999;SL;Balanced budget economy;Medium;unknownminister;X
110214;Minister of Security;Constantin Petrovicescu;1940;1964;1999;PA;Efficient Sociopath;Medium;9680;X
110215;Minister of Security;Dumitru I. Popescu;1940;1964;1999;PA;Prince of Terror;High;9681;X
110216;Minister of Armament;Alexandru D. Neagu;1942;1964;1999;PA;Resource Industrialist;Medium;9682;X
110217;Minister of Armament;Gheron Netta;1944;1964;1999;PA;Resource Industrialist;Medium;9683;X
110218;Minister of Security;Nicolae Penescu;1944;1964;1999;SC;Silent Lawyer;Medium;9684;X
110219;Minister of Armament;Mihail Romniceanu;1944;1964;1999;SC;Resource Industrialist;Medium;9685;X
