SPR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
255067;Foreign Minister;Ángel Osorio y Gallardo;1933;1964;1999;SC;Biased Intellectual;High;M11105;X
255068;Foreign Minister;Claudio Sánchez Albornoz;1937;1964;1999;SC;Ideological Crusader;High;M11106;X
255069;Foreign Minister;Manuel de Irujo y Ollo;1938;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M11107;X
255070;Foreign Minister;Jaume Aiguader y Miró;1939;1964;1999;SC;Apologetic Clerk;High;M11108;X
255071;Foreign Minister;Niceto Alcalá-Zamora;1939;1964;1999;SC;Great Compromiser;Low;M11109;X
255072;Foreign Minister;José Martínez de Velasco;1933;1964;1999;PA;Iron Fisted Brute;Low;M11110;X
255073;Foreign Minister;Manuel Jímenez Fernández;1941;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M11013;X
255074;Foreign Minister;Emilio de Palacios y Fau;1943;1964;1999;PA;Ideological Crusader;High;M11112;X
255075;Foreign Minister;Luis Luciá Luciá;1945;1964;1999;PA;Biased Intellectual;Low;M11113;X
255076;Minister of Armament;Vicente Uribe Galdeano;1933;1964;1999;ST;Administrative Genius;Very High;M11114;X
255077;Minister of Armament;Juan Comorera y Soler;1938;1964;1999;ST;Resource Industrialist;Medium;M11026;X
255078;Minister of Armament;Etelvino Vega Martínez;1939;1964;1999;ST;Tank Proponent;Medium;M11116;X
255079;Minister of Armament;Enrique Castro Delgado;1941;1964;1999;ST;Infantry Proponent;High;M11024;X
255080;Minister of Armament;Jesús Hernández y Tomás;1944;1964;1999;ST;Theoretical Scientist;High;M11118;X
255081;Minister of Armament;Juan López Sánchez;1933;1964;1999;LE;Resource Industrialist;Medium;M11119;X
255082;Minister of Armament;Ángel Pestaña;1937;1964;1999;LE;Air to Ground Proponent;High;M11120;X
255083;Minister of Armament;Joaquin Maurín Juliá;1938;1964;1999;LE;Tank Proponent;High;M11081;X
255084;Minister of Armament;Joaquín Ascaso Budriá;1939;1964;1999;LE;Military Entrepreneur;Very High;M11061;X
255085;Minister of Armament;Juan Peiró Belis;1942;1964;1999;LE;Administrative Genius;Medium;M11123;X
255086;Minister of Armament;Federica Monsteny Mané;1943;1964;1999;LE;Theoretical Scientist;Medium;M11124;X
255087;Minister of Armament;Ricardo Sanz García;1944;1964;1999;LE;Infantry Proponent;Medium;M11125;X
255088;Minister of Armament;Indalencio Prieto Tuero;1933;1964;1999;LWR;Military Entrepreneur;High;M11126;X
255089;Minister of Armament;Belamino Tomás Álvarez;1938;1964;1999;LWR;Resource Industrialist;High;M11127;X
255090;Minister of Armament;Fernando de los Ríos Urruti;1939;1964;1999;LWR;Strategic Air Proponent;High;M11128;X
255091;Minister of Armament;Juan Negrín López;1940;1964;1999;LWR;Administrative Genius;High;7998;X
255092;Minister of Armament;Francisco Largo Caballero;1941;1964;1999;LWR;Resource Industrialist;High;M11039;X
255093;Minister of Armament;Felix Gordón Ordás;1943;1964;1999;LWR;laissez-faire capitalist;High;M11132;X
255094;Minister of Armament;Todolfo Llopis Férrandiz;1944;1964;1999;LWR;Infantry Proponent;High;M11133;X
255095;Minister of Armament;José Giral Pereira;1933;1964;1999;SD;Battle Fleet Proponent;High;M11067;X
255096;Minister of Armament;Francisco Méndez Aspe;1938;1964;1999;SD;Resource Industrialist;High;M11135;X
255097;Minister of Armament;Bibiano Fernández Ossorio;1938;1964;1999;SD;Infantry Proponent;High;M11095;X
255098;Minister of Armament;Santiago Casares Quiroga;1939;1964;1999;SD;Submarine Proponent;High;M11137;X
255099;Minister of Armament;Manuel Azaña Díaz;1930;1940;1999;SD;Theoretical Scientist;Medium;7996;X
255100;Minister of Armament;José Larraz Lopez;1941;1964;1999;SD;Keynesian economy;High;M11139;X
255101;Minister of Armament;José Prat García;1942;1964;1999;SD;laissez-faire capitalist;High;M11140;X
255102;Minister of Armament;Carles Pi i Suñer;1945;1964;1999;SD;Administrative Genius;High;M11142;X
255103;Minister of Armament;Miguel Nuñez de Prado;1933;1964;1999;SL;Air to Sea Proponent;Medium;M11143;X
255104;Minister of Armament;Bernardo Giner de los Ríos García;1937;1964;1999;SL;Theoretical Scientist;High;M11144;X
255105;Minister of Armament;Emilio Herrera;1939;1964;1999;SL;Air Superiority Proponent;High;M11145;X
255106;Minister of Armament;Lluis Nicolau d'Olwer;1940;1964;1999;SL;Resource Industrialist;High;M11146;X
255107;Minister of Armament;Alejandro Lerroux García;1945;1964;1999;SL;Administrative Genius;High;M11051;X
255108;Minister of Armament;José Yanguas Messía;1933;1964;1999;SC;Administrative Genius;High;M11150;X
255109;Minister of Armament;Manuel Carrasco i Formiguera;1938;1964;1999;SC;laissez-faire capitalist;High;M11152;X
255110;Minister of Armament;Diego Hidalgo Dúran;1939;1964;1999;SC;Military Entrepreneur;High;M11101;X
255111;Minister of Armament;Ángel Osorio y Gallardo;1941;1964;1999;SC;Theoretical Scientist;High;M11105;X
255112;Minister of Armament;Joaquín Chapaprieta Torregrosa;1945;1964;1999;SC;Balanced budget economy;High;M11155;X
255113;Minister of Armament;José Calvo-Sotelo;1933;1964;1999;PA;laissez-faire capitalist;Very High;M11014;X
255114;Minister of Armament;Luis Luciá Luciá;1937;1964;1999;PA;Resource Industrialist;Low;M11113;X
255115;Minister of Armament;José María Gil-Robles Quiñones;1937;1964;1999;PA;Military Entrepreneur;Medium;M11012;X
255116;Minister of Armament;José María Quinones de Leon;1938;1964;1999;PA;Tank Proponent;Medium;M11159;X
255117;Minister of Armament;Juan March Ordinas;1939;1964;1999;PA;Administrative Genius;High;M11160;X
255118;Minister of Security;Vicente Uribe Galdeano;1933;1964;1999;ST;Man of the People;Very High;M11114;X
255119;Minister of Security;Dolores Ibáurri Gómez;1937;1964;1999;ST;Efficient Sociopath;High;M11162;X
255120;Minister of Security;Valentín González González;1938;1964;1999;ST;Back Stabber;Medium;M11163;X
255121;Minister of Security;Margarita Nelken;1938;1964;1999;ST;Compassionate Gentleman;Medium;M11077;X
255122;Minister of Security;José Díaz Ramos;1939;1964;1999;ST;Man of the People;High;M11021;X
255123;Minister of Security;Antonio Mije;1941;1964;1999;ST;Prince of Terror;Medium;M11166;X
255124;Minister of Security;Joaquín Grimau García;1942;1964;1999;ST;Efficient Sociopath;High;M11167;X
255125;Minister of Security;Santiago Carrillo Solares;1942;1964;1999;ST;Prince of Terror;Very High;M11059;X
255126;Minister of Security;José Expósito Leiva;1933;1964;1999;LE;Silent Lawyer;Medium;M11169;X
255127;Minister of Security;Melchor Rodríguez de Galdeano;1937;1964;1999;LE;Crime Fighter;High;M11170;X
255128;Minister of Security;Andreu Nin i Pérez;1937;1964;1999;LE;Compassionate Gentleman;High;M11080;X
255129;Minister of Security;Eduardo de Guzmán;1938;1964;1999;LE;Silent Lawyer;High;M11082;X
255130;Minister of Security;Juan García Oliver;1942;1964;1999;LE;Man of the People;High;M11174;X
255131;Minister of Security;Buenaventura Durruti Dumange;1945;1964;1999;LE;Prince of Terror;High;M11175;X
255132;Minister of Security;Julián Zugazagoitia Mendieta;1933;1964;1999;LWR;Compassionate Gentleman;High;M11176;X
255133;Minister of Security;Ángel Galarza y Gago;1933;1964;1999;LWR;Prince of Terror;High;M11177;X
255134;Minister of Security;Antonio Ortega Gutiérrez;1937;1964;1999;LWR;Efficient Sociopath;High;M11178;X
255135;Minister of Security;Ramon Gonzalez Peña;1938;1964;1999;LWR;Crime Fighter;Medium;M11179;X
255136;Minister of Security;Victoria Kent;1940;1964;1999;LWR;Man of the People;High;M11086;X
255137;Minister of Security;Wenceslao Carrillo Forjador;1941;1964;1999;LWR;Man of the People;Medium;M11181;X
255138;Minister of Security;Santiago Casares Quiroga;1933;1964;1999;SD;Prince of Terror;High;M11137;X
255139;Minister of Security;Amós Salvador Carreras;1938;1964;1999;SD;Man of the People;High;M11183;X
255140;Minister of Security;Sebastián Pozas Perea;1940;1964;1999;SD;Crime Fighter;High;M11093;X
255141;Minister of Security;Marcelino Domingo Sanjuán;1943;1964;1999;SD;Compassionate Gentleman;Medium;M11185;X
255142;Minister of Security;Alejandro Lerroux García;1933;1964;1999;SL;Crooked Kleptocrat;High;M11051;X
255143;Minister of Security;Diego Martínez Barrio;1937;1964;1999;SL;Prince of Terror;High;M11069;X
255144;Minister of Security;Julio López Olivan;1938;1964;1999;SL;Back Stabber;Medium;M11188;X
255145;Minister of Security;Pablo de Azcárate y Flores;1938;1964;1999;SL;Man of the People;Medium;M11189;X
255146;Minister of Security;José Martínez de Velasco;1933;1964;1999;SC;Crime Fighter;Low;M11110;X
255147;Minister of Security;Manuel de Irujo y Ollo;1938;1964;1999;SC;Man of the People;Medium;M11107;X
255148;Minister of Security;Ángel Osorio y Gallardo;1940;1964;1999;SC;Prince of Terror;High;M11105;X
255149;Minister of Security;Federico Escofet Alsina;1941;1964;1999;SL;Crime Fighter;Medium;M11194;X
255150;Minister of Security;Miguel Maura Gamazo;1943;1964;1999;SC;Compassionate Gentleman;Medium;M11073;X
255151;Minister of Security;Mariano Gómez;1946;1964;1999;SC;Crime Fighter;High;M11197;X
255152;Minister of Security;Tomás Garciano Goñi;1933;1964;1999;PA;Compassionate Gentleman;Medium;M11015;X
255153;Minister of Security;José María Quinones de Leon;1939;1964;1999;PA;Prince of Terror;Medium;M11199;X
255154;Head of Military Intelligence;Rafael Videlia Rubio;1933;1964;1999;ST;Industrial Specialist;Medium;M11200;X
255155;Head of Military Intelligence;Jesús Hernández y Tomás;1938;1964;1999;ST;Technical Specialist;High;M11023;X
255156;Head of Military Intelligence;Santiago Carrillo Solares;1940;1964;1999;ST;Political Specialist;Medium;M11202;X
255157;Head of Military Intelligence;Daniel Ortega Martínez;1941;1964;1999;ST;Logistics Specialist;High;M11203;X
255158;Head of Military Intelligence;Juan Comorera y Soler;1945;1964;1999;ST;Dismal Enigma;Medium;M11204;X
255159;Head of Military Intelligence;Federica Monsteny Mané;1933;1964;1999;LE;Technical Specialist;Medium;M11124;X
255160;Head of Military Intelligence;Mariano Vázquez Rodríguez;1937;1964;1999;LE;Dismal Enigma;Very High;M11206;X
255161;Head of Military Intelligence;Juan López Sánchez;1938;1964;1999;LE;Industrial Specialist;Medium;M11119;X
255162;Head of Military Intelligence;Ángel Pestaña;1941;1964;1999;LE;Political Specialist;Low;M11208;X
255163;Head of Military Intelligence;Julian Gorkin Gómez García;1943;1964;1999;LE;Naval Intelligence Specialist;Medium;M11209;X
255164;Head of Military Intelligence;Ricardo Sanz García;1945;1964;1999;LE;Logistics Specialist;Medium;M11210;X
255165;Head of Military Intelligence;Gustavo Durán Martínez;1933;1964;1999;LWR;Logistics Specialist;High;M11211;X
255166;Head of Military Intelligence;Felix Gordón Ordás;1939;1964;1999;LWR;Industrial Specialist;High;M11132;X
255167;Head of Military Intelligence;Juan Hernández Sarabia;1941;1964;1999;LWR;Technical Specialist;Medium;7385;X
255168;Head of Military Intelligence;Alvaro de Albornoz Liminiana;1943;1964;1999;LWR;Dismal Enigma;Medium;M11038;X
255169;Head of Military Intelligence;Manuel Torres Campaña;1933;1964;1999;SD;Industrial Specialist;Medium;M11215;X
255170;Head of Military Intelligence;Francisco Méndez Aspe;1937;1964;1999;SD;Political Specialist;High;M11135;X
255171;Head of Military Intelligence;Benjamín Balboa López;1938;1964;1999;SD;Naval Intelligence Specialist;Medium;M11217;X
255172;Head of Military Intelligence;Josep Tarradellas y Joan;1939;1964;1999;SD;Industrial Specialist;Medium;M11218;X
255173;Head of Military Intelligence;José Giral Pereira;1943;1964;1999;SD;Technical Specialist;High;M11220;X
255174;Head of Military Intelligence;Manuel Estrada Manchón;1933;1964;1999;SL;Logistics Specialist;Low;M11219;X
255175;Head of Military Intelligence;Alejandro Lerroux García;1939;1964;1999;SL;Dismal Enigma;High;M11051;X
255176;Head of Military Intelligence;Ricardo Samper Ibáñez;1933;1964;1999;SC;Political Specialist;Medium;M11104;X
255177;Head of Military Intelligence;Juan March Ordinas;1938;1964;1999;SC;Dismal Enigma;High;M11160;X
255178;Head of Military Intelligence;Diego Hidalgo Dúran;1939;1964;1999;SC;Technical Specialist;High;M11101;X
255179;Head of Military Intelligence;Manuel Matallana Gómez;1941;1964;1999;SC;Logistics Specialist;Medium;M11228;X
255180;Head of Military Intelligence;Joaquín Chapaprieta Torregrosa;1945;1964;1999;SC;Industrial Specialist;High;M11155;X
255181;Head of Military Intelligence;Luis Orgaz Yoldi;1933;1964;1999;PA;Logistics Specialist;High;M11016;X
255182;Head of Military Intelligence;Luis Luciá Luciá;1937;1964;1999;PA;Industrial Specialist;Low;M11113;X
255183;Chief of Staff;Frank Ryan;1933;1964;1999;ST;School of Mass Combat;Very High;M11234;X
255184;Chief of Staff;Emilio Kléber;1937;1964;1999;ST;School of Defence;Very High;M11235;X
255185;Chief of Staff;Enrique Líster Forján;1938;1964;1999;ST;School of Psychology;Very High;M11236;X
255186;Chief of Staff;Juan Modesto Guilloto;1938;1964;1999;ST;School of Mass Combat;Very High;M11237;X
255187;Chief of Staff;Antonio Cordón García;1938;1964;1999;ST;School of Defence;Very High;M11238;X
255188;Chief of Staff;Manuel Tagüeña Lacorte;1939;1964;1999;ST;School of Manoeuvre;Very High;M11027;X
255189;Chief of Staff;Francisco Galán Rodríguez;1939;1964;1999;ST;School of Fire Support;Very High;M11240;X
255190;Chief of Staff;Vicente Guarner Vivancos;1933;1964;1999;LE;School of Fire Support;High;M11241;X
255191;Chief of Staff;Miguel García Vivancos;1937;1964;1999;LE;School of Manoeuvre;High;M11242;X
255192;Chief of Staff;Francisco Ascaso Budría;1938;1964;1999;LE;School of Mass Combat;High;M11243;X
255193;Chief of Staff;Cipriano Mera Sanz;1941;1964;1999;LE;School of Psychology;Medium;M11244;X
255194;Chief of Staff;Buenaventura Durruti Dumange;1943;1964;1999;LE;School of Defence;Medium;M11245;X
255195;Chief of Staff;Gustavo Durán Martínez;1933;1964;1999;LWR;School of Psychology;High;M11211;X
255196;Chief of Staff;Vicente Rojo Lluch;1937;1964;1999;LWR;School of Manoeuvre;Very High;M11247;X
255197;Chief of Staff;Juan Hernández Sarabia;1938;1964;1999;LWR;School of Fire Support;High;7385;X
255198;Chief of Staff;Arturo Mena Roig;1938;1964;1999;LWR;School of Mass Combat;Very High;M11249;X
255199;Chief of Staff;Juan Perea Capulino;1939;1964;1999;LWR;School of Defence;High;M11250;X
255200;Chief of Staff;Sebastián Pozas Perea;1933;1964;1999;SD;School of Defence;High;M11093;X
255201;Chief of Staff;Enrique Jurado Barrio;1938;1964;1999;SD;School of Fire Support;High;M11253;X
255202;Chief of Staff;Carlos Masquelet Lacaci;1941;1964;1999;SD;School of Defence;High;M11254;X
255203;Chief of Staff;Luis Castelló Pantoja;1945;1964;1999;SD;School of Psychology;High;M11255;X
255204;Chief of Staff;Toribio Martínez Cabrera;1933;1964;1999;SL;School of Mass Combat;Medium;M11252;X
255205;Chief of Staff;Manuel Estrada Manchón;1938;1964;1999;SL;School of Psychology;High;M11219;X
255206;Chief of Staff;Domingo Batet Mestre;1940;1964;1999;SC;School of Psychology;Medium;M11262;X
255207;Chief of Staff;Luís Orgaz Yoldi;1942;1964;1999;PA;School of Defence;Medium;M11016;X
255208;Chief of Staff;Joaquin Fanjul Goñi;1943;1964;1999;PA;School of Psychology;Medium;M11265;X
255209;Chief of Army;Manuel Tagüeña Lacorte;1933;1964;1999;ST;Elastic Defence Doctrine;Very High;M11266;X
255210;Chief of Army;Enrique Líster Forján;1937;1964;1999;ST;Decisive Battle Doctrine;Very High;M11028;X
255211;Chief of Army;Juan Modesto Guilloto;1938;1964;1999;ST;Guns and Butter Doctrine;Very High;M11237;X
255212;Chief of Army;Antonio Cordón García;1938;1964;1999;ST;Static Defence Doctrine;Very High;M11238;X
255213;Chief of Army;Etelvino Vega Martínez;1939;1964;1999;ST;Armoured Spearhead Doctrine;Medium;M11116;X
255214;Chief of Army;Cipriano Mera Sanz;1933;1964;1999;LE;Static Defence Doctrine;Medium;M11244;X
255215;Chief of Army;Vicente Guarner Vivancos;1937;1964;1999;LE;Elastic Defence Doctrine;High;M11241;X
255216;Chief of Army;Miguel García Vivancos;1938;1964;1999;LE;Armoured Spearhead Doctrine;High;M11242;X
255217;Chief of Army;Francisco Ascaso Budría;1941;1964;1999;LE;Guns and Butter Doctrine;High;M11243;X
255218;Chief of Army;Buenaventura Durruti Dumange;1943;1964;1999;LE;Decisive Battle Doctrine;Medium;M11245;X
255219;Chief of Army;Juan Hernández Sarabia;1933;1964;1999;LWR;Guns and Butter Doctrine;High;7385;X
255220;Chief of Army;Vicente Rojo Lluch;1937;1964;1999;LWR;Decisive Battle Doctrine;Very High;M11247;X
255221;Chief of Army;Gustavo Durán Martínez;1938;1964;1999;LWR;Armoured Spearhead Doctrine;High;M11211;X
255222;Chief of Army;Arturo Mena Roig;1940;1964;1999;LWR;Elastic Defence Doctrine;Very High;M11249;X
255223;Chief of Army;Juan Perea Capulino;1940;1964;1999;LWR;Static Defence Doctrine;High;M11250;X
255224;Chief of Army;Sebastián Pozas Perea;1933;1964;1999;SD;Static Defence Doctrine;High;M11093;X
255225;Chief of Army;Manuel Azaña Díaz;1930;1940;1999;SD;Guns and Butter Doctrine;Medium;7996;X
255226;Chief of Army;Enrique Jurado Barrio;1938;1964;1999;SD;Decisive Battle Doctrine;High;M11253;X
255227;Chief of Army;Luis Castelló Pantoja;1940;1964;1999;SD;Elastic Defence Doctrine;High;M11255;X
255228;Chief of Army;Manuel Estrada Manchón;1933;1964;1999;SL;Elastic Defence Doctrine;High;M11219;X
255229;Chief of Army;Carlos Masquelet Lacaci;1941;1964;1999;SL;Static Defence Doctrine;High;M11254;X
255230;Chief of Army;Toribio Martínez Cabrera;1943;1964;1999;SL;Guns and Butter Doctrine;Medium;M11252;X
255231;Chief of Army;José Antonio de Aguirre y Lecube;1933;1964;1999;SC;Guns and Butter Doctrine;High;M11290;X
255232;Chief of Army;José Miaja Menant;1933;1964;1999;SC;Decisive Battle Doctrine;High;7386;X
255233;Chief of Army;Domingo Batet Mestre;1940;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M11262;X
255234;Chief of Army;Antonio Aranda Mata;1933;1964;1999;PA;Static Defence Doctrine;Low;M11018;X
255235;Chief of Army;José María Gil-Robles Quiñones;1939;1964;1999;PA;Guns and Butter Doctrine;Medium;M11012;X
255236;Chief of Army;Joaquin Fanjul Goñi;1941;1964;1999;PA;Static Defence Doctrine;Medium;M11265;X
255237;Chief of Navy;Vicente Uribe Galdeano;1933;1964;1999;ST;Base Control Doctrine;Medium;M11114;X
255238;Chief of Navy;Pedro Fernández Checa;1938;1964;1999;ST;Decisive Naval Battle Doctrine;Medium;M11299;X
255239;Chief of Navy;Francisco Galán Rodríguez;1938;1964;1999;ST;Open Seas Doctrine;Medium;M11029;X
255240;Chief of Navy;Pedro Prado Mendizábal;1939;1964;1999;ST;Indirect Approach Doctrine;Medium;M11301;X
255241;Chief of Navy;Juan Peiró Belis;1933;1964;1999;LE;Base Control Doctrine;Medium;M11123;X
255242;Chief of Navy;Juan López Sánchez;1937;1964;1999;LE;Indirect Approach Doctrine;Medium;M11119;X
255243;Chief of Navy;Bruno Alonso;1933;1964;1999;LWR;Base Control Doctrine;High;M11304;X
255244;Chief of Navy;Joaquín Julio Maurín;1937;1964;1999;LWR;Power Projection Doctrine;High;M11305;X
255245;Chief of Navy;Luís González Ubieta;1938;1964;1999;LWR;Indirect Approach Doctrine;High;M11306;X
255246;Chief of Navy;Indalecio Prieto Tuero;1939;1964;1999;LWR;Open Seas Doctrine;High;M11307;X
255247;Chief of Navy;Andres Saborit Colomer;1940;1964;1999;LWR;Decisive Naval Battle Doctrine;High;M11308;X
255248;Chief of Navy;José Giral Pereira;1933;1964;1999;SD;Open Seas Doctrine;High;M11220;X
255249;Chief of Navy;Lluis Companys i Jover;1937;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M11310;X
255250;Chief of Navy;Santiago Casares Quiroga;1941;1964;1999;SD;Power Projection Doctrine;High;M11137;X
255251;Chief of Navy;Antonio Ruíz Funes-García;1939;1964;1999;SL;Base Control Doctrine;Medium;M11314;X
255252;Chief of Navy;Miguel Buiza Palacios;1933;1964;1999;SC;Indirect Approach Doctrine;Medium;M11311;X
255253;Chief of Navy;Miguel Maura Gamazo;1938;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M11073;X
255254;Chief of Navy;Francisco Nunez de Olaneta;1933;1964;1999;PA;Base Control Doctrine;High;M11019;X
255255;Chief of Air Force;Ignacio Hidalgo de Cisneros;1933;1964;1999;LWR;Air Superiority Doctrine;High;M11030;X
255256;Chief of Air Force;Pedro Fernández Checa;1938;1964;1999;ST;Army Aviation Doctrine;Medium;M11299;X
