BUL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
95208;Minister of Armament;Dimitar Blagoev;1914;1933;1999;ST;Resource Industrialist;High;2277;X
95209;Minister of Armament;Stoyan Danev;1918;1933;1999;ML;Resource Industrialist;High;2265;X
95210;Minister of Armament;Rayko Daskalov;1920;1933;1999;LWR;Military Entrepreneur;High;2283;X
95211;Minister of Armament;Georgi Dimitrov;1914;1933;1999;ST;Military Entrepreneur;High;2257;X
95212;Minister of Armament;Ivan Evstratiev Geshov;1914;1933;1999;SC;Administrative Genius;High;2267;X
95213;Minister of Armament;Todor Ivanchov;1914;1933;1999;ML;Laissez-Faire Capitalist;High;2284;X
95214;Minister of Armament;Andrey Tasev Lyapchev;1914;1933;1999;ML;Laissez-Faire Capitalist;High;2285;X
95215;Minister of Armament;Ivan Salabashev;1914;1933;1999;SC;Theoretical Scientist;High;2286;X
95216;Minister of Armament;Teodor Teodorov;1914;1933;1999;SC;Resource Industrialist;High;2276;X
95217;Minister of Armament;Petar Todorov;1923;1935;1999;PA;Resource Industrialist;High;2287;X
95218;Minister of Armament;Dimitar Tonchev;1914;1933;1999;ML;Resource Industrialist;High;2288;X
95219;Minister of Armament;Marko Tourlakov;1920;1933;1999;LWR;Corrupt Kleptocrat;High;2289;X
95220;Minister of Armament;Petar Yanev;1923;1933;1999;LWR;Resource Industrialist;High;2290;X
95221;Minister of Security;Rayko Daskalov;1922;1933;1999;LWR;Silent Lawyer;High;2283;X
95222;Minister of Security;Aleksandar Dimitrov;1919;1933;1999;LWR;Silent Lawyer;High;2291;X
95223;Minister of Security;Nikola Genadiev;1914;1933;1999;ML;Silent Lawyer;High;2266;X
95224;Minister of Security;Petar Gudev;1914;1933;1999;ML;Crime Fighter;High;2278;X
95225;Minister of Security;Vasil Kolarov;1914;1933;1999;ST;Silent Lawyer;High;2269;X
95226;Minister of Security;Aleksandar Lyudskanov;1902;1933;1999;ML;Silent Lawyer;High;2292;X
95227;Minister of Security;Mihail Madzharov;1914;1933;1999;SC;Silent Lawyer;High;2270;X
95228;Minister of Security;Nikola Mushanov;1914;1933;1999;ML;Silent Lawyer;High;2293;X
95229;Minister of Security;Aleksandar Obbov;1923;1933;1999;LWR;Silent Lawyer;High;2294;X
95230;Minister of Security;Krastyu Pastuhov;1919;1933;1999;SD;Man of the People;High;2295;X
95231;Minister of Security;Racho Petrov;1914;1933;1999;ML;Silent Lawyer;High;2272;X
95232;Minister of Security;Hristo Popov;1914;1933;1999;ML;Silent Lawyer;High;2296;X
95233;Minister of Security;Aleksandar Radolov;1914;1933;1999;LWR;Silent Lawyer;High;2297;X
95234;Minister of Security;Vasil Radoslavov;1914;1933;1999;ML;Prince of Terror;Very High;2273;X
95235;Minister of Security;Ivan Rusev;1923;1933;1999;PA;Crime Fighter;High;2298;X
95236;Minister of Security;Hristo Stoyanov;1923;1933;1999;LWR;Silent Lawyer;High;2299;X
95237;Minister of Security;Konstantin Tomov;1921;1933;1999;LWR;Silent Lawyer;High;2300;X
95238;Chief of Army;Nikola Zhekov;1914;1933;1999;PA;Decisive Battle Doctrine;Very High;2264;X
95239;Chief of Staff;Pravoslav Tenev;1914;1933;1999;SC;School of Fire Support;High;2252;X
95240;Head of State;Boris III;1914;1933;1999;SC;Autocratic Charmer;High;8657;X
95241;Head of Government;Nikola Mushanov;1931;1964;1999;SC;Silent Workhorse;High;M19015;X
95242;Foreign Minister;Nikola Mushanov;1931;1964;1999;SC;Biased Intellectual;High;M19015;X
95243;Foreign Minister;Sava Kirov;1941;1964;1999;PA;Biased Intellectual;Low;M19079;X
95244;Minister of Armament;Stefan Stefanov;1931;1964;1999;SC;Planned economy proponent;High;660;X
95245;Foreign Minister;Kimon Georgiev;1934;1964;1999;LWR;General Staffer;Medium;M19059;X
95246;Minister of Security;Petar Midilev;1934;1964;1999;SC;Man of the People;High;3718;X
95247;Head of Government;Pencho Zlatev;1935;1964;1999;PA;Old General;High;9661;X
95248;Foreign Minister;Konstantin Batolov;1935;1939;1999;SC;Apologetic Clerk;High;9662;X
95249;Minister of Armament;Mihail Kalenderov;1935;1964;1999;SC;Resource Industrialist;High;9663;X
95250;Minister of Security;Krum Kolev;1935;1964;1999;SC;Efficient Sociopath;Medium;9664;X
95251;Head of Government;Andrey Toshev;1935;1964;1999;SC;Silent Workhorse;Medium;9665;X
95252;Minister of Armament;Marko Ryaskov;1935;1964;1999;SC;laissez-faire capitalist;Medium;9666;X
95253;Minister of Security;Rashko Atanasov;1935;1945;1999;SC;Prince of Terror;Medium;9667;X
95254;Minister of Armament;Stoycho Moshanov;1935;1964;1999;SC;Resource Industrialist;Medium;9668;X
