IRQ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
365117;Chief of Army;John Bagot Glubb;1946;1964;1999;PA;Decisive Battle Doctrine;High;M91124;X
365118;Chief of Army;Ghazi I ibn Faysal;1933;1940;1999;PA;Guns and Butter Doctrine;High;M91001;X
365119;Chief of Army;Nuri as Said;1914;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M91003;X
365120;Chief of Army;Amir al Illah;1944;1964;1999;PA;Static Defence Doctrine;Medium;M91035;X
365121;Chief of Army;Faysal II ibn Ghazi;1945;1964;1999;PA;Static Defence Doctrine;High;M91039;X
365122;Chief of Army;Fawsi al Kaukji;1933;1964;1999;FA;Static Defence Doctrine;Medium;M91014;X
365123;Chief of Army;Abdullah;1941;1964;1999;FA;Elastic Defence Doctrine;Medium;M91028;X
365124;Chief of Army;Arshad al Umari;1933;1964;1999;LWR;Guns and Butter Doctrine;Medium;M91027;X
365125;Chief of Navy;Hamdi al Pachachi;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Low;M91049;X
365126;Chief of Navy;Jamil al Midfai;1946;1964;1999;PA;Indirect Approach Doctrine;Medium;M91047;X
365127;Chief of Navy;Ali Mahmud al Shaykh;1933;1964;1999;FA;Indirect Approach Doctrine;Medium;M91019;X
365128;Chief of Navy;Taha al Ahmani;1933;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M91029;X
365129;Chief of Air Force;Alan Rawlinson;1941;1964;1999;SC;Army Aviation Doctrine;Medium;M91164;X
365130;Chief of Air Force;Amir al Illah;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M91035;X
365131;Chief of Air Force;Abdullah al-Tell;1940;1964;1999;PA;Naval Aviation Doctrine;Medium;M91166;X
365132;Chief of Air Force;Jamil al Midfai;1944;1964;1999;PA;Carpet Bombing Doctrine;Medium;M91047;X
365133;Chief of Air Force;Faysal II ibn Ghazi;1946;1964;1999;PA;Vertical Envelopment Doctrine;High;M91039;X
365134;Chief of Air Force;Fahmi Sa'id;1933;1964;1999;FA;Air Superiority Doctrine;Medium;M91020;X
365135;Chief of Air Force;Khaled al Dalabeeh;1933;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M91030;X
365136;Head of State;Rashid Ali al-Gaylani;1941;1964;1999;FA;Powerhungry Demagogue;High;M91011;X
365137;Chief of Navy;Rashid Ali al-Gaylani;1946;1964;1999;FA;Power Projection Doctrine;Medium;M91011;X
365138;Head of Government;Hikmet Suleyman;1933;1964;1999;PA;Naive Optimist;High;M91054;X
365140;Head of Government;Jamil al Midfai;1941;1964;1999;PA;Smiling Oilman;High;M91047;X
365141;Head of Government;Nuri as Said;1941;1964;1999;PA;Ambitious Union Boss;High;M91003;X
365142;Head of Government;Nuri as Said;1946;1964;1999;PA;Flamboyant Tough Guy;High;M91003;X
365143;Head of State;Rashid Ali al-Gaylani;1933;1964;1999;FA;Powerhungry Demagogue;High;M91011;X
365145;Head of State;Yahya Hamudeh;1933;1964;1999;ST;Barking Buffoon;High;M91021;X
365146;Head of Government;Yahya Hamudeh;1933;1964;1999;ST;Backroom Backstabber;High;M91021;X
365147;Head of Government;Muhammad as Sadr;1948;1964;1999;PA;Naive Optimist;High;M91179;X
365148;Head of Government;Muzahim al Bayyaji;1948;1964;1999;SC;Corporate Suit;High;M91180;X
365149;Head of Government;Ali Jawdat;1934;1964;1999;PA;Backroom Backstabber;High;M91064;X
365150;Head of Government;Tawfiq al Suwaidi;1950;1964;1969;PA;Ambitious Union Boss;High;M91056;X
365151;Head of Government;Nurreddin Mahmud;1952;1964;1999;PA;Old General;High;M91183;X
365152;Head of Government;Mustafa al Umari;1952;1964;1999;ML;Silent Workhorse;High;M91184;X
365153;Head of Government;Muhamed Fadhel al-Jamali;1953;1964;1999;SC;Happy Amateur;High;M91185;X
365154;Head of Military Intelligence;Nurreddin Mahmud;1945;1964;1999;PA;Logistics Specialist;Medium;M91183;X
365155;Head of State;Faysal II ibn Ghazi;1946;1964;1999;SC;Benevolent Gentleman;High;M91039;X
365156;Chief of Army;Abdul Rahman Arif;1948;1964;1999;PA;Decisive Battle Doctrine;High;6071;x     
365157;Chief of Staff;Abdul Rahman Arif;1945;1964;1999;PA;School of Fire Support;High;6071;x
365158;Chief of Army;Abdul Rahman Arif;1948;1964;1999;SC;Decisive Battle Doctrine;High;6071;x     
365159;Chief of Staff;Abdul Rahman Arif;1945;1964;1999;SC;School of Fire Support;High;6071;x
365160;Head of State;Faisal I ibn Hussein;1914;1934;1934;SC;Benevolent Gentleman;High;5767;X
365161;Head of State;Faisal I ibn Hussein;1914;1933;1934;FA;Benevolent Gentleman;High;5767;X
365162;Head of Government;Abd Al-Rahman Al-Gillani;1914;1927;1928;SC;backroom backstabber;High;2757;X
365163;Head of Government;Abd al-Muhsin Al-Saadoon;1914;1929;1930;SC;old general;High;2773;X
365164;Head of Government;Jafar Pasha al-Askari;1914;1937;1937;SC;old general;High;2785;X
365165;Foreign Minister;Jafar Pasha al-Askari;1914;1937;1937;SC;general staffer;High;2785;X
365166;Minister of Security;Jafar Pasha al-Askari;1914;1937;1937;SC;efficient sociopath;High;2785;X
365167;Head of Government;Tawfiq al Suwaidi;1929;1932;1933;SC;Ambitious Union Boss;High;M91056;X
365168;Foreign Minister;Tawfiq al Suwaidi;1914;1932;1933;SC;Apologetic Clerk;High;M91056;X
365169;Head of Government;Naji al-Suwaydi;1929;1931;1943;SC;political protege;High;5907;X
365170;Head of Government;Muhammad Naji Shawkat;1932;1933;1981;SC;political protege;High;7528;X
