U10;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyality;Picture Name;X
865022;Minister of Armament;Jan Tinbergen;1933;1964;1999;LWR;Resource Industrialist;Very High;M8084;X
865023;Minister of Armament;Peiter Bergsma;1933;1964;1999;ST;laissez-faire capitalist;Medium;M8102;X
865024;Minister of Armament;Jacques de Kadt;1933;1964;1999;ST;Military Entrepreneur;High;M8081;X
865025;Minister of Armament;Jan Postma;1933;1964;1999;ST;Theoretical Scientist;Low;M8024;X
865026;Minister of Armament;Jacobus Engels;1933;1964;1999;ST;Strategic Air Proponent;High;M8105;X
865027;Minister of Security;Franc van der Goes;1933;1964;1999;LWR;Man of the People;Medium;M8106;X
865028;Minister of Security;Jan Bergmeijer;1933;1964;1999;LWR;Compassionate Gentleman;Medium;M8107;X
865029;Minister of Security;Louis Beel;1933;1964;1999;LWR;Man of the People;Medium;M8044;X
865030;Minister of Security;Charles Guillaume Cramer;1933;1964;1999;LWR;Silent Lawyer;Very High;M8062;X
865031;Minister of Security;Johan Brautigam;1933;1964;1999;LWR;Prince of Terror;Medium;M8110;X
865032;Minister of Security;Fokke Bosman;1933;1964;1999;ST;Compassionate Gentleman;High;M8123;X
865033;Minister of Security;Hendrickus Sneevliet;1933;1964;1999;ST;Man of the People;High;M8124;X
865034;Minister of Security;Daniel Goulooze;1933;1964;1999;ST;Crime Fighter;Low;M8025;X
865035;Head of Military Intelligence;Emanuel Boekman;1933;1964;1999;LWR;Dismal Enigma;Very High;M8126;X
865036;Head of Military Intelligence;Harmen de Boer;1933;1964;1999;LWR;Political Specialist;Very High;M8127;X
865037;Head of Military Intelligence;Charles Guillaume Cramer;1933;1964;1999;LWR;Technical Specialist;Very High;M8062;X
865038;Head of Military Intelligence;Jan Lambertus Faber;1933;1964;1999;LWR;Political Specialist;Very High;M8129;X
865039;Head of Military Intelligence;Willem Drees;1933;1964;1999;LWR;Logistics Specialist;Very High;M8130;X
865040;Head of Military Intelligence;Abraham Menist;1933;1964;1999;ST;Political Specialist;High;M8026;X
865041;Head of Military Intelligence;Ina Willekes-MacDonald;1933;1964;1999;ST;Dismal Enigma;Very High;M8141;X
865042;Chief of Staff;Bernhard Coltof;1933;1964;1999;LWR;School of Psychology;High;M8142;X
865043;Chief of Staff;Thomas Struik;1933;1964;1999;ST;School of Mass Combat;High;M8027;X
865044;Chief of Staff;Geert Sterringa;1933;1964;1999;ST;School of Defence;High;M8152;X
865045;Chief of Staff;Jacobus Engels;1933;1964;1999;ST;School of Psychology;High;M8105;X
865046;Chief of Army;Alexander de Leeuw;1933;1964;1999;ST;Elastic Defence Doctrine;Very High;M8162;X
865047;Chief of Army;Nico van Straaten;1933;1964;1999;ST;Armoured Spearhead Doctrine;Low;M8028;X
865048;Chief of Army;Anthon Koejemans;1933;1964;1999;ST;Guns and Butter Doctrine;Very High;M8164;X
865049;Chief of Navy;Christiaan Beekman;1933;1964;1999;ST;Base Control Doctrine;Low;M8170;X
865050;Chief of Navy;Fokke Bosman;1933;1964;1999;ST;Open Seas Doctrine;High;M8123;X
865051;Chief of Air Force;Petrus W. Best;1933;1964;1999;LWR;Naval Aviation Doctrine;High;M8172;X
865052;Chief of Air Force;Jan Dieters;1933;1964;1999;ST;Vertical Envelopment Doctrine;High;M8041;X
865053;Chief of Air Force;Julius Zegers;1933;1964;1999;ST;Air Superiority Doctrine;Low;M8030;X
865054;Chief of Army;Bernhard Coltof;1933;1964;1999;LWR;Elastic Defence Doctrine;High;M8142;X
865055;Head of State;Wilhelmina;1933;1964;1999;LWR;Stern Imperialist;Very High;M8001;X
865056;Head of State;Juliana;1933;1964;1999;LWR;Popular Figurehead;High;M8186;X
865057;Head of Government;Willem Drees;1933;1964;1999;LWR;Ambitious Union Boss;High;M8130;X
865058;Foreign Minister;Dirk U. Stikker;1933;1964;1999;LWR;Great Compromiser;Medium;M8189;X
865059;Foreign Minister;Jan Willem Beyen;1933;1964;1999;LWR;Apologetic Clerk;Medium;M8190;X
865060;Minister of Armament;Wim Schokking;1933;1964;1999;LWR;Air to Ground Proponent;Medium;M8191;X
865061;Minister of Armament;Louis de Visser;1933;1964;1999;LE;Theoretical Scientist;Medium;M8192;X
865062;Minister of Armament;Kees Staf;1933;1964;1999;LWR;Resource Industrialist;Medium;M8193;X
865063;Minister of Security;Teun Struiken;1933;1964;1999;LWR;Back Stabber;Medium;M8195;X
865064;Minister of Security;Henrik Mulderije;1933;1964;1999;LWR;Crime Fighter;Medium;M8196;X
865065;Minister of Security;Leendert A. Donker;1933;1964;1999;LWR;Compassionate Gentleman;Medium;M8197;X
