OTT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
720071;Foreign Minister;Mustafa Asim Turgut;1908;1937;1999;SC;great compromiser;Medium;unknownminister;X
720072;Foreign Minister;Gabriel Noradunkyan;1908;1936;1999;SC;apologetic clerk;Medium;3754;X
720073;Foreign Minister;Said Halim;1908;1921;1999;SC;biased intellectual;Medium;2902;X
720074;Foreign Minister;Halil;1908;1936;1999;SC;the cloak n dagger schemer;Medium;3755;X
720075;Foreign Minister;Ahmed Nesimi Sayman;1908;1958;1999;SC;iron fisted brute;Medium;unknownminister;X
720076;Foreign Minister;Menemenlizade Mehmed Nabi;1918;1924;1999;SC;general staffer;Medium;3997;X
720077;Foreign Minister;Mustafa Reshit;1918;1924;1999;SC;ideological crusader;Medium;442;X
720078;Foreign Minister;Yusuf Franko;1918;1933;1999;SC;great compromiser;Medium;8709;X
720079;Foreign Minister;Damat Mehmed Ferit;1920;1923;1999;SC;apologetic clerk;Medium;2556;X
720080;Foreign Minister;Abdüllatif Safa;1920;1940;1999;SC;biased intellectual;Medium;unknownminister;X
720081;Foreign Minister;Ahmed Izzet;1920;1937;1999;SC;the cloak n dagger schemer;Medium;2550;X
720082;Minister of Armament;Ömer Rüshtü;1908;1922;1999;SC;infantry proponent;Medium;8720;X
720083;Minister of Armament;Recep;1908;1925;1999;SC;tank proponent;Medium;unknownminister;X
720084;Minister of Armament;Düztaban Ali Riza;1908;1932;1999;SC;military entrepreneur;Medium;2558;X
720085;Minister of Armament;Nazim;1908;1913;1999;SC;air to ground proponent;Medium;443;X
720086;Minister of Armament;Ibrahim Edhem;1908;1922;1999;SC;air to sea proponent;Medium;unknownminister;X
720087;Minister of Armament;Salih Hulusi Kezrak;1908;1939;1999;SC;air superiority proponent;Medium;7753;X
720088;Minister of Armament;Mahmud Shevket;1908;1913;1999;SC;strategic air proponent;Medium;3767;X
720089;Minister of Armament;Hurshit;1908;1922;1999;SC;infantry proponent;Medium;unknownminister;X
720090;Minister of Armament;Ahmed Izzet;1908;1937;1999;SC;air to ground proponent;Medium;2550;X
720091;Minister of Armament;Djürüksulu Mahmud ;1908;1936;1999;SC;air to sea proponent;Medium;2557;X
720092;Minister of Armament;Ismail Enver;1908;1922;1999;PA;air superiority proponent;Medium;3763;X
720093;Minister of Armament;Kölemen Abdullah;1908;1937;1999;SC;infantry proponent;Medium;3765;X
720094;Minister of Armament;Ismail Cevat Djobanli;1908;1938;1999;SC;tank proponent;Medium;3762;X
720095;Minister of Armament;Ömer Yaver;1919;1931;1999;SC;military entrepreneur;Medium;unknownminister;X
720096;Minister of Armament;Damat Ferid;1919;1923;1999;SC;air to ground proponent;Medium;unknownminister;X
720097;Minister of Armament;Abuk Ahmed;1919;1923;1999;SC;air to sea proponent;Medium;unknownminister;X
720098;Minister of Armament;Mehmed Shakir;1919;1919;1999;SC;air superiority proponent;Medium;3777;X
720099;Minister of Armament;Shevket Turgut;1919;1924;1999;SC;strategic air proponent;Medium;8148;X
720100;Minister of Armament;Nazim;1919;1936;1999;SC;tank proponent;Medium;unknownminister;X
720101;Minister of Armament;Süleyman Shefik;1919;1936;1999;SC;military entrepreneur;Medium;8693;X
720102;Minister of Armament;Mersinli Mehmed Cemal ;1919;1941;1999;SC;air to ground proponent;Medium;unknownminister;X
720103;Minister of Armament;Fevzi Djakmak;1920;1950;1999;SC;air superiority proponent;Medium;2561;X
720104;Minister of Armament;Hüseyin Hüsnü;1920;1936;1999;SC;infantry proponent;Medium;3759;X
720105;Minister of Armament;Ziya Kutnak;1920;1940;1999;SC;tank proponent;Medium;8717;X
720106;Minister of Armament;Mehmed Celaleddin;1908;1933;1999;PA;battle fleet proponent;Medium;unknownminister;X
720107;Minister of Armament;Hasan Rami;1908;1923;1999;PA;submarine proponent;Medium;3756;X
720108;Minister of Armament;Alizoti Ibrahim Halil;1908;1923;1999;SC;battle fleet proponent;Medium;unknownminister;X
720109;Minister of Armament;Arif Hikmet;1908;1915;1999;SC;submarine proponent;Medium;unknownminister;X
720110;Minister of Armament;Hüseyin Hüsnü;1908;1926;1999;SC;battle fleet proponent;Medium;3759;X
720111;Minister of Armament;Ali Riza;1908;1932;1999;SC;submarine proponent;Medium;unknownminister;X
720112;Minister of Armament;Emin;1908;1933;1999;SC;battle fleet proponent;Medium;unknownminister;X
720113;Minister of Armament;Salih Hulusi Kezrak;1908;1939;1999;SC;submarine proponent;Medium;7753;X
720114;Minister of Armament;Mahmut Muhtar;1908;1935;1999;SC;battle fleet proponent;Medium;3768;X
720115;Minister of Armament;Hurshid;1908;1934;1999;SC;submarine proponent;Medium;unknownminister;X
720116;Minister of Armament;Djürüksulu Mahmud ;1908;1933;1999;SC;battle fleet proponent;Medium;2557;X
720117;Minister of Armament;Ahmed Cemal;1908;1922;1999;PA;submarine proponent;Medium;2548;X
720118;Minister of Armament;Hüseyin Rauf;1908;1964;1999;SC;submarine proponent;Medium;3760;X
720119;Minister of Armament;Ali Riza;1908;1932;1999;SC;battle fleet proponent;Medium;unknownminister;X
720120;Minister of Armament;Mehmed Shakir;1908;1933;1999;SC;submarine proponent;Medium;3777;X
720121;Minister of Armament;Ahmed Avni ;1908;1935;1999;SC;battle fleet proponent;Medium;2547;X
720122;Minister of Armament;Mehmed Esat Bülkat;1908;1952;1999;SC;submarine proponent;Medium;3776;X
720123;Minister of Armament;Kara Mehmed Said ;1908;1940;1999;SC;battle fleet proponent;Medium;unknownminister;X
720124;Minister of Armament;Djakaci Ahmed Hamdi ;1908;1940;1999;SC;submarine proponent;Medium;unknownminister;X
720125;Minister of Armament;Mehmed Ziya;1908;1930;1999;PA;administrative genius;Medium;unknownminister;X
720126;Minister of Armament;Mehmed Ragib;1908;1909;1999;PA;laissez-faire capitalist;Medium;unknownminister;X
720127;Minister of Armament;Mehmed Rifat;1908;1925;1999;SC;corrupt kleptocrat;Medium;unknownminister;X
720128;Minister of Armament;Osman Nuri Bey;1908;1912;1999;SC;resource industrialist;Medium;unknownminister;X
720129;Minister of Armament;Mehmed Djavid;1908;1926;1999;SC;theoretical scientist;Medium;3775;X
720130;Minister of Armament;Mustafa Nail;1908;1922;1999;SC;Oil baron;Medium;unknownminister;X
720131;Minister of Armament;Abdurrahman Vefik;1908;1956;1999;SC;Steel magnate;Medium;2546;X
720132;Minister of Armament;Mehmed Talat;1908;1921;1999;PA;Industrial chemist;Medium;3773;X
720133;Minister of Armament;Mehmed Ata;1908;1919;1999;SC;Planned economy proponent;Medium;unknownminister;X
720134;Minister of Armament;Mehmed Tevfik Biren;1908;1956;1999;SC;Keynesian economy;Medium;3778;X
720135;Minister of Armament;Faik Nüzhet;1908;1944;1999;SC;Reformer;Medium;unknownminister;X
720136;Minister of Armament;Ahmed Reshit Rey;1908;1956;1999;SC;Construction magnate;Medium;unknownminister;X
720137;Minister of Armament;Mehmed Nazif;1908;1930;1999;SC;Balanced budget economy;Medium;3770;X
720138;Minister of Armament;Rashid;1908;1930;1999;SC;Mixed economy;Medium;unknownminister;X
720139;Minister of Armament;Hüseyin Sabri;1908;1920;1999;SC;administrative genius;Medium;unknownminister;X
720140;Minister of Armament;Abdullah Lami;1908;1936;1999;SC;laissez-faire capitalist;Medium;unknownminister;X
720141;Minister of Security;Mehmed Faik Memduh;1908;1923;1999;PA;back stabber;Medium;unknownminister;X
720142;Minister of Security;Akif Halil;1908;1909;1999;SC;compassionate gentleman;Medium;unknownminister;X
720143;Minister of Security;Reshid Akif ;1908;1920;1999;SC;man of the people;Medium;6929;X
720144;Minister of Security;Ibrahim Hakki ;1908;1918;1999;SC;prince of terror;Medium;3761;X
720145;Minister of Security;Hüseyin Hilmi;1908;1923;1999;SC;crime fighter;Medium;3757;X
720146;Minister of Security;Avlonyali Mehmed Ferid;1908;1914;1999;SC;silent lawyer;Medium;2555;X
720147;Minister of Security;Mehmed Talat;1908;1921;1999;PA;back stabber;Medium;3773;X
720148;Minister of Security;Halil ;1908;1925;1999;SC;efficient sociopath;Medium;3755;X
720149;Minister of Security;Mehmed Celal;1908;1926;1999;SC;crooked kleptocrat;Medium;3769;X
720150;Minister of Security;Haci Mehmed Adil;1908;1930;1999;SC;Media magnate;Medium;unknownminister;X
720151;Minister of Security;Mehmed Ziya;1908;1930;1999;SC;Health and safety;Medium;unknownminister;X
720152;Minister of Security;Ali Danish;1908;1930;1999;SC;Secret police chief;Medium;unknownminister;X
720153;Minister of Security;Avlonyali Mehmed Ferid;1908;1914;1999;SC;compassionate gentleman;Medium;2555;X
720154;Minister of Security;Ahmed Reshit Rey;1908;1956;1999;SC;man of the people;Medium;unknownminister;X
720155;Minister of Security;Mustafa Arif Deymer;1908;1954;1999;SC;prince of terror;Medium;441;X
720156;Minister of Security;Ali Fethi Okyar;1908;1943;1999;SC;crime fighter;Medium;2552;X
720157;Minister of Security;Ismail;1908;1930;1999;SC;silent lawyer;Medium;unknownminister;X
720158;Minister of Security;Ahmed Izzet;1918;1936;1999;SC;back stabber;Medium;2550;X
720159;Minister of Security;Cemal Keshmir;1918;1949;1999;SC;efficient sociopath;Medium;unknownminister;X
720160;Minister of Security;Mehmed Ali;1918;1939;1999;SC;crooked kleptocrat;Medium;3774;X
720161;Minister of Security;Ali Kemal;1918;1922;1999;SC;Media magnate;Medium;2554;X
720162;Minister of Security;Haci Adil;1918;1924;1999;SC;Health and safety;Medium;unknownminister;X
720163;Minister of Security;Mehmed Sherif;1918;1951;1999;SC;Secret police chief;Medium;3772;X
720164;Minister of Security;Ebubekir Hazim Tepeyran;1908;1947;1999;SC;compassionate gentleman;Medium;2559;X
720165;Minister of Security;Reshid Mümtaz;1908;1921;1999;SC;man of the people;Medium;unknownminister;X
720166;Minister of Security;Sherif Mehmed Rauf;1908;1923;1999;SC;prince of terror;Medium;unknownminister;X
720167;Minister of Security;Ali Riza ;1908;1932;1999;SC;crime fighter;Medium;unknownminister;X
720168;Minister of Security;Salih Hulusi Kezrak;1908;1939;1999;SC;silent lawyer;Medium;7753;X
720169;Head of Military intelligence;Süleyman Askeri;1908;1915;1999;SC;industrial specialist;Medium;8688;X
720170;Head of Military intelligence;Eshref Sencer Kushdjubashi;1908;1964;1999;SC;political specialist;Medium;2560;X
720171;Head of Military intelligence;Ali Bashhampa;1908;1933;1999;SC;dismal enigma;Medium;unknownminister;X
720172;Head of Military intelligence;Hüsamettin Ertürk;1908;1933;1999;SC;naval intelligence specialist;Medium;unknownminister;X
720173;Head of Military intelligence;Galatali Shevket;1908;1933;1999;SC;technical specialist;Medium;unknownminister;X
720174;Head of Military intelligence;Mahmud Celal;1908;1986;1999;SC;logistics specialist;Medium;3766;X
720175;Head of Military intelligence;Ahmed Cemal;1908;1922;1999;PA;industrial specialist;Medium;2548;X
720176;Chief of Staff;Ahmed Izzet;1908;1937;1999;SC;school of fire support;Medium;2550;X
720177;Chief of Staff;Ismail Enver;1908;1922;1999;PA;school of manoeuvre;Medium;3763;X
720178;Chief of Staff;Ismail Cevat Djobanli;1908;1938;1999;SC;school of defence;Medium;3762;X
720179;Chief of Staff;Fevzi Djakmak;1908;1950;1999;SC;school of psychology;Medium;2561;X
720180;Chief of Staff;Hadi Abdülhadi;1908;1932;1999;SC;school of mass combat;Medium;unknownminister;X
720181;Chief of Staff;Ali Fuad Cebesoy;1908;1968;1999;SC;commando doctrine staff;Medium;2553;X
720182;Chief of Staff;Shevket Turgut;1908;1924;1999;SC;school of fire support;Medium;8148;X
720183;Chief of Staff;Nazif;1908;1940;1999;SC;school of manoeuvre;Medium;unknownminister;X
720184;Chief of Army;Ömer Rüshtü;1908;1922;1999;SC;guns and butter doctrine;Medium;8720;X
720185;Chief of Army;Recep;1908;1925;1999;SC;armoured spearhead doctrine;Medium;unknownminister;X
720186;Chief of Army;Düztaban Ali Riza;1908;1932;1999;SC;decisive battle doctrine;Medium;2558;X
720187;Chief of Army;Nazim;1908;1913;1999;SC;static defence doctrine;Medium;unknownminister;X
720188;Chief of Army;Ibrahim Edhem;1908;1922;1999;SC;elastic defence doctrine;Medium;unknownminister;X
720189;Chief of Army;Salih Hulusi Kezrak;1908;1939;1999;SC;commando doctrine army;Medium;7753;X
720190;Chief of Army;Mahmud Shevket;1908;1913;1999;SC;Doctrine of autonomy;Medium;3767;X
720191;Chief of Army;Hurshit;1908;1922;1999;SC;guns and butter doctrine;Medium;unknownminister;X
720192;Chief of Army;Ahmed Izzet;1908;1937;1999;SC;armoured spearhead doctrine;Medium;2550;X
720193;Chief of Army;Djürüksulu Mahmud ;1908;1936;1999;SC;decisive battle doctrine;Medium;2557;X
720194;Chief of Army;Ismail Enver;1908;1922;1999;PA;static defence doctrine;Medium;3763;X
720195;Chief of Army;Kölemen Abdullah;1908;1937;1999;SC;elastic defence doctrine;Medium;3765;X
720196;Chief of Army;Ismail Cevat Djobanli;1908;1938;1999;SC;commando doctrine army;Medium;3762;X
720197;Chief of Army;Ömer Yaver;1919;1931;1999;SC;Doctrine of autonomy;Medium;unknownminister;X
720198;Chief of Army;Damat Ferid;1919;1923;1999;SC;guns and butter doctrine;Medium;unknownminister;X
720199;Chief of Army;Abuk Ahmed;1919;1923;1999;SC;armoured spearhead doctrine;Medium;unknownminister;X
720200;Chief of Army;Mehmed Shakir;1919;1919;1999;SC;decisive battle doctrine;Medium;3777;X
720201;Chief of Army;Shevket Turgut;1919;1924;1999;SC;static defence doctrine;Medium;8148;X
720202;Chief of Army;Nazim;1919;1936;1999;SC;elastic defence doctrine;Medium;unknownminister;X
720203;Chief of Army;Süleyman Shefik;1919;1936;1999;SC;commando doctrine army;Medium;8693;X
720204;Chief of Army;Mersinli Mehmed Cemal ;1919;1941;1999;SC;Doctrine of autonomy;Medium;unknownminister;X
720205;Chief of Army;Fevzi Djakmak;1920;1950;1999;SC;guns and butter doctrine;Medium;2561;X
720206;Chief of Army;Hüseyin Hüsnü;1920;1936;1999;SC;armoured spearhead doctrine;Medium;3759;X
720207;Chief of Army;Ziya Kutnak;1920;1940;1999;SC;decisive battle doctrine;Medium;8717;X
720208;Chief of Navy;Hasan Rami ;1908;1928;1999;SC;base control doctrine;Medium;3756;X
720209;Chief of Navy;Tahir Cibalili Mehmed;1908;1933;1999;SC;open seas doctrine;Medium;unknownminister;X
720210;Chief of Navy;Sermet Fazil;1908;1933;1999;SC;decisive naval battle doctrine;Medium;unknownminister;X
720211;Chief of Navy;Selanikli Ramiz Numan ;1908;1933;1999;SC;power projection doctrine;Medium;unknownminister;X
720212;Chief of Navy;Arif Ahmed;1908;1933;1999;SC;indirect approach doctrine;Medium;unknownminister;X
720213;Chief of Navy;Hamdi Tevfik;1908;1933;1999;SC;base control doctrine;Medium;unknownminister;X
720214;Chief of Navy;Hasan Fuat Kayacan;1908;1933;1999;SC;open seas doctrine;Medium;unknownminister;X
720215;Chief of Air Force;Süreyya Ilmen;1911;1933;1999;SC;air superiority doctrine;Medium;8701;X
720216;Chief of Air Force;Shakir Fevzi;1914;1933;1999;SC;army aviation doctrine;Medium;7754;X
720217;Minister of Armament;Waldemar Pieper;1914;1933;1999;PA;ger_mil_m1;Medium;unknownminister;X
720218;Minister of Armament;Heinrich August Meißner;1914;1933;1999;PA;ger_mil_m2;Medium;9162;X
720219;Minister of Armament;Guido von Usedom;1914;1925;1999;PA;ger_mil_m11;Medium;9147;X
720220;Head of Military intelligence;Sievert;1914;1933;1999;PA;ger_mil_m9;Medium;unknownminister;X
720221;Head of Military intelligence;Etienne Perrinet von Thauvenay;1914;1933;1999;PA;ger_mil_m10;Medium;9168;X
720222;Chief of Staff;Friedrich Bronsart von Schellendorf;1914;1933;1999;PA;ger_mil_m3;Medium;9145;X
720223;Chief of Staff;Hans von Seeckt;1914;1933;1999;PA;ger_mil_m4;Medium;1346;X
720224;Chief of Navy;Wilhelm Souchon;1914;1933;1999;PA;ger_mil_m5;Medium;9160;X
720225;Chief of Navy;Hubert von Rebeur-Paschwitz;1914;1933;1999;PA;ger_mil_m6;Medium;9151;X
720226;Chief of Air Force;Erich Serno;1914;1933;1999;PA;ger_mil_m7;Medium;9144;X
720227;Chief of Air Force;Konrad Goltz;1914;1933;1999;PA;ger_mil_m8;Medium;unknownminister;X
720228;Chief of Navy;Arthur Henry Limpus;1914;1933;1999;SC;brit_nav_mis;Medium;9167;X
720229;Head of Military intelligence;Bahaddin Shakir;1911;1922;1999;SC;industrial specialist;Medium;2345;X
720230;Head of Military intelligence;Midhat Shükrü Bleda;1908;1956;1999;PA;technical specialist;Medium;2346;X
