#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X;
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X;
1000612desc;Now that the most chaotic elements of our eastern conquests have been quelled, the next phase of Generalplan Ost may begin.\n \nFour zones in particular are critical to the future of the German nation. First is the area of Gotengau, encompassing the Crimean peninsula and the fertile plains of Zhitomir along the Dnieper River. Second is the area of Memel-Narew which spans from Bialystok up to Riga, including all of Lithuania. Third is the area of Ingermannland, stretching from Leningrad along the borders of the Baltic states to the end of the Wolchow River and along the Volga to the east. Finally, the Baku province in the southern Caucasus with its rich oil reserves must be incorporated into the Reich to ensure that the lifeblood of our industries will never be dependent on foreign trade ever again.\n \nWith the exception of Baku, we expect it will take about 20 years and 8 to 10 million settlers in total to fully Germanize these territories, but we will be able to integrate them in far less time. Finalized plans for the incorporation of these vital areas have been prepared by the RKF, and only await your approval.;;;;;;;;;;X;
1000612a;Present the plans for the area of Gotengau.;;;;;;;;;;X;
1000612b;Present the plans for the area of Memel-Narew.;;;;;;;;;;X;
1000612c;Present the plans for the area of Ingermannland.;;;;;;;;;;X;
1000612d;Present the plans for the area of Baku.;;;;;;;;;;X;
1000613name;Generalplan Ost - Gotengau;;;;;;;;;;;
1000613desc;"The Crimean peninsula, rechristened ""Gotengau"" by Himmler, along with the rich northern farmland along the the Dnieper River must become an integral part of the Reich and the principal focus in developing our Lebensraum. The fertile fields that stretch from the Sea of Azov all the way up to central Ukraine must become the breadbasket of Europe.\n \nCrimea is the ancient homeland of the Goths, an Eastern Germanic tribe that once lived all the way from here to coast of the Baltic Sea. SS archaeologists are already hard at work uncovering long-forgotten artifacts of our Aryan ancestors. Simferopol has been rechristed ""Gotenburg"" and Sevastopol to ""Theodorichshafen"" in honor of the ancient Gothic king. Plans have been drafted to foster a Germanic society of ""Wehrbauren"", soldier-peasants of the SS who will develop these lands along with their wives and children. 300 acres of land will be granted to each family, with a distribution and labor plan resembling medieval feudalism. To make this land seem more like home, thousands of great oak trees will be planted. With time, the landscape will resemble the idyllic countryside of Schleswig-Holstein.\n \nDisplaced Germans from Sudtirol will be brought in immediately to begin the colonization under Himmler's watchful eye. We are ready to begin this transformative event, and only await your approval.";;;;;;;;;;X;
1000613a;This land will become the Riviera of the Reich.;;;;;;;;;;X;
1000613b;Let's review the other plans before making this choice.;;;;;;;;;;X;
1000614name;Generalplan Ost - Memel-Narew;;;;;;;;;;;
1000614desc;The settlement zone of Memel-Narew spans from the administrative district of Bialystok up to and including the city of Riga, with its east-west border encompassing all of Lithuania. The territory's direct border with eastern Prussia makes it an ideal location for German settlement, both geographically and logistically. Expansion of the Reich on its eastern frontier has been the goal of many German statesmen throughout the centuries, and we have finally achieved our drive towards the east.\n \nDuring the 14th century this area was under the control of the Teutonic Knights, our ancestors who embodied the ideal of the Germanic spirit and provided the foundation for modern day Prussia. When Lithuania was overrun and lost to savages hundreds of years ago, the soil has cried out for capable hands to cultivate and flourish upon it yet again. We have finally answered that call.\n \nThe first stage of this colonization project will be the formal annexation of Bezirk Bialystok now that its strategic importance is no longer significant after our victory over the USSR. Germanization of this province will be greatly accelerated by Dutch settlers brought in from the Nederlandsche Oost-Campagnie. We are ready to begin the process of finally integrating these lands which should have been German centuries ago.;;;;;;;;;;X;
1000614a;Like the Teutonic Knights, we claim this land by conquest.;;;;;;;;;;X;
1000614b;Let's review the other plans before making this choice.;;;;;;;;;;X;
1000615name;Generalplan Ost - Ingermannland;;;;;;;;;;;
1000615desc;"The area dubbed ""Ingermannland"" by the Swedish roughly encompasses northern and eastern Ingria, with its western border along the Baltic states and spreading southwards to envelop much of the heavily forested land in western Russia. Centuries ago, much of this land was under the control of the Swedish Empire.\n \nSince the reign of Peter the Great, the territory has been tragically Russified and almost all of the ancient Germanic elements have long been diluted out of existence. However, deep in the old forests and marshes there are still Germanic descendants who may be of value to our colonization efforts. Settlement of these lands is critical to establishing the farthest reaches of our frontier.\n \nThe Ostministerium has taken into account the particular challenges that will be faced by settlers within this area, and know that only the most vigilant of the Wehrbauer will be appropriate for Germanizing these territories. They know they carry the weight of civilization on their shoulders, and are ready to begin their mission with your approval.";;;;;;;;;;X;
1000615a;The savagery of Russia itself will be tamed by our hand.;;;;;;;;;;X;
1000615b;Let's review the other plans before making this choice.;;;;;;;;;;X;
1000616name;Generalplan Ost - Baku;;;;;;;;;;;
1000616desc;During the Second World War, the oil fields of Baku were some of the richest and largest in the world. Soviet control of the Azerbaijani capital region produced 80 percent of the Soviet Union's oil with an impressive total product of 24 million tons in 1942 alone. Case Blue, the Wehrmacht's summer offensive of 1942, had the capture of these oil fields as their primary objective. Historically, the defeat at Stalingrad in 1943 made realization of this goal impossible. Hitler's desire for this territory was so powerful that his generals presented him with a cake of Baku and the Caspian Sea in celebration of their expected seizure of the area in the 1942 summer offensive. Of course, Hitler sliced out Baku for himself.\n \nThe acquisition of these oil fields may be the most vital strategic and economic asset gained from the success of Operation Barbarossa. Though the pumping machinery was heavily damaged in the invasion and by deliberate sabotage of the retreating Soviets, the fact that there is an ocean of oil underneath this land makes it the single most important geographical region that we must consolidate our control over.\n \nHitler has made it abundantly clear that this territory is to become an integral part of the Reich and any investment that can be made into the development, integration, and defense of this area must be pursued as a top priority. Plans for an extensive railway network connecting Baku across the vast distance to the heartland of Germany have already been drafted.;;;;;;;;;;X;
1000616a;The key to our autarky lies here in the heart of the Caucasus.;;;;;;;;;;X;
1000616b;Let's review the other plans before making this choice.;;;;;;;;;;X;
1000617name;Generalplan Ost - Gotengau Colonization;;;;;;;;;;;
1000617desc;We have began the first steps of colonizing the Gotengau area.;;;;;;;;;;X;
1000617a;Great!;;;;;;;;;;X;
1000618name;Generalplan Ost - Memel-Narew Colonization;;;;;;;;;;;
1000618desc;We have began the first steps of colonizing the Memel-Narew area.;;;;;;;;;;X;
1000618a;Great!;;;;;;;;;;X;
1000619name;Generalplan Ost - Ingermannland Colonization;;;;;;;;;;;
1000619desc;We have began the first steps of colonizing the Ingermannland area.;;;;;;;;;;X;
1000619a;Great!;;;;;;;;;;X;
1000620name;Generalplan Ost - Baku Colonization;;;;;;;;;;;
1000620desc;We have began the first steps of colonizing the Baku area.;;;;;;;;;;X;
1000620a;Great!;;;;;;;;;;X;
1000621name;Generalplan Ost - Gotengau: Phase One;;;;;;;;;;;
1000621desc;"The initial stages of our settlement of Gotengau have been completed. From his ancient Gothic castle in Theodorichshafen, Himmler has overseen the development of his personal SS fiefdom. German settlers have gladly embraced the idealized lifestyle of the rural Wehrbauer, warrior-peasants who have instilled their blood into the soil of these lands. A great sense of purpose and fulfillment drives their efforts to civilize the countryside as they bring in their families to live among them, along with creating new ones. Tasked with both defending their farmsteads from native savagery and cultivating the soil, this lifestyle is destined to create Germanic volk of the most refined spirit and stock.\n \n""It's the greatest piece of colonization the world will ever have seen linked with a noble and essential task, the protection of the Western world against an eruption from Asia. When he has accomplished that, the name of Adolf Hitler will be the greatest in Germanic history - and he has commissioned me to carry out the task."" - Heinrich Himmler";;;;;;;;;;X;
1000621a;We are the torchbearers of civilization.;;;;;;;;;;X;
1000622name;Generalplan Ost - Gotengau: Phase Two;;;;;;;;;;;
1000622desc;"The German colonization of Ukraine was specified as the top priority in Adolf Hitler's vision for the future of his eastern conquests. After establishing our foothold on the Crimean peninsula, we have expanded our settlements onto the banks of the Azov. The Wehrbauer have established a sufficient level of control in the region to begin developing the land. Within only a few decades, these plantations will feed all of Europe under the auspices of our New Order.\n \nGermanization of the Dnieper is fundamental to consolidating our control over Ukraine, which is to become the breadbasket of Europe. The Zhytomyr Commissariat is the centerpiece of the foodsource of our new civilization. Ethnic Germans that were already living in the area at the time of our conquest have been elevated in the local society as administrators and governors of the growing farms in the area.\n \nThe ""chornozem"" (black earth) of the Ukrainian steppes, combined with the climate of the region make it uniquely suited to the growth of agricultural crops and grain in particular. Throughout the centuries, these fertile plains have been the target of countless foreign conquests. The German annexation of this land will be the very last time it needs to suffer at the hands of destructive warfare. ""Zhytomyr,"" a compound word meaning ""rye-peace"" or ""wheat-universe,"" is one of the most precious acquisitions from our war against Bolshevism.";;;;;;;;;;X;
1000622a;We will find the salvation of Europe in this black earth.;;;;;;;;;;X;
1000623name;Generalplan Ost - Gotengau: Phase Three;;;;;;;;;;;
1000623desc;"After years of investing blood, sweat, raw materials, labor and time, the Asiatic steppes of Ukraine are finally well underway in their process of Germanization. From the west bank of the Dnieper to the borders of Transnistria, the jewel of the Reich is beginning to shine. Agricultural output from these fertile plains alone will be enough to feed tens of millions of Europeans. We expect that in 20 to 30 years, export of grains and other foodstuffs will be well over 10 million tons of output annually.\n \n""There is only one task: Germanization through the introduction of Germans [to the area] and to treat the original inhabitants like Indians. ... I intend to stay this course with ice-cold determination. I feel myself to be the executor of the will of History. What people think of me at present is all of no consequence. Never have I heard a German who has bread to eat express concern that the ground where the grain was grown had to be conquered by the sword. We eat Canadian wheat and never think of the Indians."" - Adolf Hitler";;;;;;;;;;X;
1000623a;We see the jewel, not the polish required to make it shine.;;;;;;;;;;X;
1000624name;Generalplan Ost - Gotengau: Phase Four;;;;;;;;;;;
1000624desc;As our civilizing touch spans from Himmler's stronghold in Theodorichshafen up to the outskirts of the former city of Kiev, glimmers of the future of this region are beginning to shine through.\n \nAbundant wheat crops are being harvested as German families finally feel secure on their new soil. Young couples are finding fulfilling lives on communal farms, overjoyed at their chance for an idyllic lifestyle on these rich plains. The far bank of the Dnieper is now firmly under our control, establishing this important river as the fertile spring that nourishes the Reich.\n \nWe expect that it will only take another year or so for the Gotengau colonization zone to be of sufficient Germanization to be incorporated directly into the Reich. For now, we must stay the course - the future of all civilization depends on this mission.;;;;;;;;;;X;
1000624a;Future generations will owe their existence to this bounty.;;;;;;;;;;X;
1000625name;Generalplan Ost - Gotengau: Final Integration;;;;;;;;;;;
1000625desc;Our colonization of Ingermannland has reached the level where we can turn over this territory to be integrated into the Reich.;;;;;;;;;;X;
1000625a;The Reichskommissariat has succeeded in its goals!;;;;;;;;;;X;
1000626name;Generalplan Ost - Memel-Narew: Phase One;;;;;;;;;;;
1000626desc;The area contained within the German administrative division of Bialystok compromised a large portion of the former state of Poland, with the city of Bialystok as its center of governance. Unlike other Polish territories that were either annexed into the Reich or brought under the administration of the Generalgouvernement to the south, Bialystok was placed under civil administration and was not incorporated directly into the German state. The district had significant strategic value as a bridgehead on the far bank of the Memel river, which played a major role in the logistics of the invasion of the Soviet Union.\n \nNow that the war on the eastern front is over, Bialystok and its surrounding territory has been incorporated into the Reich. The Third Partition of Poland in 1795 included this as a concession to Prussia, giving us legitimacy in our claims. Its direct border with the eastern frontier made it a natural choice for expansion in the 18th century, and that is still the case today. With the help of Dutch settlers and resettled Germans from other areas, this land is now fully under our control and well underway to complete Germanization.;;;;;;;;;;X;
1000626a;Another historical injustice has been corrected.;;;;;;;;;;X;
1000627name;Generalplan Ost - Memel-Narew: Phase Two;;;;;;;;;;;
1000627desc;"The territory of Lithuania has, at various points in the history of the Germanic people, been the target of our natural expansion towards the east. In 1915, the German aristocrat Silvio von Broed-rich-Kurmalen published a book titled ""Das Neue Ostland"" in which he argued for the annexation of the Baltic territories and the settlement of native Germans in the area. After the surrender of Soviet Russia in 1917 during the First World War, there were discussions of forming a dynastic union between the German Empire and the Duchy of Lithuania. With our victory in the war on the eastern front, the realization of these ideas can be put into motion.\n \nMuch like our settlement of Bialystok, the direct border of Lithuania with eastern Prussia has made the colonization of this area proceed more smoothly than in our other interests. Administration of Lithuania is now composed entirely of Germans, and governance of Lithuania, now known as Memelland, is completely subordinate to us.";;;;;;;;;;X;
1000627a;Yet another territory that is rightfully German.;;;;;;;;;;X;
1000628name;Generalplan Ost - Memel-Narew: Phase Three;;;;;;;;;;;
1000628desc;The bordering provinces between the state of Memelland and Belarus have presented unique challenges for the Ostministerium. This line of demarcation, loosely established by the maximum extent of the conquests of the Teutonic Knights, is now firmly under our control. Resentment from the native population was particularly pronounced in these areas as local governors were sacked from their positions and replaced with German officials. Germanization of western Belarus will take quite some time, as this land has little native Germanic elements that we can utilize to assist us in the process.\n \nWith our establishment of settlements along this eastern frontier, the organic borders of the Reich have reached their greatest extent eastward. Only the lands in Estonia, now called Dunaland, remain to be integrated in our colonization of the Memel-Narew zone.;;;;;;;;;;X;
1000628a;Lithuania and Belarus will become footnotes in history.;;;;;;;;;;X;
1000629name;Generalplan Ost - Memel-Narew: Phase Four;;;;;;;;;;;
1000629desc;The territory of Latvia has a long history with the Germanic people, including the dominion of the Livonian Order that was established in the 13th century. The city of Riga, already having a substantial number of native Germans residing in it upon our conquest over the Soviet Union, has been very useful as a central hub for the complex logistics involved in establishing German settlements along the Baltic coast and into the interior of the Baltic area.\n \nThe final stages of our consolidation over former Lithuana and Latvia are nearing completion. The empowerment of native Baltic Germans that have lived in this land for centuries has accelerated our colonization efforts, and they have gladly embraced their identity as part of the Greater Germanic Reich, bringing Kurland under our control.;;;;;;;;;;X;
1000629a;We come as liberators to native Germans in the east.;;;;;;;;;;X;
1000630name;Generalplan Ost - Memel-Narew: Final Integration;;;;;;;;;;;
1000630desc;Our colonization of Memel-Narew has reached the level where we can turn over this territory to be integrated into the Reich.;;;;;;;;;;X;
1000630a;The Reichskommissariat has succeeded in its goals!;;;;;;;;;;X;
1000631name;Generalplan Ost - Ingermannland: Phase One;;;;;;;;;;;
