Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
'Better to live a day as a lion than 100 years as a sheep.';Benito Mussolini;;;;;;;;;;;;;;
'A good plan violently executed now is better than a perfect plan executed next week.';George S. Patton;;;;;;;;;;;;;;
'It is foolish and wrong to mourn the men who died. Rather we should thank God that such men lived.';George S. Patton;;;;;;;;;;;;;;
'Nobody ever defended anything successfully, there is only attack and attack and attack some more.';George S. Patton;;;;;;;;;;;;;;
'Wars may be fought with weapons, but they are won by men. It is the spirit of men who follow and of the man who leads that gains the victory.';George S. Patton;;;;;;;;;;;;;;
'We herd sheep, we drive cattle, we lead people. Lead me, follow me, or get out of my way.';George S. Patton;;;;;;;;;;;;;;
'Don't let the bastards grind you down.';Joseph W. Stilwell;;;;;;;;;;;;;;
'You can't have an air raid without bombs!';Joseph W. Stilwell;;;;;;;;;;;;;;
'Any competent officer can command a Panzer Division, it takes a genius to supply one.';Hasso-Eccard Freiherr von Manteuffel;;;;;;;;;;;;;;
'History shows that there are no invincible armies.';Joseph Stalin;;;;;;;;;;;;;;
'Education is dangerous - Every educated person is a future enemy.';Hermann Goering;;;;;;;;;;;;;;
'I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.';Albert Einstein;;;;;;;;;;;;;;
'Soldiers usually win the battles and generals get the credit for them.';Napoleon Bonaparte;;;;;;;;;;;;;;
'Fuhrer, we are on the march! Victorious Italian troops crossed the Greco-Albanian frontier at dawn today!';Benito Mussolini (to Adolf Hitler), 28th October 1940;;;;;;;;;;;;;;
'Among the men who fought on Iwo Jima, uncommon valor was a common virtue.';Fleet Admiral Chester W. Nimitz, 16th March 1945;;;;;;;;;;;;;;
'Attacks on cities are strategically justified in so far as they tend to shorten the war and so preserve the lives of allied soldiers.';Air Chief Marshal Sir Arthur 'Bomber' Harris, 29th March 1945;;;;;;;;;;;;;;
'It is on this beautiful day that we celebrate the Fuhrer's birthday and thank him for he is the only reason why Germany is still alive today.';Josef Goebbels, Minister of Propaganda, 20th April 1945;;;;;;;;;;;;;;
'Technological progress is like an axe in the hands of a pathological criminal.';Albert Einstein;;;;;;;;;;;;;;
'If we come to a minefield, our infantry attacks exactly as it were not there.';Georgy Zhukov;;;;;;;;;;;;;;
'Commit all of your atrocities at once.';Niccolò Machiavelli;;;;;;;;;;;;;;
'Optimistic officers learn English and pessimists Russian.';1945 German joke;;;;;;;;;;;;;;
'What is best in life? To crush your enemies, see them driven before you, and to hear the lamentation of their women!';Conan the Barbarian;;;;;;;;;;;;;;
'I can't listen to that much Wagner. I start getting the urge to conquer Poland.';Woody Allen;;;;;;;;;;;;;;
'Some goddamn fool once said that flanks have got to be secure. Since then son of a bitches all over the globe have been guarding their flanks.';George S. Patton;;;;;;;;;;;;;;
'The fiercest serpent may be overcome by a swarm of ants.';Isoroku Yamamoto;;;;;;;;;;;;;;
'I have nothing to offer but blood, toil, tears and sweat.';Sir Winston Churchill;;;;;;;;;;;;;;
'The only thing that we have to fear is fear itself.';Franklin D. Roosevelt;;;;;;;;;;;;;;
'You hit somebody with your fist and not with your fingers spread.';Heinz Guderian;;;;;;;;;;;;;;
'We may be destroyed, but if we are, we shall drag a world with us - a WORLD IN FLAMES.';Adolf Hitler;;;;;;;;;;;;;;
'Success is not final, failure is not fatal. It is the courage to continue that counts.';Sir Winston Churchill;;;;;;;;;;;;;;
'There never was a good war or a bad peace.';Benjamin Franklin;;;;;;;;;;;;;;
'Si vis pacem, para bellum (If you want peace, prepare for war).';Vegetius;;;;;;;;;;;;;;
'Patriots always talk of dying for their country and never of killing for their country.';Bertrand Russell;;;;;;;;;;;;;;
'He who fears being conquered is sure of defeat.';Napoleon Bonaparte;;;;;;;;;;;;;;
'Today we rule Germany, tomorrow, the world.';Adolf Hitler, January 30th 1933;;;;;;;;;;;;;;
'We no longer demand anything, we want war.';Joachim von Ribbentrop, August 11th 1939;;;;;;;;;;;;;;
'If you are going through hell...keep going.';Sir Winston Churchill;;;;;;;;;;;;;;
'No compromise is possible and the victory of the democracies can only be complete with the utter defeat of the war machines of Germany and Japan.';George Marshall;;;;;;;;;;;;;;
'Air superiority is a condition for all operations, at sea, in land, and in the air.';Air Marshal Arthur Tedder;;;;;;;;;;;;;;
'The world must know what happened, and never forget.';Dwight Eisenhower, visiting Nazi death camps, 1945;;;;;;;;;;;;;;
'Everyone's a pacifist between wars.  It's like being a vegetarian between meals.';Colman McCarthy;;;;;;;;;;;;;;
'France has lost a battle, but France has not lost the war.';Charles de Gaulle, June 18th 1940;;;;;;;;;;;;;;
'We must be the great arsenal of democracy.';Franklin Delano Roosevelt;;;;;;;;;;;;;;
'I have said this before, but I shall say it again and again: your boys are not going to be sent into any foreign wars.';Franklin Delano Roosevelt, 1940 re-election campaign;;;;;;;;;;;;;;
'Yesterday, December 7, 1941, "a date which will live in infamy", the United States of America was suddenly and deliberately attacked by naval and air forces of the Empire of Japan.';Franklin Delano Roosevelt;;;;;;;;;;;;;;
'I think war might be God's way of teaching us geography.';Paul Rodriguez;;;;;;;;;;;;;;
'Man has no right to kill his brother.  It is no excuse that he does so in uniform : he only adds the infamy of servitude to the crime of murder.';Percy Bysshe Shelley;;;;;;;;;;;;;;
'Anyone who has ever looked into the glazed eyes of a soldier dying on the battlefield will think hard before starting a war.';Otto von Bismarck;;;;;;;;;;;;;;
'Wars usually have the effect of speeding up the process of history.';Pieter Geyl;;;;;;;;;;;;;;
'War is not an adventure. It is a disease. It is like typhus.';Antoine de Saint-Exupery;;;;;;;;;;;;;;
'The Duce will have Ethiopia... with or without Ethiopians.';Rodolfo Graziani;;;;;;;;;;;;;;
'An enemy forgiven is more dangerous than a thousand foes.';Rodolfo Graziani;;;;;;;;;;;;;;
'Democracy is beautiful in theory, in practice it is a fallacy. You in America will see that some day.';Benito Mussolini;;;;;;;;;;;;;;
'When I saw a very strong light, a flash, I put my arms over my face unconsciously... The whole city was destroyed and burning. There was no place to go.';A survivor of the atomic bombing of Hiroshima;;;;;;;;;;;;;;
'You think of the lives which would have been lost in an invasion of Japan's main islands and you thank God for the atomic bomb.';A Marine;;;;;;;;;;;;;;
'The engine of the Panzer is just as much a weapon as the main-gun.';Heinz Guderian;;;;;;;;;;;;;;
'We have severely underestimated the Russians, the extent of the country and the treachery of the climate. This is the revenge of reality.';Heinz Guderian, 1943;;;;;;;;;;;;;;
'This is the second time in our history that there has come back from Germany to Downing Street peace with honour. I believe it is peace in our time.';Neville Chamberlain, 1938;;;;;;;;;;;;;;
'Eat less wheat, meat, sugar and fats to save for the army and our allies.';A wartime conservation poster;;;;;;;;;;;;;;
'As world capital Berlin will only be comparable with Ancient Egypt, Babylon, and Rome! What is London, what is Paris compared to that!';Adolf Hitler;;;;;;;;;;;;;;
'It is increasingly clear that we underestimated the Russian colossus. Their forces are not always well-armed and equipped and they are often poorly led. But they are there.';Franz Halder, August 11th 1941;;;;;;;;;;;;;;
'From now on, Russian resistance will be minor. All we have to do is keep rolling forward. Our duty has been to fight and free the world from this communist disease.;One day, the world will thank the Germans and our beloved Fuhrer for our victories here in Russia.' Karl Fuchs, Panzer Gunner, October 15th 1941;;;;;;;;;;;;;;
'Perhaps it is only 'talk' that the enemy is broken and will never rise again. Will the whole war really be over by winter?';Hans-Jurgen Hartmann, October 1941;;;;;;;;;;;;;;
'The offensive combat power of the Corps HAS RAN OUT. Reasons: physical and moral over-exertion, loss of a large number of commanders, inadequate winter equipment.; The High Command should decide whether a withdrawal should be undertaken.' Erich Hoepner, Fourth Panzer Group commander, December 3rd 1941;;;;;;;;;;;;;;
'The German Army in fighting Russia is like an elephant attacking a host of ants. The elephant will kill thousands, perhaps even millions, of ants, but in the end;their numbers will overcome him, and he will be eaten to the bone.' Colonel Bernd Von Kielst;;;;;;;;;;;;;;
'We were faced with a choice between two dictators. We preferred the one who spoke Russian.';A senior Soviet officer when asked why he fought for Stalin;;;;;;;;;;;;;;
'When you see a green plane, it's American. When you see a brown plane, it's British. When you see no planes at all, then it's the Luftwaffe!;In his infinite wisdom, our beloved Fuhrer has painted our aircraft with invisible paint.' German joke at the end of the war;;;;;;;;;;;;;;
'A teacher in Germany asked a student to give an example of a 'paradox'. The pupil replied, 'When the second man of the Third Reich runs away first.';German joke;;;;;;;;;;;;;;
'Why are the streets of Paris lined with trees? So the German Army doesn't get sunburned during its victory parades.';German joke;;;;;;;;;;;;;;
'Sometimes it is tougher to fight my superiors than the French.';Heinz Guderian;;;;;;;;;;;;;;
'Chamberlain takes a weekend in the country, while Hitler takes a country in a weekend.';German joke;;;;;;;;;;;;;;
'I am going to die here, 21 years old, in the snows before Moscow.';A German soldier, reacting to a Soviet attack on December 5th 1941;;;;;;;;;;;;;;
'My tunic and trousers are stiff as cardboard with mud and blood... The corpse near me stinks unbearably...;One sees body parts trampled in the mud... We walk on them.' Red Army soldier Nikolai Nikulin, August 18th 1942;;;;;;;;;;;;;;
'We had ceased to be an army, I was no longer with soldiers but with creatures incapable of controlling themselves,;obedient to a single animal instinct: self-preservation.' Italian lieutenant Eugenio Corti, January 1943;;;;;;;;;;;;;;
'This is what Germans are meant to look like -- tall like Goebbels, slim like Goering, and blonde like Hitler!';German joke;;;;;;;;;;;;;;
