U56;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Jeannel;5098;FRA;1930;1939;1990;1990;2;3;2;2;0;4;0;L24099;1930;1960;1999;x
Joussé;5099;FRA;1944;1946;1990;1990;3;4;4;2;0;5;0;L24100;1944;1960;1999;x
Juin;5100;FRA;1938;1940;1941;1942;0;6;132;4;0;5;0;L24101;1938;1960;1999;x
Karcher;5101;FRA;1930;1930;1990;1990;2;5;16;1;0;5;0;L24102;1930;1938;1999;x
Keime;5102;FRA;1939;1990;1990;1990;3;3;1;1;0;4;0;L24103;1939;1960;1999;x
Kieffer;5103;FRA;1944;1990;1990;1990;3;6;256;1;0;5;0;L24104;1942;1960;1999;x
Klopfenstein;5104;FRA;1938;1990;1990;1990;3;3;0;1;0;4;0;L24105;1938;1960;1999;x
Koeltz;5105;FRA;1937;1939;1943;1990;1;5;4;3;0;4;0;L24106;1937;1960;1999;x
Koenig;5106;FRA;1942;1943;1944;1946;1;8;4;4;0;5;0;L24107;1942;1960;1999;x
Le Gentilhomme;5107;FRA;1930;1941;1943;1990;1;7;256;3;0;5;0;L24108;1930;1947;1999;x
Lafont Chabert;5108;FRA;1930;1930;1930;1990;1;4;128;2;0;4;0;L24109;1930;1960;1999;x
Lalande de la Motte;5109;FRA;1946;1990;1990;1990;3;3;4;1;0;4;0;L24110;1946;1960;1999;x
Lamson;5110;FRA;1930;1930;1990;1990;2;3;0;1;0;5;0;L24111;1930;1960;1999;x
Lantenois;5111;FRA;1941;1990;1990;1990;3;5;1;1;0;5;0;L24112;1941;1945;1999;x
Larbaletrier;5112;FRA;1941;1990;1990;1990;3;3;256;1;0;5;0;L24113;1941;1945;1999;x
de Lattre de Tassigny;5113;FRA;1939;1941;1943;1945;1;8;16;4;0;5;0;L24114;1939;1960;1999;x
Laure;5114;FRA;1930;1930;1938;1990;1;4;2;2;0;5;0;L24115;1930;1946;1999;x
Leclerc de Hauteclocque;5115;FRA;1941;1943;1945;1946;2;8;129;4;0;5;0;L24116;1941;1960;1999;x
Lemonnier;5116;FRA;1937;1943;1990;1990;2;4;1;2;0;4;0;L24117;1937;1945;1999;x
Magnan;5117;FRA;1942;1947;1990;1990;3;5;4;2;0;4;0;L24118;1942;1960;1999;x
Martin;5118;FRA;1930;1939;1944;1990;2;5;513;3;0;4;0;L24119;1930;1960;1999;x
Mer;5119;FRA;1938;1990;1990;1990;3;3;0;1;0;5;0;L24120;1938;1960;1999;x
Mirambeau;5120;FRA;1943;1990;1990;1990;3;4;4;1;0;4;0;L24121;1943;1960;1999;x
Monnet;5121;FRA;1942;1945;1990;1990;3;3;64;2;0;4;0;L24122;1942;1960;1999;x
Moyrand;5122;FRA;1930;1930;1990;1990;2;4;576;1;0;4;0;L24123;1930;1960;1999;x
Nogues;5123;FRA;1930;1930;1930;1990;1;4;514;2;0;4;0;L24124;1930;1960;1999;x
Pagezy;5124;FRA;1930;1930;1990;1990;2;3;32;1;0;4;0;L24125;1930;1960;1999;x
Pegur;5125;FRA;1930;1930;1990;1990;2;3;514;1;0;5;0;L24126;1930;1938;1999;x
Pretelat;5126;FRA;1930;1930;1930;1990;1;5;514;2;0;5;0;L24127;1930;1990;1999;x
Priou;5127;FRA;1930;1930;1990;1990;2;5;528;1;0;5;0;L24128;1930;1960;1999;x
Ravanell;5128;FRA;1944;1990;1990;1990;3;5;256;1;0;4;0;L24129;1944;1947;1999;x
Repiton-Preneuf;5129;FRA;1943;1990;1990;1990;3;4;1;1;0;4;0;L24130;1943;1960;1999;x
Réquin;5130;FRA;1930;1930;1930;1990;1;3;2;1;0;4;0;L24131;1930;1939;1999;x
Revers;5131;FRA;1940;1942;1943;1990;1;5;0;3;0;4;0;L24132;1940;1960;1999;x
Rodz;5132;FRA;1941;1990;1990;1990;3;6;256;2;0;5;0;L24133;1941;1960;1999;x
Rondenay;5133;FRA;1930;1930;1990;1990;2;4;528;1;0;2;0;L24134;1930;1960;1999;x
Salan;5134;FRA;1944;1947;1990;1990;3;6;257;2;0;5;0;L24135;1944;1960;1999;x
Sevez;5135;FRA;1930;1930;1990;1990;2;4;0;1;0;3;0;L24136;1930;1948;1999;x
Simon;5136;FRA;1930;1930;1990;1990;2;5;514;1;0;5;0;L24137;1930;1960;1999;x
Soulas;5137;FRA;1943;1990;1990;1990;3;4;256;1;0;5;0;L24138;1943;1960;1999;x
Theodore;5138;FRA;1938;1990;1990;1990;3;5;64;1;0;5;0;L24139;1938;1943;1999;x
Touchon;5139;FRA;1930;1930;1990;1990;2;5;4;1;0;5;0;L24140;1930;1960;1999;x
Touzet du Vigier;5140;FRA;1940;1942;1945;1990;2;5;128;3;0;5;0;L24141;1940;1947;1999;x
Vauthier;5141;FRA;1938;1940;1990;1990;3;3;0;2;0;5;0;L24142;1938;1942;1999;x
Verneau;5142;FRA;1939;1942;1990;1990;2;5;16;2;0;4;0;L24143;1939;1960;1999;x
Weil;5143;FRA;1944;1990;1990;1990;3;5;257;1;0;5;0;L24144;1944;1960;1999;x
Weygand;5144;FRA;1930;1930;1930;1990;1;6;514;3;0;5;0;L24145;1930;1960;1999;x
Abrial;5145;FRA;1930;1939;1940;1990;2;4;4096;3;0;5;1;L24146;1930;1960;1999;x
Auboyneau;5146;FRA;1944;1990;1990;1990;3;5;4096;1;0;5;1;L24147;1944;1960;1999;x
Barois;5147;FRA;1938;1990;1990;1990;3;4;0;1;0;5;1;L24148;1938;1960;1999;x
Collinet;5148;FRA;1940;1942;1990;1990;2;5;0;1;0;5;1;L24149;1940;1960;1999;x
Colmay;5149;FRA;1938;1990;1990;1990;3;4;0;1;0;5;1;L24150;1938;1960;1999;x
Darlan;5150;FRA;1929;1932;1936;1939;1;6;4096;3;0;5;1;L24151;1929;1943;1957;x
d'Estienne d'Orves;5151;FRA;1939;1990;1990;1990;3;3;1024;1;0;5;1;L24152;1939;1941;1999;x
de Geffrier;5152;FRA;1941;1990;1990;1990;3;3;0;1;0;5;1;L24153;1941;1960;1999;x
de Laborde;5153;FRA;1930;1930;1938;1990;1;3;0;1;0;5;1;L24154;1930;1960;1999;x
de la Noë;5154;FRA;1937;1990;1990;1990;3;3;0;1;0;4;1;L24155;1937;1960;1999;x
de la Perrin;5155;FRA;1942;1946;1990;1990;3;5;0;2;0;5;1;L24156;1942;1960;1999;x
Decoux;5156;FRA;1930;1939;1990;1990;2;5;1536;2;0;4;1;L24157;1930;1960;1999;x
Escudier;5157;FRA;1938;1990;1990;1990;3;3;0;1;0;5;1;L24158;1938;1960;1999;x
Esteva;5158;FRA;1930;1930;1940;1990;1;4;1024;2;0;4;1;L24159;1930;1960;1999;x
Gensoul;5159;FRA;1930;1937;1940;1990;2;6;8192;3;0;5;1;L24160;1930;1942;1999;x
Godfroy;5160;FRA;1930;1940;1990;1990;2;3;8704;2;0;5;1;L24161;1930;1943;1999;x
Graziani;5161;FRA;1944;1990;1990;1990;3;5;0;1;0;5;1;L24162;1944;1960;1999;x
Kahn;5162;FRA;1930;1941;1990;1990;2;5;0;2;0;5;1;L24163;1930;1960;1999;x
Labord;5163;FRA;1930;1930;1990;1990;2;3;512;1;0;5;1;L24164;1930;1939;1999;x
Leloup;5164;FRA;1939;1990;1990;1990;3;4;0;1;0;5;1;L24165;1939;1960;1999;x
Levasseur;5165;FRA;1944;1990;1990;1990;3;5;4096;1;0;5;1;L24166;1944;1960;1999;x
Luc;5166;FRA;1930;1939;1990;1990;2;3;0;1;0;5;1;L24167;1930;1960;1999;x
Muselier;5167;FRA;1930;1939;1990;1990;2;5;8192;2;0;4;1;L24168;1930;1960;1999;x
Pequin;5168;FRA;1942;1990;1990;1990;3;3;1024;1;0;5;1;L24169;1942;1960;1999;x
Richard;5169;FRA;1930;1939;1990;1990;2;4;4608;2;0;4;1;L24170;1930;1960;1999;x
Schlumberger;5170;FRA;1942;1990;1990;1990;3;4;8192;1;0;5;1;L24171;1942;1960;1999;x
Stosskopf;5171;FRA;1930;1990;1990;1990;3;5;0;1;0;5;1;L24172;1930;1943;1999;x
Thierry d'Argenlieu;5172;FRA;1942;1944;1946;1990;3;5;0;3;0;4;1;L24173;1942;1960;1999;x
Astier de Vilatte;5173;FRA;1943;1947;1990;1990;3;4;16384;2;0;5;2;L24174;1943;1960;1999;x
Ballet;5174;FRA;1930;1990;1990;1990;3;4;0;1;0;5;2;L24175;1930;1960;1999;x
Baltus;5175;FRA;1937;1990;1990;1990;3;3;0;1;0;5;2;L24176;1937;1960;1999;x
Basset;5176;FRA;1930;1943;1990;1990;2;3;0;2;0;5;2;L24177;1930;1960;1999;x
Bergeret;5177;FRA;1938;1941;1990;1990;2;4;0;2;0;5;2;L24178;1938;1960;1999;x
Bernard;5178;FRA;1944;1990;1990;1990;3;3;0;1;0;4;2;L24179;1944;1960;1999;x
Bissagnet;5179;FRA;1941;1990;1990;1990;3;4;32768;1;0;5;2;L24180;1941;1960;1999;x
Bollier;5180;FRA;1944;1990;1990;1990;3;3;0;1;0;5;2;L24181;1944;1960;1999;x
Bouscat;5181;FRA;1938;1942;1990;1990;2;5;16384;2;0;5;2;L24182;1938;1960;1999;x
Cochet;5182;FRA;1940;1943;1945;1990;2;5;32768;3;0;5;2;L24184;1940;1960;1999;x
Crozet;5183;FRA;1943;1990;1990;1990;3;3;0;1;0;5;2;L24185;1943;1960;1999;x
d'Arnaud de Vitrolles;5184;FRA;1930;1939;1990;1990;2;5;0;2;0;5;2;L24186;1930;1960;1999;x
d'Astier de la Vigerie;5185;FRA;1938;1942;1943;1990;1;5;16384;4;0;5;2;L24187;1938;1960;1999;x
de Goys de Mezeyrac;5186;FRA;1942;1990;1990;1990;3;3;0;1;0;5;2;L24188;1942;1960;1999;x
de Rancourt;5187;FRA;1939;1942;1990;1990;2;3;0;1;0;5;2;L24189;1939;1960;1999;x
Davout d'Auerstadt;5188;FRA;1943;1990;1990;1990;3;3;0;1;0;5;2;L24190;1943;1960;1999;x
Dumont;5189;FRA;1944;1990;1990;1990;3;5;131072;1;0;5;2;L24191;1944;1990;1999;x
Duseigneur;5190;FRA;1930;1939;1990;1990;2;3;0;2;0;5;2;L24192;1930;1960;1999;x
Fourquet;5191;FRA;1938;1942;1990;1990;2;3;0;2;0;5;2;L24193;1938;1960;1999;x
Furst;5192;FRA;1941;1990;1990;1990;3;3;131072;1;0;5;2;L24194;1941;1960;1999;x
Gary;5193;FRA;1943;1990;1990;1990;3;5;4096;1;0;5;2;L24195;1943;1960;1999;x
Gervais;5194;FRA;1942;1990;1990;1990;3;3;0;1;0;5;2;L24196;1942;1960;1999;x
Hartemann;5195;FRA;1938;1990;1990;1990;3;3;0;1;0;5;2;L24197;1938;1960;1999;x
Jacob;5196;FRA;1930;1990;1990;1990;3;3;16384;1;0;5;2;L24198;1930;1960;1999;x
Jannekeyn;5197;FRA;1930;1939;1942;1990;2;4;0;3;0;5;2;L24199;1930;1960;1999;x
Jauneaud;5198;FRA;1930;1939;1940;1990;2;4;4096;3;0;5;2;L24200;1936;1941;1999;x
Langer;5199;FRA;1943;1990;1990;1990;3;5;4096;1;0;5;2;L24201;1943;1960;1999;x
Lasserre;5200;FRA;1944;1945;1990;1990;2;6;0;2;0;5;2;L24202;1944;1960;1999;x
Laurens;5201;FRA;1930;1937;1990;1990;2;3;0;2;0;5;2;L24203;1930;1960;1999;x
Lecheres;5202;FRA;1943;1945;1946;1990;2;5;16384;3;0;5;2;L24204;1943;1960;1999;x
Luguet;5203;FRA;1943;1944;1990;1990;3;5;0;2;0;5;2;L24205;1943;1960;1999;x
Luizet;5204;FRA;1942;1990;1990;1990;3;5;65536;1;0;5;2;L24206;1942;1960;1999;x
Palewski;5205;FRA;1938;1942;1990;1990;2;4;131072;2;0;5;2;L24207;1938;1960;1999;x
Paskewicz;5206;FRA;1942;1990;1990;1990;3;3;0;1;0;5;2;L24208;1942;1960;1999;x
Pinsard;5207;FRA;1930;1930;1990;1990;2;5;4608;1;0;5;2;L24209;1930;1960;1999;x
Pouliquen;5208;FRA;1945;1990;1990;1990;3;5;0;1;0;5;2;L24210;1945;1960;1999;x
Roques;5209;FRA;1938;1990;1990;1990;3;3;131072;1;0;5;2;L24211;1938;1960;1999;x
Rossi;5210;FRA;1938;1943;1990;1990;2;4;0;2;0;5;2;L24212;1938;1960;1999;x
Rousselot de Saint-Ceran;5211;FRA;1938;1942;1990;1990;2;3;0;2;0;5;2;L24213;1938;1960;1999;x
Roussy de Sales;5212;FRA;1930;1990;1990;1990;3;3;0;1;0;5;2;L24214;1930;1960;1999;x
Royer de Marancour;5213;FRA;1941;1990;1990;1990;3;3;0;1;0;5;2;L24215;1941;1960;1999;x
Savary;5214;FRA;1944;1990;1990;1990;3;5;0;1;0;5;2;L24216;1944;1960;1999;x
Sicard;5215;FRA;1938;1990;1990;1990;3;3;131072;1;0;5;2;L24217;1938;1960;1999;x
Valin;5216;FRA;1930;1930;1943;1990;2;6;4096;3;0;5;2;L24218;1930;1960;1999;x
Vuillemin;5217;FRA;1940;1942;1944;1990;2;5;33280;3;0;5;2;L24219;1940;1960;1999;x
Adeline;5218;FRA;1945;1990;1990;1990;3;4;32;1;0;5;0;L24220;1945;1960;1999;x
Cazaud;5219;FRA;1941;1943;1990;1990;2;6;65;2;0;5;0;L24221;1941;1960;1999;x
Delange;5220;FRA;1944;1990;1990;1990;3;5;5;1;0;5;0;L24222;1944;1960;1999;x
de Bricourt;5221;FRA;1938;1990;1990;1990;3;5;1;1;0;5;0;L24223;1938;1942;1999;x
Mast;5222;FRA;1930;1930;1939;1990;1;5;1;2;0;5;0;L24224;1930;1944;1999;x
Mirkin;5223;FRA;1940;1990;1990;1990;3;6;256;1;0;5;0;L24225;1940;1960;1999;x
Nollet;5224;FRA;1930;1930;1930;1990;1;4;514;1;0;5;0;L24226;1930;1942;1999;x
Cabanier;5225;FRA;1942;1946;1990;1990;2;7;8192;2;0;5;1;L24227;1942;1960;1999;x
Ortoli;5226;FRA;1943;1945;1990;1990;2;5;4096;2;0;5;1;L24228;1943;1960;1999;x
Louveau;5227;FRA;1930;1990;1990;1990;3;3;0;1;0;5;1;L24229;1930;1960;1999;x
Ginas;5228;FRA;1945;1990;1990;1990;3;4;131072;1;0;5;2;L24230;1945;1960;1999;x
de Castelnau;5229;FRA;1909;1911;1913;1915;0;6;4;3;0;5;0;444;1909;1932;1999;x
de Langle de Cary;5230;FRA;1906;1908;1912;1915;0;5;0;2;0;5;0;445;1906;1917;1999;x
d'Esperey;5231;FRA;1911;1913;1914;1916;0;7;4;4;0;5;0;446;1911;1932;1999;x
Dubail;5232;FRA;1908;1912;1914;1915;0;6;4;3;0;5;0;447;1908;1916;1999;x
Fayolle;5233;FRA;1914;1915;1916;1917;0;6;0;3;0;5;0;448;1914;1932;1999;x
Foch;5234;FRA;1911;1913;1914;1915;0;7;6;4;0;5;0;449;1911;1932;1999;x
Joffre;5235;FRA;1905;1908;1911;1914;0;7;4;4;0;5;0;450;1905;1917;1999;x
Maistre;5236;FRA;1913;1914;1917;1918;0;7;0;4;0;5;0;451;1913;1922;1999;x
Pétain;5237;FRA;1913;1914;1915;1917;0;7;2;4;0;5;0;452;1913;1932;1999;x
Weygand;5238;FRA;1918;1920;1923;1939;0;7;0;4;0;5;0;L24145;1918;1932;1999;x
Anthoine;5239;FRA;1914;1915;1917;1932;1;6;0;3;0;5;0;453;1914;1932;1999;x
Berthelot;5240;FRA;1914;1915;1918;1932;1;5;0;2;0;5;0;454;1914;1932;1999;x
Buat;5241;FRA;1916;1917;1918;1932;1;5;0;2;0;5;0;455;1916;1932;1999;x
d'Amade;5242;FRA;1909;1912;1914;1932;1;5;0;2;0;5;0;456;1909;1932;1999;x
Debeney;5243;FRA;1915;1916;1917;1932;1;6;2;3;0;5;0;457;1915;1932;1999;x
Degoutte;5244;FRA;1916;1917;1918;1932;1;6;0;3;0;5;0;458;1916;1932;1999;x
Dubois;5245;FRA;1909;1913;1915;1932;1;5;4;2;0;5;0;459;1909;1917;1999;x
Duchene;5246;FRA;1914;1915;1916;1932;1;6;0;3;0;5;0;460;1914;1932;1999;x
Gallieni;5247;FRA;1899;1906;1908;1932;1;7;2;4;0;5;0;461;1899;1916;1999;x
Gérard;5248;FRA;1908;1914;1916;1932;1;5;0;2;0;5;0;462;1908;1932;1999;x
Gouraud;5249;FRA;1914;1915;1916;1932;1;7;5;4;0;5;0;463;1914;1932;1999;x
Graziani;5250;FRA;1917;1918;1919;1932;1;6;0;3;0;5;0;464;1917;1932;1999;x
Guillaumat;5251;FRA;1914;1915;1917;1932;1;7;0;4;0;5;0;465;1914;1932;1999;x
Hirschauer;5252;FRA;1915;1916;1918;1932;1;5;0;2;0;5;0;466;1915;1932;1999;x
Humbert;5253;FRA;1914;1915;1916;1932;1;6;0;3;0;5;0;467;1914;1932;1999;x
Lanrezac;5254;FRA;1911;1912;1914;1932;1;5;2;2;0;5;0;468;1911;1915;1999;x
Mangin;5255;FRA;1914;1916;1917;1932;1;6;4;3;0;5;0;469;1914;1925;1999;x
